,https://roic.ai/company/MRO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14616000000,13975000000,12782000000,11962000000,10215000000,11163000000,13564000000,12932000000,18145000000,20239000000,30143000000,28662000000,27470000000,36949000000,45444000000,58958000000,64896000000,59389000000,78569000000,54139000000,73621000000,14820000000,15688000000,14501000000,10846000000,5522000000,4031000000,4373000000,5902000000,5063000000,3097000000,5601000000
2,COGS,12509000000,10210000000,9528000000,8354000000,8562000000,9160000000,11324000000,10581000000,15638000000,17511000000,25715000000,23399000000,23858000000,32445000000,40194000000,50658000000,53365000000,50070000000,60532000000,46276000000,63064000000,7119000000,7945000000,7632000000,7674000000,5658000000,4501000000,3677000000,3858000000,3714000000,3467000000,3327000000
3,Gross Profit,2107000000,3765000000,3254000000,3608000000,1653000000,2003000000,2240000000,2351000000,2507000000,2728000000,4428000000,5263000000,3612000000,4504000000,5250000000,8300000000,11531000000,9319000000,18037000000,7863000000,10557000000,7701000000,7743000000,6869000000,3172000000,-136000000,-470000000,696000000,2044000000,1349000000,-370000000,2274000000
4,Gross Profit Ratio,0.1442,0.2694,0.2546,0.3016,0.1618,0.1794,0.1651,0.1818,0.1382,0.1348,0.1469,0.1836,0.1315,0.1219,0.1155,0.1408,0.1777,0.1569,0.2296,0.1452,0.1434,0.5196,0.4936,0.4737,0.2925,-0.0246,-0.1166,0.1592,0.3463,0.2664,-0.1195,0.4060
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,313000000,297000000,319000000,355000000,505000000,486000000,625000000,726000000,845000000,946000000,1025000000,1158000000,1228000000,1327000000,1877000000,1263000000,- -,- -,555000000,687000000,654000000,590000000,484000000,400000000,394000000,356000000,274000000,291000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,623000000,343000000,325000000,313000000,297000000,319000000,355000000,505000000,486000000,625000000,726000000,845000000,946000000,1025000000,1158000000,1228000000,1327000000,1877000000,1263000000,1363000000,544000000,555000000,687000000,654000000,590000000,484000000,400000000,394000000,356000000,274000000,291000000
9,Other Expenses,1026000000,2760000000,2569000000,2873000000,916000000,1012000000,896000000,866000000,1146000000,1195000000,1527000000,1583000000,1387000000,1474000000,1555000000,1840000000,1336000000,1335000000,7725000000,2703000000,3398000000,2496000000,1018000000,1340000000,1199000000,1552000000,498000000,592000000,588000000,460000000,381000000,466000000
10,Operating Expenses,1026000000,3383000000,2912000000,3198000000,1229000000,1309000000,1215000000,1221000000,1651000000,1681000000,2152000000,2309000000,2232000000,2420000000,2580000000,2998000000,2564000000,2662000000,9602000000,4273000000,4761000000,3040000000,1573000000,2027000000,1853000000,2142000000,982000000,992000000,982000000,816000000,655000000,757000000
