,https://roic.ai/company/CHSCP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,171963000,14383835000,17215992000,32167461000,25729916000,25267931000,36915834000,40599286000,44479857000,42664033000,34582442000,30347203000,31934751000,32683347000,31900453000,28406365000,38448033000
2,COGS,11458432000,13570507000,16139691000,30993899000,24849901000,24397410000,35512988000,38588143000,42706205000,41016798000,33091676000,29387910000,30985510000,31589887000,30516120000,27424558000,37496634000
3,Gross Profit,-11286469000,813328000,1076301000,1173562000,880015000,870521000,1402846000,2011143000,1773652000,1647235000,1490766000,959293000,949241000,1093460000,1384333000,981807000,951399000
4,Gross Profit Ratio,-65.6331,0.0565,0.0625,0.0365,0.0342,0.0345,0.0380,0.0495,0.0399,0.0386,0.0431,0.0316,0.0297,0.0335,0.0434,0.0346,0.0247
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,737636000,704542000,745602000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,737636000,704542000,745602000
9,Other Expenses,199354000,231238000,245357000,329965000,355299000,366582000,438498000,498233000,553623000,602598000,775354000,649097000,1061038000,636374000,- -,- -,- -
10,Operating Expenses,199354000,231238000,245357000,329965000,355299000,366582000,438498000,498233000,553623000,602598000,775354000,649097000,1061038000,636374000,737636000,704542000,745602000
11,COGS and Expenses,11649678000,13801745000,16385048000,31323864000,25205200000,24763992000,35951486000,39086376000,43259828000,41619396000,33867030000,30037007000,31589869000,32263970000,31253756000,28129100000,38242236000
12,Interest Income ,- -,- -,- -,13904000,15182000,5365000,8165000,- -,6212000,6987000,10326000,38357000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,94090000,99271000,- -,- -,- -,171239000,149202000,167065000,-116977000,104565000
14,Depreciation and Amortization,110332000,126777000,140596000,210409000,196350000,202922000,251168000,253273000,241791000,267167000,355422000,447492000,480223000,478050000,541507000,550251000,535498000
15,EBITDA,360348000,617074000,890929000,1013454000,577757000,738319000,1312196000,1688843000,1423114000,1396898000,1124302000,867593000,597244000,1299083000,1525996000,856883000,1155383000
16,EBITDA ratio,2.0955,0.0429,0.0518,0.0315,0.0225,0.0292,0.0355,0.0416,0.0320,0.0327,0.0325,0.0286,0.0187,0.0397,0.0478,0.0302,0.0301
17,Operating Income,- -,- -,- -,843597000,524716000,503939000,964348000,1512910000,1220029000,1044637000,715412000,310196000,-111797000,457086000,659602000,386878000,205797000
18,Operating Income ratio,- -,- -,- -,0.0262,0.0204,0.0199,0.0261,0.0373,0.0274,0.0245,0.0207,0.0102,-0.0035,0.0140,0.0207,0.0136,0.0054
19,Total Other Income Expenses (Gains),30434000,49327000,36600000,30986000,-80818000,79896000,183308000,-96339000,-134035000,38480000,52756000,109682000,56945000,214144000,155999000,- -,309523000
20,Income Before Tax,297260000,538999000,786933000,874583000,443898000,583835000,1147656000,1416571000,1085994000,1083117000,768168000,419878000,-54852000,671230000,815601000,386878000,515320000
21,Income Before Tax Ratio,1.7286,0.0375,0.0457,0.0272,0.0173,0.0231,0.0311,0.0349,0.0244,0.0254,0.0222,0.0138,-0.0017,0.0205,0.0256,0.0136,0.0134
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,80852000,89666000,48296000,-12165000,-4091000,-182075000,-104076000,-12456000,- -,-38249000
23,Net Income,250016000,490297000,750333000,803045000,381407000,535397000,1061028000,1260628000,992386000,1081435000,781045000,424192000,127857000,775907000,829880000,423609000,553569000
24,Net Income ratio,1.4539,0.0341,0.0436,0.0250,0.0148,0.0212,0.0287,0.0311,0.0223,0.0253,0.0226,0.0140,0.0040,0.0237,0.0260,0.0149,0.0144
25,EPS,20.34,39.89,61.05,65.34,31.03,43.56,86.33,102.57,80.75,87.99,63.55,34.52,10.40,63.13,67.52,34.47,45.04
26,EPS Diluted,20.34,39.89,61.05,65.34,31.03,43.56,86.33,102.57,80.75,87.99,63.55,34.52,10.40,63.13,67.52,34.47,45.04
27,Weighted Average Shares Outstanding,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000
28,Weighted Average Shares Outstanding Diluted,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000,12290000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/823277/000095013405021891/0000950134-05-021891-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013706012798/0000950137-06-012798-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013707017576/0000950137-07-017576-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013708013893/0000950137-08-013893-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012309060736/0000950123-09-060736-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012310104712/0000950123-10-104712-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012311097699/0000950123-11-097699-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000144530512003500/0001445305-12-003500-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327713000037/0000823277-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327714000032/0000823277-14-000032-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327715000024/0000823277-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327716000065/0000823277-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327717000053/0000823277-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327718000065/0000823277-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327719000036/0000823277-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327720000034/0000823277-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327721000044/0000823277-21-000044-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,241018000,112525000,357712000,136540000,772599000,394663000,937685000,314029000,1808532000,2133207000,953813000,279313000,181379000,450617000,211179000,140874000,413159000
32,Short-Term Investments,- -,- -,- -,369503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3683996000,3630033000,3669111000
33,Cash and Short-Term Investments,241018000,112525000,357712000,506043000,772599000,394663000,937685000,314029000,1808532000,2133207000,953813000,279313000,181379000,450617000,3895175000,3770907000,4082270000
34,Net Receivables,1093986000,1076602000,1401251000,2307794000,1827749000,1908068000,2980105000,3590742000,3270311000,2988563000,2818110000,2880763000,1869632000,2460401000,2731209000,- -,2860884000
35,Inventory,914182000,1130824000,1666632000,2368024000,1526280000,1961376000,2768424000,3203972000,2664735000,2760253000,2652344000,2370699000,2576585000,2768649000,2854288000,2742138000,3334675000
36,Other Current Assets,367306000,298666000,511263000,667338000,618995000,1052362000,2051121000,2336410000,1167182000,1515627000,1584542000,1404405000,986931000,1013538000,-2818077000,-246498000,-2278878000
37,Total Current Assets,2616492000,2618617000,3936858000,5849199000,4745623000,5316469000,8737335000,9445153000,8910760000,9397650000,8008809000,6935180000,5614527000,6693205000,6662595000,6266547000,7998951000
38,PP&E,1359535000,1476239000,1728171000,1948305000,2099325000,2253071000,2420214000,2786324000,3171404000,4031023000,5192927000,5488323000,5356434000,5141719000,5088708000,4957938000,4810005000
39,Goodwill,- -,- -,- -,- -,- -,- -,26409000,- -,85063000,158696000,150115000,160414000,154055000,138464000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,15891000,- -,35476000,55454000,50648000,44766000,33330000,29338000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,42300000,- -,120539000,214150000,200763000,205180000,187385000,167802000,- -,- -,- -
42,Investments,520970000,624253000,880592000,784516000,727925000,719392000,595979000,673388000,765946000,923227000,1002092000,3795976000,3750993000,3711925000,3684000000,3630000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,229940000,223474000,147965000,189958000,296972000,377196000,421182000,518286000,535621000,580929000,823721000,893050000,1064417000,666527000,1012191000,-3630000000,4767319000
45,Total Non-Current Assets,2110445000,2323966000,2756728000,2922779000,3124222000,3349659000,3479675000,3977998000,4593510000,5749329000,7219503000,10382529000,10359229000,9687973000,9784899000,4957938000,9577324000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4726937000,4942583000,6693586000,8771978000,7869845000,8666128000,12217010000,13423151000,13504270000,15146979000,15228312000,17317709000,15973756000,16381178000,16447494000,11224485000,17576275000
48,Accounts Payable,945737000,904143000,1120822000,1838214000,1289139000,1472145000,2315311000,2355847000,2416038000,2208211000,1690094000,1819049000,1951292000,1844489000,1931415000,1724516000,2616052000
49,Short-Term Debt,96487000,82755000,771548000,224790000,417209000,508843000,1004355000,1116893000,1045924000,1316309000,1335687000,2945808000,2144560000,2439761000,39210000,1575491000,1740859000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,601685000,1493567000,731461000,867930000,586490000,621814000,571077000,546483000,336645000,- -,- -
52,Other Current Liabilities,815565000,802765000,1228854000,2047595000,1412923000,1731487000,2039492000,1630384000,1591930000,1791559000,1644589000,1134124000,765666000,1103438000,3276437000,- -,1969102000
53,Total Current Liabilities,1857789000,1789663000,3121224000,4110599000,3119271000,3712475000,5960843000,6596691000,5785353000,6184009000,5256860000,6520795000,5432595000,5934171000,5583707000,3300007000,6326013000
54,Long-Term Debt,737734000,683997000,589344000,1076219000,988461000,873738000,1411193000,1332142000,1450420000,1299664000,1260808000,2088450000,2023448000,1762690000,1749901000,189287000,38450000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,566647000,580835000,487762000,333221000,182770000,143061000,- -,- -
57,Other Non-Current Liabilities,229322000,310157000,359198000,423742000,428949000,475464000,579654000,1020995000,1115750000,629815000,460398000,354452000,278667000,336519000,353295000,- -,11211812000
58,Total Non-Current Liabilities,967056000,994154000,948542000,1499961000,1417410000,1349202000,1990847000,2353137000,2566170000,2496126000,2302041000,2930664000,2635336000,2281979000,2246257000,189287000,11250262000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4499904000,12883227000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2824845000,2783817000,4069766000,5610560000,4536681000,5061677000,7951690000,8949828000,8351523000,8680135000,7558901000,9451459000,8067931000,8216150000,7837354000,15993947000,17576275000
62,Preferred Stock,- -,- -,- -,- -,- -,319368000,319368000,319368000,319368000,1190177000,2167540000,2244132000,2264038000,2264038000,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,2401514000,- -,3109616000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,746008000,741030000,820049000,1075474000,1258944000,1380361000,1598660000,1604670000,1582380000,1471217000,1482003000,1584158000,- -,- -
65,Other Comprehensive Income/Loss,-1204651000,-1313785000,-1431948000,-1573544000,-156000000,-205267000,-174876000,-232587000,-156867000,-156757000,-214207000,-211726000,-183670000,-199915000,-227000000,-234000000,-216391000
66,Other Total Stockholders Equity,3106743000,3472551000,4055768000,3988954000,2748134000,- -,3364846000,- -,3929386000,5025184000,6278741000,6495870000,6614608000,6883025000,7252982000,233924000,216391000
67,Total Stockholders Equity,1757897000,2017391000,2432990000,2955686000,3090302000,3335664000,3915592000,4455341000,5131208000,6448508000,7657885000,7851960000,7893234000,8155582000,8610140000,- -,- -
68,Total Liabilities And Stockholders Equity,4582742000,4801208000,6502756000,8566246000,7626983000,8397341000,11867282000,13405169000,13482731000,15128643000,15216786000,17303419000,15961165000,16371732000,16447494000,15993947000,17576275000
69,Minority Interest,144195000,141375000,190830000,205732000,242862000,268787000,349728000,17982000,21539000,18336000,11526000,14290000,12591000,9446000,- -,-4769462000,- -
70,Total Liabilities & Equity,4726937000,4942583000,6693586000,8771978000,7869845000,8666128000,12217010000,13423151000,13504270000,15146979000,15228312000,17317709000,15973756000,16381178000,16447494000,11224485000,17576275000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/823277/000095013405021891/0000950134-05-021891-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013706012798/0000950137-06-012798-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013707017576/0000950137-07-017576-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095013708013893/0000950137-08-013893-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012309060736/0000950123-09-060736-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012310104712/0000950123-10-104712-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000095012311097699/0000950123-11-097699-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000144530512003500/0001445305-12-003500-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327713000037/0000823277-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327714000032/0000823277-14-000032-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327715000024/0000823277-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327716000065/0000823277-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327717000053/0000823277-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327718000065/0000823277-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327719000036/0000823277-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327720000034/0000823277-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/823277/000082327721000044/0000823277-21-000044-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,250016000,490297000,750333000,803045000,381407000,535397000,1061028000,1260628000,992386000,1081435000,781045000,424192000,127857000,775907000,829880000,423609000,553569000
74,Depreciation and Amortization,110332000,126777000,140596000,210409000,196350000,202922000,251168000,253273000,241791000,267167000,355422000,447492000,480223000,478050000,541507000,550251000,535498000
75,Deferred Income Tax,26400000,78300000,46800000,26011000,43976000,39507000,67089000,58624000,92717000,-24397000,30304000,-24178000,-175914000,-146961000,-13852000,-32761000,-11957000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
