,https://roic.ai/company/ORCL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,55400000,131300000,282100000,583700000,970800000,1027900000,1178500000,1502800000,2001100000,2966900000,4223300000,5684336000,7143866000,8827252000,10130128000,10859672000,9673000000,9475000000,10156000000,11799000000,14380000000,17996000000,22430000000,23252000000,26820000000,35622000000,37121000000,37180000000,38275000000,38226000000,37047000000,37728000000,39831000000,39506000000,39068000000,40479000000
2,COGS,-2000000,-5300000,38300000,77800000,116300000,195700000,215800000,243500000,394600000,631200000,1096013000,1550466000,2273607000,3064148000,2942679000,2796040000,2406000000,2342000000,2317000000,2651000000,3235000000,4191000000,4981000000,4794000000,5764000000,8398000000,7858000000,7113000000,7236000000,7532000000,7479000000,7469000000,8081000000,7995000000,7938000000,7855000000
3,Gross Profit,57400000,136600000,243800000,505900000,854500000,832200000,962700000,1259300000,1606500000,2335700000,3127287000,4133870000,4870259000,5763104000,7187449000,8063632000,7267000000,7133000000,7839000000,9148000000,11145000000,13805000000,17449000000,18458000000,21056000000,27224000000,29263000000,30067000000,31039000000,30694000000,29568000000,30259000000,31750000000,31511000000,31130000000,32624000000
4,Gross Profit Ratio,1.0361,1.0404,0.8642,0.8667,0.8802,0.8096,0.8169,0.8380,0.8028,0.7873,0.7405,0.7272,0.6817,0.6529,0.7095,0.7425,0.7513,0.7528,0.7719,0.7753,0.7750,0.7671,0.7779,0.7938,0.7851,0.7642,0.7883,0.8087,0.8109,0.8030,0.7981,0.8020,0.7971,0.7976,0.7968,0.8059
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,197100000,260600000,389093000,555476000,719143000,841406000,1009882000,1138591000,1076000000,1180000000,1278000000,1491000000,1872000000,2195000000,2741000000,2767000000,3254000000,4519000000,4523000000,4850000000,5151000000,5524000000,5787000000,6159000000,6091000000,6026000000,6067000000,6527000000
6,General and Administrative Exp.,44500000,102900000,167000000,359700000,620600000,743600000,783200000,939100000,884900000,1277500000,1782372000,2278609000,2739862000,3048817000,3097407000,3147950000,2620000000,- -,- -,- -,- -,- -,- -,785000000,911000000,970000000,1126000000,1072000000,1038000000,1077000000,1155000000,1176000000,1289000000,1265000000,1181000000,1254000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4638000000,5080000000,6579000000,7127000000,7328000000,7567000000,7655000000,7884000000,8197000000,8431000000,8509000000,8094000000,7682000000
8,"Selling, General and Administrative Exp.",44500000,102900000,167000000,359700000,620600000,743600000,783200000,939100000,884900000,1277500000,1782372000,2278609000,2739862000,3048817000,3097407000,3147950000,2620000000,2513000000,2697000000,3061000000,3732000000,4599000000,5487000000,5423000000,5991000000,7549000000,8253000000,8400000000,8605000000,8732000000,9039000000,9373000000,9720000000,9774000000,9275000000,8936000000
9,Other Expenses,2000000,5300000,13000000,23200000,44100000,70700000,65800000,79200000,104600000,147800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000000,583000000,878000000,1212000000,1713000000,1973000000,2428000000,2430000000,2385000000,2300000000,2149000000,1638000000,1451000000,1620000000,1689000000,1586000000,1508000000
