,https://roic.ai/company/SCL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,235900000,259800000,288900000,333000000,346400000,389600000,414100000,435800000,438800000,443900000,528200000,536600000,581900000,610500000,666800000,698937000,711517000,748539000,784855000,935816000,1078377000,1172583000,1329901000,1600130000,1276382000,1431122000,1843092000,1803737000,1880786000,1927213000,1776167000,1766166000,1925007000,1993857000,1858745000,1869750000,2345966000
2,COGS,192800000,201800000,217700000,292600000,272400000,296000000,318900000,330000000,331100000,333900000,400400000,408300000,442500000,461600000,506300000,547634000,604288000,626013000,681116000,824849000,955515000,1046797000,1188505000,1430593000,1043279000,1195144000,1587539000,1512184000,1599101000,1677650000,1467926000,1427621000,1586742000,1652354000,1519031000,1486137000,1950156000
3,Gross Profit,43100000,58000000,71200000,40400000,74000000,93600000,95200000,105800000,107700000,110000000,127800000,128300000,139400000,148900000,160500000,151303000,107229000,122526000,103739000,110967000,122862000,125786000,141396000,169537000,233103000,235978000,255553000,291553000,281685000,249563000,308241000,338545000,338265000,341503000,339714000,383613000,395810000
4,Gross Profit Ratio,0.1827,0.2232,0.2465,0.1213,0.2136,0.2402,0.2299,0.2428,0.2454,0.2478,0.2420,0.2391,0.2396,0.2439,0.2407,0.2165,0.1507,0.1637,0.1322,0.1186,0.1139,0.1073,0.1063,0.1060,0.1826,0.1649,0.1387,0.1616,0.1498,0.1295,0.1735,0.1917,0.1757,0.1713,0.1828,0.2052,0.1687
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,18500000,19700000,20400000,21000000,22600000,22680000,22869000,24897000,24718000,25969000,29588000,29637000,31457000,34437000,36494000,38307000,40524000,45713000,46809000,45451000,50243000,56086000,53867000,54263000,55037000,57986000,62689000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,46100000,36100000,39400000,45200000,56600000,57318000,53528000,63699000,69225000,65819000,67806000,80296000,75567000,41600000,51287000,49501000,50766000,63979000,71454000,54646000,76048000,75185000,76041000,79243000,82577000,87362000,92906000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41218000,40434000,40273000,45807000,53145000,53229000,54763000,55522000,57212000,54271000,56319000,56956000,55543000,59186000
8,"Selling, General and Administrative Exp.",24300000,28400000,34300000,- -,39200000,47000000,48700000,51300000,52800000,34100000,46100000,36100000,39400000,45200000,56600000,57318000,53528000,63699000,69225000,65819000,67806000,80296000,75567000,82818000,91721000,89774000,96573000,117124000,124683000,109409000,131570000,132397000,130312000,135562000,139533000,142905000,152092000
9,Other Expenses,5500000,11600000,13800000,15400000,17100000,19400000,21100000,23900000,27700000,28900000,30400000,32100000,35300000,37300000,39500000,39277000,- -,- -,- -,- -,- -,- -,3467000,-18398000,- -,- -,- -,- -,- -,- -,6500000,16805000,4857000,-2329000,15834000,9988000,6895000
10,Operating Expenses,29800000,40000000,48100000,15400000,56300000,66400000,69800000,75200000,80500000,80400000,95000000,87900000,95100000,103500000,118700000,119275000,76397000,88596000,93943000,91788000,97394000,109933000,110491000,98857000,128215000,128081000,137097000,162837000,171492000,154860000,188313000,205288000,189036000,187496000,210404000,210879000,221676000
11,COGS and Expenses,222600000,241800000,265800000,308000000,328700000,362400000,388700000,405200000,411600000,414300000,495400000,496200000,537600000,565100000,625000000,666909000,680685000,714609000,775059000,916637000,1052909000,1156730000,1298996000,1529450000,1171494000,1323225000,1724636000,1675021000,1770593000,1832510000,1656239000,1632909000,1775778000,1839850000,1729435000,1697016000,2171832000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,- -,- -,359000,112000,57000,262000,217000,1247000,2075000,1829000,5717000,2171000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9798000,6271000,6341000,9454000,9711000,10415000,11703000,14750000,14452000,13519000,12600000,11649000,7580000,- -
14,Depreciation and Amortization,5500000,11600000,13800000,15400000,17100000,19400000,21100000,23900000,27700000,28900000,30400000,32100000,35300000,37300000,39500000,39277000,39972000,40117000,41426000,39169000,38769000,38384000,37176000,36928000,37171000,40351000,47099000,51294000,56400000,63804000,66985000,74967000,79022000,81115000,78701000,81860000,90876000
15,EBITDA,14800000,25600000,33100000,35900000,28800000,41700000,39900000,46600000,47300000,51400000,55400000,64400000,70200000,76100000,74300000,63680000,65770000,70385000,46697000,53813000,56098000,45954000,60981000,101513000,140519000,148007000,160821000,176436000,162936000,151062000,184522000,203228000,231809000,233650000,216277000,259621000,263322000
16,EBITDA ratio,0.0627,0.0985,0.1146,0.1078,0.0831,0.1070,0.0964,0.1069,0.1078,0.1158,0.1049,0.1200,0.1206,0.1247,0.1114,0.0911,0.0924,0.0940,0.0595,0.0575,0.0520,0.0392,0.0459,0.0634,0.1101,0.1034,0.0873,0.0978,0.0866,0.0784,0.1039,0.1151,0.1204,0.1172,0.1164,0.1389,0.1122
17,Operating Income,13300000,18000000,23100000,25000000,17700000,27200000,25400000,30600000,27200000,29600000,32800000,40400000,44300000,45400000,41800000,32028000,30832000,33930000,9796000,19179000,25468000,15853000,35095000,70680000,104888000,107897000,118456000,128716000,109153000,90694000,122790000,126193000,146160000,151419000,127260000,171522000,170781000
18,Operating Income ratio,0.0564,0.0693,0.0800,0.0751,0.0511,0.0698,0.0613,0.0702,0.0620,0.0667,0.0621,0.0753,0.0761,0.0744,0.0627,0.0458,0.0433,0.0453,0.0125,0.0205,0.0236,0.0135,0.0264,0.0442,0.0822,0.0754,0.0643,0.0714,0.0580,0.0471,0.0691,0.0715,0.0759,0.0759,0.0685,0.0917,0.0728
19,Total Other Income Expenses (Gains),-4000000,-4000000,-3800000,-4500000,-6000000,-4900000,-6600000,-13300000,-7600000,-7100000,-7800000,-8100000,-9400000,-6600000,-7000000,-7625000,-4906000,-3662000,-4525000,-4546000,-7822000,-8464000,-11380000,-15802000,-7757000,-6418000,-13562000,-12994000,-13523000,-15159000,-19934000,-12377000,-6923000,-11496000,-1361000,-455000,1756000
