,https://roic.ai/company/HSC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1261200000,1130300000,1169200000,1279000000,1351200000,1759500000,1943100000,1624900000,1422300000,1357700000,1495500000,1557600000,1627500000,1735400000,1720800000,2004741000,2108474000,1976732000,2118516000,2502059000,2766210000,3423293000,3688160000,3967822000,2990577000,3038678000,3302740000,3046018000,2896520000,2065738000,1723092000,1451223000,1607062000,1722380000,1503742000,1863864000,1848399000
2,COGS,931100000,825500000,854500000,1001900000,1104400000,1407500000,1587900000,1240000000,1032300000,961100000,1042600000,1067600000,1112800000,1196000000,1199700000,1369787000,1594454000,1481764000,1604373000,1916384000,2099399000,2547580000,2685504000,2926420000,2252138000,2336879000,2570628000,2349516000,2234215000,1646786000,1356361000,1170463000,1220722000,1288737000,1144290000,1500811000,1490556000
3,Gross Profit,330100000,304800000,314700000,277100000,246800000,352000000,355200000,384900000,390000000,396600000,452900000,490000000,514700000,539400000,521100000,634954000,514020000,494968000,514143000,585675000,666811000,875713000,1002656000,1041402000,738439000,701799000,732112000,696502000,662305000,418952000,366731000,280760000,386340000,433643000,359452000,363053000,357843000
4,Gross Profit Ratio,0.2617,0.2697,0.2692,0.2167,0.1827,0.2001,0.1828,0.2369,0.2742,0.2921,0.3028,0.3146,0.3163,0.3108,0.3028,0.3167,0.2438,0.2504,0.2427,0.2341,0.2411,0.2558,0.2719,0.2625,0.2469,0.2310,0.2217,0.2287,0.2287,0.2028,0.2128,0.1935,0.2404,0.2518,0.2390,0.1948,0.1936
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,7000000,7800000,5714000,3981000,2820000,3313000,2579000,2676000,3026000,3175000,5295000,3151000,4271000,6044000,9139000,9570000,6348000,4510000,4280000,4227000,5548000,4824000,3246000,956000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,222400000,203600000,212600000,211200000,213400000,207800000,274079000,322934000,312704000,329983000,368385000,393187000,507367000,538233000,602169000,520002000,532624000,647923000,503339000,481052000,285252000,242112000,200391000,234673000,238690000,252970000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",157400000,171300000,153400000,166200000,161500000,173600000,174400000,180100000,188000000,222400000,203600000,212600000,211200000,213400000,207800000,274079000,322934000,312704000,329983000,368385000,393187000,507367000,538233000,602169000,520002000,532624000,647923000,503339000,481052000,285252000,242112000,200391000,234673000,238690000,252970000,327932000,272233000
9,Other Expenses,49800000,51900000,56100000,53800000,56200000,56600000,57700000,57100000,74900000,99600000,104900000,109400000,116500000,131400000,135900000,159099000,23490000,3473000,6955000,4862000,2000000,2410000,-4012000,21950000,-4864000,94919000,-3342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,207200000,223200000,209500000,220000000,217700000,230200000,232100000,237200000,262900000,322000000,308500000,322000000,333800000,351800000,351500000,438892000,350405000,318997000,340251000,375826000,397863000,512803000,537396000,629414000,518289000,631814000,650625000,512478000,490622000,291600000,246622000,204671000,238900000,244238000,257794000,331178000,273189000
