,https://roic.ai/company/DAN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3754400000,3695100000,4142100000,5221800000,4865100000,4951900000,4398200000,4872300000,5460100000,6740500000,7794500000,7686300000,8290800000,12463600000,13270000000,12317000000,10271000000,9504000000,7918000000,9056000000,8611000000,8504000000,8721000000,8095000000,5228000000,6109000000,7592000000,7224000000,6769000000,6617000000,6060000000,5826000000,7209000000,8143000000,8620000000,7106000000,8945000000
2,COGS,2960800000,2936900000,3345400000,- -,3931900000,3927700000,3649300000,4043700000,4440300000,5624000000,6449700000,6525200000,7180400000,10449100000,10964000000,10599000000,9268000000,8426000000,7245000000,8333000000,8205000000,8166000000,8231000000,7829000000,4985000000,5450000000,6697000000,6250000000,5849000000,5672000000,5211000000,4982000000,6147000000,6986000000,7489000000,6485000000,8108000000
3,Gross Profit,793600000,758200000,796700000,- -,933200000,1024200000,748900000,828600000,1019800000,1116500000,1344800000,1161100000,1110400000,2014500000,2306000000,1718000000,1003000000,1078000000,673000000,723000000,406000000,338000000,490000000,266000000,243000000,659000000,895000000,974000000,920000000,945000000,849000000,844000000,1062000000,1157000000,1131000000,621000000,837000000
4,Gross Profit Ratio,0.2114,0.2052,0.1923,- -,0.1918,0.2068,0.1703,0.1701,0.1868,0.1656,0.1725,0.1511,0.1339,0.1616,0.1738,0.1395,0.0977,0.1134,0.0850,0.0798,0.0471,0.0397,0.0562,0.0329,0.0465,0.1079,0.1179,0.1348,0.1359,0.1428,0.1401,0.1449,0.1473,0.1421,0.1312,0.0874,0.0936
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,326700000,361600000,355700000,- -,546600000,646600000,570000000,581500000,562100000,611500000,685200000,714800000,739700000,1122500000,1192000000,1132000000,985000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000000,410000000,453000000,391000000,406000000,511000000,499000000,767000000,421000000,460000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",326700000,361600000,355700000,- -,546600000,646600000,570000000,581500000,562100000,611500000,685200000,714800000,739700000,1122500000,1192000000,1132000000,985000000,823000000,520000000,504000000,500000000,419000000,365000000,337000000,313000000,402000000,409000000,424000000,410000000,453000000,391000000,406000000,511000000,499000000,767000000,421000000,460000000
9,Other Expenses,93100000,103900000,104800000,4710700000,168900000,193600000,192600000,191600000,195700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000,- -,- -,66000000,71000000,62000000,135000000,66000000,71000000,38000000,11000000,- -,4000000,-4000000,-3000000,-1000000,-2000000
10,Operating Expenses,419800000,465500000,460500000,4710700000,715500000,840200000,762600000,773100000,757800000,611500000,685200000,714800000,739700000,1122500000,1192000000,1132000000,985000000,823000000,520000000,504000000,553000000,419000000,365000000,403000000,384000000,464000000,544000000,490000000,481000000,491000000,402000000,406000000,515000000,495000000,764000000,420000000,458000000
11,COGS and Expenses,3380600000,3402400000,3805900000,4710700000,4647400000,4767900000,4411900000,4816800000,5198100000,6235500000,7134900000,7240000000,7920100000,11571600000,12156000000,11731000000,10253000000,9249000000,7765000000,8837000000,8758000000,8585000000,8596000000,8232000000,5369000000,5914000000,7241000000,6740000000,6330000000,6163000000,5613000000,5388000000,6662000000,7481000000,8253000000,6905000000,8566000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,- -,- -,- -,24000000,25000000,15000000,13000000,13000000,11000000,11000000,10000000,9000000,9000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,139000000,89000000,79000000,84000000,99000000,118000000,113000000,113000000,102000000,96000000,122000000,138000000,131000000
14,Depreciation and Amortization,93100000,103900000,104800000,- -,-168900000,-193600000,-192600000,-191600000,-195700000,210600000,245800000,278400000,334500000,487700000,519000000,523000000,548000000,478000000,394000000,361000000,310000000,- -,279000000,388000000,397000000,314000000,307000000,277000000,262000000,213000000,174000000,182000000,233000000,270000000,339000000,365000000,389000000
15,EBITDA,427500000,285800000,333000000,259300000,53700000,-30200000,-196300000,-575700000,-26500000,596200000,715100000,750700000,997200000,1337400000,1283000000,1028000000,89000000,269000000,567000000,247000000,-371000000,-673000000,-210000000,862000000,78000000,444000000,690000000,712000000,724000000,580000000,528000000,511000000,729000000,871000000,655000000,530000000,789000000
16,EBITDA ratio,0.1139,0.0773,0.0804,0.0497,0.0110,-0.0061,-0.0446,-0.1182,-0.0049,0.0885,0.0917,0.0977,0.1203,0.1073,0.0967,0.0835,0.0087,0.0283,0.0716,0.0273,-0.0431,-0.0791,-0.0241,0.1065,0.0149,0.0727,0.0909,0.0986,0.1070,0.0877,0.0871,0.0877,0.1011,0.1070,0.0760,0.0746,0.0882
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-39400000,-110800000,-108000000,-251800000,4900000,-20600000,10000000,-14500000,-43900000,-113400000,-146400000,45400000,283400000,-71800000,-377000000,-122000000,-501000000,-264000000,-72000000,-355000000,-138000000,-490000000,-512000000,488000000,-313000000,-160000000,-55000000,-120000000,-71000000,-194000000,-155000000,-223000000,-167000000,-168000000,-196000000,-214000000,-133000000
20,Income Before Tax,334400000,181900000,228200000,259300000,222600000,163400000,-3700000,41000000,218100000,391600000,513200000,491700000,654100000,820200000,737000000,464000000,-483000000,-9000000,81000000,-136000000,-285000000,-571000000,-387000000,351000000,-454000000,35000000,296000000,364000000,368000000,260000000,292000000,215000000,380000000,494000000,171000000,-13000000,244000000
21,Income Before Tax Ratio,0.0891,0.0492,0.0551,0.0497,0.0458,0.0330,-0.0008,0.0084,0.0399,0.0581,0.0658,0.0640,0.0789,0.0658,0.0555,0.0377,-0.0470,-0.0009,0.0102,-0.0150,-0.0331,-0.0671,-0.0444,0.0434,-0.0868,0.0057,0.0390,0.0504,0.0544,0.0393,0.0482,0.0369,0.0527,0.0607,0.0198,-0.0018,0.0273
22,Income Tax expense (Gain),169300000,96000000,87600000,97100000,90500000,87800000,-17200000,-2100000,89600000,157400000,181200000,166300000,293600000,315600000,251000000,171000000,-161000000,-27000000,-49000000,-196000000,924000000,66000000,62000000,306000000,-27000000,31000000,85000000,51000000,119000000,-70000000,82000000,-424000000,283000000,78000000,-32000000,58000000,72000000
23,Net Income,165100000,85900000,140600000,162200000,132100000,75600000,13500000,-382000000,79600000,228200000,288100000,306000000,369100000,534100000,513000000,334000000,-298000000,-182000000,222000000,82000000,-1605000000,-739000000,-551000000,18000000,-431000000,10000000,219000000,300000000,244000000,319000000,159000000,640000000,111000000,427000000,226000000,-31000000,197000000
24,Net Income ratio,0.0440,0.0232,0.0339,0.0311,0.0272,0.0153,0.0031,-0.0784,0.0146,0.0339,0.0370,0.0398,0.0445,0.0429,0.0387,0.0271,-0.0290,-0.0191,0.0280,0.0091,-0.1864,-0.0869,-0.0632,0.0022,-0.0824,0.0016,0.0288,0.0415,0.0360,0.0482,0.0262,0.1099,0.0154,0.0524,0.0262,-0.0044,0.0220
25,EPS,1.48,0.84,1.61,2.00,1.62,0.92,0.17,-4.35,0.86,2.31,2.84,3.01,3.54,3.24,3.10,2.20,-2.01,-1.23,1.49,0.55,-10.73,-4.92,-3.68,-0.11,-4.19,-0.16,1.28,1.82,-0.09,1.97,1.00,4.38,0.72,2.94,1.57,-0.21,1.38
26,EPS Diluted,1.48,0.84,1.61,1.90,1.55,0.91,0.17,-4.35,0.86,2.31,2.84,3.01,3.49,3.20,3.08,2.18,-2.01,-1.23,1.49,0.54,-10.73,-4.92,-3.68,-0.11,-4.19,-0.16,1.02,1.40,-0.09,1.84,0.99,4.36,0.71,2.91,1.56,-0.21,1.37
