,https://roic.ai/company/HPQ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6505000000,7102000000,8090000000,9831000000,11899000000,13233000000,14494000000,16410000000,20317000000,24991000000,31519000000,38420000000,42895000000,47061000000,42370000000,48782000000,45226000000,56588000000,73061000000,79905000000,86696000000,91658000000,104286000000,118364000000,114552000000,126033000000,127245000000,120357000000,112298000000,111454000000,103355000000,48238000000,52056000000,58472000000,58756000000,56639000000,63487000000
2,COGS,2867000000,3032000000,3443000000,4359000000,5629000000,6427000000,7234000000,8485000000,8083000000,15490000000,20014000000,25499000000,28319000000,32072000000,29720000000,34864000000,33474000000,41579000000,53857000000,60340000000,66440000000,69427000000,78887000000,89454000000,87524000000,96089000000,97529000000,92385000000,86380000000,84839000000,78596000000,39240000000,42478000000,47803000000,47586000000,46202000000,50070000000
3,Gross Profit,3638000000,4070000000,4647000000,5472000000,6270000000,6806000000,7260000000,7925000000,12234000000,9501000000,11505000000,12921000000,14576000000,14989000000,12650000000,13918000000,11752000000,15009000000,19204000000,19565000000,20256000000,22231000000,25399000000,28910000000,27028000000,29944000000,29716000000,27972000000,25918000000,26615000000,24759000000,8998000000,9578000000,10669000000,11170000000,10437000000,13417000000
4,Gross Profit Ratio,0.5593,0.5731,0.5744,0.5566,0.5269,0.5143,0.5009,0.4829,0.6022,0.3802,0.3650,0.3363,0.3398,0.3185,0.2986,0.2853,0.2599,0.2652,0.2628,0.2449,0.2336,0.2425,0.2436,0.2442,0.2359,0.2376,0.2335,0.2324,0.2308,0.2388,0.2396,0.1865,0.1840,0.1825,0.1901,0.1843,0.2113
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2027000000,2302000000,2718000000,3078000000,3355000000,2440000000,2646000000,2670000000,3312000000,3652000000,3506000000,3490000000,3591000000,3611000000,3543000000,2819000000,2959000000,3254000000,3399000000,3135000000,3447000000,3502000000,1209000000,1190000000,1404000000,1499000000,1478000000,1907000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,4925000000,5635000000,6477000000,7159000000,7793000000,6522000000,7383000000,7259000000,9033000000,11012000000,11024000000,11184000000,11266000000,12226000000,13104000000,11613000000,12585000000,13466000000,13500000000,13267000000,13353000000,12185000000,3840000000,4376000000,4859000000,5368000000,5120000000,5704000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2581000000,2969000000,3343000000,3957000000,4596000000,5078000000,5426000000,5848000000,9509000000,4925000000,5635000000,6477000000,7159000000,7793000000,6522000000,7383000000,7259000000,9033000000,11012000000,11024000000,11184000000,11266000000,12226000000,13104000000,11613000000,12585000000,13466000000,13500000000,13267000000,13353000000,12185000000,3840000000,4376000000,4859000000,5368000000,5120000000,5704000000
9,Other Expenses,299000000,321000000,342000000,373000000,462000000,566000000,624000000,673000000,846000000,- -,- -,- -,- -,- -,- -,- -,- -,402000000,563000000,603000000,423000000,604000000,266000000,1434000000,1571000000,1484000000,1607000000,1784000000,1373000000,1000000000,931000000,16000000,-46000000,742000000,1302000000,112000000,154000000
10,Operating Expenses,2880000000,3290000000,3685000000,4330000000,5058000000,5644000000,6050000000,6521000000,10355000000,6952000000,7937000000,9195000000,10237000000,11148000000,8962000000,10029000000,9929000000,12747000000,15227000000,15133000000,15097000000,15461000000,16103000000,18081000000,16003000000,17028000000,18327000000,18683000000,17775000000,17800000000,16618000000,5065000000,5520000000,7005000000,8169000000,6710000000,7765000000
11,COGS and Expenses,5747000000,6322000000,7128000000,8689000000,10687000000,12071000000,13284000000,15006000000,18438000000,22442000000,27951000000,34694000000,38556000000,43220000000,38682000000,44893000000,43403000000,54326000000,69084000000,75473000000,81537000000,84888000000,94990000000,107535000000,103527000000,113117000000,115856000000,111068000000,104155000000,102639000000,95214000000,44305000000,47998000000,54808000000,55755000000,52912000000,57835000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000000,695000000,- -,- -,- -,- -,- -,309000000,312000000,242000000,239000000,254000000
14,Depreciation and Amortization,299000000,321000000,342000000,373000000,462000000,566000000,624000000,673000000,846000000,1006000000,1139000000,1297000000,1556000000,1869000000,1316000000,1368000000,1369000000,2119000000,2527000000,2395000000,2344000000,2353000000,2705000000,3356000000,4773000000,4820000000,4984000000,5095000000,4611000000,4334000000,4061000000,332000000,354000000,528000000,744000000,789000000,785000000
15,EBITDA,1057000000,1101000000,1304000000,1515000000,1613000000,1622000000,1751000000,1666000000,2629000000,3429000000,4771000000,4991000000,6011000000,5960000000,5897000000,6129000000,1855000000,1087000000,5415000000,6591000000,5887000000,9544000000,11882000000,13829000000,14188000000,16299000000,14661000000,-6838000000,11121000000,10891000000,8793000000,3923000000,3939000000,3853000000,3509000000,4259000000,8550000000
16,EBITDA ratio,0.1625,0.1550,0.1612,0.1541,0.1356,0.1226,0.1208,0.1015,0.1294,0.1372,0.1514,0.1299,0.1401,0.1266,0.1392,0.1256,0.0410,0.0192,0.0741,0.0825,0.0679,0.1041,0.1139,0.1168,0.1239,0.1293,0.1152,-0.0568,0.0990,0.0977,0.0851,0.0813,0.0757,0.0659,0.0597,0.0752,0.1347
17,Operating Income,758000000,780000000,962000000,1142000000,1212000000,1162000000,1210000000,1404000000,1879000000,2549000000,3568000000,3726000000,4339000000,3841000000,3688000000,3889000000,1439000000,-1012000000,2896000000,4227000000,3473000000,6560000000,8719000000,10473000000,10136000000,11479000000,9677000000,-11057000000,7131000000,7185000000,5471000000,3549000000,3519000000,4064000000,3877000000,3462000000,5302000000
18,Operating Income ratio,0.1165,0.1098,0.1189,0.1162,0.1019,0.0878,0.0835,0.0856,0.0925,0.1020,0.1132,0.0970,0.1012,0.0816,0.0870,0.0797,0.0318,-0.0179,0.0396,0.0529,0.0401,0.0716,0.0836,0.0885,0.0885,0.0911,0.0761,-0.0919,0.0635,0.0645,0.0529,0.0736,0.0676,0.0695,0.0660,0.0611,0.0835
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-61000000,-106000000,-83000000,-79000000,-96000000,-126000000,64000000,-32000000,116000000,250000000,506000000,736000000,-737000000,-40000000,-8000000,-31000000,70000000,631000000,458000000,- -,-721000000,-505000000,-695000000,-876000000,-621000000,-628000000,-739000000,212000000,-243000000,-1051000000,-1354000000,-231000000,2209000000
