,https://roic.ai/company/LUMN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,147600000,156900000,184000000,213200000,248800000,281000000,356800000,433200000,540200000,644800000,749700000,901500000,1499300000,1676700000,1845926000,2117469000,1971996000,2380745000,2407372000,2479252000,2447730000,2656241000,2599747000,4974239000,7041534000,15351000000,18376000000,18095000000,18031000000,17900000000,17470000000,17656000000,23443000000,22401000000,20712000000,19687000000
2,COGS,57200000,60500000,97900000,116100000,135600000,148600000,176400000,222200000,267200000,328200000,394400000,474300000,768700000,819800000,932457000,1086166000,973689000,1159708000,755413000,821929000,888414000,937375000,955473000,1752087000,2410048000,6325000000,7639000000,7507000000,7846000000,7778000000,7774000000,8203000000,10862000000,10077000000,8934000000,8488000000
3,Gross Profit,90400000,96400000,86100000,97100000,113200000,132400000,180400000,211000000,273000000,316600000,355300000,427200000,730600000,856900000,913469000,1031303000,998307000,1221037000,1651959000,1657323000,1559316000,1718866000,1644274000,3222152000,4631486000,9026000000,10737000000,10588000000,10185000000,10122000000,9696000000,9453000000,12581000000,12324000000,11778000000,11199000000
4,Gross Profit Ratio,0.6125,0.6144,0.4679,0.4554,0.4550,0.4712,0.5056,0.4871,0.5054,0.4910,0.4739,0.4739,0.4873,0.5111,0.4949,0.4870,0.5062,0.5129,0.6862,0.6685,0.6370,0.6471,0.6325,0.6478,0.6577,0.5880,0.5843,0.5851,0.5649,0.5655,0.5550,0.5354,0.5367,0.5502,0.5687,0.5689
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11275000,- -,397102000,388989000,370272000,389533000,399136000,1014341000,1137989000,2975000000,3244000000,3502000000,3347000000,3328000000,3449000000,3508000000,4165000000,3715000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11275000,- -,397102000,388989000,370272000,389533000,399136000,1014341000,1137989000,2975000000,3244000000,3502000000,3347000000,3328000000,3449000000,3508000000,4165000000,3715000000,3464000000,2895000000
9,Other Expenses,39600000,43900000,39700000,46500000,52100000,57300000,70800000,86200000,103600000,113800000,132000000,159500000,328600000,348800000,388056000,473384000,411626000,470641000,500904000,531931000,523506000,536255000,523786000,974710000,1433553000,4026000000,4780000000,4541000000,4428000000,4189000000,3916000000,3936000000,5120000000,4829000000,4710000000,4019000000
