,https://roic.ai/company/DIS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2015400000,2470900000,2925800000,3497100000,4594300000,5843700000,6182400000,7504000000,8529200000,10055100000,12112100000,18739000000,22473000000,22976000000,23402000000,25402000000,25269000000,25329000000,27061000000,30752000000,31944000000,34285000000,35510000000,37843000000,36149000000,38063000000,40893000000,42278000000,45041000000,48813000000,52465000000,55632000000,55137000000,59434000000,69570000000,65388000000,67418000000
2,COGS,- -,- -,- -,- -,2901700000,3879900000,4223000000,5309100000,5776300000,6481100000,7813400000,11462000000,13203000000,15207000000,16392000000,17890000000,21670000000,22924000000,24330000000,26704000000,27837000000,28807000000,28729000000,30439000000,30452000000,31337000000,33112000000,33415000000,35591000000,26420000000,28364000000,29993000000,30306000000,32726000000,42018000000,43880000000,45131000000
3,Gross Profit,- -,- -,- -,- -,1692600000,1963800000,1959400000,2194900000,2752900000,3574000000,4298700000,7277000000,9270000000,7769000000,7010000000,7512000000,3599000000,2405000000,2731000000,4048000000,4107000000,5478000000,6781000000,7404000000,5697000000,6726000000,7781000000,8863000000,9450000000,22393000000,24101000000,25639000000,24831000000,26708000000,27552000000,21508000000,22287000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.3684,0.3361,0.3169,0.2925,0.3228,0.3554,0.3549,0.3883,0.4125,0.3381,0.2995,0.2957,0.1424,0.0950,0.1009,0.1316,0.1286,0.1598,0.1910,0.1957,0.1576,0.1767,0.1903,0.2096,0.2098,0.4588,0.4594,0.4609,0.4504,0.4494,0.3960,0.3289,0.3306
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,119600000,138500000,160800000,148200000,164200000,162200000,183600000,309000000,367000000,236000000,196000000,105000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11541000000,-2642000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,119600000,138500000,160800000,148200000,164200000,162200000,183600000,309000000,367000000,236000000,196000000,105000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8565000000,8523000000,8754000000,8176000000,8860000000,11541000000,12369000000,13517000000
9,Other Expenses,1653900000,1967400000,2170300000,2649400000,463600000,538300000,794500000,759600000,1028400000,1608300000,1853000000,3944000000,4958000000,3754000000,3779000000,4664000000,767000000,21000000,18000000,- -,27475000000,28392000000,28681000000,30439000000,30944000000,31607000000,33167000000,33515000000,35805000000,2288000000,2354000000,2527000000,2782000000,3011000000,1552000000,5345000000,5111000000
