,https://roic.ai/company/NS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,97883000,109773000,92053000,98827000,118458000,181450000,220792000,659557000,1135674000,1475014000,4828770000,3855871000,4403061000,6575255000,5955676000,3463732000,3075118000,2084040000,1756682000,1814019000,1961757000,1498021000,1481564000,1618500000
2,COGS,- -,- -,- -,29997000,37838000,64609000,78298000,414415000,778880000,1100207000,3864310000,2883187000,3350429000,5460520000,5095195000,2632918000,2159236000,1117784000,850389000,915831000,1483119000,999250000,936121000,1072079000
3,Gross Profit,- -,- -,- -,68830000,80620000,116841000,142494000,245142000,356794000,374807000,964460000,972684000,1052632000,1114735000,860481000,830814000,915882000,966256000,906293000,898188000,478638000,498771000,545443000,546421000
4,Gross Profit Ratio,- -,- -,- -,0.6965,0.6806,0.6439,0.6454,0.3717,0.3142,0.2541,0.1997,0.2523,0.2391,0.1695,0.1445,0.2399,0.2978,0.4636,0.5159,0.4951,0.2440,0.3330,0.3682,0.3376
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,5349000,- -,- -,- -,- -,- -,- -,72926000,94733000,110241000,- -,104756000,91086000,96056000,102521000,98817000,112240000,106200000,107855000,102716000,113207000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,5349000,- -,- -,- -,- -,- -,- -,72926000,94733000,110241000,- -,104756000,91086000,96056000,102521000,98817000,112240000,106200000,107855000,102716000,113207000
9,Other Expenses,49182000,46029000,50904000,16976000,23390000,33804000,44470000,91448000,145482000,182208000,577957000,604635000,639834000,800741000,542764000,454396000,472925000,473031000,448367000,449670000,8875000,- -,8625000,7792000
10,Operating Expenses,49182000,46029000,50904000,22325000,23390000,33804000,44470000,91448000,145482000,182208000,650883000,699368000,750075000,800741000,647520000,545482000,568981000,575552000,547184000,561910000,115075000,107855000,111341000,120999000
11,COGS and Expenses,49182000,46029000,50904000,52322000,61228000,98413000,122768000,505863000,924362000,1282415000,4515193000,3582555000,4100504000,6261261000,5742715000,3178400000,2728217000,1693336000,1397573000,1477741000,1598194000,1107105000,1047462000,1193078000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1219000,6113000,1055000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),796000,- -,5181000,3811000,4880000,15860000,20950000,43625000,61427000,76516000,90818000,79384000,- -,- -,90889000,127119000,132281000,131868000,138350000,173083000,186237000,- -,229054000,213985000
14,Depreciation and Amortization,12451000,12318000,12260000,13480000,16440000,26267000,33149000,66667000,100266000,108777000,135709000,145743000,153802000,168286000,170651000,184363000,191708000,210210000,216736000,264232000,297874000,281460000,285101000,274380000
15,EBITDA,49536000,55116000,88098000,63164000,76858000,111720000,132517000,226078000,317084000,347039000,491551000,460533000,404513000,406626000,57418000,50465000,545563000,663510000,517062000,599412000,322167000,177862000,315742000,528082000
16,EBITDA ratio,0.5061,0.5021,0.9570,0.6391,0.6488,0.6157,0.6002,0.3428,0.2792,0.2353,0.1018,0.1194,0.0919,0.0618,0.0096,0.0146,0.1774,0.3184,0.2943,0.3304,0.1642,0.1187,0.2131,0.3263
17,Operating Income,55706000,66222000,41149000,46505000,57230000,83037000,98024000,153694000,211312000,192599000,310073000,273316000,302557000,313994000,-30079000,-19121000,346901000,390704000,359109000,336278000,363563000,390916000,209102000,236454000
18,Operating Income ratio,0.5691,0.6033,0.4470,0.4706,0.4831,0.4576,0.4440,0.2330,0.1861,0.1306,0.0642,0.0709,0.0687,0.0478,-0.0051,-0.0055,0.1128,0.1875,0.2044,0.1854,0.1853,0.2610,0.1411,0.1461
