,https://roic.ai/company/DTE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1756900000,1963100000,1926000000,2221000000,2492000000,2534000000,3203000000,3545000000,4053000000,4261000000,4936000000,5138000000,3318000000,3760000000,3647000000,3913000000,3937000000,1324000000,1425000000,1497000000,1216000000,1325000000,1398000000,1501000000,1653000000,1853000000,1781000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2606500000,2808800000,2763000000,3284000000,3827000000,4767000000,7153000000,5644000000,6294000000,6268000000,8466000000,8194000000,6871000000,8066000000,6765000000,7103000000,7474000000,7512000000,8458000000,10723000000,8992000000,9157000000,10897000000,12563000000,10923000000,10156000000,13409000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,12000000,10000000,10000000,9000000,10000000,13000000,20000000,12000000,12000000,17000000,38000000,22000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545000000,549000000,494000000,440000000,436000000,429000000,450000000,472000000,536000000,559000000,641000000,720000000,630000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145000000,852000000,976000000,1030000000,1124000000,1263000000,1443000000,1459000000
15,EBITDA,437500000,477100000,555000000,-235300000,426000000,514500000,535200000,557500000,491100000,390200000,695600000,531900000,674000000,597000000,543000000,477000000,222000000,573000000,398000000,596000000,739000000,570000000,1335000000,834000000,1324000000,1490000000,1472000000,1336000000,1351000000,2843000000,2259000000,2587000000,2875000000,2901000000,3225000000,3698000000,2866000000
16,EBITDA ratio,0.1569,0.1663,0.1943,-0.0758,0.1330,0.1556,0.1490,0.1567,0.1381,0.1109,0.1913,0.1459,0.1791,0.1414,0.1148,0.0852,0.0283,0.0849,0.0565,0.0838,0.0819,0.0632,0.1569,0.0894,0.1652,0.1741,0.1654,0.1520,0.1398,0.2311,0.2185,0.2434,0.2280,0.2041,0.2546,0.3037,0.1915
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1029100000,836500000,1001000000,937000000,901000000,830000000,696000000,1105000000,747000000,846000000,556000000,828000000,1635000000,1263000000,1249000000,1464000000,1423000000,1279000000,1203000000,1590000000,1239000000,1445000000,1646000000,1594000000,1707000000,1986000000,1495000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2831,0.2295,0.2659,0.2220,0.1906,0.1483,0.0887,0.1637,0.1061,0.1189,0.0616,0.0918,0.1922,0.1354,0.1559,0.1711,0.1599,0.1455,0.1245,0.1293,0.1199,0.1359,0.1306,0.1122,0.1347,0.1631,0.0999
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-333500000,-304600000,-327000000,-340000000,-358000000,-353000000,-477000000,-532000000,-390000000,-238000000,222000000,-254000000,-484000000,-449000000,-467000000,-514000000,-436000000,-319000000,-281000000,-315000000,-289000000,-340000000,-359000000,-378000000,-383000000,-448000000,-839000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695600000,531900000,674000000,597000000,543000000,477000000,219000000,573000000,357000000,608000000,778000000,574000000,1151000000,814000000,782000000,950000000,987000000,960000000,922000000,1275000000,950000000,1105000000,1287000000,1216000000,1324000000,1538000000,656000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1913,0.1459,0.1791,0.1414,0.1148,0.0852,0.0279,0.0849,0.0507,0.0855,0.0862,0.0636,0.1353,0.0873,0.0976,0.1110,0.1109,0.1092,0.0954,0.1037,0.0919,0.1040,0.1021,0.0856,0.1045,0.1263,0.0438
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289700000,222600000,257000000,154000000,60000000,9000000,-110000000,-59000000,-123000000,165000000,202000000,137000000,364000000,288000000,247000000,311000000,267000000,286000000,254000000,364000000,230000000,271000000,175000000,98000000,152000000,167000000,-130000000
23,Net Income,437500000,477100000,555000000,-235300000,426000000,514500000,535200000,557500000,491100000,390200000,405900000,309300000,417000000,443000000,483000000,468000000,332000000,632000000,521000000,431000000,537000000,433000000,971000000,546000000,532000000,630000000,711000000,610000000,661000000,905000000,727000000,868000000,1134000000,1120000000,1169000000,1368000000,907000000
24,Net Income ratio,0.1569,0.1663,0.1943,-0.0758,0.1330,0.1556,0.1490,0.1567,0.1381,0.1109,0.1116,0.0848,0.1108,0.1050,0.1022,0.0836,0.0423,0.0936,0.0740,0.0606,0.0595,0.0480,0.1142,0.0585,0.0664,0.0736,0.0799,0.0694,0.0684,0.0736,0.0703,0.0817,0.0900,0.0788,0.0923,0.1123,0.0606
25,EPS,2.33,2.58,3.25,-1.95,2.65,3.26,3.64,3.79,3.34,2.67,2.80,2.13,2.88,3.05,3.33,3.27,2.17,3.85,3.11,2.50,3.07,2.44,5.73,3.37,3.24,3.75,4.19,3.56,3.76,5.11,4.05,4.84,6.32,6.18,6.32,7.09,4.68
26,EPS Diluted,2.33,2.58,3.25,-1.95,2.65,3.26,3.64,3.79,3.34,2.67,2.80,2.13,2.88,3.05,3.33,3.27,2.16,3.83,3.09,2.49,3.05,2.43,5.70,3.36,3.24,3.74,4.18,3.55,3.76,5.10,4.05,4.83,6.32,6.17,6.31,7.08,4.65
27,Weighted Average Shares Outstanding,143433476,146627907,146707692,146205128,146792453,147024540,147032967,147097625,147035928,146142322,137321429,145211268,145000000,145245902,145045045,143119266,153000000,164000000,168000000,173000000,175000000,177000000,169000000,162000000,164000000,168000000,169000000,171000000,175000000,177000000,179000000,179000000,179000000,181000000,185000000,193000000,193000000
28,Weighted Average Shares Outstanding Diluted,143433476,146627907,146707692,146205128,146792453,147024540,147032967,147097625,147035928,146142322,137321429,145211268,145000000,145245902,145045045,143119266,154000000,165000000,168000000,173000000,176000000,178000000,170000000,163000000,164000000,169000000,170000000,172000000,175000000,177000000,179000000,179000000,179000000,181000000,185000000,193000000,194000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936340/0000950124-98-000894-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936340/000095012402001121/k68272e10-k405.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012403000824/k74326e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012404000639/k81862e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012405001542/k91838e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012406001039/k01978e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012407001240/k12582e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012408001093/k23278e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095015209001957/0000950152-09-001957-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012310015829/0000950123-10-015829-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012311015771/k49859e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634012000004/0000936340-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/0000936340-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634014000014/dteenergy2013123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/dteenergy2014123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634016000243/dteenergy2015123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634017000064/dteenergy2016123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634018000082/dteenergy2017123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/dteenergy2018123110k.htm,https://www.sec.gov/Archives/edgar/data/28385/000093634020000127/0000936340-20-000127-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634021000112/0000936340-21-000112-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/0000936340-22-000077-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64900000,53000000,99000000,130000000,33000000,64000000,268000000,133000000,54000000,56000000,88000000,293000000,123000000,86000000,52000000,65000000,68000000,65000000,52000000,48000000,37000000,92000000,66000000,71000000,93000000,514000000,28000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000000,131000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64900000,53000000,99000000,130000000,33000000,64000000,268000000,133000000,54000000,56000000,88000000,293000000,123000000,86000000,261000000,196000000,68000000,65000000,52000000,48000000,37000000,92000000,66000000,71000000,93000000,514000000,28000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,452100000,484500000,520000000,604000000,698000000,838000000,1352000000,1435000000,1531000000,1641000000,2581000000,1495000000,2162000000,1832000000,1655000000,1795000000,1407000000,1462000000,1669000000,1598000000,1348000000,1593000000,1856000000,1897000000,1887000000,1792000000,1830000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305600000,263900000,303000000,338000000,343000000,335000000,505000000,576000000,629000000,668000000,668000000,715000000,633000000,539000000,509000000,662000000,791000000,761000000,628000000,804000000,803000000,772000000,779000000,811000000,759000000,716000000,858000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,9000000,13000000,160000000,236000000,415000000,701000000,620000000,498000000,631000000,1345000000,1458000000,1077000000,871000000,452000000,514000000,930000000,627000000,457000000,637000000,387000000,305000000,380000000,481000000,347000000,476000000,601000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,835500000,810400000,935000000,1232000000,1310000000,1652000000,2826000000,2764000000,2712000000,2996000000,4682000000,3961000000,3995000000,3328000000,2877000000,3167000000,3196000000,2915000000,2806000000,3087000000,2575000000,2762000000,3081000000,3260000000,3086000000,3498000000,3317000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8822700000,8833100000,8934000000,6943000000,7148000000,7387000000,9543000000,9813000000,10324000000,10491000000,10830000000,11451000000,11408000000,12231000000,12431000000,12992000000,13746000000,14684000000,15800000000,16820000000,18034000000,19730000000,20721000000,21650000000,25486000000,28121000000,27041000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2024000000,2020000000,2020000000,2018000000,2018000000,2018000000,2018000000,2286000000,2293000000,2293000000,2464000000,2466000000,1993000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,67000000,174000000,135000000,122000000,102000000,89000000,842000000,867000000,849000000,2393000000,2339000000,177000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2003000000,3023000000,2067000000,2067000000,2057000000,2129000000,2062000000,2107000000,2078000000,2087000000,2194000000,2153000000,2140000000,2120000000,2107000000,3128000000,3160000000,3142000000,4857000000,4805000000,2170000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1415000000,1457000000,1462000000,1591000000,1794000000,1869000000,1936000000,2273000000,2797000000,3368000000,3788000000,3919000000,381000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1472400000,1371400000,1354000000,3913000000,3858000000,3623000000,4856000000,3638000000,5650000000,5743000000,5766000000,6244000000,6289000000,6924000000,5394000000,5193000000,5411000000,4996000000,3395000000,4078000000,4085000000,4148000000,4008000000,4868000000,4665000000,5153000000,6810000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10295100000,10204500000,10288000000,10856000000,11006000000,11010000000,16402000000,16474000000,18041000000,18301000000,18653000000,19824000000,19759000000,21262000000,21318000000,21729000000,22813000000,23424000000,23129000000,24887000000,26162000000,29279000000,30686000000,33028000000,38796000000,41998000000,36402000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11130600000,11014900000,11223000000,12088000000,12316000000,12662000000,19228000000,19238000000,20753000000,21297000000,23335000000,23785000000,23754000000,24590000000,24195000000,24896000000,26009000000,26339000000,25935000000,27974000000,28737000000,32041000000,33767000000,36288000000,41882000000,45496000000,39719000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165100000,160800000,161000000,239000000,273000000,404000000,697000000,647000000,625000000,892000000,1187000000,1145000000,1198000000,899000000,723000000,729000000,782000000,848000000,962000000,973000000,809000000,1079000000,1171000000,1329000000,1076000000,1029000000,1414000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298700000,315000000,643000000,732000000,777000000,1197000000,1432000000,847000000,917000000,1634000000,1485000000,1538000000,1106000000,998000000,1075000000,945000000,1057000000,1029000000,672000000,972000000,513000000,730000000,2108000000,1548000000,540000000,3646000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,757100000,442500000,541000000,510000000,599000000,830000000,1284000000,1134000000,1407000000,1200000000,2099000000,1534000000,1495000000,1008000000,924000000,945000000,901000000,863000000,1198000000,932000000,747000000,845000000,911000000,1001000000,1373000000,1122000000,1286000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,922200000,902000000,1017000000,1392000000,1604000000,2011000000,3178000000,3213000000,2879000000,3009000000,4920000000,4164000000,4231000000,3013000000,2645000000,2749000000,2628000000,2768000000,3189000000,2577000000,2528000000,2437000000,2812000000,4438000000,3997000000,2691000000,6346000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3756100000,3779300000,3777000000,4197000000,3938000000,3917000000,7565000000,7432000000,7305000000,7251000000,6704000000,7392000000,6971000000,7390000000,7319000000,7046000000,7164000000,7002000000,7203000000,8340000000,8820000000,11262000000,12184000000,12127000000,15924000000,19112000000,14605000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2383000000,2338700000,2284000000,1888000000,1925000000,1801000000,1658000000,1084000000,1144000000,1267000000,1527000000,1585000000,1932000000,2054000000,2181000000,2707000000,3181000000,3191000000,3321000000,3776000000,3923000000,4162000000,1888000000,1975000000,2315000000,2822000000,2163000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407000000,439000000,913000000,940000000,918000000,2238000000,2944000000,4138000000,4222000000,4415000000,4795000000,4767000000,6138000000,5734000000,5627000000,5983000000,5967000000,4268000000,4939000000,4671000000,4681000000,6893000000,7031000000,7810000000,8282000000,7892000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6139100000,6525000000,6500000000,6998000000,6803000000,6636000000,11461000000,11460000000,12587000000,12740000000,12646000000,13772000000,13670000000,15582000000,15234000000,15380000000,16328000000,16160000000,14792000000,17055000000,17414000000,20105000000,20965000000,21133000000,26049000000,30216000000,24660000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12584600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,75000000,66000000,87000000,82000000,- -,62000000,51000000,43000000,23000000,12000000,11000000,3000000,15000000,7000000,1000000,7000000,171000000,168000000,107000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7367700000,7426600000,7517000000,8390000000,8407000000,8647000000,14639000000,14673000000,15310000000,15617000000,17474000000,17894000000,17853000000,18552000000,17879000000,18129000000,18956000000,18928000000,17981000000,19632000000,19942000000,22542000000,23777000000,25571000000,30046000000,32907000000,31006000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1951400000,1951400000,1951000000,1951000000,1950000000,1918000000,2811000000,3052000000,3109000000,3323000000,3483000000,3467000000,3176000000,- -,- -,- -,- -,3587000000,3907000000,3904000000,4123000000,4030000000,3989000000,4245000000,5233000000,5406000000,5379000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1484900000,1492400000,1611000000,1747000000,1959000000,2097000000,1846000000,2132000000,2308000000,2383000000,2557000000,2593000000,2790000000,2985000000,3168000000,3431000000,3750000000,3944000000,4150000000,4578000000,4794000000,5114000000,5643000000,6112000000,6587000000,7156000000,3438000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4928300000,-5367100000,-6440000000,-5235000000,-5598000000,-5775000000,-7524000000,-619000000,-130000000,-158000000,-271000000,-211000000,-113000000,-165000000,-147000000,-149000000,-158000000,-158000000,-136000000,-155000000,-145000000,-133000000,-120000000,-120000000,-148000000,-137000000,-112000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5254900000,5511600000,6584000000,5235000000,5598000000,5775000000,7456000000,- -,- -,- -,- -,- -,- -,3218000000,3295000000,3485000000,3461000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3762900000,3588300000,3706000000,3698000000,3909000000,4015000000,4589000000,4565000000,5287000000,5548000000,5769000000,5849000000,5853000000,5995000000,6278000000,6722000000,7009000000,7373000000,7921000000,8327000000,8772000000,9011000000,9512000000,10237000000,11672000000,12425000000,8705000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11130600000,11014900000,11223000000,12088000000,12316000000,12662000000,19228000000,19238000000,20597000000,21165000000,23243000000,23743000000,23706000000,24547000000,24157000000,24851000000,25965000000,26301000000,25902000000,27959000000,28714000000,31553000000,33289000000,35808000000,41718000000,45332000000,39711000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,132000000,92000000,42000000,48000000,43000000,38000000,45000000,44000000,38000000,33000000,15000000,23000000,488000000,478000000,480000000,164000000,164000000,8000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11130600000,11014900000,11223000000,12088000000,12316000000,12662000000,19228000000,19238000000,20753000000,21297000000,23335000000,23785000000,23754000000,24590000000,24195000000,24896000000,26009000000,26339000000,25935000000,27974000000,28737000000,32041000000,33767000000,36288000000,41882000000,45496000000,39719000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/936340/0000950124-98-000894-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936340/000095012402001121/k68272e10-k405.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012403000824/k74326e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012404000639/k81862e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012405001542/k91838e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012406001039/k01978e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012407001240/k12582e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095012408001093/k23278e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000095015209001957/0000950152-09-001957-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012310015829/0000950123-10-015829-index.html,https://www.sec.gov/Archives/edgar/data/936340/000095012311015771/k49859e10vk.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634012000004/0000936340-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/0000936340-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634014000014/dteenergy2013123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/dteenergy2014123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634016000243/dteenergy2015123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634017000064/dteenergy2016123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634018000082/dteenergy2017123110k.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/dteenergy2018123110k.htm,https://www.sec.gov/Archives/edgar/data/28385/000093634020000127/0000936340-20-000127-index.html,https://www.sec.gov/Archives/edgar/data/936340/000093634021000112/0000936340-21-000112-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/0000936340-22-000077-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405900000,309300000,417000000,443000000,483000000,468000000,332000000,632000000,521000000,431000000,537000000,433000000,971000000,546000000,532000000,630000000,711000000,610000000,661000000,905000000,727000000,868000000,1134000000,1120000000,1169000000,1368000000,907000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145000000,852000000,976000000,1030000000,1124000000,1263000000,1443000000,1459000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500000,1900000,- -,- -,- -,- -,-7000000,-208000000,-220000000,129000000,147000000,28000000,144000000,348000000,205000000,457000000,220000000,47000000,164000000,356000000,237000000,265000000,196000000,114000000,329000000,407000000,-32000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192300000,-4900000,9600000,-78000000,-134000000,-65000000,7000000,-97000000,282000000,154000000,-225000000,35000000,-33000000,551000000,-83000000,186000000,150000000,-421000000,-530000000,893000000,-463000000,278000000,-56000000,-1447000000,267000000,1718000000,281000000
