,https://roic.ai/company/LXU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,149400000,169100000,169600000,219300000,212700000,196600000,234200000,246800000,276600000,249969000,274115000,314051000,320189000,324320000,254236000,290620000,336630000,283811000,317263000,364053000,396722000,491952000,586407000,748967000,531838000,609905000,805256000,759031000,679287000,732510000,711781000,374585000,427504000,378160000,365070000,351316000,556239000
2,COGS,118100000,131700000,132800000,- -,152800000,139300000,126800000,134500000,168000000,191916000,210328000,250388000,257982000,247084000,192089000,227512000,279299000,238114000,267831000,311374000,330651000,400675000,453814000,610087000,394424000,471280000,582238000,575295000,535731000,579155000,608073000,423891000,422038000,362325000,360085000,334268000,417260000
3,Gross Profit,31300000,37400000,36800000,- -,59900000,57300000,107400000,112300000,108600000,58053000,63787000,63663000,62207000,77236000,62147000,63108000,57331000,45697000,49432000,52679000,66071000,91277000,132593000,138880000,137414000,138625000,223018000,183736000,143556000,153355000,103708000,-49306000,5466000,15835000,4985000,17048000,138979000
4,Gross Profit Ratio,0.2095,0.2212,0.2170,- -,0.2816,0.2915,0.4586,0.4550,0.3926,0.2322,0.2327,0.2027,0.1943,0.2381,0.2444,0.2171,0.1703,0.1610,0.1558,0.1447,0.1665,0.1855,0.2261,0.1854,0.2584,0.2273,0.2770,0.2421,0.2113,0.2094,0.1457,-0.1316,0.0128,0.0419,0.0137,0.0485,0.2499
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,49221000,57238000,57341000,65863000,61729000,51672000,47787000,48424000,- -,41745000,- -,53456000,64560000,75891000,- -,96374000,89720000,86343000,89988000,100674000,103886000,112288000,40168000,34990000,40811000,34172000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27600000,27000000,29300000,- -,55300000,58200000,58300000,61000000,66400000,49221000,57238000,57341000,65863000,61729000,51672000,47787000,48424000,39909000,41745000,49104000,53456000,64560000,75891000,87017000,96374000,89720000,86343000,89988000,100674000,103886000,112288000,40168000,34990000,40811000,34172000,32084000,38028000
9,Other Expenses,- -,2200000,3000000,- -,7100000,9100000,9500000,11900000,6500000,1600000,- -,- -,- -,- -,11391000,10554000,- -,-41130000,- -,- -,-2350000,-837000,-2309000,-7292000,330000,145000,347000,-214000,478000,134000,253000,- -,4567000,-1951000,9904000,499000,-97000
10,Operating Expenses,- -,29200000,32300000,- -,62400000,67300000,67800000,72900000,72900000,50821000,57238000,57341000,65863000,61729000,63063000,58341000,48424000,-1221000,41745000,49104000,51106000,63723000,73582000,79725000,96704000,89865000,86690000,89774000,101152000,104020000,112541000,40168000,39557000,38860000,44076000,32583000,37931000
