,https://roic.ai/company/MET,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,3301000000,2789000000,4703000000,8676000000,4244000000,5559000000,6714000000,7324000000,9816000000,13016000000,38085000000,18486000000,22433000000,27771000000,409801000000,375129000000,388485000000,376774000000,379770000000,329015000000,318023000000,348268000000,378508000000,367497000000
34,Net Receivables,- -,- -,- -,- -,- -,8343000000,6437000000,7669000000,7047000000,6696000000,12186000000,14490000000,14607000000,16973000000,17068000000,19830000000,22481000000,21634000000,21859000000,22244000000,22863000000,26101000000,18423000000,19644000000,20443000000,17870000000,17333000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498512000000,526029000000,441612000000,498713000000,676862000000,737438000000,395393000000,-26516000000,-387180000000,-373598000000,-376196000000,-326343000000,-314327000000,362444000000,-376583000000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522818000000,553652000000,496670000000,534267000000,719125000000,787690000000,826828000000,370472000000,23549000000,26039000000,29675000000,21095000000,23340000000,731155000000,19795000000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4797000000,4897000000,4910000000,5008000000,5047000000,11781000000,11935000000,9953000000,10542000000,9872000000,9477000000,9220000000,9590000000,9422000000,9308000000,10112000000,9535000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4797000000,4897000000,4910000000,5008000000,5047000000,11781000000,11935000000,9953000000,10542000000,9872000000,9477000000,9220000000,9590000000,9422000000,9308000000,10112000000,9535000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,143822000000,171176000000,181614000000,236694000000,7840000000,8698000000,206272000000,241484000000,358866000000,388872000000,401410000000,375607000000,386416000000,371522000000,368671000000,322022000000,322871000000,353830000000,382581000000,375486000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7840000000,-8698000000,-206272000000,-241484000000,-358866000000,-388872000000,-401410000000,128675000000,482500000000,470895000000,491198000000,367185000000,331905000000,-353830000000,-382581000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4897000000,4910000000,5008000000,5047000000,11781000000,11935000000,9953000000,514824000000,878788000000,851894000000,869089000000,698797000000,664198000000,9308000000,10112000000,- -
46,Other Assets,- -,- -,- -,215346000000,225232000000,255018000000,256898000000,277385000000,326841000000,356808000000,481645000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759708000000
47,Total Assets,- -,- -,- -,215346000000,225232000000,255018000000,256898000000,277385000000,326841000000,356808000000,481645000000,527715000000,558562000000,501678000000,539314000000,730906000000,799625000000,836781000000,885296000000,902337000000,877933000000,898764000000,719892000000,687538000000,740463000000,29907000000,759708000000
48,Accounts Payable,- -,- -,- -,- -,- -,13383000000,13707000000,18892000000,1049000000,1071000000,917000000,558000000,1783000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,3572000000,4180000000,1094000000,355000000,1161000000,3642000000,1445000000,1414000000,1449000000,667000000,2659000000,912000000,306000000,686000000,100000000,175000000,100000000,100000000,242000000,477000000,268000000,235000000,393000000,341000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363000000,129000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9097000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,194004000000,204848000000,220636000000,221890000000,234257000000,295298000000,324056000000,438191000000,478151000000,506831000000,461860000000,488870000000,651230000000,712295000000,750007000000,801750000000,810712000000,788676000000,811603000000,641914000000,618557000000,648496000000,11008000000,- -
53,Total Current Liabilities,- -,- -,- -,197576000000,209028000000,235113000000,235952000000,254310000000,299989000000,326572000000,440522000000,480158000000,509281000000,464519000000,489782000000,651536000000,712981000000,750107000000,801925000000,810812000000,788776000000,811845000000,642391000000,618825000000,657828000000,11401000000,341000000
54,Long-Term Debt,- -,- -,- -,- -,2494000000,2426000000,3628000000,4425000000,5703000000,7412000000,12022000000,13759000000,14102000000,13425000000,16411000000,36074000000,26884000000,22221000000,21846000000,19479000000,21217000000,19671000000,18830000000,15976000000,16616000000,17756000000,17089000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,752000000,1526000000,1625000000,2399000000,2473000000,1706000000,2278000000,2457000000,- -,- -,- -,7535000000,8693000000,6643000000,11821000000,10592000000,9367000000,6767000000,5414000000,9097000000,11008000000,9693000000
57,Other Non-Current Liabilities,- -,- -,- -,2903000000,20000000,338000000,-270000000,-360000000,-2399000000,-2473000000,-1706000000,-2278000000,-2457000000,- -,- -,-5329000000,-7572000000,-8693000000,-6671000000,-11828000000,-10601000000,-9428000000,-6772000000,-5418000000,-9222000000,-14161000000,- -
58,Total Non-Current Liabilities,- -,- -,- -,2903000000,2514000000,3516000000,4884000000,5690000000,5703000000,7412000000,12022000000,13759000000,14102000000,13425000000,16411000000,30745000000,26847000000,22221000000,21818000000,19472000000,21208000000,19610000000,18825000000,15972000000,16491000000,14603000000,26782000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723531000000,718400000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,200479000000,211542000000,237539000000,239580000000,258735000000,305692000000,333984000000,452544000000,493917000000,523383000000,477944000000,505816000000,681793000000,739349000000,771944000000,823200000000,829777000000,809514000000,831284000000,661022000000,634580000000,674081000000,720329000000,691959000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,10000000,11000000,11000000,11000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000
64,Retained Earnings,- -,- -,- -,13483000000,14100000000,1021000000,1349000000,2807000000,4193000000,6608000000,10865000000,16574000000,19884000000,22403000000,19501000000,21363000000,27289000000,25205000000,27332000000,32020000000,35519000000,34480000000,26527000000,28926000000,33078000000,36491000000,41197000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1912000000,1118000000,1078000000,-14253000000,-3058000000,1000000000,6083000000,11397000000,5104000000,10649000000,4771000000,5366000000,7427000000,1722000000,13052000000,18072000000,10919000000
66,Other Total Stockholders Equity,- -,- -,- -,1384000000,- -,15360000000,14705000000,14570000000,16948000000,16208000000,16315000000,16097000000,14208000000,15575000000,16669000000,26251000000,26413000000,27839000000,29105000000,29371000000,27647000000,27451000000,24710000000,22081000000,20002000000,19983000000,15354000000
67,Total Stockholders Equity,- -,- -,- -,14867000000,13690000000,16389000000,16062000000,17385000000,21149000000,22824000000,29101000000,33798000000,35179000000,23734000000,33121000000,48625000000,59797000000,64453000000,61553000000,72053000000,67949000000,67309000000,58676000000,52741000000,66144000000,74558000000,67482000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,215346000000,225232000000,253928000000,255642000000,276120000000,326841000000,356808000000,481645000000,527715000000,558562000000,501678000000,538937000000,730418000000,799146000000,836397000000,884753000000,901830000000,877463000000,898593000000,719698000000,687321000000,740225000000,794887000000,759441000000
69,Minority Interest,- -,- -,- -,- -,- -,1090000000,1256000000,1265000000,- -,- -,- -,- -,- -,- -,377000000,488000000,479000000,384000000,543000000,507000000,470000000,171000000,194000000,217000000,238000000,-764980000000,267000000
70,Total Liabilities & Equity,- -,- -,- -,215346000000,225232000000,255018000000,256898000000,277385000000,326841000000,356808000000,481645000000,527715000000,558562000000,501678000000,539314000000,730906000000,799625000000,836781000000,885296000000,902337000000,877933000000,898764000000,719892000000,687538000000,740463000000,29907000000,759708000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099219/000095012307003039/y30660e10vk.htm,https://www.sec.gov/Archives/edgar/data/1099219/000095012308002274/y48170e10vk.htm,https://www.sec.gov/Archives/edgar/data/1099219/000095012309003725/y74655e10vk.htm,https://www.sec.gov/Archives/edgar/data/1099219/000095012310018284/y81517e10vk.htm,https://www.sec.gov/Archives/edgar/data/1099219/000095012311018077/y87657e10vk.htm,https://www.sec.gov/Archives/edgar/data/1099219/000119312512085720/d302570d10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000119312513077792/d450627d10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783414000011/met-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783415000009/met-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783416000077/met-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000003/met-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000005/met-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000008/met-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921920000064/met-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921921000050/0001099219-21-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921922000014/0001099219-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1203000000,1343000000,617000000,953000000,473000000,1605000000,2217000000,2758000000,4714000000,6293000000,4317000000,3209000000,-2246000000,2790000000,6981000000,1324000000,3368000000,6309000000,5310000000,800000000,4010000000,5123000000,5899000000,5407000000,6554000000
74,Depreciation and Amortization,- -,- -,-36000000,56000000,173000000,510000000,-87000000,-70000000,478000000,441000000,352000000,-224000000,- -,375000000,520000000,585000000,679000000,596000000,714000000,713000000,693000000,652000000,795000000,628000000,630000000,619000000,694000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,239000000,477000000,479000000,241000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,88000000,- -,-11452000000,-26085000000,-839000000,-18358000000,-45679000000,-26583000000,-113950000000,483182000000,1711000000,-12220000000,12334000000,23104000000,7120000000,2012000000,-508174000000,-355810000000,24526000000,-19433000000,160874000000,25811000000,668812000000,-64933000000,4582000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-454000000,1024000000,-795000000,-334000000,78000000,3015000000,-1375000000,568000000,-1929000000,-1653000000,- -,- -,-109000000,-582000000,-650000000,-837000000,-2125000000,-991000000,-1809000000,-514000000,842000000,389000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,580000000,2735000000,3155000000,6144000000,5330000000,6215000000,4829000000,6192000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-197576000000,-197576000000,-209028000000,-235113000000,-235952000000,-254310000000,-299989000000,-326572000000,-440522000000,42660000000,44371000000,32151000000,44485000000,67589000000,74709000000,76721000000,-431453000000,-787263000000,-762737000000,-782170000000,-621296000000,-595485000000,73327000000,8394000000,598000000
82,Other Non-Cash Items,- -,- -,1617000000,-557000000,14527000000,25709000000,4775000000,21341000000,50106000000,31450000000,116889000000,-482651000000,-4841000000,19339000000,-6805000000,-18483000000,-4490000000,13228000000,520223000000,365164000000,-16400000000,32808000000,-153396000000,-19824000000,-661555000000,70546000000,766000000
83,Cash Provided by Operating Activities,- -,- -,2872000000,842000000,3865000000,1326000000,4799000000,4997000000,7363000000,8066000000,8005000000,6600000000,1187000000,10703000000,3803000000,7996000000,10290000000,17160000000,16131000000,16376000000,14129000000,14827000000,12283000000,11738000000,13786000000,11639000000,12596000000
84,CAPEX,- -,- -,- -,- -,- -,-416000000,- -,- -,- -,- -,- -,- -,- -,- -,-579000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,453000000,-195000000,-879000000,-13000000,22000000,-9900000000,48000000,526000000,-786000000,118000000,-3021000000,232000000,211000000,-1996000000,-782000000,398000000,346000000,-1278000000,-731000000,-1081000000,-3066000000,820000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-68757000000,-60526000000,-90285000000,-107671000000,-107897000000,-184069000000,-147606000000,-4618000000,-100129000000,-86639000000,-104073000000,-129883000000,-120469000000,-126026000000,-135242000000,-154942000000,-154633000000,-115470000000,-109809000000,-91901000000,-94566000000,-109321000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,69012000000,57671000000,74927000000,90811000000,95959000000,172280000000,148201000000,5216000000,104957000000,78276000000,92747000000,109123000000,107489000000,122770000000,125943000000,149762000000,157428000000,104780000000,112007000000,81180000000,83193000000,93000000000
88,Other Investing Activites,- -,- -,-1666000000,2683000000,-2389000000,-209000000,-613000000,-759000000,-815000000,-1099000000,-921000000,-19529000000,-382000000,-6713000000,-5690000000,-3967000000,-1707000000,840000000,-9913000000,-4974000000,-5616000000,-8991000000,-4908000000,-7101000000,-5784000000,-4130000000,4314000000
89,Cash Used for Investing Activites,- -,- -,-1666000000,2683000000,-2389000000,83000000,-3663000000,-16996000000,-17688000000,-13015000000,-22610000000,-18886000000,742000000,-2671000000,-13935000000,-18314000000,-22235000000,-11929000000,-15165000000,-15055000000,-10398000000,-5850000000,-16876000000,-5634000000,-17586000000,-18569000000,-11187000000
90,Debt Repayment,- -,- -,- -,- -,- -,-124000000,-372000000,-211000000,-763000000,-119000000,-1430000000,-732000000,- -,-1222000000,-9565000000,-1061000000,-2105000000,-1702000000,-1746000000,-2862000000,-1438000000,-1279000000,-1073000000,-1871000000,-906000000,-99000000,-582000000
91,Common Stock Issued,- -,- -,- -,- -,- -,4009000000,- -,- -,1006000000,51000000,72000000,83000000,- -,3261000000,1035000000,3576000000,2950000000,1000000000,1000000000,1000000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-613000000,-1321000000,-471000000,-97000000,-1000000000,- -,-500000000,-1705000000,-1250000000,- -,- -,-2805000000,- -,- -,-1000000000,-3432000000,-372000000,-2927000000,-3992000000,-2285000000,-2154000000,-4803000000
93,Dividends Paid,- -,- -,- -,- -,- -,-152000000,-145000000,-147000000,-175000000,-343000000,-457000000,-584000000,-678000000,-717000000,-732000000,-906000000,-909000000,-933000000,-1241000000,-1621000000,-1769000000,-1839000000,-4613000000,-1819000000,-1821000000,-1859000000,-1842000000
94,Other Financing Activites,- -,- -,-620000000,-3135000000,-1988000000,-3884000000,4741000000,7678000000,11764000000,6733000000,16332000000,17108000000,-485000000,6116000000,5159000000,11772000000,12251000000,1670000000,-6920000000,6739000000,5344000000,-60000000,7707000000,4881000000,9580000000,14841000000,5852000000
95,Cash Used/Provided by Financing Activities,- -,- -,-620000000,-3135000000,-1988000000,-764000000,2903000000,6849000000,11735000000,5322000000,14517000000,15375000000,-2868000000,6188000000,-4103000000,13381000000,9382000000,35000000,-8907000000,2256000000,-1295000000,-3550000000,-906000000,-2801000000,4568000000,10729000000,-1375000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-349000000,108000000,-129000000,-22000000,11000000,-212000000,-354000000,-492000000,-302000000,323000000,-183000000,9000000,163000000,-478000000
97,Net Change In Cash,- -,- -,586000000,390000000,-512000000,645000000,4039000000,-5150000000,1410000000,373000000,-88000000,3089000000,-939000000,13871000000,-14127000000,2934000000,-2585000000,5277000000,-8153000000,3223000000,1944000000,5125000000,-5176000000,3120000000,777000000,3197000000,-513000000
98,Cash at the End of Period,- -,- -,16407000000,390000000,2789000000,3434000000,7473000000,2323000000,3733000000,4106000000,4018000000,7107000000,587000000,24239000000,10112000000,13046000000,10461000000,15738000000,7585000000,10808000000,12752000000,17877000000,12701000000,15821000000,16598000000,19795000000,20047000000
99,Cash at the Beginning of Period,- -,- -,15821000000,- -,3301000000,2789000000,3434000000,7473000000,2323000000,3733000000,4106000000,4018000000,1526000000,10368000000,24239000000,10112000000,13046000000,10461000000,15738000000,7585000000,10808000000,12752000000,17877000000,12701000000,15821000000,16598000000,20560000000
100,Free Cash Flow,- -,- -,2872000000,842000000,3865000000,910000000,4799000000,4997000000,7363000000,8066000000,8005000000,6600000000,1187000000,10703000000,3224000000,7996000000,10290000000,17160000000,16131000000,16376000000,14129000000,14827000000,12283000000,11738000000,13786000000,11639000000,12596000000
