,https://roic.ai/company/TRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,22400000,26100000,26300000,14100000,15100000,12900000,12900000,14300000,17900000,15500000,18100000,17600000,39800000,51900000,55300000,68191000,19312000,21711000,18709000,20912000,26360000,28422000,32344000,40121000,28251000,35513000,63098000,47089000,45338000,51252000,51147000,45577000,35657000,45619000,49523000,37830000,55613000
2,COGS,19800000,20600000,19900000,8300000,10000000,8600000,9100000,10500000,11300000,11200000,15000000,12000000,31700000,42600000,47400000,60770000,14996000,17457000,19043000,17100000,19281000,23963000,26371000,30101000,28716000,24662000,29947000,30689000,31521000,38480000,41535000,40933000,33060000,35478000,41593000,35147000,46030000
3,Gross Profit,2600000,5500000,6400000,5800000,5100000,4300000,3800000,3800000,6600000,4300000,3100000,5600000,8100000,9300000,7900000,7421000,4316000,4254000,-334000,3812000,7079000,4459000,5973000,10020000,-465000,10851000,33151000,16400000,13817000,12772000,9612000,4644000,2597000,10141000,7930000,2683000,9583000
4,Gross Profit Ratio,0.1161,0.2107,0.2433,0.4113,0.3377,0.3333,0.2946,0.2657,0.3687,0.2774,0.1713,0.3182,0.2035,0.1792,0.1429,0.1088,0.2235,0.1959,-0.0179,0.1823,0.2686,0.1569,0.1847,0.2497,-0.0165,0.3056,0.5254,0.3483,0.3048,0.2492,0.1879,0.1019,0.0728,0.2223,0.1601,0.0709,0.1723
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2600000,2300000,2600000,3200000,3029000,3347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13272000,12641000,10646000,12808000,12550000,10141000,9705000,9361000,9430000,9843000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1500000,1900000,2100000,1900000,2000000,2000000,2200000,2100000,2200000,2200000,2400000,2600000,2300000,2600000,3200000,3029000,3347000,3824000,4031000,6623000,7881000,13173000,8547000,8539000,7311000,5612000,12277000,13272000,12641000,10646000,12808000,12550000,10141000,9705000,9361000,9430000,9843000
9,Other Expenses,- -,1000000,900000,700000,700000,700000,800000,800000,900000,900000,1000000,1200000,1700000,2000000,2500000,3024000,- -,- -,-3665000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
