,https://roic.ai/company/MO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12149000000,20681000000,27695000000,31742000000,44759000000,51169000000,56458000000,59131000000,50621000000,53776000000,53139000000,54553000000,56114000000,57812000000,61751000000,63276000000,72944000000,62182000000,60704000000,63963000000,68920000000,70324000000,38051000000,15957000000,16824000000,16892000000,16619000000,17500000000,17663000000,17945000000,18854000000,19337000000,19494000000,19627000000,19796000000,20841000000,21111000000
2,COGS,5894000000,10384000000,15976000000,17960000000,20635000000,23063000000,24115000000,24540000000,25152000000,26629000000,25605000000,25463000000,25574000000,25714000000,28441000000,28022000000,33267000000,32748000000,31870000000,33853000000,36764000000,37480000000,16547000000,8270000000,7990000000,7704000000,7680000000,7937000000,7206000000,7785000000,7740000000,7746000000,7543000000,7373000000,7085000000,7818000000,7119000000
3,Gross Profit,6255000000,10297000000,11719000000,13782000000,24124000000,28106000000,32343000000,34591000000,25469000000,27147000000,27534000000,29090000000,30540000000,32098000000,33310000000,35254000000,39677000000,29434000000,28834000000,30110000000,32156000000,32844000000,21504000000,7687000000,8834000000,9188000000,8939000000,9563000000,10457000000,10160000000,11114000000,11591000000,11951000000,12254000000,12711000000,13023000000,13992000000
4,Gross Profit Ratio,0.5149,0.4979,0.4231,0.4342,0.5390,0.5493,0.5729,0.5850,0.5031,0.5048,0.5182,0.5332,0.5442,0.5552,0.5394,0.5571,0.5439,0.4734,0.4750,0.4707,0.4666,0.4670,0.5651,0.4817,0.5251,0.5439,0.5379,0.5465,0.5920,0.5662,0.5895,0.5994,0.6131,0.6243,0.6421,0.6249,0.6628
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,762000000,809000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,15372000000,15337000000,15630000000,15720000000,17051000000,18118000000,18858000000,22961000000,12282000000,10183000000,11093000000,14799000000,15077000000,7805000000,2753000000,2931000000,2904000000,2643000000,- -,- -,- -,- -,- -,- -,- -,243000000,227000000,345000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1657000000,1763000000,- -,- -,- -,- -,- -,- -,- -,2281000000,2320000000,2539000000,2708000000,2650000000,2362000000,2756000000,1983000000,1855000000,2432000000
8,"Selling, General and Administrative Exp.",3240000000,6038000000,7004000000,8481000000,10393000000,11947000000,13830000000,13954000000,16263000000,15372000000,15337000000,15630000000,15720000000,17051000000,18118000000,18858000000,22961000000,12282000000,11840000000,12856000000,14799000000,15077000000,7805000000,2753000000,2931000000,2904000000,2643000000,2281000000,2320000000,2539000000,2708000000,2650000000,2362000000,2756000000,2226000000,2082000000,2777000000
9,Other Expenses,424000000,655000000,704000000,779000000,6942000000,8213000000,9891000000,10578000000,1619000000,2326000000,1671000000,1691000000,1700000000,1690000000,1702000000,1717000000,1014000000,551000000,322000000,1159000000,873000000,959000000,464000000,-397000000,20000000,20000000,20000000,-32000000,42000000,2000000,41000000,- -,- -,- -,- -,72000000,-345000000
