,https://roic.ai/company/JNPR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3800000,102600000,673501000,887022000,546547000,701393000,1336019000,2063957000,2303580000,2836088000,3572376000,3315912000,4093266000,4448709000,4365400000,4669100000,4627100000,4857800000,4990100000,5027200000,4647500000,4445400000,4445100000,4735400000
2,COGS,1900000,45300000,237554000,372771000,230108000,257349000,410574000,652866000,754290000,927638000,1165966000,1157802000,1351519000,1580119000,1656600000,1727700000,1768900000,1779200000,1885600000,1955100000,1906300000,1828600000,1871400000,1995300000
3,Gross Profit,1900000,57300000,435947000,514251000,316439000,444044000,925445000,1411091000,1549290000,1908450000,2406410000,2158110000,2741747000,2868590000,2708800000,2941400000,2858200000,3078600000,3104500000,3072100000,2741200000,2616800000,2573700000,2740100000
4,Gross Profit Ratio,0.5000,0.5585,0.6473,0.5797,0.5790,0.6331,0.6927,0.6837,0.6726,0.6729,0.6736,0.6508,0.6698,0.6448,0.6205,0.6300,0.6177,0.6337,0.6221,0.6111,0.5898,0.5887,0.5790,0.5786
5,Research and Development Exp.,24000000,41500000,87833000,159730000,161891000,176104000,238363000,355417000,480247000,622961000,731151000,741708000,917855000,1026790000,1101600000,1043200000,1006200000,994500000,1013700000,980700000,1003200000,955700000,958400000,1007200000
6,General and Administrative Exp.,- -,26200000,110205000,190301000,- -,- -,- -,- -,- -,- -,- -,159459000,177859000,179132000,203600000,217300000,231100000,228900000,224900000,227500000,231100000,244300000,255400000,249800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,734038000,857072000,1001060000,1042000000,1075900000,1023600000,943800000,972900000,950200000,927400000,939300000,938800000,1052700000
8,"Selling, General and Administrative Exp.",- -,26200000,110205000,190301000,- -,- -,- -,- -,- -,- -,- -,893497000,1034931000,1180192000,1245600000,1293200000,1254700000,1172700000,1197800000,1177700000,1158500000,1183600000,1194200000,1302500000
9,Other Expenses,10200000,4200000,33820000,123357000,175370000,196944000,461430000,599526000,2030311000,877727000,980285000,192747000,4230000,5366000,4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,34200000,71900000,231858000,473388000,337261000,373048000,699793000,954943000,2510558000,1500688000,1711436000,1827952000,1957016000,2212348000,2351900000,2336400000,2260900000,2167200000,2211500000,2158400000,2161700000,2139300000,2152600000,2309700000
11,COGS and Expenses,36100000,117200000,469412000,846159000,567369000,630397000,1110367000,1607809000,3264848000,2428326000,2877402000,2985754000,3308535000,3792467000,4008500000,4064100000,4029800000,3946400000,4097100000,4113500000,4068000000,3967900000,4024000000,4305000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6928000,1917000,9700000,11000000,8700000,10000000,21800000,35400000,53000000,72700000,79100000,36300000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49500000,52900000,58400000,66900000,83300000,97700000,101200000,103200000,88700000,77000000,- -
14,Depreciation and Amortization,3800000,10200000,38001000,147678000,63047000,70040000,145674000,138904000,173490000,193166000,167474000,148373000,155288000,170038000,187000000,189900000,186100000,176500000,206700000,225600000,210500000,210300000,212400000,237400000
15,EBITDA,-27200000,3600000,268373000,164215000,-52103000,129034000,364692000,641103000,-723559000,703749000,896365000,462205000,932471000,791378000,531400000,773800000,166700000,1112000000,1131800000,1138600000,846400000,713400000,554600000,547500000
