,https://roic.ai/company/WRE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20200000,22600000,24300000,26300000,29900000,32400000,35600000,37400000,41600000,45511482,52597497,65541000,79429000,103597000,118975000,134732000,148424000,153609000,163819000,172394000,190046000,219662000,255655000,282312000,306929000,297977000,289527000,304983000,263024000,288637000,306427000,313264000,325078000,336890000,309180000,294118000,169151000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94573000,104573000,98922000,97192000,83855000,76982000,85639000,94230000,115013000,115650000,116230000,115580000,- -,66915000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187739000,202356000,199055000,192335000,221128000,186042000,202998000,212197000,198251000,209428000,220660000,193600000,294118000,102236000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6650,0.6593,0.6680,0.6643,0.7251,0.7073,0.7033,0.6925,0.6329,0.6442,0.6550,0.6262,1.0000,0.6044
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,2600000,2600000,- -,2800000,2800000,3215659,3355199,3095000,4243000,6558000,6173000,10286000,9168000,4575000,5275000,6194000,8005000,12622000,15099000,12321000,13906000,14406000,15728000,34909000,33846000,37817000,38261000,19545000,22580000,22089000,26068000,23951000,34173000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,2600000,2600000,- -,2800000,2800000,3215659,3355199,3095000,4243000,6558000,6173000,10286000,9168000,4575000,5275000,6194000,8005000,12622000,15099000,12321000,13906000,14406000,15728000,34909000,33846000,37817000,38261000,19545000,22580000,22089000,26068000,23951000,34173000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,10815185,13245416,18837000,21216000,24556000,29108000,28030000,32979000,73105000,83617000,90835000,105277000,121439000,149689000,86429000,94042000,93992000,93297000,103067000,85740000,96011000,108935000,108406000,112056000,121228000,136253000,- -,72656000
