,https://roic.ai/company/HAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4778700000,3509400000,3368000000,4896800000,5661200000,6925500000,7018800000,6525400000,6350800000,5740500000,5698700000,7385100000,8818600000,17353100000,14898000000,11944000000,13046000000,12572000000,16271000000,20466000000,21007000000,22504000000,15264000000,18279000000,14675000000,17973000000,24829000000,28503000000,29402000000,32870000000,23633000000,15887000000,20620000000,23995000000,22408000000,14445000000,15295000000
2,COGS,4140300000,3636700000,2957300000,- -,4936000000,6056800000,6292900000,5985500000,5813000000,5046100000,5037900000,6376900000,7668800000,14789400000,13182000000,11218000000,11575000000,12379000000,15268000000,19323000000,18146000000,18706000000,11525000000,14049000000,12479000000,14745000000,19811000000,24069000000,24931000000,27659000000,21113000000,15023000000,18355000000,21009000000,20123000000,12900000000,13256000000
3,Gross Profit,638400000,-127300000,410700000,- -,725200000,868700000,725900000,539900000,537800000,694400000,660800000,1008200000,1149800000,2563700000,1716000000,726000000,1471000000,193000000,1003000000,1143000000,2861000000,3798000000,3739000000,4230000000,2196000000,3228000000,5018000000,4434000000,4471000000,5211000000,2520000000,864000000,2265000000,2986000000,2285000000,1545000000,2039000000
4,Gross Profit Ratio,0.1336,-0.0363,0.1219,- -,0.1281,0.1254,0.1034,0.0827,0.0847,0.1210,0.1160,0.1365,0.1304,0.1477,0.1152,0.0608,0.1128,0.0154,0.0616,0.0558,0.1362,0.1688,0.2450,0.2314,0.1496,0.1796,0.2021,0.1556,0.1521,0.1585,0.1066,0.0544,0.1098,0.1244,0.1020,0.1070,0.1333
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,197800000,33500000,236600000,33600000,600100000,514000000,352000000,387000000,335000000,330000000,361000000,380000000,450000000,293000000,282000000,207000000,229000000,281000000,275000000,333000000,309000000,200000000,228000000,256000000,254000000,227000000,182000000,227000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",206500000,186700000,174500000,- -,241400000,283300000,335500000,321800000,218400000,197800000,33500000,236600000,33600000,600100000,514000000,352000000,387000000,335000000,330000000,361000000,380000000,450000000,293000000,282000000,207000000,229000000,281000000,275000000,333000000,309000000,200000000,228000000,256000000,254000000,227000000,182000000,204000000
9,Other Expenses,342800000,280700000,213500000,4685900000,244600000,249600000,294500000,360000000,452000000,261600000,244100000,267900000,309500000,587000000,599000000,-88000000,- -,-30000000,-47000000,-55000000,-181000000,-72000000,-52000000,-62000000,-5000000,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000
10,Operating Expenses,549300000,467400000,388000000,4685900000,486000000,532900000,630000000,681800000,670400000,459400000,277600000,504500000,343100000,1187100000,1113000000,264000000,387000000,305000000,283000000,306000000,199000000,378000000,241000000,220000000,202000000,219000000,281000000,275000000,333000000,309000000,200000000,228000000,256000000,254000000,227000000,182000000,263000000
11,COGS and Expenses,4689600000,4104100000,3345300000,4685900000,5422000000,6589700000,6922900000,6667300000,6483400000,5505500000,5315500000,6881400000,8011900000,15976500000,14295000000,11482000000,11962000000,12684000000,15551000000,19629000000,18345000000,19084000000,11766000000,14269000000,12681000000,14964000000,20092000000,24344000000,25264000000,27968000000,21313000000,15251000000,18611000000,21263000000,20350000000,13082000000,13519000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,12000000,75000000,5000000,7000000,8000000,- -,- -,59000000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,297000000,372000000,268000000,305000000,339000000,383000000,447000000,698000000,593000000,554000000,569000000,505000000,469000000
14,Depreciation and Amortization,- -,- -,- -,- -,244600000,249600000,294500000,360000000,452000000,261600000,244100000,267900000,309500000,587000000,599000000,503000000,531000000,505000000,518000000,509000000,504000000,527000000,583000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1058000000,904000000
15,EBITDA,142500000,-552600000,65000000,153400000,490400000,600500000,384900000,216600000,264400000,552300000,544300000,671600000,1063900000,816700000,1251000000,1133000000,1724000000,-413000000,-68000000,-229000000,2941000000,4019000000,4989000000,2909000000,1960000000,3060000000,4546000000,4175000000,3112000000,5158000000,-498000000,-6923000000,1261000000,2367000000,-555000000,-1660000000,2614000000
16,EBITDA ratio,0.0298,-0.1575,0.0193,0.0313,0.0866,0.0867,0.0548,0.0332,0.0416,0.0962,0.0955,0.0909,0.1206,0.0471,0.0840,0.0949,0.1321,-0.0329,-0.0042,-0.0112,0.1400,0.1786,0.3268,0.1591,0.1336,0.1703,0.1831,0.1465,0.1058,0.1569,-0.0211,-0.4358,0.0612,0.0986,-0.0248,-0.1149,0.1709
17,Operating Income,89100000,-594700000,22700000,210900000,239200000,335800000,95900000,-141900000,-132600000,235000000,383200000,503700000,806700000,1376600000,603000000,462000000,1084000000,-112000000,720000000,837000000,2662000000,3484000000,3498000000,4010000000,1994000000,3009000000,4737000000,4159000000,3138000000,5097000000,-165000000,-6778000000,1362000000,2467000000,-448000000,-2436000000,1800000000
18,Operating Income ratio,0.0186,-0.1695,0.0067,0.0431,0.0423,0.0485,0.0137,-0.0217,-0.0209,0.0409,0.0672,0.0682,0.0915,0.0793,0.0405,0.0387,0.0831,-0.0089,0.0443,0.0409,0.1267,0.1548,0.2292,0.2194,0.1359,0.1674,0.1908,0.1459,0.1067,0.1551,-0.0070,-0.4266,0.0661,0.1028,-0.0200,-0.1686,0.1177
19,Total Other Income Expenses (Gains),53400000,42100000,42300000,-57500000,6600000,15100000,-5500000,12300000,-55000000,55700000,-17500000,-100000000,-52300000,-1146900000,-91000000,-127000000,-130000000,-116000000,-108000000,-186000000,-170000000,-35000000,-38000000,-847000000,-312000000,-354000000,-288000000,-337000000,-374000000,-385000000,-771000000,-847000000,-680000000,-653000000,-674000000,-784000000,-548000000
20,Income Before Tax,142500000,-552600000,65000000,153400000,245800000,350900000,90400000,-129600000,-187600000,290700000,365700000,403700000,754400000,229700000,512000000,335000000,954000000,-228000000,612000000,651000000,2492000000,3449000000,3460000000,3163000000,1682000000,2655000000,4449000000,3822000000,2764000000,4712000000,-936000000,-7625000000,682000000,1814000000,-1122000000,-3220000000,1252000000
21,Income Before Tax Ratio,0.0298,-0.1575,0.0193,0.0313,0.0434,0.0507,0.0129,-0.0199,-0.0295,0.0506,0.0642,0.0547,0.0855,0.0132,0.0344,0.0280,0.0731,-0.0181,0.0376,0.0318,0.1186,0.1533,0.2267,0.1730,0.1146,0.1477,0.1792,0.1341,0.0940,0.1434,-0.0396,-0.4800,0.0331,0.0756,-0.0501,-0.2229,0.0819
