,https://roic.ai/company/FLXS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,12800000,16500000,18400000,15300000,13800000,6900000,6100000,13000000,13900000,12200000,11700000,14500000,16900000,21600000,24150150,13000303,14136181,19008889,22420648,14489310,13264067,19754638,11034308,2122771,20876000,18897000,23503000,24684000,27997000,40634000,45624000,45522000,32493000,-35168000,-25305000,36687000
16,EBITDA ratio,- -,0.0924,0.1054,0.1113,0.0887,0.0795,0.0474,0.0386,0.0733,0.0711,0.0585,0.0571,0.0661,0.0716,0.0829,0.0842,0.0457,0.0505,0.0651,0.0559,0.0353,0.0311,0.0464,0.0272,0.0065,0.0639,0.0557,0.0668,0.0639,0.0638,0.0870,0.0912,0.0971,0.0664,-0.0793,-0.0690,0.0766
17,Operating Income,- -,9200000,12500000,13600000,10300000,8300000,1400000,800000,8500000,9400000,7500000,6300000,7900000,9900000,15300000,16429291,6542542,8268684,13284276,16602209,9065714,8560703,14698640,7595948,-2271640,17529000,15864000,20246000,20271000,22286000,34422000,38068000,37264000,24505000,-43154000,-34395000,31200000
18,Operating Income ratio,- -,0.0664,0.0799,0.0823,0.0597,0.0478,0.0096,0.0051,0.0479,0.0481,0.0360,0.0307,0.0360,0.0419,0.0587,0.0573,0.0230,0.0296,0.0455,0.0414,0.0221,0.0201,0.0346,0.0187,-0.0070,0.0537,0.0467,0.0575,0.0525,0.0508,0.0737,0.0761,0.0795,0.0501,-0.0973,-0.0937,0.0651
19,Total Other Income Expenses (Gains),- -,500000,300000,700000,900000,1600000,1700000,1900000,1200000,700000,600000,800000,1500000,1600000,900000,2228303,731463,890860,957001,138048,-361758,-782520,-214653,-999543,-307704,-78000,343000,422000,610000,1514000,1137000,-141000,322000,621000,546000,638000,267000
20,Income Before Tax,- -,9700000,12800000,14300000,11200000,9900000,3100000,2700000,9700000,10100000,8100000,7100000,9400000,11500000,16200000,18657594,7274005,9159544,14241277,16740257,8703956,7778183,14483987,6596405,-2579344,17451000,16207000,20668000,20881000,23800000,35559000,37927000,37586000,25126000,-42608000,-33757000,31467000
21,Income Before Tax Ratio,- -,0.0700,0.0818,0.0865,0.0649,0.0571,0.0213,0.0171,0.0547,0.0517,0.0389,0.0346,0.0428,0.0487,0.0622,0.0650,0.0255,0.0328,0.0488,0.0417,0.0212,0.0182,0.0340,0.0163,-0.0080,0.0535,0.0477,0.0587,0.0541,0.0543,0.0762,0.0758,0.0802,0.0514,-0.0961,-0.0920,0.0657
22,Income Tax expense (Gain),- -,4400000,6100000,5400000,4200000,3500000,1200000,1000000,3500000,3600000,2900000,2600000,3400000,3900000,5900000,6730000,2680000,3500000,5950000,6610000,2660000,3060000,5150000,2360000,-1070000,6650000,5790000,7600000,7730000,8810000,13260000,13690000,13800000,7460000,-10003000,-6913000,8419000
23,Net Income,- -,5300000,6700000,8900000,7000000,6400000,1900000,1700000,6200000,6800000,5200000,4500000,6000000,7600000,10300000,11927594,4594005,5659544,8291277,10130257,6043956,4718183,9333987,4236405,-1509344,10801000,10417000,13068000,13151000,14990000,22299000,24237000,23786000,17666000,-32605000,-26844000,23048000
24,Net Income ratio,- -,0.0382,0.0428,0.0538,0.0406,0.0369,0.0130,0.0108,0.0350,0.0348,0.0250,0.0220,0.0273,0.0322,0.0395,0.0416,0.0161,0.0202,0.0284,0.0252,0.0147,0.0111,0.0219,0.0104,-0.0047,0.0331,0.0307,0.0371,0.0341,0.0342,0.0478,0.0485,0.0507,0.0361,-0.0735,-0.0732,0.0481
25,EPS,- -,0.74,0.93,1.23,0.98,0.90,0.27,0.24,0.87,0.95,0.73,0.63,0.86,1.09,1.52,1.85,0.75,0.93,1.33,1.57,0.93,0.72,1.42,0.64,-0.23,1.63,1.56,1.93,1.87,2.07,3.00,3.19,3.06,2.25,-4.13,-3.37,3.20
26,EPS Diluted,- -,0.74,0.93,1.23,0.98,0.90,0.27,0.24,0.87,0.94,0.73,0.63,0.86,1.08,1.51,1.82,0.74,0.92,1.30,1.55,0.92,0.72,1.42,0.64,-0.23,1.61,1.50,1.86,1.80,2.00,2.89,3.12,3.02,2.23,-4.13,-3.37,3.09
27,Weighted Average Shares Outstanding,- -,7162162,7204301,7235772,7142857,7111111,7037037,7083333,7126437,7157895,7178285,7172299,7024021,6959310,6774996,6457960,6107785,6095184,6255113,6440298,6531293,6558440,6567522,6573999,6576373,6608000,6693000,6781000,7041000,7231000,7423000,7595000,7782000,7848000,7889000,7956000,7200000
28,Weighted Average Shares Outstanding Diluted,- -,7162162,7204301,7235772,7142857,7111111,7037037,7083333,7126437,7234043,7205882,7222222,7096774,7035158,6850115,6561968,6174320,6158522,6367241,6529813,6600905,6577278,6582558,6611136,6576373,6697000,6929000,7008000,7326000,7511000,7708000,7765000,7886000,7919000,7889000,7956000,7468000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710199000935/0000897101-99-000935-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710102000666/0000897101-02-000666-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710105001916/flexsteel053631_10k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710106001915/flexsteel063421_10k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710107001852/0000897101-07-001852-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710108001892/0000897101-08-001892-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710109001735/0000897101-09-001735-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710110001710/0000897101-10-001710-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710111001464/0000897101-11-001464-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710115001165/0000897101-15-001165-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710116002836/flexsteel162877_10-k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710117001032/0000897101-17-001032-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710118000887/0000897101-18-000887-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710119000829/0000897101-19-000829-index.html,https://www.sec.gov/Archives/edgar/data/37472/000003747220000043/0000037472-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/37472/000003747221000023/0000037472-21-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10400000,9300000,10700000,10000000,2700000,4000000,3400000,4400000,3400000,5800000,3900000,4400000,5500000,4900000,4000855,10048562,5375683,12811385,2476521,1706584,1985768,900326,2841323,1713717,8278000,17889000,13970000,10934000,22176000,1282000,36780000,28874000,27750000,22247000,48197000,1342000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,5730888,2536469,15876088,9531913,1271417,1508751,817618,976180,1160066,- -,- -,- -,- -,- -,- -,- -,- -,17958000,15951000,- -,- -,- -
33,Cash and Short-Term Investments,- -,10400000,9300000,10700000,10000000,2700000,4000000,3400000,4400000,3400000,5800000,3900000,4400000,5500000,13900000,9731743,12585031,21251771,22343298,3747938,3215335,2803386,1876506,4001389,1713717,8278000,17889000,13970000,10934000,22176000,1282000,36780000,46832000,43701000,22247000,48197000,1342000
34,Net Receivables,- -,19500000,19000000,20600000,22300000,22800000,17000000,19600000,22200000,25600000,22900000,24500000,25300000,28700000,31100000,32053104,28363058,31361285,29612278,48169780,48355070,51179791,56273874,43783224,31282511,35748000,31451000,33601000,36075000,38536000,45101000,44618000,42362000,41253000,38157000,32217000,55986000
35,Inventory,- -,20500000,22700000,22900000,22700000,23500000,18000000,22300000,21700000,26600000,25900000,26100000,27000000,26600000,29500000,32456058,31379836,30322288,32473287,68880118,69945400,84769972,78756985,85791400,73844345,72637000,73680000,82689000,92417000,97940000,113842000,85904000,99397000,96204000,93659000,70565000,161125000
36,Other Current Assets,- -,900000,800000,900000,1200000,10200000,19300000,15600000,18400000,13000000,11100000,11600000,8500000,13300000,4200000,3743711,4246710,5816136,5393426,6690979,6281869,6634121,5609045,7063634,7872528,5126000,5333000,5333000,9775000,6758000,10997000,9141000,6659000,8476000,11904000,30864000,10087000
37,Total Current Assets,- -,51300000,51800000,55100000,56200000,59200000,58300000,60900000,66700000,68600000,65700000,66100000,65200000,74100000,78700000,77984616,76574635,88751480,89822289,127488815,127797674,145387270,142516410,140639647,114713101,121789000,128353000,135593000,149201000,165410000,171222000,176443000,195250000,189634000,165967000,181843000,228540000
38,PP&E,- -,20700000,23200000,22900000,21600000,21400000,18800000,17200000,17200000,18800000,24400000,23000000,26200000,23100000,25900000,26837475,24553962,20558338,20377797,30326505,26140914,24158041,28168244,26372392,23297643,21614000,21387000,29867000,32145000,31900000,64770000,64124000,70661000,90725000,79238000,51995000,66840000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,700000,1560000,1350000,1830000,2210000,1270000,1392187,2145187,3010000,2560000,3160000,1190000,2170000,1870000,3660000,1740000,1455000,7564000,2111000,- -
44,Other Non-Current Assets,- -,2100000,2500000,2600000,3300000,2500000,4400000,3700000,4000000,7700000,6200000,6800000,7800000,7500000,8100000,10054225,8865872,8739940,8940196,10353391,10889090,11570393,12209528,11501992,10815052,11257000,12377000,13052000,10003000,10733000,6757000,2669000,2394000,2479000,1518000,1310000,1399000
45,Total Non-Current Assets,- -,22800000,25700000,25500000,24900000,23900000,23200000,20900000,21200000,26500000,30600000,29800000,34000000,30600000,34000000,36891700,33719834,29998278,30877993,42029896,38860004,37938434,41647772,39266571,36257882,35881000,36324000,46079000,43338000,44803000,73397000,70453000,74795000,94659000,88320000,55416000,68239000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,74100000,77500000,80600000,81100000,83100000,81500000,81800000,87900000,95100000,96300000,95900000,99200000,104700000,112700000,114876316,110294469,118749758,120700282,169518711,166657678,183325704,184164182,179906218,150970983,157670000,164677000,181672000,192539000,210213000,244619000,246896000,270045000,284293000,254287000,237259000,296779000
48,Accounts Payable,- -,- -,- -,- -,- -,4500000,4300000,4000000,4200000,4900000,4800000,3600000,3800000,5800000,7100000,6921533,5277607,4876260,2747226,12272405,16259905,15768435,13607485,14580275,9744658,10815000,9899000,12973000,13927000,15818000,18329000,11023000,16758000,17228000,18414000,27747000,67773000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2600000,2300000,2000000,1600000,1300000,975000,650000,- -,9022090,5000000,9466643,7030059,5142945,10000000,- -,- -,- -,- -,- -,11904000,- -,- -,- -,- -,4408000,5833000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000,299000,737000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,9400000,10900000,10700000,12600000,7300000,7700000,10100000,12800000,15900000,11600000,12500000,14800000,15700000,19800000,17686863,14920452,20997147,19409504,22842020,21149428,23164927,22540063,19996315,16552412,20174000,17771000,18876000,21575000,20948000,21087000,22334000,20437000,23701000,29350000,21307000,26145000
53,Total Current Liabilities,- -,9400000,10900000,10700000,12600000,11800000,12000000,14100000,17000000,20800000,19400000,18700000,20900000,23500000,28500000,25908396,21173059,26523407,22156730,44136515,42409333,48400005,43177607,39719535,36297070,30989000,27670000,31849000,35502000,36766000,51320000,33357000,37195000,40929000,47764000,53462000,99751000
54,Long-Term Debt,- -,8400000,6600000,5200000,1300000,1000000,700000,300000,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,17583336,12800000,21846386,21336352,20810597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7607000,27817000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1600000,1000000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1100000,1000000,1200000,1300000,1600000,2800000,2800000,3000000,2900000,3000000,3100000,3100000,3100000,3000000,3772152,4059186,4509782,4790225,6187118,6650625,5576988,5535113,6623699,7676349,9069000,8434000,10381000,5800000,6712000,6552000,3889000,2090000,1666000,1096000,685000,1243000
58,Total Non-Current Liabilities,- -,11100000,8600000,6900000,2600000,2600000,3500000,3100000,3000000,3000000,3100000,3100000,3100000,3100000,3000000,3772152,4059186,4509782,4790225,23770454,19450625,27423374,26871465,27434296,7676349,9069000,8434000,10381000,5800000,6712000,6552000,3889000,2090000,1666000,1096000,8292000,29060000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12015000,30150000
61,Total Liabilities,- -,20500000,19500000,17600000,15200000,14400000,15500000,17200000,20000000,23800000,22500000,21800000,24000000,26600000,31500000,29680548,25232245,31033189,26946955,67906969,61859958,75823379,70049072,67153831,43973419,40058000,36104000,42230000,41302000,43478000,57872000,37246000,39285000,42595000,48860000,61754000,128811000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,6170789,6034210,6198551,6294639,6494228,6541436,6563750,6570467,6575633,6576373,6646000,6711000,6906000,7107000,7371000,7480000,7700000,7822000,7868000,7903000,8008000,8133000
64,Retained Earnings,- -,48300000,52600000,56500000,60100000,63100000,59000000,57300000,60100000,63400000,65200000,66300000,67800000,70500000,73700000,78268436,78272996,80756107,85787823,92552045,95196022,96502311,102421056,101692431,97815822,107293000,115699000,125699000,134606000,145234000,162176000,180919000,198465000,209553000,170004000,137312000,157140000
65,Other Comprehensive Income/Loss,- -,-22200000,-25400000,-28500000,-30600000,-33600000,-35200000,-36100000,-37900000,-40200000,-40200000,-44200000,-47000000,-51300000,-52700000,-56914987,-60604549,-63674333,317226,453992,105864,766112,1110131,228327,-1763894,-1752000,-535000,-1639000,-1091000,-1256000,-1736000,-2228000,-1713000,-2044000,8000,- -,- -
66,Other Total Stockholders Equity,- -,27500000,30800000,35000000,36400000,39200000,42200000,43400000,45700000,48100000,48800000,52000000,54400000,58900000,53700000,57671530,61359567,64436244,1353639,2111477,2954398,3670152,4013456,4255996,4369263,5425000,6698000,- -,- -,- -,18827000,23259000,26186000,26321000,27512000,30185000,2695000
67,Total Stockholders Equity,- -,53600000,58000000,63000000,65900000,68700000,66000000,64600000,67900000,71300000,73800000,74100000,75200000,78100000,81200000,85195768,85062224,87716569,93753327,101611742,104797720,107502325,114115110,112752387,106997564,117612000,128573000,139442000,151237000,166735000,186747000,209650000,230760000,241698000,205427000,175505000,167968000
68,Total Liabilities And Stockholders Equity,- -,74100000,77500000,80600000,81100000,83100000,81500000,81800000,87900000,95100000,96300000,95900000,99200000,104700000,112700000,114876316,110294469,118749758,120700282,169518711,166657678,183325704,184164182,179906218,150970983,157670000,164677000,181672000,192539000,210213000,244619000,246896000,270045000,284293000,254287000,237259000,296779000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,74100000,77500000,80600000,81100000,83100000,81500000,81800000,87900000,95100000,96300000,95900000,99200000,104700000,112700000,114876316,110294469,118749758,120700282,169518711,166657678,183325704,184164182,179906218,150970983,157670000,164677000,181672000,192539000,210213000,244619000,246896000,270045000,284293000,254287000,237259000,296779000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710199000935/0000897101-99-000935-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710102000666/0000897101-02-000666-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710105001916/flexsteel053631_10k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710106001915/flexsteel063421_10k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710107001852/0000897101-07-001852-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710108001892/0000897101-08-001892-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710109001735/0000897101-09-001735-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710110001710/0000897101-10-001710-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710111001464/0000897101-11-001464-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710115001165/0000897101-15-001165-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710116002836/flexsteel162877_10-k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710117001032/0000897101-17-001032-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710118000887/0000897101-18-000887-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710119000829/0000897101-19-000829-index.html,https://www.sec.gov/Archives/edgar/data/37472/000003747220000043/0000037472-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/37472/000003747221000023/0000037472-21-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,6400000,1900000,1700000,6200000,6800000,5200000,4500000,6000000,7600000,10300000,11927594,4594005,5659544,8291277,10130257,6043956,4718183,9333987,4236405,-1509344,10801000,10417000,13068000,13151000,14990000,22299000,24237000,23786000,17666000,-32605000,-26844000,23048000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3900000,3800000,3400000,3300000,3500000,4100000,4600000,5100000,5400000,5400000,5492556,5726298,4976637,4767612,5680391,5785354,5485884,5270651,4437903,3733353,2986000,2690000,2835000,3803000,4197000,4945000,7556000,7936000,7367000,7440000,8370000,5210000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-300000,-100000,-700000,- -,-300000,300000,- -,-600000,-200000,-900000,500000,200000,-2200000,-430000,- -,- -,-948000,1464664,349294,449296,-963000,54000,23000,414000,-138000,605000,2731000,1606000,286000,-6121000,3455000,1874000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000,781000,1014000,1056000,1051000,1290000,1943000,1470000,1609000,501000,1355000,4877000,3738000
77,Change in Working Capital,- -,- -,- -,- -,- -,1400000,11000000,-5100000,800000,-9300000,2000000,-2600000,3200000,400000,-400000,-4747801,2613950,3698302,-2977927,-8221681,1906092,-16882432,-1644505,-342056,15081496,4385000,-1284000,-7828000,-12168000,-2703000,-24844000,20614000,-6443000,3366000,4213000,25582000,-62084000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500712,-5386000,3427000,-2000000,-2260000,-2467000,-6596000,584000,2356000,1209000,3136000,4419000,-25239000
79,Inventory,- -,- -,- -,- -,- -,-800000,5600000,-4400000,600000,-4800000,700000,-200000,600000,400000,-2900000,-2952849,1805222,421484,-2150999,-9261855,-1065282,-14824572,6012987,-7034415,11947055,1207000,-1043000,-9009000,-9728000,-5523000,-15902000,27938000,-13492000,3193000,2545000,23093000,-90560000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994000,- -,2699000,1082000,2117000,2083000,-6877000,4028000,-1874000,5128000,9334000,39893000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,-472751,-1655749,-25731,-681550,- -,1115000,271000,-140000,-210000,360000,463000,460000,-848000,-409000,-2388000,-206000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,100000,-500000,-100000,-300000,-400000,- -,100000,-600000,100000,- -,-1278671,-35542,-44459,-424580,-94456,-1011780,371496,-4133682,48511,-562696,1129000,909000,-177000,-346000,-1399000,-1679000,-2241000,-2106000,-1892000,32432000,2847000,-4478000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,11500000,16100000,-800000,10000000,300000,11600000,6600000,13100000,13300000,14400000,11893678,13098711,12090024,9226382,7494511,12723622,-7254869,10291115,8730057,17306105,19119000,13800000,8977000,5905000,16237000,3269000,54367000,26388000,27294000,6714000,18287000,-32692000
84,CAPEX,- -,- -,- -,- -,- -,-3700000,-1200000,-1900000,-3300000,-5100000,-9700000,-3300000,-5300000,-2400000,-8400000,-6718094,-2817180,-1099914,-5099791,-6029968,-3346984,-850444,-10839479,-1227863,-1202993,-1251000,-2573000,-10939000,-6225000,-4187000,-37423000,-7382000,-13457000,-29447000,-21346000,-3688000,-2580000
