,https://roic.ai/company/FARM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,207600000,210400000,189500000,198700000,197800000,196200000,197300000,190700000,193900000,234700000,224100000,224800000,240100000,221600000,218688000,215431000,205857000,201558000,193589000,198420000,207453000,216259000,266485000,341724000,450318000,463945000,495442000,509964000,528380000,545882000,544382000,541500000,606544000,595942000,501320000,397850000
2,COGS,128900000,106500000,170800000,103100000,89200000,82300000,79600000,71200000,94300000,117100000,99600000,111700000,103000000,84600000,71341000,74031000,67764000,70662000,71405000,82964000,84910000,89492000,147073000,181508000,252754000,306771000,322618000,318825000,332466000,348846000,335907000,327765000,399502000,416840000,363198000,296925000
3,Gross Profit,78700000,103900000,18700000,95600000,108600000,113900000,117700000,119500000,99600000,117600000,124500000,113100000,137100000,137000000,147347000,141400000,138093000,130896000,122184000,115456000,122543000,126767000,119412000,160216000,197564000,157174000,172824000,191139000,195914000,197036000,208475000,213735000,207042000,179102000,138122000,100925000
4,Gross Profit Ratio,0.3791,0.4938,0.0987,0.4811,0.5490,0.5805,0.5966,0.6266,0.5137,0.5011,0.5556,0.5031,0.5710,0.6182,0.6738,0.6564,0.6708,0.6494,0.6312,0.5819,0.5907,0.5862,0.4481,0.4688,0.4387,0.3388,0.3488,0.3748,0.3708,0.3609,0.3830,0.3947,0.3413,0.3005,0.2755,0.2537
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,84800000,87700000,89600000,91000000,91200000,95000000,92754000,99285000,99883000,107008000,118421000,122039000,125508000,130843000,130056000,36543000,49071000,47121000,41465000,37063000,35724000,31173000,41970000,42933000,47863000,48959000,42569000,42945000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138876000,187685000,170670000,150641000,158079000,155088000,151753000,150198000,157198000,154539000,139647000,121762000,95503000
8,"Selling, General and Administrative Exp.",61700000,64900000,- -,73000000,78000000,80700000,84900000,84300000,84800000,87700000,89600000,91000000,91200000,95000000,92754000,99285000,99883000,107008000,118421000,122039000,125508000,130843000,130056000,175419000,236756000,217791000,192106000,195142000,190812000,182926000,192168000,200131000,202402000,188606000,164331000,138448000
9,Other Expenses,8300000,8200000,3900000,3800000,4300000,5200000,5300000,5200000,5200000,4700000,5700000,5400000,5000000,5200000,5628000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,70000000,73100000,3900000,76800000,82300000,85900000,90200000,89500000,90000000,92400000,95300000,96400000,96200000,100200000,98382000,99285000,99883000,107008000,118421000,122039000,125508000,130843000,130056000,175419000,236756000,217791000,192106000,195142000,190812000,182926000,192168000,200131000,202402000,188606000,164331000,138448000
