,https://roic.ai/company/GCP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,46000000,50500000,47800000,125400000,193200000,164500000,188600000,175300000,195000000
58,Total Non-Current Liabilities,- -,74700000,69400000,56500000,917300000,728200000,523000000,548200000,539100000,543000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,29700000,34200000,- -
61,Total Liabilities,- -,382200000,379700000,359000000,1228800000,1211000000,800500000,761000000,763500000,774000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,700000,700000,700000,700000,700000,- -
64,Retained Earnings,- -,- -,- -,- -,-4700000,548700000,563900000,610200000,710300000,- -
65,Other Comprehensive Income/Loss,- -,-8100000,-48200000,-127700000,-147600000,-85700000,-120000000,-117000000,-110500000,-129000000
66,Other Total Stockholders Equity,- -,1089900000,1081400000,602100000,8900000,26500000,34800000,44800000,51200000,800000000
67,Total Stockholders Equity,- -,599300000,604600000,470600000,-142700000,490200000,479400000,538700000,651700000,671000000
68,Total Liabilities And Stockholders Equity,- -,981500000,984300000,829600000,1086100000,1701200000,1279900000,1299700000,1415200000,1445000000
69,Minority Interest,- -,10400000,2800000,3500000,3700000,1800000,2000000,2400000,2400000,1000000
70,Total Liabilities & Equity,- -,991900000,987100000,833100000,1089800000,1703000000,1281900000,1302100000,1417600000,1446000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1644440/000164444016000174/0001644440-16-000174-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444017000033/0001644440-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444018000030/0001644440-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444019000051/0001644440-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444020000019/0001644440-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444021000023/0001644440-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1644440/000164444022000004/0001644440-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,85200000,109700000,134300000,40100000,72800000,553400000,15200000,46300000,100200000,21000000
74,Depreciation and Amortization,34800000,34700000,34000000,31800000,36200000,36800000,42000000,43200000,46400000,45000000
75,Deferred Income Tax,11200000,4500000,13900000,8700000,-14100000,70900000,3200000,-19300000,1300000,-7000000
76,Stock Based Compensation,- -,- -,- -,- -,6800000,8500000,3700000,6200000,4600000,5000000
77,Change in Working Capital,1800000,243700000,10100000,-112500000,98400000,388100000,-224700000,29800000,131800000,62700000
78,Accounts Receivable,-11100000,7600000,-1000000,-20900000,-16400000,-45100000,9300000,13100000,17000000,-2000000
79,Inventory,2200000,4800000,-24500000,-5200000,-9300000,-11300000,-7800000,13900000,-1500000,7000000
80,Accounts Payable,8100000,-7800000,5500000,1900000,9200000,30900000,-9700000,-26800000,-2300000,14000000
81,Other Working Capital,2600000,246300000,256400000,143900000,242300000,630400000,405700000,435500000,567300000,630000000
82,Other Non-Cash Items,10500000,-229500000,-31300000,183700000,-72200000,-1097200000,103000000,-41900000,-213700000,-77700000
83,Cash Provided by Operating Activities,143500000,163100000,161000000,151800000,127900000,-39500000,-57600000,64300000,70600000,49000000
84,CAPEX,-32000000,-41500000,-37500000,-36000000,-45300000,-45000000,-55000000,-61600000,-36000000,-32000000
85,Acquisitions Net,-40900000,-15800000,- -,- -,-47000000,-118300000,-29500000,- -,- -,- -
86,Purchases of Investments,- -,-6500000,-2800000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,9300000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-29400000,-37800000,-82100000,10700000,-43700000,-42600000,-57400000,-61100000,77100000,-32000000
89,Cash Used for Investing Activites,-70300000,-60100000,-75600000,10700000,-90700000,-160900000,-86900000,-61100000,87100000,-32000000
90,Debt Repayment,-31200000,-59200000,-43300000,-69400000,-32900000,-419500000,-647900000,-8400000,-2700000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2100000,-1300000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-29000000,-2200000,-63600000,-58800000,66700000,129900000,400600000,3400000,700000,7000000
95,Cash Used/Provided by Financing Activities,-60200000,-61400000,-106900000,-128200000,31700000,-290900000,-247300000,-5000000,-2000000,7000000
96,Effect of Forex Changes on Cash,1900000,3600000,-15400000,-56600000,-4200000,6400000,-3700000,1100000,2000000,-6000000
97,Net Change In Cash,14900000,45200000,-36900000,-22300000,64700000,558200000,-395400000,-1100000,157700000,18000000
98,Cash at the End of Period,112600000,157800000,120900000,98600000,163300000,721500000,326100000,325000000,482700000,500000000
99,Cash at the Beginning of Period,97700000,112600000,157800000,120900000,98600000,163300000,721500000,326100000,325000000,482000000
100,Free Cash Flow,111500000,121600000,123500000,115800000,82600000,-84500000,-112600000,2700000,34600000,17000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1644440/000164444016000174/0001644440-16-000174-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444017000033/0001644440-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444018000030/0001644440-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444019000051/0001644440-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444020000019/0001644440-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444021000023/0001644440-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1644440/000164444022000004/0001644440-22-000004-index.htm
102,false,,,,,,,,,,
