,https://roic.ai/company/SF,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,192000,41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,263200000,265400000,280000000,394000000,384134000,361937000,342986000,311974000,251002000,686908000,864509000,1074803000,964960000,2293910000,2959232000,3649795000,5471479000,6950021000,7196113000,10843499000,16390948000,18522377000,21322005000,20940435000,22365488000,29014756000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,150000000,150000000,310000000,535000000,685000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1129000,1152000,1152000,1152000,1152000,1161000,1804000,2332000,3945000,4558000,5372000,8058000,8245000,9562000,9950000,10426000,10426000,10746000,11166000,11166000,16749000,16749000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,16700000,17400000,18300000,24500000,32827000,33929000,36161000,51168000,73525000,80279000,94651000,125303000,168993000,244615000,232415000,277195000,383970000,540238000,716305000,805685000,876958000,1033526000,1366503000,1715704000,2078135000,2757208000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-6000000,1000000,-96198000,-8000000,5000000,-35000000,-38000000,-40000000,-39000000,-27000000,-73000000,-12000000,27639000,4718000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,21100000,32700000,36700000,33500000,40222000,43541000,42677000,47725000,56635000,73653000,123810000,298002000,426247000,623273000,1112294000,1024852000,1097446000,1544049000,1633783000,1716305000,1740024000,1694304000,1712924000,1589921000,1581243000,1571284000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,34800000,37800000,50100000,55000000,59100000,74178000,78622000,79990000,100045000,131312000,155093000,220265000,424637000,593185000,873446000,1253883000,1302105000,1494661000,2058849000,2322038000,2492416000,2738408000,2861576000,3167593000,3614791000,4238766000,5034959000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,226800000,301000000,315500000,335000000,453100000,458312000,440559000,422976000,412019000,382314000,842001000,1084774000,1499440000,1558145000,3167356000,4213115000,4951900000,6966140000,9008870000,9518151000,13335915000,19129356000,21383953000,24489598000,24555226000,26604254000,34049715000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,54999000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,226800000,301000000,315500000,335000000,453100000,458312000,440559000,422976000,412019000,382314000,842001000,1084774000,1499440000,1558145000,3167356000,4213115000,4951900000,6966140000,9008870000,9518151000,13335915000,19129356000,21383953000,24519598000,24610225000,26604254000,34049715000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/720672/000072067296000011/0000720672-96-000011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720672/000072067201500004/0000720672-01-500004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720672/000072067205000045/r200410k.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067206000052/r10k05.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067207000056/r200610k.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067208000046/r200710k1.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067209000030/0000720672-09-000030-index.html,https://www.sec.gov/Archives/edgar/data/720672/000072067210000038/0000720672-10-000038-index.html,https://www.sec.gov/Archives/edgar/data/720672/000072067211000042/formv10vk.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067212000054/0000720672-12-000054-index.html,https://www.sec.gov/Archives/edgar/data/720672/000119312513085533/0001193125-13-085533-index.html,https://www.sec.gov/Archives/edgar/data/720672/000119312514080643/d682733d10k.htm,https://www.sec.gov/Archives/edgar/data/720672/000119312515073686/d883383d10k.htm,https://www.sec.gov/Archives/edgar/data/720672/000156459016013780/0001564590-16-013780-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459017002227/0001564590-17-002227-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459018003065/0001564590-18-003065-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459019003474/0001564590-19-003474-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459020005266/0001564590-20-005266-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459021006800/0001564590-21-006800-index.htm,https://www.sec.gov/Archives/edgar/data/720672/000095017022001451/0000950170-22-001451-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,600000,300000,-2800000,6300000,7000000,-5500000,600000,3400000,5800000,5200000,7200000,9203000,2010000,2780000,15007000,23148000,19644000,15431000,32170000,55502000,75798000,1907000,84134000,138573000,162013000,176067000,92336000,81520000,182871000,393968000,448396000,503472000,824858000
74,Depreciation and Amortization,- -,- -,- -,1400000,1400000,2100000,2000000,2200000,2700000,3100000,2900000,2900000,4400000,5700000,8129000,11553000,12173000,15617000,16706000,12912000,15063000,32241000,32230000,25978000,29361000,33578000,34962000,46119000,41646000,47138000,57574000,44630000,40453000,54384000,60483000,63762000
75,Deferred Income Tax,- -,- -,- -,100000,-500000,-400000,- -,- -,- -,- -,200000,-900000,1400000,- -,- -,- -,- -,- -,- -,- -,642000,-22070000,-6168000,-10270000,-54213000,25764000,45519000,-26389000,5256000,-5732000,46062000,118129000,14254000,-6863000,-39071000,32104000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47962000,190731000,26411000,40747000,137447000,94006000,165641000,186303000,140461000,100789000,102190000,108217000,119384000
77,Change in Working Capital,- -,- -,- -,-11000000,- -,- -,- -,- -,- -,38800000,2500000,12800000,12700000,25669000,-23294000,5098000,30116000,20714000,37901000,48148000,56919000,140768000,123044000,170985000,-2566154000,-1483198000,-1018141000,-1243587000,19636000,-1833497000,-3511239000,-4953963000,-1727515000,20092816000,-2478026000,-633838000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72220000,-42627000,58917000,-1003257000,177300000,31840000,182619000,-17487000,415286000,-214033000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49623000,23433000,2554000,678926000,-158408000,-13808000,9173000,-210712000,323493000,-92015000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,41300000,54100000,66800000,92469000,69175000,74273000,104389000,125103000,163004000,211152000,268071000,408839000,531883000,702868000,-1863286000,-3346484000,-4364625000,-5608212000,-5588576000,-7422073000,-10933312000,-15887275000,-17614790000,2478026000,- -,-41767000
82,Other Non-Cash Items,- -,- -,- -,300000,600000,2700000,-33000000,17500000,78200000,-63700000,-53100000,28600000,6200000,-98169000,50824000,13556000,-42847000,-81538000,18763000,-286302000,-142733000,-110355000,145685000,-657703000,2540600000,1359199000,494073000,1626616000,-86342000,1207285000,2790605000,5130221000,1707577000,-20064062000,3506741000,465824000
83,Cash Provided by Operating Activities,- -,- -,- -,-8600000,1800000,1600000,-24700000,26700000,75400000,-21200000,-44100000,49200000,29900000,-59600000,44862000,32217000,2222000,-30200000,96518000,-205598000,-54678000,72754000,350293000,-347250000,142232000,45888000,-264267000,702219000,250269000,-326829000,-349175000,662349000,529526000,626861000,1661816000,872094000
84,CAPEX,- -,- -,- -,-1100000,-600000,-1900000,-2600000,-1600000,-2000000,-1200000,-400000,-1000000,-4000000,-4000000,-4163000,-4513000,-3183000,- -,- -,-4797000,-7572000,-24476000,-20881000,-27892000,-27736000,-59730000,-18837000,-32278000,-26632000,-69822000,-28211000,-28217000,-108207000,-157897000,-73364000,-188176000
