,https://roic.ai/company/GL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,115534000,86005000,103371000,148683000,80764000,114628000,135635000,137870000,79993000,64356000,98900000,137607000,173387000,131318000,177354000,589517000,582359000,105357000,13697763000,12992966000,14574961000,13874173000,15394064000,17214959000,16482246000,19021365000,21416138000,31384000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,223811000,122108000,112291000,126599000,130279000,53458000,74960000,67549000,70419000,80728000,73400000,67262000,78809000,96750000,151684000,197234000,230319000,253549000,383709000,331103000,543988000,344552000,384454000,391775000,415157000,441662000,474180000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7390028000,8553289000,8994275000,10117287000,10584247000,11522233000,12322760000,11808161000,7640520000,8557316000,9070700000,9205826000,-235480000,9564229000,8114563000,9952354000,10750978000,12078793000,74447000,132875000,-59953000,186348000,177373000,246313000,342167000,460177000,-21867770502,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7729373000,8761402000,9209937000,10392569000,10795290000,11690319000,12533355000,12013580000,7790932000,8702400000,9243000000,9410695000,16716000,9792297000,8443601000,10739105000,11563656000,12437699000,14155919000,13456944000,15058996000,14405073000,15955891000,17853047000,17239570000,19923204000,22547498,31384000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,103806000,47185000,50323000,49158000,39080000,38761000,38694000,36137000,33431000,29835000,29500000,- -,- -,- -,- -,- -,- -,- -,46000000,51000000,54000000,83000000,97000000,108000000,135000000,161000000,186000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,570455000,555517000,540540000,525564000,414658000,402584000,390509000,378436000,378436000,378436000,378400000,378436000,378436000,423519000,- -,423519000,396891000,396891000,441591000,441591000,441591000,441591000,441591000,441591000,441591000,441591000,441591000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423519000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,570455000,555517000,540540000,525564000,414658000,402584000,390509000,378436000,378436000,378436000,378400000,378436000,378436000,423519000,423519000,423519000,396891000,396891000,441591000,441591000,441591000,441591000,441591000,441591000,441591000,441591000,441591000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7291661000,8211822000,8667200000,8745609000,9324700000,9358560000,7964486000,10070676000,10776868000,11926505000,13651620000,12957907000,14510419000,13814425000,15317901000,17096396000,16361220000,18945432000,21321291000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7291661000,-8211822000,-8668100000,-8745609000,-9324700000,-9358560000,-7964486000,-10070676000,-6761514000,-7797029000,-9518220000,-8715698000,-9894347000,-8890876000,-10376296000,-12024049000,-11081659000,-13493767000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,674261000,602702000,590863000,574722000,453738000,441345000,429203000,414573000,411867000,408271000,407000000,378436000,378436000,423519000,423519000,423519000,4412245000,4526367000,4620991000,4734800000,5111663000,5448140000,5480196000,5621938000,5856152000,6054256000,21948882000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50973065502,29736664000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8403634000,9364104000,9800800000,10967291000,11249028000,12131664000,12962558000,12428153000,8202799000,9110671000,9650000000,9789131000,395152000,10215816000,8867120000,11162624000,15975901000,16964066000,18776910000,18191744000,20170659000,19853213000,21436087000,23474985000,23095722000,25977460000,29046731000,29768048000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221598000,222254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,255116000,189372000,40910000,347152000,355392000,418394000,329148000,204037000,201479000,182448000,343000000,638895000,169736000,202058000,403707000,233307000,198875000,224842000,319043000,229070000,238398000,490129000,264475000,328067000,307848000,298738000,254918000,479644000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1609828000,1285574000,1797265000,1450888000,1743990000,1312002000,1047737000,1476832000,1833723000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6112884000,6793628000,7338090000,8123848000,8251608000,9347606000,10064852000,9045963000,8611521000,9345552000,9949000000,10344105000,10753264000,11116942000,10403293000,11595693000,10933527000,11688904000,13105957000,13194930000,14344265000,14563799000,15471586000,15783296000,16015512000,17035427000,-254663082,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6368000000,6983000000,7379000000,8471000000,8607000000,9766000000,10394000000,9250000000,8813000000,9528000000,10292000000,10983000000,10923000000,11319000000,10807000000,11829000000,11354000000,12136000000,13425000000,13424000000,14582663000,15053928000,15736061000,16111363000,16323360000,17334165000,254918,479644000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,792763000,791988000,791880000,564298000,383422000,371555000,365989000,536152000,551564000,693403000,696700000,509840000,721958000,722433000,623470000,920471000,789643000,790571000,989686000,990865000,992130000,743733000,1133165000,1132201000,1357185000,1348988000,1667886000,1546494000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580287000,720176000,905126000,993500000,1011048000,1010618000,966008000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000,12000,120000,-298000,-422000,445000,11000,-580439000,-719740000,-905529000,-1150200000,-1167888000,-1134576000,-1090441000,-124470000,-124471000,357000,429000,314000,135000,- -,- -,- -,- -,- -,- -,-1666218114,390849000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,793000000,792000000,792000000,564000000,383000000,372000000,366000000,536000000,552000000,693000000,540000000,353000000,598000000,598000000,499000000,796000000,790000000,791000000,990000000,991000000,992130000,743733000,1133165000,1132201000,1357185000,1348988000,1667886,1937343000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1586031000,- -,- -,- -,- -,- -,- -,1072469000,- -,- -,1080400000,706135000,1196162000,- -,998143000,- -,- -,1582483000,1980124000,1982402000,- -,- -,- -,- -,- -,- -,20277051968,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7161031000,7582056000,7978312000,8841356000,8796241000,9945003000,10566803000,9786469000,9364842000,10220787000,10832400000,11336135000,11521162000,11916801000,11306143000,12624868000,12143521000,12927483000,14415124000,14415402000,15517264000,15797661000,16869226000,17243564000,17680545000,18683153000,20275639000,2416987000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,73784000,73784000,73784000,143220000,147801000,147801000,147801000,126801000,126801000,113784000,108800000,104875000,99875000,94875000,85875000,83875000,79875000,112312000,105812000,100812000,134218000,130218000,127218000,124218000,121218000,117218000,113218000,109218000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1267545000,1325534000,1549391000,1699409000,1707933000,1910487000,2220671000,1978903000,2316868000,2273448000,2462500000,2621552000,2827287000,3003152000,2928950000,3228904000,3513419000,3634481000,3403338000,3545939000,3376846000,3614369000,3890798000,4806208000,5213468000,5551329000,5874109000,6182100000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176622000,393052000,405900000,269084000,140097000,-80938000,-1170417000,-319183000,22958000,549423000,925275000,210981000,997452000,231947000,577574000,1424274000,319475000,1844830000,3029244000,2677583000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382730000,199313000,283306000,597053000,128373000,27283000,535980000,231162000,459815000,442600000,437257000,391934000,307538000,378499000,405295000,399989000,-67308000,-72639000,-81390000,188950000,79018000,-28729000,-123279000,-238984000,-219070000,-245479000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1242603000,1782048000,1822488000,2125935000,2452787000,2186661000,2395755000,2641684000,2851453000,3240099000,3419800000,3432768000,3459193000,3324627000,2222907000,3398891000,4016241000,4228908000,4361786000,3776342000,4697466000,4055552000,4566861000,6231421000,5415177000,7294307000,8771092000,8642806000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8403634000,9364104000,9800800000,10967291000,11249028000,12131664000,12962558000,12428153000,12216295000,13460886000,14252200000,14768903000,14980355000,15241428000,13529050000,16023759000,16159762000,17156391000,18776910000,18191744000,20214730000,19853213000,21436087000,23474985000,23095722000,25977460000,29046731000,11059793000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4013496000,-4350215000,-4602200000,-4979772000,-14585203000,-5025612000,-4661930000,-4861135000,-183861000,-192325000,- -,- -,-44071000,- -,- -,- -,- -,- -,- -,18708255000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8403634000,9364104000,9800800000,10967291000,11249028000,12131664000,12962558000,12428153000,8202799000,9110671000,9650000000,9789131000,395152000,10215816000,8867120000,11162624000,15975901000,16964066000,18776910000,18191744000,20170659000,19853213000,21436087000,23474985000,23095722000,25977460000,29046731000,29768048000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/320335/000095010995000857/0000950109-95-000857-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176396000091/0000931763-96-000091-index.html,https://www.sec.gov/Archives/edgar/data/320335/000095010997002410/0000950109-97-002410-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176398000750/0000931763-98-000750-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/320335/000093176301000503/0000931763-01-000503-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176302000748/0000931763-02-000748-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176303000621/0000931763-03-000621-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312504042167/0001193125-04-042167-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312505051197/0001193125-05-051197-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312506046266/0001193125-06-046266-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312507043904/0001193125-07-043904-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312508043419/0001193125-08-043419-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312509040782/0001193125-09-040782-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312510042810/0001193125-10-042810-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312511049737/0001193125-11-049737-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312512085031/0001193125-12-085031-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312513084290/0001193125-13-084290-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312514076801/0001193125-14-076801-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312515069449/0001193125-15-069449-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033516000059/0000320335-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033517000010/0000320335-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033518000006/0000320335-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033519000006/0000320335-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033520000008/0000320335-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033521000010/0000320335-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033522000006/0000320335-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,211300000,229200000,246500000,265500000,297900000,268946000,143235000,311372000,337743000,244441000,273956000,362035000,356513000,383433000,430141000,468600000,495390000,518631000,527535000,452259000,404953000,517064000,517885000,529324000,528472000,542939000,527100000,549779000,1454494000,701466000,760790000,731773000,744959000
74,Depreciation and Amortization,- -,- -,- -,- -,14500000,16600000,25600000,33500000,35600000,25300000,9603000,9056000,9329000,7934000,8840000,6859000,5822000,302728000,4814000,4800000,349959000,377490000,391011000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82141000,38696000,74954000,94000000,131072000,76502000,94009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1765021000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,24000000,- -,- -,- -,- -,1361373000,417029000,52535000,90632000,266721000,-263971000,215036000,624225000,-3785648000,196468000,-223400000,-523305000,-9333979000,9379581000,-836696000,1273504000,1299551000,92043000,429220000,-697975000,443389000,-1125188000,868685000,1521854000,-825474000,1672829000,-2566746420,-470552580
