,https://roic.ai/company/MANH,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,32500000,62100000,81300000,133096000,151269000,175721000,196814000,214919000,246404000,288868000,337401000,337201000,246667000,297117000,329253000,376248000,414518000,492104000,556371000,604557000,594599000,559157000,617949000,586372000,663643000
2,COGS,14100000,26300000,37500000,51425000,61810000,67565000,78811000,90009000,101255000,123738000,147360000,151938000,107461000,128792000,139101000,161737000,181151000,212578000,235428000,249879000,245733000,240881000,284967000,269887000,297827000
3,Gross Profit,18400000,35800000,43800000,81671000,89459000,108156000,118003000,124910000,145149000,165130000,190041000,185263000,139206000,168325000,190152000,214511000,233367000,279526000,320943000,354678000,348866000,318276000,332982000,316485000,365816000
4,Gross Profit Ratio,0.5662,0.5765,0.5387,0.6136,0.5914,0.6155,0.5996,0.5812,0.5891,0.5716,0.5632,0.5494,0.5643,0.5665,0.5775,0.5701,0.5630,0.5680,0.5769,0.5867,0.5867,0.5692,0.5389,0.5397,0.5512
5,Research and Development Exp.,3000000,9000000,10200000,16106000,19413000,20780000,27358000,28822000,34139000,41468000,46594000,48407000,36681000,40508000,42372000,44704000,44549000,48953000,53859000,54736000,57704000,71896000,87608000,84276000,97628000
6,General and Administrative Exp.,- -,15800000,28000000,33174000,41156000,47356000,54911000,61095000,69932000,77887000,86772000,37145000,29946000,34027000,37708000,38474000,37147000,44455000,49259000,48322000,46054000,52618000,64603000,61444000,68086000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51177000,36137000,42702000,43944000,45622000,44559000,52617000,48615000,48223000,47482000,51262000,56860000,47758000,57855000
8,"Selling, General and Administrative Exp.",6500000,15800000,28000000,33174000,41156000,47356000,54911000,61095000,69932000,77887000,86772000,88322000,66083000,76729000,81652000,84096000,81706000,97072000,97874000,96545000,93536000,103880000,121463000,109202000,125941000
9,Other Expenses,500000,1700000,5100000,6100000,5240000,3242000,4317000,3575000,4492000,13517000,13617000,12699000,11418000,9161000,4765000,5638000,5825000,6377000,7764000,9090000,9060000,8613000,7987000,8946000,7914000
10,Operating Expenses,10000000,26500000,43300000,55380000,65809000,71378000,86586000,93492000,108563000,132872000,146983000,149428000,114182000,126398000,128789000,134438000,132080000,152402000,159497000,160371000,160300000,184389000,217058000,202424000,231483000
11,COGS and Expenses,24100000,52800000,80800000,106805000,127619000,138943000,165397000,183501000,209818000,256610000,294343000,301366000,221643000,255190000,267890000,296175000,313231000,364980000,394925000,410250000,406033000,425270000,502025000,472311000,529310000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1823000,368000,636000,1072000,1062000,1167000,1268000,1331000,1161000,1174000,1067000,715000,98000,68000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,500000,1700000,5100000,6100000,11368000,8573000,11262000,10782000,12074000,13247000,13617000,12699000,11418000,9161000,7284000,5638000,5825000,6377000,7764000,9090000,9060000,8613000,7987000,8946000,7914000
15,EBITDA,8800000,12000000,6800000,32108000,37077000,48152000,44532000,45457000,45028000,47640000,61283000,44207000,31804000,50945000,70511000,86676000,108934000,134375000,170605000,205197000,193893000,144844000,124064000,122722000,141986000
16,EBITDA ratio,0.2708,0.1932,0.0836,0.2412,0.2451,0.2740,0.2263,0.2115,0.1827,0.1649,0.1816,0.1311,0.1289,0.1715,0.2142,0.2304,0.2628,0.2731,0.3066,0.3394,0.3261,0.2590,0.2008,0.2093,0.2139
17,Operating Income,8400000,9300000,500000,26291000,23650000,36778000,30524000,31418000,30276000,30755000,43058000,25963000,21142000,41927000,61363000,80073000,101287000,127124000,161446000,194307000,185645000,133887000,115924000,114061000,134333000
18,Operating Income ratio,0.2585,0.1498,0.0062,0.1975,0.1563,0.2093,0.1551,0.1462,0.1229,0.1065,0.1276,0.0770,0.0857,0.1411,0.1864,0.2128,0.2443,0.2583,0.2902,0.3214,0.3122,0.2394,0.1876,0.1945,0.2024
19,Total Other Income Expenses (Gains),100000,1000000,1200000,-283000,2059000,2801000,2746000,3257000,2678000,3638000,4608000,5545000,-756000,-143000,1864000,965000,1822000,874000,1395000,1800000,-812000,2344000,153000,-285000,-261000
20,Income Before Tax,- -,10300000,1700000,26008000,25709000,39579000,33270000,34675000,32954000,34393000,47666000,31508000,20386000,41784000,63227000,81038000,103109000,127998000,162841000,196107000,184833000,136231000,116077000,113776000,134072000
21,Income Before Tax Ratio,- -,0.1659,0.0209,0.1954,0.1700,0.2252,0.1690,0.1613,0.1337,0.1191,0.1413,0.0934,0.0826,0.1406,0.1920,0.2154,0.2487,0.2601,0.2927,0.3244,0.3109,0.2436,0.1878,0.1940,0.2020
22,Income Tax expense (Gain),- -,3000000,600000,9740000,9522000,14383000,11425000,12566000,14319000,15062000,16915000,8710000,3824000,13723000,18320000,29185000,35813000,45998000,59366000,71873000,68352000,31541000,30315000,26536000,23600000
23,Net Income,8300000,7300000,1100000,16268000,16187000,25196000,21845000,22109000,18635000,19331000,30751000,22798000,16562000,28061000,44907000,51853000,67296000,82000000,103475000,124234000,116481000,104690000,85762000,87240000,110472000
