,https://roic.ai/company/HD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,700700000,1011500000,1453700000,1999500000,2758500000,3815400000,5136700000,7148400000,9238800000,12477000000,15470000000,19536000000,24156000000,30219000000,38434000000,45738000000,53553000000,58247000000,64816000000,73094000000,81511000000,90837000000,77349000000,71288000000,66176000000,67997000000,70395000000,74754000000,78812000000,83176000000,88519000000,94595000000,100904000000,108203000000,110225000000,132110000000,151157000000
2,COGS,514900000,725500000,1039300000,1445200000,1970700000,2716700000,3640000000,5109900000,6595600000,8991000000,11185000000,14101000000,17375000000,21241000000,27023000000,32057000000,37406000000,40139000000,44236000000,48664000000,54191000000,61054000000,51352000000,47298000000,43764000000,44693000000,46133000000,48912000000,51422000000,54787000000,58254000000,62282000000,66548000000,71043000000,72653000000,87257000000,100325000000
3,Gross Profit,185800000,286000000,414400000,554300000,787800000,1098700000,1496700000,2038500000,2643200000,3486000000,4285000000,5435000000,6781000000,8978000000,11411000000,13681000000,16147000000,18108000000,20580000000,24430000000,27320000000,29783000000,25997000000,23990000000,22412000000,23304000000,24262000000,25842000000,27390000000,28389000000,30265000000,32313000000,34356000000,37160000000,37572000000,44853000000,50832000000
4,Gross Profit Ratio,0.2652,0.2827,0.2851,0.2772,0.2856,0.2880,0.2914,0.2852,0.2861,0.2794,0.2770,0.2782,0.2807,0.2971,0.2969,0.2991,0.3015,0.3109,0.3175,0.3342,0.3352,0.3279,0.3361,0.3365,0.3387,0.3427,0.3447,0.3457,0.3475,0.3413,0.3419,0.3416,0.3405,0.3434,0.3409,0.3395,0.3363
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2498000000,3106000000,3900000000,4781000000,5944000000,7616000000,- -,11215000000,12278000000,1232000000,1399000000,16485000000,18348000000,17053000000,17846000000,- -,15849000000,16028000000,16508000000,16597000000,16280000000,- -,17132000000,17864000000,19513000000,19740000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12502000000,15105000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",162400000,219900000,305500000,412900000,582100000,798600000,1062700000,1419600000,1846700000,2498300000,3105700000,3900400000,4765000000,5944000000,7616000000,9490000000,11215000000,12278000000,13734000000,16504000000,16485000000,18348000000,17053000000,17846000000,15902000000,15849000000,16028000000,16508000000,16597000000,16834000000,16801000000,17132000000,17864000000,19513000000,19740000000,24447000000,25406000000
9,Other Expenses,4400000,7800000,10600000,14700000,21100000,34400000,52300000,69500000,89800000,700000,300000,600000,120000000,373000000,- -,- -,- -,- -,- -,- -,1472000000,1762000000,1702000000,1785000000,1707000000,1616000000,1573000000,1568000000,1627000000,1086000000,1690000000,1754000000,1811000000,2117000000,1989000000,2128000000,2386000000
10,Operating Expenses,166800000,227700000,316100000,427600000,603200000,833000000,1115000000,1489100000,1936500000,2499000000,3106000000,3901000000,4885000000,6317000000,7616000000,9490000000,11215000000,12278000000,13734000000,16504000000,17957000000,20110000000,18755000000,19631000000,17609000000,17465000000,17601000000,18076000000,18224000000,17920000000,18491000000,18886000000,19675000000,21630000000,21729000000,26575000000,27792000000
11,COGS and Expenses,681700000,953200000,1355400000,1872800000,2573900000,3549700000,4755000000,6599000000,8532100000,11490000000,14291000000,18002000000,22260000000,27558000000,34639000000,41547000000,48621000000,52417000000,57970000000,65168000000,72148000000,81164000000,70107000000,66929000000,61373000000,62158000000,63734000000,66988000000,69646000000,72707000000,76745000000,81168000000,86223000000,92673000000,94382000000,113832000000,128117000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,18000000,15000000,13000000,20000000,12000000,337000000,166000000,36000000,74000000,93000000,73000000,47000000,44000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624000000,676000000,530000000,606000000,632000000,711000000,830000000,919000000,972000000,1057000000,1051000000,1201000000,1347000000,1347000000
14,Depreciation and Amortization,4400000,7800000,10600000,14700000,21100000,34400000,52300000,69500000,89800000,129600000,181200000,232300000,283000000,373000000,463000000,601000000,764000000,903000000,1076000000,1319000000,1579000000,1886000000,1906000000,1902000000,1806000000,1718000000,1682000000,1684000000,1757000000,1786000000,1863000000,1973000000,2062000000,2152000000,2296000000,2519000000,2862000000
15,EBITDA,16000000,54900000,106200000,140600000,203200000,294200000,448500000,645500000,826700000,1109600000,1377200000,1767300000,2181000000,3027000000,4267000000,4818000000,5721000000,6775000000,7919000000,9231000000,10861000000,11194000000,8711000000,6064000000,6505000000,7521000000,8356000000,9537000000,10935000000,12592000000,13803000000,15436000000,16817000000,17759000000,18212000000,20844000000,25946000000
16,EBITDA ratio,0.0228,0.0543,0.0731,0.0703,0.0737,0.0771,0.0873,0.0903,0.0895,0.0889,0.0890,0.0905,0.0903,0.1002,0.1110,0.1053,0.1068,0.1163,0.1222,0.1263,0.1332,0.1232,0.1126,0.0851,0.0983,0.1106,0.1187,0.1276,0.1387,0.1514,0.1559,0.1632,0.1667,0.1641,0.1652,0.1578,0.1716
