,https://roic.ai/company/EMR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4649200000,4952900000,6170300000,6651500000,7071300000,7573400000,7427000000,7706000000,8173800000,8607200000,10012900000,11149900000,12298600000,13447200000,14269500000,15544800000,15479600000,13824000000,13958000000,15615000000,17305000000,20133000000,22572000000,24807000000,20915000000,21039000000,24222000000,24412000000,24669000000,24537000000,22304000000,14522000000,15264000000,17408000000,18372000000,16785000000,18236000000
2,COGS,2823900000,3044500000,3875400000,4205600000,4431900000,4732500000,4547100000,4759400000,4949100000,5553000000,6480400000,7165000000,7865600000,8595600000,9193800000,10016000000,10118500000,9000000000,9060000000,10049000000,11122000000,12965000000,14461000000,15668000000,13216000000,12713000000,14665000000,14644000000,14717000000,14379000000,13256000000,8260000000,8860000000,9948000000,10557000000,9776000000,10673000000
3,Gross Profit,1825300000,1908400000,2294900000,2445900000,2639400000,2840900000,2879900000,2946600000,3224700000,3054200000,3532500000,3984900000,4433000000,4851600000,5075700000,5528800000,5361100000,4824000000,4898000000,5566000000,6183000000,7168000000,8111000000,9139000000,7699000000,8326000000,9557000000,9768000000,9952000000,10158000000,9048000000,6262000000,6404000000,7460000000,7815000000,7009000000,7563000000
4,Gross Profit Ratio,0.3926,0.3853,0.3719,0.3677,0.3733,0.3751,0.3878,0.3824,0.3945,0.3548,0.3528,0.3574,0.3604,0.3608,0.3557,0.3557,0.3463,0.3490,0.3509,0.3565,0.3573,0.3560,0.3593,0.3684,0.3681,0.3957,0.3946,0.4001,0.4034,0.4140,0.4057,0.4312,0.4195,0.4285,0.4254,0.4176,0.4147
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1679600000,1933200000,2192000000,2450900000,2676700000,2770200000,2987900000,3081900000,2922000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5648000000,5715000000,5184000000,3464000000,3618000000,4258000000,4457000000,3999000000,4179000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",937800000,987900000,1157700000,1223100000,1335600000,1428400000,1434100000,1460100000,1606600000,1679600000,1933200000,2192000000,2450900000,2676700000,2770200000,2987900000,3081900000,2922000000,2935000000,3281000000,3595000000,4099000000,4593000000,5057000000,4827000000,4943000000,5328000000,5436000000,5648000000,5715000000,5184000000,3464000000,3618000000,4258000000,4457000000,3999000000,4179000000
9,Other Expenses,148000000,163600000,214300000,227300000,230800000,269300000,294400000,295200000,340700000,- -,- -,- -,- -,- -,- -,- -,690600000,28000000,- -,21000000,28000000,47000000,63000000,81000000,235000000,243000000,- -,- -,298000000,280000000,425000000,84000000,136000000,211000000,238000000,239000000,300000000
