,https://roic.ai/company/AIMC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,303662000,363465000,462285000,584376000,635336000,452846000,520162000,674812000,731990000,722218000,819817000,746652000,708906000,876737000,1175342000,1834100000,1726000000,1899800000
2,COGS,233100000,271952000,336836000,419109000,449244000,329825000,366151000,478394000,513442000,506837000,570948000,518189000,486774000,600961000,799231000,1177800000,1103600000,1224400000
3,Gross Profit,70562000,91513000,125449000,165267000,186092000,123021000,154011000,196418000,218548000,215381000,248869000,228463000,222132000,275776000,376111000,656300000,622400000,675400000
4,Gross Profit Ratio,0.2324,0.2518,0.2714,0.2828,0.2929,0.2717,0.2961,0.2911,0.2986,0.2982,0.3036,0.3060,0.3133,0.3145,0.3200,0.3578,0.3606,0.3555
5,Research and Development Exp.,4325000,4683000,4938000,6077000,6589000,6261000,6731000,10609000,11457000,12536000,15522000,17818000,17677000,24434000,33076000,59100000,57800000,63900000
6,General and Administrative Exp.,54294000,61579000,83276000,93211000,99185000,81117000,89478000,113375000,127044000,130155000,156471000,139217000,140492000,164492000,251909000,359000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54294000,61579000,83276000,93211000,99185000,81117000,89478000,113375000,127044000,130155000,156471000,139217000,140492000,164492000,251909000,359000000,332200000,368700000
9,Other Expenses,-353000,-99000,-3838000,2745000,32469000,-922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,58266000,66163000,84376000,102033000,138243000,86456000,96209000,123984000,138501000,142691000,171993000,157035000,158169000,188926000,284985000,418100000,390000000,432600000
