,https://roic.ai/company/PGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),8800000,6100000,10800000,16000000,49300000,48400000,47800000,44500000,39700000,55300000,57100000,61500000,64600000,61100000,76400000,77800000,52200000,74600000,95500000,80800000,82600000,77300000,108600000,136700000,139000000,133500000,132700000,123800000,118200000,116900000,136000000,140900000,153100000,166500000,189700000,217000000,218600000
14,Depreciation and Amortization,- -,- -,- -,- -,17400000,- -,28400000,24300000,16100000,19300000,20400000,23800000,36600000,56100000,71800000,77600000,81000000,83900000,100300000,292100000,315700000,356600000,417500000,133600000,127600000,129000000,88500000,94400000,101300000,97100000,150500000,199500000,236100000,262400000,306100000,331800000,337400000
15,EBITDA,33200000,77200000,118300000,148000000,152800000,133900000,109100000,261700000,428900000,454400000,423400000,527000000,679700000,778300000,560400000,187200000,720800000,1139900000,2055500000,2823700000,2457200000,2867100000,2219100000,48000000,1823500000,1827700000,1708200000,1535900000,1939500000,2121400000,2165200000,1784900000,2522200000,3586800000,5646400000,7722000000,4766000000
16,EBITDA ratio,0.0676,0.1055,0.1183,0.1101,0.1097,0.9795,0.0731,0.1505,0.2194,0.1881,0.1406,0.1515,0.1475,0.1471,0.0915,0.0276,0.0963,0.1226,0.1728,0.2049,0.1718,0.1939,0.1511,0.0037,0.1252,0.1222,0.1101,0.0900,0.1068,0.1095,0.1039,0.0762,0.0941,0.1122,0.1448,0.1811,0.1000
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3290000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0690
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,196200000,- -,206200000,312800000,43700000,41900000,38900000,46200000,45300000,38200000,52700000,20500000,24700000,34300000,73000000,48500000,40200000,30400000,22300000,16100000,16700000,32300000,22800000,36100000,39600000,56000000,86300000,103300000,126800000,158500000,195000000,226400000,920000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,373100000,379800000,345900000,441700000,578500000,661100000,412200000,31800000,587600000,981400000,1859700000,2450800000,2058900000,2433200000,1693000000,-222300000,1556900000,1565200000,1487000000,1317700000,1720000000,1907400000,1911600000,1470700000,2138900000,3163600000,5160300000,7173200000,4210000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.1909,0.1572,0.1148,0.1270,0.1255,0.1249,0.0673,0.0047,0.0785,0.1056,0.1564,0.1778,0.1439,0.1646,0.1153,-0.0173,0.1069,0.1046,0.0959,0.0772,0.0947,0.0984,0.0918,0.0628,0.0798,0.0990,0.1323,0.1682,0.0883
22,Income Tax expense (Gain),-1100000,15800000,16200000,23900000,8100000,-7900000,- -,39100000,105800000,105500000,95400000,128000000,178500000,204400000,117000000,-14300000,176200000,314100000,604300000,802100000,665000000,785700000,510500000,-152300000,499400000,496900000,471500000,415400000,554600000,626400000,611100000,413500000,540800000,542600000,1180300000,1468600000,859100000
23,Net Income,25500000,55300000,91300000,108100000,78000000,93400000,32900000,153800000,267300000,274300000,250500000,313700000,400000000,456700000,295200000,46100000,411400000,667300000,1255400000,1648700000,1393900000,1647500000,1182500000,-70000000,1057500000,1068300000,1015500000,902300000,1165400000,1281000000,1267600000,1031000000,1592200000,2615300000,3970300000,5704600000,3350900000
24,Net Income ratio,0.0520,0.0756,0.0913,0.0804,0.0560,0.6832,0.0220,0.0884,0.1367,0.1136,0.0832,0.0902,0.0868,0.0863,0.0482,0.0068,0.0549,0.0718,0.1056,0.1196,0.0975,0.1114,0.0805,-0.0055,0.0726,0.0714,0.0655,0.0529,0.0642,0.0661,0.0608,0.0440,0.0594,0.0818,0.1018,0.1338,0.0703
25,EPS,0.03,0.05,0.09,0.11,0.11,0.11,0.03,0.19,0.30,0.30,0.27,0.34,0.46,0.53,0.34,0.05,0.47,0.76,1.45,1.94,1.77,2.13,1.66,-0.10,1.59,1.62,1.61,1.50,1.95,2.17,2.16,1.77,2.74,4.45,6.75,9.71,5.73
26,EPS Diluted,0.03,0.05,0.09,0.10,0.11,0.10,0.03,0.17,0.30,0.30,0.27,0.34,0.44,0.51,0.33,0.05,0.46,0.75,1.42,1.91,1.75,2.10,1.65,-0.10,1.57,1.61,1.59,1.48,1.93,2.15,2.15,1.76,2.72,4.42,6.72,9.66,5.73
27,Weighted Average Shares Outstanding,806069227,1006461006,1044467070,1006583297,720720721,876501502,963876600,796309432,893481894,916880223,922085890,909275362,864000000,870000000,874800000,878400000,884400000,876000000,867200000,851600000,787600000,774300000,710400000,668000000,666800000,657900000,632300000,603300000,599100000,590600000,585500000,581700000,580800000,582400000,583800000,584900000,584700000
28,Weighted Average Shares Outstanding Diluted,806069227,1006461006,1044467070,1055684681,720720721,942786773,963876600,901191237,895977654,916880223,927777778,915912409,903600000,896400000,895200000,891600000,901200000,892800000,882000000,864800000,799200000,783800000,710400000,673900000,666800000,663300000,636900000,607800000,603600000,594800000,589200000,585000000,585700000,586700000,587200000,587600000,584700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80661/000095015295000465/0000950152-95-000465-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80661/000095015202002479/l93089ae10-k405.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015203002937/l99510ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015204001600/l05942ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015205001650/l12357ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015206001512/l17994ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015207001579/l24289ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015208001442/l30025ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000119312509037067/0001193125-09-037067-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312510044296/0001193125-10-044296-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312511051378/d10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000119312512083846/0001193125-12-083846-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312513075784/0001193125-13-075784-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066114000010/pgr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066115000010/pgr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066116000080/0000080661-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066117000012/0000080661-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066118000011/0000080661-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066119000008/0000080661-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066120000006/0000080661-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066121000014/0000080661-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066122000046/0000080661-22-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,16200000,15400000,23300000,18600000,14200000,8900000,11200000,16900000,12100000,20000000,5600000,5600000,5800000,2900000,160700000,158900000,155700000,179100000,75100000,108400000,224400000,211500000,265000000,69500000,226200000,76500000,187100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,279100000,302800000,159700000,409400000,441900000,229000000,186800000,227400000,567800000,648000000,1376900000,773600000,581200000,382400000,1153600000,1078000000,1090800000,1551800000,13764100000,14813000000,15698200000,17504200000,19816700000,23071100000,29907400000,34909100000,42029400000,44815700000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,292500000,319000000,175100000,432700000,460500000,243200000,195700000,238600000,584700000,660100000,1396900000,779200000,586800000,388200000,1156500000,1238700000,1249700000,1707500000,13943200000,14888100000,15806600000,17728600000,20028200000,23336100000,29976900000,35135300000,42105900000,45002800000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,922100000,988000000,1130800000,1478300000,1737200000,2015500000,1804700000,1698600000,1958500000,2079600000,2668800000,2500700000,2498200000,2395100000,2408600000,2454800000,2738400000,3137800000,3183700000,3310700000,3537500000,3987700000,4509200000,5422500000,6497100000,7507300000,12179500000,14380000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9999500000,-1990000000,-1272600000,-13549200000,-15332200000,-16243800000,-20201700000,-28111500000,-33110300000,-39447500000,-41471900000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3988100000,14844800000,15136900000,16926200000,5794900000,6384100000,8293600000,8556900000,8362500000,9532300000,14837900000,17910900000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,143300000,159200000,169900000,260400000,376200000,447700000,504500000,498000000,503100000,584700000,666500000,758700000,973400000,1000400000,997100000,961300000,932600000,911300000,933700000,960900000,960600000,1037200000,1177100000,1119600000,1131700000,1213700000,1106000000,1137300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447600000,449400000,452700000,452700000,452700000,452700000,452700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494900000,432800000,366600000,294600000,228300000,171400000,117300000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942500000,882200000,819300000,747300000,681000000,624100000,570000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10284300000,12532300000,13082000000,14274700000,14689200000,14165100000,12978100000,14713400000,15523400000,15963000000,16475500000,18054700000,19018000000,20937300000,23482600000,27274700000,33567400000,39254300000,47530300000,51514100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706200000,-9874300000,-9851400000,-11533600000,14100000,518200000,-408000000,930700000,2766100000,4214000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17162200000,7000000000,7557800000,7482000000,19992700000,23435200000,25133900000,30144300000,38212500000,45363000000,49260400000,53221400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4675100000,5352500000,6183900000,7559600000,8463100000,9704700000,10051600000,11122400000,13564400000,16281500000,17184300000,18898600000,19482100000,18843100000,18250500000,20049300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113358700000,124353700000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4675100000,5352500000,6183900000,7559600000,8463100000,9704700000,10051600000,11122400000,13564400000,16281500000,17184300000,18898600000,19482100000,18843100000,18250500000,20049300000,21150300000,21844800000,22694700000,24408200000,25787600000,29819300000,33427500000,38701200000,46575000000,54895300000,64098300000,71132300000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1325000000,1510800000,- -,- -,- -,- -,- -,- -,1855500000,1785000000,1893800000,2067800000,2495500000,2825900000,5046500000,5962700000,4955800000,6010600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149900000,- -,- -,- -,- -,- -,4404900000,499400000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2847000000,3201000000,3731000000,4648000000,5129000000,5903000000,6433000000,6776000000,8307000000,9761000000,9420000000,9995200000,11450000000,11734000000,11859000000,12124000000,13143000000,13596000000,12619600000,14573000000,14800500000,17754200000,19826700000,23309200000,21896900000,30352900000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2847000000,3201000000,3731000000,4648000000,5129000000,5903000000,6433000000,6776000000,8307000000,9761000000,10745000000,11506000000,11450000000,11734000000,11859000000,12124000000,13143000000,13596000000,14625000000,16358000000,16694300000,19822000000,22322200000,26135100000,31348300000,36815000000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,675600000,675900000,775700000,775900000,776600000,1048600000,748800000,1095700000,1489000000,1489800000,1284300000,1284900000,1185500000,2173900000,2175500000,2177200000,1958200000,2442100000,1913200000,1860900000,2164700000,2707900000,3148200000,3306300000,4404900000,3907700000,5396100000,4898800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,98900000,109300000,111300000,135000000,- -,132500000,310000000,152900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,100000,300000,100000,400000,400000,200000,300000,- -,200000,-300000,100000,500000,100000,500000,-200000,-200000,-100000,149800000,-28300000,-98900000,-109300000,-111300000,-160000000,- -,366900000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,676000000,676000000,776000000,776000000,777000000,1049000000,749000000,1096000000,1489000000,1490000000,1284000000,1285000000,1186000000,2174000000,2176000000,2177000000,1958000000,2442000000,2063000000,1861000000,2164700000,2707900000,3148200000,3281300000,4404900000,4407100000,5706100000,5051700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1352200000,- -,- -,- -,- -,- -,- -,- -,2978400000,- -,- -,2570100000,- -,- -,4352200000,- -,3916400000,4884100000,- -,- -,- -,- -,- -,- -,- -,- -,52765800000,57952400000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3523200000,3876700000,4507000000,5423700000,5906000000,6951900000,7181800000,7871700000,9796400000,11250900000,12028900000,12791100000,12635500000,13907600000,14035200000,14300700000,15101400000,16038100000,16687700000,18218700000,18859000000,22529900000,25470400000,29416400000,35753200000,41222100000,47059700000,52900700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493900000,493900000,493900000,493900000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,71200000,72100000,71500000,72300000,72500000,73100000,73500000,73400000,218000000,216400000,200400000,197300000,748000000,680200000,676500000,672600000,662400000,613000000,604600000,595800000,587800000,583600000,579900000,581700000,583200000,584600000,585200000,584400000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,668500000,894200000,1149600000,1528500000,1932600000,2210500000,2220400000,2497400000,2796000000,3729800000,3812900000,4726000000,4646900000,2927700000,2697800000,3683100000,3595700000,3495000000,3454400000,3500000000,4133400000,4686600000,5140400000,6031700000,8386600000,10679600000,13354900000,15339700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399000000,604000000,493000000,-52000000,453000000,784000000,693000000,871000000,952000000,1023000000,800000000,933000000,1282000000,-121000000,342000000,931700000,40700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,412200000,509500000,455800000,535100000,552000000,469200000,575900000,679900000,754000000,1084400000,1142100000,785200000,847700000,834600000,893000000,939900000,1006800000,1005700000,1077000000,1141700000,1184400000,1219200000,1303800000,1389400000,1479100000,1573100000,1672900000,1772900000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1151900000,1475800000,1676900000,2135900000,2557100000,2752800000,2869800000,3250700000,3768000000,5030600000,5155400000,6107500000,6846600000,4935500000,4215300000,5748600000,6048900000,5806700000,6007000000,6189500000,6928600000,7289400000,7957100000,9284800000,10821800000,13673200000,17038600000,18231600000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4675100000,5352500000,6183900000,7559600000,8463100000,9704700000,10051600000,11122400000,13564400000,16281500000,17184300000,18898600000,19482100000,18843100000,18250500000,20049300000,21150300000,21844800000,22694700000,24408200000,25787600000,29819300000,33427500000,38701200000,46575000000,54895300000,64098300000,71132300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4675100000,5352500000,6183900000,7559600000,8463100000,9704700000,10051600000,11122400000,13564400000,16281500000,17184300000,18898600000,19482100000,18843100000,18250500000,20049300000,21150300000,21844800000,22694700000,24408200000,25787600000,29819300000,33427500000,38701200000,46575000000,54895300000,64098300000,71132300000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/80661/000095015295000465/0000950152-95-000465-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80661/000095015202002479/l93089ae10-k405.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015203002937/l99510ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015204001600/l05942ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015205001650/l12357ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015206001512/l17994ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015207001579/l24289ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015208001442/l30025ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000119312509037067/0001193125-09-037067-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312510044296/0001193125-10-044296-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312511051378/d10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000119312512083846/0001193125-12-083846-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312513075784/0001193125-13-075784-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066114000010/pgr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066115000010/pgr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066116000080/0000080661-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066117000012/0000080661-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066118000011/0000080661-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066119000008/0000080661-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066120000006/0000080661-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066121000014/0000080661-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066122000046/0000080661-22-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,78000000,93400000,32900000,153800000,267300000,274300000,250500000,313700000,400000000,456700000,295200000,46100000,411400000,667300000,1255400000,1648700000,1393900000,1647500000,1182500000,-70000000,1057500000,1068300000,1015500000,902300000,1165400000,1281000000,1267600000,1031000000,1592200000,2615300000,3970300000,5704600000,3350900000
74,Depreciation and Amortization,- -,- -,- -,- -,17400000,- -,28400000,24300000,16100000,19300000,20400000,23800000,36600000,56100000,71800000,77600000,81000000,83900000,100300000,292100000,315700000,356600000,417500000,133600000,127600000,129000000,88500000,94400000,101300000,97100000,150500000,199500000,236100000,262400000,306100000,331800000,337400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63400000,64900000,51400000,66200000,85200000,95400000,77200000,90200000,89400000,100700000
77,Change in Working Capital,- -,- -,- -,- -,290600000,- -,- -,- -,- -,-2847000000,-354000000,-530000000,-917000000,-481000000,-774000000,-530000000,-343000000,-1531000000,-1454000000,-984000000,-761000000,56000000,-284000000,-125000000,-265000000,2969100000,10403700000,-736900000,56300000,-11467600000,-2538500000,-590700000,-3549600000,-5407600000,-4296900000,27282700000,5355200000
78,Accounts Receivable,- -,- -,- -,- -,-24600000,-29200000,-38300000,13300000,-98300000,-159200000,-53200000,-158100000,-214900000,38600000,-288900000,203400000,124200000,-279000000,-410400000,-323000000,-221500000,-11400000,221500000,-13500000,-46200000,-283600000,-191400000,-336800000,-316600000,-368800000,-623700000,-906700000,-1301800000,-1497300000,-1693000000,-1293300000,-1655500000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-24600000,-29200000,-38300000,13300000,-98300000,365400000,365500000,500400000,688200000,118700000,789600000,465400000,435200000,1419200000,1478200000,992800000,651300000,71700000,95500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328900000,399700000
