,https://roic.ai/company/AMG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,50400000,95300000,238494000,518726000,458708000,408210000,482536000,495029000,659997000,916492000,1170353000,1369866000,1158217000,841840000,1358242000,1704800000,1805500000,2188800000,2510900000,2484500000,2194600000,2305000000,2378400000,2239600000,2027500000,2412400000
2,COGS,2300000,45200000,6278000,8906000,10327000,11143000,15970000,16056000,16708000,21497000,472400000,579365000,516895000,402584000,594486000,718800000,784700000,947500000,1030500000,1027700000,932400000,979000000,987200000,943000000,883700000,1047100000
3,Gross Profit,48100000,50100000,232216000,509820000,448381000,397067000,466566000,478973000,643289000,894995000,697953000,790501000,641322000,439256000,763756000,986000000,1020800000,1241300000,1480400000,1456800000,1262200000,1326000000,1391200000,1296600000,1143800000,1365300000
4,Gross Profit Ratio,0.9544,0.5257,0.9737,0.9828,0.9775,0.9727,0.9669,0.9676,0.9747,0.9765,0.5964,0.5771,0.5537,0.5218,0.5623,0.5784,0.5654,0.5671,0.5896,0.5864,0.5751,0.5753,0.5849,0.5789,0.5641,0.5660
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,32000000,18900000,119312000,271031000,242926000,208679000,250362000,259051000,350699000,528038000,207899000,216789000,226583000,131538000,284595000,350800000,366900000,427200000,485500000,443800000,398100000,373100000,417700000,376800000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",32000000,18900000,119312000,271031000,242926000,208679000,250362000,259051000,350699000,528038000,207899000,216789000,226583000,131538000,284595000,350800000,366900000,427200000,485500000,443800000,398100000,373100000,417700000,376800000,321400000,347100000
9,Other Expenses,9000000,8600000,20124000,26130000,31020000,34101000,20376000,22407000,24708000,31902000,36141000,238657000,46621000,72629000,105129000,149100000,253500000,180000000,179700000,178000000,158800000,147200000,206500000,222800000,212400000,52300000
10,Operating Expenses,41000000,27500000,139436000,297161000,273946000,242780000,270738000,281458000,375407000,559940000,244040000,455446000,273204000,204167000,389724000,499900000,620400000,607200000,665200000,621800000,556900000,520300000,624200000,599600000,533800000,399400000
11,COGS and Expenses,43300000,72700000,145714000,306067000,284273000,253923000,286708000,297514000,392115000,581437000,716440000,1034811000,790099000,606751000,984210000,1218700000,1405100000,1554700000,1695700000,1649500000,1489300000,1499300000,1611400000,1542600000,1417500000,1446500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78129000,91137000,101100000,56900000,119000000,106700000,48600000,93300000,100800000,80600000,76200000,92300000,111400000
14,Depreciation and Amortization,9000000,8600000,20124000,26130000,31020000,38463000,23958000,25693000,28349000,34920000,39003000,45347000,51347000,45684000,74142000,112700000,214100000,142200000,139100000,134200000,129700000,106700000,136800000,165800000,159600000,52300000
15,EBITDA,6800000,1600000,62709000,155037000,126628000,121777000,117196000,127525000,157442000,224572000,276890000,334174000,95452000,211289000,395435000,471800000,528800000,815800000,925800000,955700000,931400000,955400000,642300000,260600000,535500000,980400000
16,EBITDA ratio,0.1349,0.0168,0.2629,0.2989,0.2761,0.2983,0.2429,0.2576,0.2385,0.2450,0.2366,0.2439,0.0824,0.2510,0.2911,0.2767,0.2929,0.3727,0.3687,0.3847,0.4244,0.4145,0.2701,0.1164,0.2641,0.4064
17,Operating Income,7100000,22600000,92780000,212659000,174435000,154287000,195828000,197515000,267882000,335055000,453913000,335055000,368118000,235089000,374032000,486100000,400400000,634100000,815200000,835000000,705300000,1107900000,- -,- -,- -,- -
18,Operating Income ratio,0.1409,0.2371,0.3890,0.4100,0.3803,0.3780,0.4058,0.3990,0.4059,0.3656,0.3878,0.2446,0.3178,0.2793,0.2754,0.2851,0.2218,0.2897,0.3247,0.3361,0.3214,0.4807,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8300000,-19600000,-50195000,-83752000,-78827000,-70973000,-102590000,-95683000,-138789000,-145403000,-216026000,-46228000,-324013000,5830000,4819000,-33400000,94800000,229600000,198300000,255600000,269300000,-40800000,-53400000,-389000000,-101600000,100000
