,https://roic.ai/company/CL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4523700000,4984600000,5647500000,4734300000,5038800000,5691300000,6060300000,7007200000,7141300000,7587900000,8358200000,8749000000,9056700000,8971600000,9118200000,9357900000,9427800000,9294300000,9903400000,10584200000,11396900000,12237700000,13789700000,15329900000,15327000000,15564000000,16734000000,17085000000,17420000000,17277000000,16034000000,15195000000,15454000000,15544000000,15693000000,16471000000,17421000000
2,COGS,2608500000,2803000000,3068000000,2643200000,2746100000,2994800000,3150100000,3515900000,3520300000,3678200000,4052800000,4134800000,4141600000,3960000000,3883800000,4265500000,4236900000,4224200000,4456100000,4747200000,5191900000,5536100000,6042300000,6703500000,6319000000,6360000000,7144000000,7153000000,7219000000,7168000000,6635000000,6072000000,6174000000,6313000000,6368000000,6454000000,7046000000
3,Gross Profit,1915200000,2181600000,2579500000,2091100000,2292700000,2696500000,2910200000,3491300000,3621000000,3909700000,4305400000,4614200000,4915100000,5011600000,5234400000,5092400000,5190900000,5070100000,5447300000,5837000000,6205000000,6701600000,7747400000,8626400000,9008000000,9204000000,9590000000,9932000000,10201000000,10109000000,9399000000,9123000000,9280000000,9231000000,9325000000,10017000000,10375000000
4,Gross Profit Ratio,0.4234,0.4377,0.4568,0.4417,0.4550,0.4738,0.4802,0.4982,0.5071,0.5153,0.5151,0.5274,0.5427,0.5586,0.5741,0.5442,0.5506,0.5455,0.5500,0.5515,0.5444,0.5476,0.5618,0.5627,0.5877,0.5914,0.5731,0.5813,0.5856,0.5851,0.5862,0.6004,0.6005,0.5939,0.5942,0.6082,0.5955
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1566200000,1760000000,2094200000,1645600000,1760300000,2015600000,2482400000,2500200000,2457100000,2625200000,2879600000,3052100000,3237000000,3197100000,3254400000,3299600000,3261600000,3034000000,3296300000,2332400000,3920800000,4355200000,4973000000,5422300000,5282000000,5414000000,5758000000,5930000000,6223000000,5982000000,5464000000,5249000000,5497000000,5389000000,5575000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1063000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1566200000,1760000000,2094200000,1645600000,1760300000,2015600000,2482400000,2500200000,2457100000,2625200000,2879600000,3052100000,3237000000,3197100000,3254400000,3299600000,3261600000,3034000000,3296300000,3395400000,3920800000,4355200000,4973000000,5422300000,5282000000,5414000000,5758000000,5930000000,6223000000,5982000000,5464000000,5249000000,5497000000,5389000000,5575000000,6019000000,6407000000
9,Other Expenses,72200000,89300000,101300000,82000000,97000000,126200000,146200000,192500000,209600000,235100000,300300000,316300000,319900000,330300000,340200000,72100000,68000000,23000000,-74300000,22200000,69200000,32800000,65700000,183400000,111000000,301000000,-9000000,30000000,27000000,14000000,39000000,22000000,36000000,70000000,133000000,123000000,67000000
