,https://roic.ai/company/FICO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14800000,18100000,21000000,23200000,25500000,31800000,42600000,66700000,90300000,113900000,148700000,199000000,245500000,276900000,297985000,329148000,392418000,629295000,706206000,798671000,825365000,822236000,744842000,630735000,605643000,619683000,676423000,743444000,788985000,838781000,881356000,932169000,1032475000,1160083000,1294562000,1316536000
2,COGS,6700000,8000000,9700000,9800000,9300000,10300000,13100000,21300000,30000000,37500000,49300000,62100000,71500000,89900000,108955000,148559000,176029000,246592000,252587000,275065000,281977000,293482000,274917000,206448000,180932000,186470000,197947000,229468000,249281000,270535000,265173000,287123000,310699000,336845000,361142000,332462000
3,Gross Profit,8100000,10100000,11300000,13400000,16200000,21500000,29500000,45400000,60300000,76400000,99400000,136900000,174000000,187000000,189030000,180589000,216389000,382703000,453619000,523606000,543388000,528754000,469925000,424287000,424711000,433213000,478476000,513976000,539704000,568246000,616183000,645046000,721776000,823238000,933420000,984074000
4,Gross Profit Ratio,0.5473,0.5580,0.5381,0.5776,0.6353,0.6761,0.6925,0.6807,0.6678,0.6708,0.6685,0.6879,0.7088,0.6753,0.6344,0.5487,0.5514,0.6081,0.6423,0.6556,0.6584,0.6431,0.6309,0.6727,0.7013,0.6991,0.7074,0.6913,0.6840,0.6775,0.6991,0.6920,0.6991,0.7096,0.7210,0.7475
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,7800000,17600000,29100000,29700000,29817000,28321000,74040000,67574000,71088000,81295000,84967000,70599000,77794000,73626000,73581000,62129000,59527000,66967000,83435000,98824000,103669000,110870000,128383000,149478000,166499000,171231000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,46300000,55800000,69800000,89600000,93500000,90215000,78061000,83633000,124641000,182374000,223400000,260845000,285541000,245639000,209319000,225263000,223615000,238522000,268395000,278203000,300002000,328940000,339796000,380362000,414086000,420930000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4900000,6200000,8500000,10900000,13900000,17300000,22500000,32700000,35600000,46300000,55800000,69800000,89600000,93500000,90215000,78061000,83633000,124641000,182374000,223400000,260845000,285541000,245639000,209319000,225263000,223615000,238522000,268395000,278203000,300002000,328940000,339796000,380362000,414086000,420930000,396281000
9,Other Expenses,300000,400000,300000,700000,1300000,1100000,1400000,4500000,4900000,6200000,7800000,11800000,14900000,17400000,21461000,2100000,4380000,13793000,19064000,25900000,25191000,21685000,14043000,15884000,10901000,7741000,6944000,13535000,11917000,13673000,13982000,12709000,6594000,6126000,4993000,3255000
10,Operating Expenses,5200000,6600000,8800000,11600000,15200000,18400000,23900000,37200000,44500000,56500000,71400000,99200000,133600000,140600000,141493000,108482000,162053000,206008000,272526000,330595000,371003000,377825000,337476000,298829000,309745000,293485000,304993000,348897000,373555000,412499000,446591000,463375000,515339000,569690000,592422000,570767000
11,COGS and Expenses,11900000,14600000,18500000,21400000,24500000,28700000,37000000,58500000,74500000,94000000,120700000,161300000,205100000,230500000,250448000,257041000,338082000,452600000,525113000,605660000,652980000,671307000,612393000,505277000,490677000,479955000,502940000,578365000,622836000,683034000,711764000,750498000,826038000,906535000,953564000,903229000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4717000,1688000,2192000,317000,54000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25481000,24124000,32364000,31734000,30281000,28550000,29150000,26633000,25790000,31311000,39752000,42177000,40092000
14,Depreciation and Amortization,300000,400000,300000,700000,1300000,1100000,1400000,4500000,4900000,6200000,7800000,11800000,14900000,17400000,21461000,25074000,32913000,53617000,49887000,54444000,48695000,49126000,39494000,38419000,30918000,24197000,21549000,33214000,32632000,33889000,31633000,36214000,30182000,31612000,30367000,25592000
15,EBITDA,3500000,4400000,4000000,3900000,3700000,5500000,8000000,13200000,21400000,27700000,35000000,47400000,57000000,67100000,68531000,101927000,86011000,225757000,218702000,248532000,207887000,198788000,155255000,161107000,147346000,154016000,189526000,195479000,194313000,172277000,202835000,213328000,249503000,287436000,329544000,538826000
16,EBITDA ratio,0.2365,0.2431,0.1905,0.1681,0.1451,0.1730,0.1878,0.1979,0.2370,0.2432,0.2354,0.2382,0.2322,0.2423,0.2300,0.3097,0.2192,0.3587,0.3097,0.3112,0.2519,0.2418,0.2084,0.2554,0.2433,0.2485,0.2802,0.2629,0.2463,0.2054,0.2301,0.2289,0.2417,0.2478,0.2546,0.4093
17,Operating Income,2900000,3500000,2500000,1800000,1000000,3100000,5600000,8200000,15800000,19900000,28000000,37700000,40400000,46400000,47537000,72107000,47112000,174194000,179866000,193011000,152723000,148474000,122283000,116747000,113349000,127337000,168358000,161593000,161868000,137505000,169592000,177200000,206437000,253548000,295969000,505489000
18,Operating Income ratio,0.1959,0.1934,0.1190,0.0776,0.0392,0.0975,0.1315,0.1229,0.1750,0.1747,0.1883,0.1894,0.1646,0.1676,0.1595,0.2191,0.1201,0.2768,0.2547,0.2417,0.1850,0.1806,0.1642,0.1851,0.1872,0.2055,0.2489,0.2174,0.2052,0.1639,0.1924,0.1901,0.1999,0.2186,0.2286,0.3840
19,Total Other Income Expenses (Gains),300000,500000,1200000,1400000,1400000,1300000,1000000,500000,700000,1600000,-800000,-2100000,1700000,4200000,-467000,4746000,5986000,-2054000,-11051000,1077000,6469000,1188000,-9288000,-19177000,-21045000,-29882000,-32115000,-29609000,-28737000,-28267000,-25023000,-25876000,-18427000,-37476000,-38969000,-32347000
20,Income Before Tax,3200000,4000000,3700000,3200000,2400000,4400000,6600000,8700000,16500000,21500000,27200000,35600000,42100000,50600000,47070000,76853000,53098000,172140000,168815000,194088000,159192000,149662000,112995000,97570000,92304000,97455000,136243000,131984000,133131000,109238000,144569000,151324000,188010000,216072000,257000000,473142000
21,Income Before Tax Ratio,0.2162,0.2210,0.1762,0.1379,0.0941,0.1384,0.1549,0.1304,0.1827,0.1888,0.1829,0.1789,0.1715,0.1827,0.1580,0.2335,0.1353,0.2735,0.2390,0.2430,0.1929,0.1820,0.1517,0.1547,0.1524,0.1573,0.2014,0.1775,0.1687,0.1302,0.1640,0.1623,0.1821,0.1863,0.1985,0.3594
22,Income Tax expense (Gain),1600000,1900000,1300000,1200000,800000,1600000,2700000,3400000,6500000,8800000,11000000,14900000,17800000,20600000,19439000,30741000,35214000,64983000,66027000,59540000,55706000,45012000,31809000,32105000,27847000,25893000,44239000,41889000,38252000,22736000,35121000,23068000,45595000,23948000,20589000,81058000
23,Net Income,1600000,2100000,2400000,2000000,1600000,2800000,3900000,5300000,10000000,12700000,16200000,20700000,24300000,29100000,27631000,46112000,17884000,107157000,102788000,134548000,103486000,104650000,83952000,65102000,64457000,71562000,92004000,90095000,94879000,86502000,109448000,128256000,142415000,192124000,236411000,392084000
24,Net Income ratio,0.1081,0.1160,0.1143,0.0862,0.0627,0.0881,0.0915,0.0795,0.1107,0.1115,0.1089,0.1040,0.0990,0.1051,0.0927,0.1401,0.0456,0.1703,0.1455,0.1685,0.1254,0.1273,0.1127,0.1032,0.1064,0.1155,0.1360,0.1212,0.1203,0.1031,0.1242,0.1376,0.1379,0.1656,0.1826,0.2978
25,EPS,0.05,0.06,0.06,0.05,0.04,0.07,0.10,0.13,0.25,0.30,0.38,0.43,0.52,0.63,0.57,0.93,0.33,1.49,1.47,2.02,1.63,1.87,1.72,1.34,1.44,1.82,2.64,2.55,2.80,2.75,3.52,4.16,4.79,6.63,8.13,13.65
26,EPS Diluted,0.05,0.06,0.06,0.05,0.04,0.07,0.10,0.13,0.23,0.30,0.38,0.43,0.50,0.62,0.56,0.89,0.32,1.41,1.41,1.86,1.59,1.82,1.70,1.33,1.42,1.79,2.55,2.48,2.72,2.65,3.39,3.98,4.57,6.34,7.90,13.40
27,Weighted Average Shares Outstanding,29955254,33699210,38513383,39646355,38514310,39315903,39826804,40592497,39646355,42940125,43027875,47931750,46450125,47496375,48127500,49468500,54801000,72184500,69933000,66556000,63579000,56054000,48940000,48658000,44903000,39359000,34909000,35332000,33870000,31402000,31129000,30862000,29711000,28980000,29067000,28734000
28,Weighted Average Shares Outstanding Diluted,29955254,33699210,38513383,39646355,38514310,39315903,39826804,40592497,42657566,42940125,43027875,47931750,48812625,48478500,49393125,51882750,56325000,75973500,73032000,73584000,65125000,57548000,49373000,48776000,45308000,39988000,36063000,36292000,34864000,32609000,32308000,32245000,31180000,30294000,29932000,29260000
