,https://roic.ai/company/NTAP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46632000,93333000,166163000,289420000,579300000,1006186000,798369000,892068000,1170310000,1598131000,2066456000,2804300000,3303200000,3406400000,3931400000,5122600000,6233200000,6332400000,6325100000,6122700000,5546000000,5491000000,5919000000,6146000000,5412000000,5744000000
2,COGS,20557000,38061000,67549000,118120000,235846000,401707000,317846000,345642000,465789000,623083000,809995000,1099800000,1289800000,1416500000,1412200000,1793900000,2519800000,2571300000,2406000000,2289500000,2173000000,2127000000,2210000000,2201000000,1789000000,1929000000
3,Gross Profit,26075000,55272000,98614000,171300000,343454000,604479000,480523000,546426000,704521000,975048000,1256461000,1704500000,2013400000,1989900000,2519200000,3328700000,3713400000,3761100000,3919100000,3833200000,3373000000,3364000000,3709000000,3945000000,3623000000,3815000000
4,Gross Profit Ratio,0.5592,0.5922,0.5935,0.5919,0.5929,0.6008,0.6019,0.6125,0.6020,0.6101,0.6080,0.6078,0.6095,0.5842,0.6408,0.6498,0.5957,0.5939,0.6196,0.6261,0.6082,0.6126,0.6266,0.6419,0.6694,0.6642
5,Research and Development Exp.,4762000,8968000,16649000,30457000,62065000,120938000,116725000,112863000,131856000,171049000,242988000,385400000,452200000,498500000,535700000,648600000,828200000,904200000,917300000,919300000,861000000,779000000,783000000,827000000,847000000,881000000
6,General and Administrative Exp.,- -,28402000,49307000,85717000,176021000,335464000,- -,- -,- -,- -,- -,147487000,171512000,-1184751200000,238800000,251300000,264900000,272600000,281000000,284200000,307000000,289000000,257000000,278000000,263000000,257000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,895813000,1075588000,1186141000000,1293700000,1597000000,1864000000,1974800000,1898200000,1913200000,1792000000,1633000000,1729000000,1657000000,1585000000,1744000000
8,"Selling, General and Administrative Exp.",- -,28402000,49307000,85717000,176021000,335464000,331739000,- -,- -,- -,- -,1043300000,1247100000,1389800000,1532500000,1848300000,2128900000,2247400000,2179200000,2197400000,2099000000,1922000000,1986000000,1935000000,1848000000,2001000000
9,Other Expenses,15313000,4300000,- -,- -,- -,11732000,20895000,344700000,407955000,551083000,700299000,-25500000,500000,83900000,- -,7500000,9800000,1700000,88300000,- -,65000000,42000000,-218000000,-38000000,-7000000,- -
10,Operating Expenses,20075000,41670000,65956000,116174000,238086000,468134000,469359000,457563000,539811000,722132000,943287000,1403200000,1699800000,1972200000,2068200000,2504400000,2966900000,3153300000,3184800000,3116700000,3025000000,2743000000,2551000000,2724000000,2688000000,2882000000
11,COGS and Expenses,40632000,79731000,133505000,234294000,473932000,869841000,787205000,803205000,1005600000,1345215000,1753282000,2503000000,2989600000,3388700000,3480400000,4298300000,5486700000,5724600000,5590800000,5406200000,5198000000,4870000000,4761000000,4925000000,4477000000,4811000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57610000,31200000,39900000,38200000,42200000,34900000,36600000,46000000,44000000,79000000,88000000,48000000,9000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26865000,74100000,75900000,74700000,91700000,36100000,42000000,49000000,52000000,62000000,58000000,55000000,74000000
14,Depreciation and Amortization,1386000,2866000,5548000,8146000,15708000,42260000,65290000,57411000,59453000,65624000,81797000,110833000,144184000,170538000,166000000,165600000,293100000,344600000,334100000,307200000,279000000,226000000,198000000,197000000,193000000,207000000
15,EBITDA,7986000,6909000,39095000,65136000,130114000,175269000,67823000,155226000,229907000,341852000,432069000,470533000,526884000,205703000,687100000,1035600000,1080200000,1002900000,1110900000,1062000000,673000000,899000000,601000000,1523000000,1192000000,1243000000
16,EBITDA ratio,0.1713,0.0740,0.2353,0.2251,0.2246,0.1742,0.0850,0.1740,0.1964,0.2139,0.2091,0.1678,0.1595,0.0604,0.1748,0.2022,0.1733,0.1584,0.1756,0.1735,0.1213,0.1637,0.1015,0.2478,0.2203,0.2164
17,Operating Income,6000000,3083000,32658000,55126000,105368000,109657000,-1062000,87606000,158463000,253187000,308291000,301242000,313600000,47175000,488400000,824300000,746500000,607800000,734300000,716500000,348000000,665000000,1125000000,1221000000,945000000,1031000000
18,Operating Income ratio,0.1287,0.0330,0.1965,0.1905,0.1819,0.1090,-0.0013,0.0982,0.1354,0.1584,0.1492,0.1074,0.0949,0.0138,0.1242,0.1609,0.1198,0.0960,0.1161,0.1170,0.0627,0.1211,0.1901,0.1987,0.1746,0.1795
19,Total Other Income Expenses (Gains),668000,960000,889000,1864000,9038000,23352000,3595000,10209000,11991000,23041000,41981000,58458000,69100000,-38875000,-41400000,-30200000,-34100000,-41200000,6400000,-3700000,-3000000,-44000000,74000000,47000000,-1000000,-69000000
20,Income Before Tax,- -,4043000,33547000,56990000,114406000,133009000,2533000,97815000,170454000,276228000,350272000,359700000,382700000,8300000,447000000,794100000,712400000,566600000,740700000,712800000,345000000,621000000,1199000000,1268000000,944000000,962000000
21,Income Before Tax Ratio,- -,0.0433,0.2019,0.1969,0.1975,0.1322,0.0032,0.1096,0.1456,0.1728,0.1695,0.1283,0.1159,0.0024,0.1137,0.1550,0.1143,0.0895,0.1171,0.1164,0.0622,0.1131,0.2026,0.2063,0.1744,0.1675
22,Income Tax expense (Gain),- -,3793000,12582000,21377000,40614000,58123000,-500000,21343000,18367000,50474000,83820000,62000000,73000000,-56300000,46600000,121000000,107000000,61300000,103200000,152900000,116000000,140000000,225000000,99000000,125000000,232000000
23,Net Income,6600000,250000,20965000,35613000,73792000,74886000,3033000,76472000,152087000,225754000,266452000,297700000,309700000,64600000,400400000,673100000,605400000,505300000,637500000,559900000,229000000,481000000,116000000,1169000000,819000000,730000000
24,Net Income ratio,0.1415,0.0027,0.1262,0.1230,0.1274,0.0744,0.0038,0.0857,0.1300,0.1413,0.1289,0.1062,0.0938,0.0190,0.1018,0.1314,0.0971,0.0798,0.1008,0.0914,0.0413,0.0876,0.0196,0.1902,0.1513,0.1271
