,https://roic.ai/company/KSS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,862900000,1005800000,1096900000,1305700000,1554100000,1925700000,2388000000,3060100000,3682000000,4557000000,6152000000,7489000000,9120000000,10282094000,11701000000,13402000000,15544000000,16474000000,16389000000,17178000000,18391000000,18804000000,19279000000,19031000000,19023000000,19204000000,19681000000,20084000000,20229000000,19974000000,15955000000,19433000000
2,COGS,572700000,659900000,722600000,868400000,1037700000,1294700000,1609000000,2046500000,2447000000,3014000000,4056000000,4924000000,5981000000,6887033000,7587000000,8639000000,9891000000,10460000000,10334000000,10680000000,11359000000,11625000000,12289000000,12087000000,12098000000,12265000000,11944000000,12176000000,12199000000,12140000000,10360000000,11437000000
3,Gross Profit,290200000,345900000,374300000,437300000,516400000,631000000,779000000,1013600000,1235000000,1543000000,2096000000,2565000000,3139000000,3395061000,4114000000,4763000000,5653000000,6014000000,6055000000,6498000000,7032000000,7179000000,6990000000,6944000000,6925000000,6939000000,7737000000,7908000000,8030000000,7834000000,5595000000,7996000000
4,Gross Profit Ratio,0.3363,0.3439,0.3412,0.3349,0.3323,0.3277,0.3262,0.3312,0.3354,0.3386,0.3407,0.3425,0.3442,0.3302,0.3516,0.3554,0.3637,0.3651,0.3695,0.3783,0.3824,0.3818,0.3626,0.3649,0.3640,0.3613,0.3931,0.3937,0.3970,0.3922,0.3507,0.4115
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,547000000,697400000,827000000,1006000000,1318000000,1558000000,1857000000,2134893000,2589000000,3008000000,3451000000,3758000000,3978000000,4196000000,4190000000,- -,4267000000,4313000000,4350000000,4452000000,5430000000,5501000000,5601000000,5705000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",212000000,274400000,289900000,310900000,365100000,447200000,546500000,697400000,826600000,1006241000,1317556000,1557987000,1857246000,2134893000,2588752000,3007842000,3451196000,3757563000,3978000000,4196000000,4462000000,4243000000,4267000000,4313000000,4350000000,4452000000,4435000000,4512000000,5601000000,5705000000,5021000000,5478000000
9,Other Expenses,18700000,19900000,19800000,24000000,27400000,34000000,43500000,57700000,70400000,88759000,127444000,157013000,191754000,236864000,288248000,339158000,386804000,451437000,541000000,590000000,-272000000,778000000,833000000,889000000,886000000,1103000000,2119000000,1980000000,1131000000,1021000000,874000000,- -
10,Operating Expenses,230700000,294300000,309700000,334900000,392500000,481200000,590000000,755100000,897000000,1095000000,1445000000,1715000000,2049000000,2371757000,2877000000,3347000000,3838000000,4209000000,4519000000,4786000000,4190000000,5021000000,5100000000,5202000000,5236000000,5555000000,6554000000,6492000000,6732000000,6726000000,5895000000,5478000000
