,https://roic.ai/company/UNH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,101200000,212900000,435400000,433900000,412000000,605500000,847100000,1441800000,2527300000,3768882000,5670878000,10073790000,11794000000,17355000000,19562000000,21122000000,23454000000,25020000000,28566000000,36830000000,44866000000,70671000000,75431000000,80415000000,87138000000,93546000000,101208000000,109938000000,121744000000,129695000000,156397000000,184012000000,200136000000,224871000000,240269000000,255639000000,285273000000
2,COGS,52200000,123100000,298500000,304700000,243600000,383700000,533700000,959200000,1762600000,2643107000,3930933000,7179679000,8542000000,13523000000,15043000000,16155000000,21623000000,18192000000,20714000000,27000000000,32725000000,53907000000,56203000000,61839000000,79788000000,70957000000,76717000000,82749000000,92129000000,97041000000,120081000000,141454000000,154148000000,172401000000,184557000000,190141000000,217945000000
3,Gross Profit,49000000,89800000,136900000,129200000,168400000,221800000,313400000,482600000,764700000,1125775000,1739945000,2894111000,3252000000,3832000000,4519000000,4967000000,1831000000,6828000000,7852000000,9830000000,12141000000,16764000000,19228000000,18576000000,7350000000,22589000000,24491000000,27189000000,29615000000,32654000000,36316000000,42558000000,45988000000,52470000000,55712000000,65498000000,67328000000
4,Gross Profit Ratio,0.4842,0.4218,0.3144,0.2978,0.4087,0.3663,0.3700,0.3347,0.3026,0.2987,0.3068,0.2873,0.2757,0.2208,0.2310,0.2352,0.0781,0.2729,0.2749,0.2669,0.2706,0.2372,0.2549,0.2310,0.0843,0.2415,0.2420,0.2473,0.2433,0.2518,0.2322,0.2313,0.2298,0.2333,0.2319,0.2562,0.2360
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030906000,2164535000,2364000000,2964000000,3343000000,- -,- -,- -,4875000000,- -,6814000000,9981000000,- -,13103000000,- -,14270000000,15557000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",43300000,78000000,149800000,128600000,134700000,155900000,184000000,273800000,408500000,555649000,1030906000,2164535000,2364000000,2964000000,3343000000,- -,- -,- -,4875000000,- -,6814000000,9981000000,- -,13103000000,- -,14270000000,15557000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1600000,3500000,7800000,8300000,7800000,10600000,14300000,31100000,50300000,28139000,94458000,118198000,146000000,185000000,233000000,3767000000,265000000,4642000000,299000000,6117000000,453000000,670000000,11379000000,981000000,991000000,1064000000,1124000000,18615000000,20737000000,23159000000,26005000000,30456000000,31802000000,36502000000,37913000000,44595000000,45682000000
10,Operating Expenses,44900000,81500000,157600000,136900000,142500000,166500000,198300000,304900000,458800000,583788000,1125364000,2282733000,2510000000,3149000000,3576000000,3767000000,265000000,4642000000,5174000000,6117000000,7267000000,10651000000,11379000000,14084000000,991000000,15334000000,16681000000,18615000000,20737000000,23159000000,26005000000,30456000000,31802000000,36502000000,37913000000,44595000000,45682000000
11,COGS and Expenses,97100000,204600000,456100000,441600000,386100000,550200000,732000000,1264100000,2221400000,3226895000,5056297000,9462412000,11052000000,16672000000,18619000000,19922000000,21888000000,22834000000,25888000000,33117000000,39992000000,64558000000,67582000000,75923000000,80779000000,86291000000,93398000000,101364000000,112866000000,120200000000,146086000000,171910000000,185950000000,208903000000,222470000000,234736000000,263627000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,128000000,241000000,456000000,- -,639000000,551000000,481000000,505000000,632000000,708000000,618000000,790000000,1067000000,1186000000,1400000000,1704000000,1663000000,1660000000
