,https://roic.ai/company/RAVE,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,1900000,2220000,1950000,2390000,2910000,2060000,1526000,1510000,1710000,1920000,1770000,1520000,1396000,1370000,1490000,1830000,1850000,1615000,1700000,180000,197000,79000,6000,7000,- -,- -
36,Other Current Assets,- -,- -,- -,800000,460000,560000,1740000,1690000,1860000,2202000,1120000,600000,850000,1450000,960000,1091000,870000,1000000,1050000,1340000,1189000,1130000,1601000,430000,966000,812000,615000,452000,231000
37,Total Current Assets,- -,- -,- -,10100000,12310000,11610000,10040000,10570000,10260000,8697000,7020000,6720000,6980000,6530000,7080000,6695000,5150000,5990000,7510000,7310000,7497000,9370000,11692000,4872000,5126000,4739000,4470000,4932000,10373000
38,PP&E,- -,- -,- -,1900000,2980000,2680000,3340000,2820000,7170000,13904000,13250000,12770000,12160000,11920000,780000,635000,1740000,2170000,3200000,4790000,4711000,5130000,10020000,12979000,3808000,1510000,500000,3933000,2530000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,196000,155000,183000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,196000,155000,183000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1347000,- -,- -,- -,- -,- -,237000,- -,- -,360000,700000,168000,820000,- -,- -,- -,- -,4060000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,12400000,9020000,7480000,5210000,4300000,2440000,666000,530000,1420000,1120000,550000,330000,268000,170000,180000,80000,-300000,159000,650000,2259000,654000,612000,4525000,1200000,685000,259000
45,Total Non-Current Assets,- -,- -,- -,14300000,12000000,10160000,8550000,7120000,9610000,15917000,13780000,14190000,13280000,12470000,1110000,1140000,1910000,2350000,3640000,5190000,5038000,6600000,12279000,13633000,4420000,6247000,5956000,4773000,2972000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,24400000,24310000,21770000,18590000,17690000,19870000,24614000,20800000,20910000,20260000,19000000,8190000,7835000,7060000,8340000,11150000,12500000,12535000,15970000,23971000,18505000,9546000,10986000,10426000,9705000,13345000
48,Accounts Payable,- -,- -,- -,2300000,1480000,2010000,2640000,2250000,3250000,1527000,1220000,1250000,1960000,2220000,2080000,2380000,1810000,1780000,2100000,1560000,1572000,2020000,2875000,3815000,4165000,774000,400000,446000,644000
49,Short-Term Debt,- -,- -,- -,2100000,- -,- -,- -,- -,- -,1885000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669000,- -,- -,- -,1000000,- -,- -,632000,2291000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145000,458000,- -,618000,723000,822000,200,169000,177000,374000,304000,212000,65000,275000,254000,626000
52,Other Current Liabilities,- -,- -,- -,3200000,3030000,2640000,2220000,3580000,3730000,2529000,3500000,2520000,1790000,11685000,1352000,1316000,522000,867000,1278000,2719800,1749000,1593000,1422000,1380000,1366000,1141000,1703000,1182000,970000
53,Total Current Liabilities,- -,- -,- -,7600000,4510000,4650000,4860000,5830000,6980000,5941000,4720000,3770000,3750000,15050000,3890000,3696000,2950000,3370000,4200000,4280000,4159000,3790000,4671000,5499000,6743000,1980000,2378000,2514000,4531000
54,Long-Term Debt,- -,- -,- -,7900000,7790000,5450000,6940000,10660000,11160000,15091000,9680000,7960000,7310000,8044000,- -,- -,620000,220000,480000,980000,1856000,270000,- -,- -,2749000,1562000,1584000,5677000,1911000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125,429000,791000,1166000,1440000,655000,- -,1561000,960000,1170000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699,- -,951000,1864000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,800000,790000,760000,730000,710000,870000,653000,990000,460000,290000,-7604000,530000,485000,440000,370000,630000,929176,22000,-72000,-940000,2163000,1478000,1145000,469000,51000,- -
58,Total Non-Current Liabilities,- -,- -,- -,8700000,8580000,6210000,7670000,11370000,12030000,15744000,10670000,8420000,7600000,440000,530000,485000,1060000,590000,1110000,1910000,2307000,1940000,2090000,3603000,4882000,2707000,3614000,6688000,3081000
