,https://roic.ai/company/KEP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,5161884933002,5336342500000,5263885000000,5802937945430,5479264597925,5833213495512,6233033000000,6318534000000,6415199000000,6877390000000,6996710000000,7392375000000,7873459000000,8341384000000,8960988000000,9773711000000,10024794000000,11128740000000,11548019000000,11938272000000
15,EBITDA,1189189187560,1472253679000,1482932992500,1636005260250,11329889675863,10492003750000,10495776000000,10218846810740,9361217925974,8924705075100,3348903000000,8175826000000,8424888000000,6923114000000,5189045000000,9263492000000,14342295000000,28885608000000,21127578000000,15034807000000,9752364000000,9827731000000,16433855000000,6597272000000
16,EBITDA ratio,0.0858,0.0938,0.0793,0.0867,0.5303,0.4393,0.4535,0.4047,0.3581,0.3061,0.1061,0.2405,0.2137,0.1590,0.1056,0.1725,0.2511,0.4931,0.3535,0.2534,0.1624,0.1678,0.2837,0.1089
17,Operating Income,13863689757740,15703284240780,18707964555000,18871222122450,5148868325652,5477976250000,4315983000000,3892275408550,3342971692145,2823271541566,-2798073000000,1714822000000,1580153000000,-684963000000,-2300323000000,1947835000000,6209070000000,20280876000000,12296360000000,5319869000000,-685109000000,-1707527000000,4096620000000,-5860143000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,0.2410,0.2294,0.1865,0.1542,0.1279,0.0968,-0.0887,0.0504,0.0401,-0.0157,-0.0468,0.0363,0.1087,0.3462,0.2058,0.0897,-0.0114,-0.0292,0.0707,-0.0967
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,2766310794,-1192431250000,203089000000,-113920255860,-129497914980,-469318353055,-1045530000000,-1392409000000,-1142987000000,-1788163000000,-1763023000000,-2344323000000,-1979764000000,-1625090000000,-1782892000000,-1705651000000,-1315710000000,-1558311000000,-1105087000000,-1256857000000
20,Income Before Tax,- -,- -,- -,- -,5151634636445,4285545000000,4519072000000,3778355152690,3213473777165,2353953188511,-3843603000000,322413000000,437166000000,-2473126000000,-4063346000000,-396488000000,4229306000000,18655786000000,10513468000000,3614218000000,-2000819000000,-3265838000000,2991533000000,-7117000000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.2411,0.1794,0.1953,0.1496,0.1229,0.0807,-0.1218,0.0095,0.0111,-0.0568,-0.0827,-0.0074,0.0740,0.3185,0.1759,0.0609,-0.0333,-0.0558,0.0516,-0.1175
22,Income Tax expense (Gain),- -,- -,- -,- -,2103684459546,1849067500000,1734296000000,1389027681100,1090636029687,926689140541,-929564000000,370145000000,457021000000,819871000000,-985377000000,-570794000000,1430339000000,5239413000000,3365141000000,2172824000000,-826321000000,-1002303000000,899064000000,- -
23,Net Income,1189189187560,1472253679000,1482932992500,1636005260250,3047950176900,2436477500000,2784776000000,2389327471590,2122837747478,1427264047970,-2955339000000,-96716000000,-72156000000,-3292997000000,-3166616000000,60011000000,2686873000000,13289127000000,7048581000000,1298720000000,-1314567000000,-2345517000000,1991347000000,-5341000000000
24,Net Income ratio,0.0858,0.0938,0.0793,0.0867,0.1427,0.1020,0.1203,0.0946,0.0812,0.0490,-0.0936,-0.0028,-0.0018,-0.0756,-0.0645,0.0011,0.0470,0.2268,0.1179,0.0219,-0.0219,-0.0400,0.0344,-0.0882
25,EPS,963.57,1168.20,1159.28,1280.05,2385.38,1933.49,2210.20,1873.35,1663.50,1147.34,-2373.00,-62.50,-58.00,-96.50,-2541.50,48.00,2145.00,10350.50,5490.00,1011.50,-1024.00,-1827.00,1551.00,-4159.94
26,EPS Diluted,963.57,1164.70,1158.78,1280.05,2385.38,1933.49,2178.32,1861.48,1616.29,1129.34,-2373.00,-62.50,-58.00,-96.50,-2541.50,48.00,2145.00,10350.50,5490.00,1011.50,-1024.00,-1827.00,1551.00,-4159.94
27,Weighted Average Shares Outstanding,1234146341,1260280374,1279183068,1278082527,1277761892,1260146904,1259965044,1275431959,1276123585,1243435244,1245275434,1243408000,1244068966,1283928154,1245963407,1250229167,1252621445,1283911598,1283928154,1283954523,1283928154,1283928154,1283911670,1283911670
28,Weighted Average Shares Outstanding Diluted,1234146341,1264066385,1279734321,1278082527,1277761892,1260146904,1278403616,1283559911,1313402044,1262430688,1245275434,1243408000,1244068966,1283928154,1245963407,1250229167,1252621445,1283911598,1283928154,1283954523,1283928154,1283928154,1283911670,1283911670
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887225/000119312504111982/0001193125-04-111982-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000114554905001178/0001145549-05-001178-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312506139957/0001193125-06-139957-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312507146365/0001193125-07-146365-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312508143573/0001193125-08-143573-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312509136517/0001193125-09-136517-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312510149420/0001193125-10-149420-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312511178441/0001193125-11-178441-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312512196272/0001193125-12-196272-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312513187044/0001193125-13-187044-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312514171889/0001193125-14-171889-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312515160568/0001193125-15-160568-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312516566345/0001193125-16-566345-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312517145220/0001193125-17-145220-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312518141125/0001193125-18-141125-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312519127526/0001193125-19-127526-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312520125462/0001193125-20-125462-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,1997378409760,2150415000000,1612885000000,1388028380610,1760693687547,1575220040793,1452286000000,1489390000000,2097285000000,1387921000000,1954949000000,2232313000000,1796300000000,3783065000000,3051353000000,2369739000000,1358345000000,1810129000000,2029584000000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330947000000,510984000000,571819000000,- -,656217000000,436213000000,176428000000,5335621000000,2671989000000,1958357000000,2359895000000,1586509000000,2770695000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,1997378409760,2150415000000,1612885000000,1388028380610,1760693687547,1575220040793,1783233000000,2000374000000,2669104000000,1387921000000,2611166000000,2668526000000,1972728000000,9118686000000,5723342000000,4328096000000,3718240000000,3396638000000,4800279000000,- -
34,Net Receivables,- -,- -,- -,- -,1845250295933,2164130000000,1647900000000,2484261018140,2628814859399,2997588957666,3532552000000,4576950000000,5026846000000,7668298000000,7215101000000,7978971000000,7898901000000,7521787000000,7838998000000,8029562000000,7936806000000,7801170000000,7730669000000,- -
