,https://roic.ai/company/OSUR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3200000,3600000,3800000,3000000,3300000,4800000,5000000,68700000,9400000,9800000,10100000,30103882,32573344,32009767,40451285,54008264,69366192,68154920,82685876,71104467,77026226,75014836,81881298,87820000,98940000,106464000,119719000,128198000,167064000,181743000,154605000,171721000,233674000
2,COGS,4200000,2000000,1900000,1200000,1700000,5600000,4900000,58600000,2800000,3000000,3100000,9002428,12333695,12888556,16061457,22143190,27973907,24756195,32402794,29976120,29895832,27655507,30163646,32249000,40351000,39840000,39426000,40171000,68108000,68130000,60022000,69853000,116074000
3,Gross Profit,-1000000,1600000,1900000,1800000,1600000,-800000,100000,10100000,6600000,6800000,7000000,21101454,20239649,19121211,24389828,31865074,41392285,43398725,50283082,41128347,47130394,47359329,51717652,55571000,58589000,66624000,80293000,88027000,98956000,113613000,94583000,101868000,117600000
4,Gross Profit Ratio,-0.3125,0.4444,0.5000,0.6000,0.4848,-0.1667,0.0200,0.1470,0.7021,0.6939,0.6931,0.7010,0.6214,0.5974,0.6029,0.5900,0.5967,0.6368,0.6081,0.5784,0.6119,0.6313,0.6316,0.6328,0.5922,0.6258,0.6707,0.6866,0.5923,0.6251,0.6118,0.5932,0.5033
5,Research and Development Exp.,- -,- -,- -,- -,- -,6100000,6800000,4500000,4200000,2900000,4000000,10399120,9389313,8274351,7999687,6062275,5269083,8647484,14136019,20255451,13371358,13191917,18406619,12445000,10932000,12058000,11654000,9754000,13365000,16250000,19629000,31032000,34170000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14732822,14387392,17675884,27159483,28550487,29288578,37366300,37203625,18299103,16793852,20325204,22309000,21654000,23750000,25493000,28356000,29321000,38325000,35287000,42653000,50328000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21224125,20727667,22383308,37087000,46465000,41118000,35088000,29652000,28532000,30609000,31869000,34459000,44751000
8,"Selling, General and Administrative Exp.",1400000,4400000,6100000,8200000,13900000,7800000,11200000,9800000,6700000,5400000,5700000,13808584,14732822,14387392,17675884,27159483,28550487,29288578,37366300,37203625,39523228,37521519,42708512,59396000,68119000,64868000,60581000,58008000,57853000,68934000,67156000,77112000,95079000
9,Other Expenses,300000,500000,900000,1200000,1100000,1200000,1500000,1300000,700000,700000,700000,2099668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
