,https://roic.ai/company/VLO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2661600000,1880100000,628500000,770600000,941300000,1168900000,1011800000,1234600000,1222200000,1837400000,3019800000,4990700000,5756200000,5539300000,7961200000,14671087000,14988339000,26976200000,37968600000,54617900000,82161200000,91832200000,95327000000,119114000000,68144000000,82233000000,125987000000,139250000000,138074000000,130844000000,87804000000,75659000000,93980000000,117033000000,108324000000,65652000000,113977000000
2,COGS,2337600000,1652100000,652500000,698200000,837200000,885000000,740600000,1052400000,1067200000,1609100000,2617600000,4569700000,5426400000,5442400000,7684600000,13756546000,13684041000,25126600000,35243100000,49937500000,74599000000,81267000000,85661000000,111984000000,65270000000,78419000000,120202000000,131954000000,131633000000,122528000000,78894000000,69422000000,89433000000,111439000000,103546000000,124585000000,110895000000
3,Gross Profit,324000000,228000000,-24000000,72400000,104100000,283900000,271200000,182200000,155000000,228300000,402200000,421000000,329800000,96900000,276600000,914541000,1304298000,1849600000,2725500000,4680400000,7562200000,10565200000,9666000000,7130000000,2874000000,3814000000,5785000000,7296000000,6441000000,8316000000,8910000000,6237000000,4547000000,5594000000,4778000000,-58933000000,3082000000
4,Gross Profit Ratio,0.1217,0.1213,-0.0382,0.0940,0.1106,0.2429,0.2680,0.1476,0.1268,0.1243,0.1332,0.0844,0.0573,0.0175,0.0347,0.0623,0.0870,0.0686,0.0718,0.0857,0.0920,0.1150,0.1014,0.0599,0.0422,0.0464,0.0459,0.0524,0.0466,0.0636,0.1015,0.0824,0.0484,0.0478,0.0441,-0.8977,0.0270
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53600000,69500000,68500000,130506000,165215000,- -,- -,- -,- -,- -,- -,- -,572000000,- -,571000000,698000000,758000000,724000000,710000000,715000000,835000000,925000000,868000000,756000000,865000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",127800000,127800000,- -,- -,- -,113900000,115300000,- -,- -,- -,78100000,81700000,53600000,69500000,68500000,130506000,165215000,929400000,993000000,1083500000,1229000000,1401000000,1388000000,1327000000,1274000000,531000000,571000000,698000000,758000000,724000000,710000000,715000000,835000000,925000000,868000000,756000000,865000000
9,Other Expenses,66000000,158100000,33300000,33700000,34400000,35600000,36600000,48200000,79500000,102400000,135300000,138400000,65200000,78700000,139000000,173056000,137740000,449300000,510500000,617700000,874200000,1154200000,1360000000,5240000000,1428000000,1405000000,1534000000,1574000000,1720000000,1690000000,1842000000,1894000000,113000000,97000000,74000000,3679000000,87000000
10,Operating Expenses,193800000,285900000,33300000,33700000,34400000,149500000,151900000,48200000,79500000,102400000,213400000,220100000,118800000,148200000,207500000,303562000,302955000,1378700000,1503500000,1701200000,2103200000,2555200000,2748000000,6567000000,2702000000,1936000000,2105000000,2272000000,2478000000,2414000000,2552000000,2609000000,948000000,1022000000,942000000,4435000000,952000000
11,COGS and Expenses,2531400000,1938000000,685800000,731900000,871600000,1034500000,892500000,1100600000,1146700000,1711500000,2831000000,4789800000,5545200000,5590600000,7892100000,14060108000,13986996000,26505300000,36746600000,51638700000,76702200000,83822200000,88409000000,118551000000,67972000000,80355000000,122307000000,134226000000,134111000000,124942000000,81446000000,72031000000,90381000000,112461000000,104488000000,129020000000,111847000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408000000,484000000,401000000,313000000,365000000,397000000,433000000,446000000,468000000,470000000,454000000,563000000,603000000
14,Depreciation and Amortization,66000000,158100000,33300000,33700000,34400000,35600000,36600000,48200000,79500000,102400000,135300000,138400000,65200000,78700000,139000000,173056000,252354000,449300000,510500000,618400000,875000000,1155000000,1376000000,1476000000,1527000000,1473000000,1534000000,1574000000,1720000000,1690000000,1842000000,1894000000,1986000000,2069000000,2255000000,2351000000,2405000000
15,EBITDA,132400000,-23700000,42300000,68100000,93700000,181200000,183000000,179600000,147700000,145200000,230400000,252100000,225100000,-4400000,159200000,701276000,1147207000,599000000,1497100000,3327800000,6161200000,9343200000,8771000000,1812000000,-144000000,2856000000,5251000000,5596000000,6059000000,7494000000,8135000000,5394000000,5570000000,6540000000,5833000000,904000000,4193000000
16,EBITDA ratio,0.0497,-0.0126,0.0673,0.0884,0.0995,0.1550,0.1809,0.1455,0.1208,0.0790,0.0763,0.0505,0.0391,-0.0008,0.0200,0.0478,0.0765,0.0222,0.0394,0.0609,0.0750,0.1017,0.0920,0.0152,-0.0021,0.0347,0.0417,0.0402,0.0439,0.0573,0.0926,0.0713,0.0593,0.0559,0.0538,0.0138,0.0368
17,Operating Income,130200000,-57900000,-57300000,38700000,69700000,134400000,119300000,134000000,75500000,125900000,188800000,200900000,211000000,-51300000,69100000,610979000,1001343000,470900000,1222000000,2979200000,5459000000,8010000000,6918000000,563000000,-58000000,1876000000,3680000000,4010000000,3963000000,5902000000,6358000000,3572000000,3599000000,4572000000,3836000000,-1579000000,2130000000
18,Operating Income ratio,0.0489,-0.0308,-0.0912,0.0502,0.0740,0.1150,0.1179,0.1085,0.0618,0.0685,0.0625,0.0403,0.0367,-0.0093,0.0087,0.0416,0.0668,0.0175,0.0322,0.0545,0.0664,0.0872,0.0726,0.0047,-0.0009,0.0228,0.0292,0.0288,0.0287,0.0451,0.0724,0.0472,0.0383,0.0391,0.0354,-0.0241,0.0187
19,Total Other Income Expenses (Gains),-63800000,-123900000,80600000,-4300000,-10400000,11200000,27100000,-2600000,-7300000,-83100000,-93700000,-87200000,-35400000,-31800000,-48900000,-82759000,-106490000,-321200000,-235400000,-269100000,-172000000,179000000,-192000000,-227000000,-391000000,-378000000,-358000000,-304000000,19000000,-350000000,-387000000,-390000000,-392000000,-340000000,-350000000,-431000000,-587000000
20,Income Before Tax,66400000,-181800000,23300000,34400000,59300000,145600000,146400000,131400000,68200000,42800000,95100000,113700000,175600000,-83100000,20200000,528220000,894853000,149700000,986600000,2710100000,5287000000,8189000000,6726000000,336000000,-449000000,1498000000,3322000000,3706000000,3982000000,5552000000,5971000000,3182000000,3207000000,4232000000,3486000000,-2010000000,1543000000
21,Income Before Tax Ratio,0.0249,-0.0967,0.0371,0.0446,0.0630,0.1246,0.1447,0.1064,0.0558,0.0233,0.0315,0.0228,0.0305,-0.0150,0.0025,0.0360,0.0597,0.0055,0.0260,0.0496,0.0643,0.0892,0.0706,0.0028,-0.0066,0.0182,0.0264,0.0266,0.0288,0.0424,0.0680,0.0421,0.0341,0.0362,0.0322,-0.0306,0.0135
