,https://roic.ai/company/OIBRQ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),- -,- -,-16917246,94406140,-111596365,-319454678,-75033130,-388822535,94804553,288291000,294727000,-411515000,408415000,489625000,759685000,519154000,1119955000,3379927000,3885000000,-350987000,-347139000,8019000,-3550920000
23,Net Income,- -,- -,122437493,281237497,-11617689,-505386573,98865777,-303480985,431347173,797287000,800051000,-1142689000,1971023000,1005731000,1784890000,1493015000,-4407711000,-9159343000,-6944000000,-3736518000,27369422000,-9000434000,-10529963000
24,Net Income ratio,- -,- -,0.0252,0.0457,-0.0016,-0.0641,0.0109,-0.0300,0.0420,0.0721,0.0723,-0.1050,0.1920,0.1088,0.0709,0.0525,-0.1560,-0.3348,-0.2671,-0.1571,1.2407,-0.4470,-1.1342
25,EPS,- -,- -,0.29,0.66,-0.16,-7.02,1.35,-4.18,5.89,10.90,10.90,-14.48,24.93,12.76,3.81,6.79,0.38,-5.05,-7.67,-7.03,10.16,-1.51,-1.77
26,EPS Diluted,- -,- -,0.29,0.66,-0.16,-7.02,1.35,-4.18,5.89,10.90,10.90,-14.48,24.93,12.76,3.81,6.79,0.38,-5.05,-7.67,-7.03,10.16,-1.51,-1.77
27,Weighted Average Shares Outstanding,- -,- -,423540000,424305600,71766068,72283681,72573259,72574657,73332175,73332174,73332174,79029247,79029247,79029247,219756863,219756863,842312676,977953606,905365401,905309755,2422131510,5944062000,5796448000
28,Weighted Average Shares Outstanding Diluted,- -,- -,423540000,424305600,71766068,72283681,72573259,72574657,73332175,73332174,73358929,79029247,79032191,79029247,219756863,219756863,842312676,977953606,905365401,905309755,2422131510,5944062000,5796448000
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160846/000116084604000040/0001160846-04-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281405000757/0001292814-05-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281406001767/0001292814-06-001767-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281407001383/0001292814-07-001383-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281408000656/0001292814-08-000656-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312509148208/0001193125-09-148208-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312510151837/0001193125-10-151837-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312511119254/0001193125-11-119254-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312512191656/0001193125-12-191656-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312513187787/0001193125-13-187787-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312514094078/0001193125-14-094078-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312515175172/0001193125-15-175172-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312516596449/0001193125-16-596449-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1160846/000119312518165452/0001193125-18-165452-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312519123081/0001193125-19-123081-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312520128888/0001193125-20-128888-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,836223976,331357376,1422897906,1459844087,2398443961,1729004055,2535465730,314330000,1478558000,1478558000,3216937000,6004506000,4413042000,2424830000,2449206000,14898063000,7563000000,6862684000,4385329000,2081945000,4107941000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,89208873,2062701000,561867000,561867000,832077000,1084027000,2425907000,492510000,171415000,1801720000,117000000,21447000,201975000,183850000,193715000
33,Cash and Short-Term Investments,- -,- -,836223976,331357376,1422897906,1459844087,2398443961,1729004055,2624674603,2377031000,2040425000,2040425000,4049014000,7088533000,6838949000,2917340000,2620621000,16699783000,7680000000,6884131000,4587304000,2265795000,4301656000
34,Net Receivables,- -,- -,1249904839,1230914214,1542848246,1852201240,2112138785,2151469126,2122513503,2643984000,2756333000,2756333000,2821536000,3147094000,10302043000,11253918000,9601484000,10365556000,10891000000,9572539000,7941053000,7967069000,6155810000
35,Inventory,- -,- -,11467303,- -,- -,- -,174079518,82983210,64009120,32711000,54048000,54048000,14323000,12671000,385165000,432633000,478499000,352000000,355000000,253624000,317503000,326934000,378462000
36,Other Current Assets,- -,- -,430648806,525894124,503992492,657380214,1118886066,1421871146,1189077735,896747000,1288359000,1256656000,1601924000,1997275000,3618629000,3083247000,36586191000,10796948000,7781000000,6787433000,8467624000,7433483000,22959810000
37,Total Current Assets,- -,- -,2528244923,2088165714,3469738644,3969425542,5803548330,5385327536,6000274960,5950473000,6139165000,6107462000,8486797000,12245573000,21144786000,17687138000,49286795000,38214287000,26707000000,23497727000,21313484000,17993281000,33795738000
38,PP&E,- -,- -,11994736636,10333742672,11454754865,9528597064,9372570207,8682183977,6519432085,5663418000,5902124000,5902123000,5316799000,5793711000,23110061000,24786286000,25670026000,25817821000,26268000000,27083454000,28468798000,38910834000,24135058000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,330345045,- -,- -,- -,- -,80494000,533525000,154395000,154395000,154074000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,493070634,- -,276403305,529408499,864158550,319197803,1160581138,1049560000,1632218000,1632218000,1237939000,551332000,4082757000,3765096000,3536904000,11780136000,11173000000,9254839000,8025442000,3997865000,3697821000
41,Intangible Assets,- -,- -,493070634,- -,276403305,529408499,864158550,649542848,1160581138,1049560000,1632218000,1632218000,1318433000,1084857000,4237152000,3919491000,3690978000,11780136000,11173000000,9254839000,8025442000,3997865000,3697821000
