,https://roic.ai/company/SO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6813900000,6846600000,7010400000,7235000000,7492000000,7975000000,8050000000,8073000000,8489000000,8297000000,9180000000,10358000000,12611000000,11403000000,11585000000,10066000000,10155000000,10549000000,11251000000,11902000000,13554000000,14356000000,15353000000,17127000000,15743000000,17456000000,17657000000,16537000000,17087000000,18467000000,17489000000,19896000000,23031000000,23495000000,21419000000,20375000000,23113000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,2335000000,2617000000,5208000000,7244000000,5726000000,5873000000,5103000000,5147000000,5403000000,5806000000,6466000000,5226000000,5695000000,6371000000,7633000000,6426000000,7262000000,6870000000,9392000000,9817000000,11031000000,9811000000,11224000000,12858000000,13842000000,11792000000,10478000000,13052000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,5962000000,6563000000,5150000000,5367000000,5677000000,5712000000,4963000000,5008000000,5146000000,5445000000,5436000000,8328000000,8661000000,8982000000,9494000000,9317000000,10194000000,10787000000,7145000000,7270000000,7436000000,7678000000,8672000000,10173000000,9653000000,9627000000,9897000000,10061000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7186,0.7149,0.4972,0.4256,0.4979,0.4931,0.4930,0.4932,0.4878,0.4840,0.4567,0.6144,0.6033,0.5850,0.5543,0.5918,0.5840,0.6109,0.4321,0.4255,0.4027,0.4390,0.4359,0.4417,0.4109,0.4495,0.4857,0.4353
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3536000000,3872000000,2549000000,2702000000,3025000000,2864000000,2559000000,2617000000,2565000000,2550000000,2609000000,5366000000,5437000000,5656000000,5988000000,5847000000,6392000000,6556000000,2701000000,4015000000,3794000000,3396000000,4043000000,7622000000,5543000000,4292000000,5077000000,6547000000
