,https://roic.ai/company/ALL,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,3154000000,3361000000,3257000000,2215000000,21630000000,20515000000,21134000000,23052000000,26087000000,27580000000,28039000000,28578000000,29350000000,33295000000,28618000000,30116000000,32419000000,30765000000,30274000000,31694000000,30009000000,31111000000,31003000000,32371000000,33780000000,34533000000,37071000000,38586000000,37832000000,42188000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,82000000,59000000,72000000,76000000,100000000,118000000,357000000,229000000,248000000,278000000,275000000,308000000,330000000,357000000,333000000,351000000,392000000,367000000,367000000,373000000,367000000,322000000,292000000,295000000,335000000,332000000,327000000,318000000,330000000
14,Depreciation and Amortization,112000000,26000000,52000000,-3000000,-19000000,-22000000,-22000000,-17000000,-47000000,-106000000,-62000000,-3000000,-4000000,-67000000,-188000000,-257000000,-376000000,-91000000,94000000,252000000,388000000,368000000,366000000,371000000,382000000,483000000,511000000,647000000,686000000,376000000
15,EBITDA,-1640000000,1485000000,339000000,2546000000,2751000000,4507000000,4812000000,4208000000,3188000000,1373000000,1415000000,3823000000,4715000000,2351000000,7347000000,6729000000,-3050000000,1549000000,1587000000,1579000000,4067000000,4131000000,4924000000,3945000000,3431000000,4809000000,3587000000,7063000000,7963000000,3594000000
16,EBITDA ratio,-0.0811,0.0709,0.0158,0.1107,0.1132,0.1806,0.1859,0.1561,0.1094,0.0476,0.0478,0.1189,0.1389,0.0664,0.2052,0.1830,-0.1038,0.0484,0.0505,0.0484,0.1221,0.1197,0.1397,0.1106,0.0939,0.1248,0.0901,0.1581,0.1778,0.0713
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),3362000000,3544000000,3603000000,4100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23772000000,- -,2168000000,- -,- -,- -,- -,- -,- -,- -,939000000,1054000000,1065000000,5993000000
20,Income Before Tax,- -,- -,- -,- -,2669000000,4434000000,4745000000,3907000000,3047000000,1285000000,1540000000,3571000000,4586000000,2088000000,7178000000,6653000000,-3025000000,1248000000,1126000000,960000000,3306000000,3396000000,4236000000,3282000000,2754000000,3991000000,2744000000,6089000000,6959000000,6448000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1098,0.1777,0.1834,0.1449,0.1046,0.0445,0.0521,0.1111,0.1351,0.0590,0.2005,0.1809,-0.1029,0.0390,0.0359,0.0294,0.0992,0.0984,0.1202,0.0921,0.0754,0.1036,0.0689,0.1363,0.1554,0.1279
22,Income Tax expense (Gain),-926000000,75000000,-256000000,573000000,619000000,1324000000,1422000000,1148000000,795000000,73000000,65000000,846000000,1230000000,323000000,2185000000,2017000000,-1346000000,394000000,198000000,172000000,1000000000,1116000000,1386000000,1111000000,877000000,802000000,492000000,1242000000,1383000000,1289000000
23,Net Income,-826000000,1302000000,484000000,1904000000,2075000000,3105000000,3294000000,2720000000,2211000000,1158000000,1134000000,2705000000,3181000000,1765000000,4993000000,4636000000,-1679000000,854000000,928000000,788000000,2306000000,2280000000,2850000000,2171000000,1877000000,3189000000,2252000000,4847000000,5576000000,1599000000
24,Net Income ratio,-0.0408,0.0622,0.0225,0.0828,0.0854,0.1245,0.1273,0.1009,0.0759,0.0401,0.0383,0.0841,0.0937,0.0499,0.1395,0.1261,-0.0571,0.0267,0.0296,0.0241,0.0692,0.0661,0.0809,0.0609,0.0514,0.0828,0.0566,0.1085,0.1245,0.0317
25,EPS,-0.96,1.50,0.54,2.13,2.31,3.58,3.96,3.40,2.97,1.61,1.60,3.85,4.57,2.67,7.89,7.83,-3.07,1.58,1.72,1.51,4.71,4.87,6.37,5.12,4.72,8.49,5.78,14.25,17.53,5.13
26,EPS Diluted,-0.96,1.50,0.54,2.12,2.31,3.56,3.94,3.38,2.95,1.60,1.60,3.83,4.54,2.64,7.84,7.77,-3.07,1.58,1.71,1.51,4.68,4.81,6.27,5.05,4.67,8.36,5.70,14.03,17.31,5.07
27,Weighted Average Shares Outstanding,721000000,900000000,899649000,898990000,896400000,868000000,832200000,800200000,744000000,720200000,707100000,703500000,695600000,661700000,632500000,592400000,546100000,539600000,540300000,520700000,489400000,464400000,431400000,401100000,372800000,362000000,347800000,328200000,311600000,311600000
28,Weighted Average Shares Outstanding Diluted,721000000,900000000,899649000,898990000,897400000,873000000,836600000,803800000,748700000,723300000,709900000,706200000,700300000,667300000,637200000,596700000,546100000,540900000,542500000,523100000,493000000,470300000,438200000,406800000,377300000,367800000,353200000,333500000,315500000,315500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899051/000089905198000014/0000899051-98-000014-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/899051/000091205701008238/a2042391z10-k405.htm,https://www.sec.gov/Archives/edgar/data/899051/000091205702011595/a2073498z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746903010828/a2104961z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746904007369/0001047469-04-007369-index.htm,- -,https://www.sec.gov/Archives/edgar/data/899051/000104746906002356/a2167600z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746907001347/a2175845z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746908001846/a2182971z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746909001878/0001047469-09-001878-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746910001355/0001047469-10-001355-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746911001286/a2202090z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746912001250/0001047469-12-001250-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746913001288/0001047469-13-001288-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746914001083/a2218256z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746915000935/a2223004z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905116000040/0000899051-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905117000005/0000899051-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/0000899051-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/0000899051-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/0000899051-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905121000011/0000899051-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905122000015/0000899051-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,116000000,220000000,258000000,254000000,222000000,263000000,462000000,366000000,414000000,313000000,443000000,422000000,415000000,612000000,562000000,776000000,806000000,675000000,657000000,495000000,436000000,617000000,499000000,338000000,377000000,763000000
32,Short-Term Investments,- -,- -,- -,- -,1278000000,687000000,2477000000,2422000000,1831000000,1908000000,2215000000,1815000000,4133000000,3470000000,2430000000,3058000000,8906000000,3056000000,3279000000,1291000000,2336000000,2393000000,2540000000,2122000000,4288000000,1944000000,3027000000,4256000000,7800000000,4009000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,1394000000,907000000,2735000000,2676000000,2053000000,2171000000,2677000000,2181000000,4547000000,3783000000,2873000000,3480000000,9321000000,3668000000,3841000000,2067000000,3142000000,3068000000,3197000000,2617000000,4724000000,2561000000,3526000000,4594000000,8177000000,4772000000
34,Net Receivables,- -,- -,- -,- -,2691000000,2959000000,3082000000,3927000000,3802000000,3976000000,4075000000,4386000000,4721000000,4739000000,4789000000,4879000000,4842000000,4839000000,4839000000,4920000000,13818000000,12858000000,13955000000,14062000000,14342000000,14707000000,15719000000,15683000000,15699000000,18388000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,96706000000,100760000000,108758000000,125600000000,138614000000,145685000000,148057000000,146162000000,118702000000,122280000000,- -,- -,65914000000,50896000000,51410000000,-8518000000,-8745000000,-8921000000,-9565000000,74895000000,11584000000,9195000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,102561000000,106907000000,115510000000,132167000000,147882000000,154207000000,155719000000,154521000000,132865000000,130787000000,8680000000,6987000000,82874000000,66822000000,68562000000,8161000000,10321000000,8347000000,9680000000,95172000000,35460000000,32355000000
38,PP&E,- -,- -,- -,- -,714000000,741000000,803000000,916000000,1000000000,984000000,989000000,1046000000,1018000000,1040000000,1010000000,1062000000,1059000000,990000000,921000000,914000000,989000000,1024000000,1031000000,1024000000,1065000000,1072000000,1045000000,1145000000,1057000000,939000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1247000000,1284000000,927000000,929000000,825000000,825000000,825000000,825000000,874000000,875000000,874000000,1242000000,1240000000,1243000000,1219000000,1219000000,1219000000,2181000000,2530000000,2545000000,2544000000,3502000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,874000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,713000000,481000000,453000000,1420000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1247000000,1284000000,927000000,929000000,825000000,825000000,825000000,825000000,874000000,875000000,874000000,1242000000,1240000000,1243000000,1219000000,1219000000,1219000000,2181000000,3243000000,3026000000,2997000000,4922000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83050000000,94844000000,105743000000,107699000000,108527000000,102766000000,80319000000,86846000000,87702000000,81767000000,88312000000,73367000000,73611000000,70026000000,73607000000,74297000000,72738000000,79540000000,86473000000,61224000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83050000000,-94844000000,-105743000000,-107699000000,-108527000000,-102766000000,-80319000000,-86846000000,32697000000,34653000000,-46468000000,-18936000000,-35890000000,24226000000,22398000000,26525000000,25543000000,-58933000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2247000000,2268000000,1916000000,1975000000,1843000000,1865000000,1835000000,1887000000,1933000000,1865000000,122194000000,118576000000,44073000000,56698000000,39971000000,96495000000,98289000000,104075000000,102569000000,24778000000,90527000000,67085000000
46,Other Assets,- -,- -,- -,- -,74508000000,80918000000,87691000000,98119000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216514000000,166525000000
47,Total Assets,- -,- -,- -,- -,74508000000,80918000000,87691000000,98119000000,104808000000,109175000000,117426000000,134142000000,149725000000,156072000000,157554000000,156408000000,134798000000,132652000000,130874000000,125563000000,126947000000,123520000000,108533000000,104656000000,108610000000,112422000000,112249000000,119950000000,125987000000,99440000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4010000000,4664000000,5694000000,5892000000,6184000000,6471000000,7155000000,6912000000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,199000000,393000000,665000000,219000000,227000000,279000000,3000000,43000000,413000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,59072000000,62862000000,67955000000,77703000000,83276000000,87858000000,95548000000,108501000000,122568000000,130586000000,131046000000,128917000000,116498000000,110050000000,105950000000,100981000000,96300000000,91175000000,75341000000,73615000000,75506000000,77050000000,77331000000,80409000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,59072000000,63061000000,68348000000,78368000000,83495000000,88085000000,95827000000,108504000000,122611000000,130999000000,131058000000,128917000000,116498000000,110050000000,105950000000,100981000000,100310000000,95839000000,81035000000,79507000000,81690000000,83521000000,84486000000,87321000000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,1386000000,1497000000,1353000000,2186000000,3112000000,3694000000,3961000000,5073000000,5291000000,4887000000,4650000000,5640000000,5659000000,5910000000,5908000000,5908000000,6057000000,6201000000,5194000000,5124000000,6347000000,6350000000,6451000000,6631000000,7825000000,7976000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,381000000,461000000,- -,348000000,137000000,259000000,1103000000,829000000,351000000,- -,- -,- -,- -,- -,- -,597000000,635000000,715000000,90000000,487000000,782000000,425000000,1154000000,1355000000,833000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-152000000,-381000000,-461000000,- -,-348000000,-137000000,-259000000,-1103000000,-829000000,-351000000,- -,- -,- -,- -,- -,- -,-597000000,-635000000,-715000000,-90000000,-487000000,-782000000,-425000000,-1154000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,1234000000,1497000000,1353000000,2186000000,3112000000,3694000000,3961000000,5073000000,5291000000,4887000000,4650000000,5640000000,5659000000,5910000000,5908000000,5908000000,6057000000,6201000000,5194000000,5124000000,6347000000,6350000000,6451000000,6631000000,9180000000,8809000000
59,Other Liabilities,- -,- -,- -,- -,3218000000,3744000000,3456000000,5336000000,6974000000,7588000000,8122000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104950000000,83122000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,61056000000,65308000000,70451000000,81518000000,87357000000,91979000000,99988000000,113577000000,127902000000,135886000000,135708000000,134557000000,122157000000,115931000000,111830000000,106861000000,106367000000,102040000000,86229000000,84631000000,88037000000,89871000000,90937000000,93952000000,95770000000,74313000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,780000000,1746000000,1746000000,1746000000,1746000000,1930000000,2248000000,1970000000,1970000000
63,Common Stock,- -,- -,- -,- -,5000000,5000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000
64,Retained Earnings,- -,- -,- -,- -,8958000000,11646000000,14490000000,16728000000,18433000000,19044000000,19584000000,21641000000,24043000000,24962000000,29070000000,32796000000,30207000000,31492000000,31969000000,32321000000,33783000000,35580000000,37842000000,39413000000,40678000000,43162000000,45708000000,48074000000,52767000000,53294000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1733000000,2756000000,2615000000,2082000000,991000000,623000000,-4801000000,-2106000000,-184000000,-7000000,1175000000,1046000000,561000000,-755000000,-416000000,306000000,-1557000000,1950000000,3304000000,655000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,4489000000,3959000000,2741000000,- -,- -,- -,-3888000000,-3841000000,-4844000000,-6867000000,-8224000000,-11577000000,-12774000000,-12703000000,-12778000000,-13649000000,-14387000000,-15935000000,-17854000000,-20388000000,-21444000000,-22672000000,-24778000000,-26283000000,-27833000000,-30749000000
67,Total Stockholders Equity,- -,- -,- -,- -,13452000000,15610000000,17240000000,16601000000,17451000000,17196000000,17438000000,20565000000,21823000000,20186000000,21846000000,21851000000,12641000000,16692000000,19016000000,18674000000,20580000000,21480000000,22304000000,20025000000,20573000000,22551000000,21312000000,25998000000,30217000000,25179000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,74508000000,80918000000,87691000000,98119000000,104808000000,109175000000,117426000000,134142000000,149725000000,156072000000,157554000000,156408000000,134798000000,132623000000,130846000000,125535000000,126947000000,123520000000,108533000000,104656000000,108610000000,112422000000,112249000000,119950000000,125987000000,99492000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,28000000,28000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52000000
70,Total Liabilities & Equity,- -,- -,- -,- -,74508000000,80918000000,87691000000,98119000000,104808000000,109175000000,117426000000,134142000000,149725000000,156072000000,157554000000,156408000000,134798000000,132652000000,130874000000,125563000000,126947000000,123520000000,108533000000,104656000000,108610000000,112422000000,112249000000,119950000000,125987000000,99440000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/899051/000089905198000014/0000899051-98-000014-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/899051/000091205701008238/a2042391z10-k405.htm,https://www.sec.gov/Archives/edgar/data/899051/000091205702011595/a2073498z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746903010828/a2104961z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746904007369/0001047469-04-007369-index.htm,- -,https://www.sec.gov/Archives/edgar/data/899051/000104746906002356/a2167600z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746907001347/a2175845z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746908001846/a2182971z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746909001878/0001047469-09-001878-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746910001355/0001047469-10-001355-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746911001286/a2202090z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746912001250/0001047469-12-001250-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746913001288/0001047469-13-001288-index.html,https://www.sec.gov/Archives/edgar/data/899051/000104746914001083/a2218256z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000104746915000935/a2223004z10-k.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905116000040/0000899051-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905117000005/0000899051-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/0000899051-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/0000899051-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/0000899051-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/899051/000089905121000011/0000899051-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905122000015/0000899051-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-826000000,1302000000,484000000,1904000000,2075000000,3105000000,3294000000,2720000000,2211000000,1158000000,1134000000,2705000000,3181000000,1765000000,4993000000,4636000000,-1679000000,854000000,928000000,788000000,2306000000,2280000000,2850000000,2171000000,1877000000,3189000000,2252000000,4847000000,5576000000,1599000000
74,Depreciation and Amortization,112000000,26000000,52000000,-3000000,-19000000,-22000000,-22000000,-17000000,-47000000,-106000000,-62000000,-3000000,-4000000,-67000000,-188000000,-257000000,-376000000,-91000000,94000000,252000000,388000000,368000000,366000000,371000000,382000000,483000000,511000000,647000000,686000000,- -
75,Deferred Income Tax,-620000000,-143000000,-173000000,122000000,250000000,172000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1031000000,- -,- -,- -,-59072000000,-3989000000,-5287000000,-10020000000,97434000000,-244000000,861000000,3980000000,1608000000,-2063000000,1453000000,943000000,-9237000000,4370000000,-118007000000,3276000000,76558000000,-11581000000,16544000000,-58873000000,-23000000,-3805000000,368000000,82657000000,-7851000000,117000000
78,Accounts Receivable,-543000000,303000000,-352000000,-676000000,57000000,200000000,176000000,216000000,-506000000,-333000000,-289000000,-511000000,-1397000000,-873000000,779000000,-302000000,18000000,26000000,10000000,33000000,-1685000000,-934000000,-1325000000,-312000000,-306000000,-342000000,-1052000000,21000000,-14000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,948000000,1673000000,2294000000,3222000000,-3104000000,-266000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-59072000000,-63061000000,-68348000000,-78368000000,19066000000,18822000000,19683000000,23663000000,25271000000,23208000000,24661000000,25604000000,16367000000,20737000000,-97270000000,-93994000000,-17436000000,-29017000000,-12473000000,-71346000000,-71369000000,-75174000000,-74806000000,7851000000,- -,335000000
82,Other Non-Cash Items,3178000000,1440000000,1707000000,705000000,59802000000,4076000000,4906000000,9584000000,-97867000000,1483000000,2490000000,-991000000,683000000,5970000000,-1203000000,111000000,15202000000,-832000000,120674000000,-2387000000,-76198000000,13175000000,-16524000000,59947000000,1757000000,4447000000,2044000000,-83022000000,7080000000,3252000000
83,Cash Provided by Operating Activities,813000000,2625000000,2070000000,2728000000,3036000000,3342000000,2891000000,2267000000,1731000000,2291000000,4423000000,5691000000,5468000000,5605000000,5055000000,5433000000,3910000000,4301000000,3689000000,1929000000,3054000000,4242000000,3236000000,3616000000,3993000000,4314000000,5175000000,5129000000,5491000000,4968000000
84,CAPEX,-120000000,-76000000,-132000000,-106000000,-126000000,-150000000,-188000000,-212000000,-300000000,-186000000,-239000000,-169000000,-200000000,-196000000,-161000000,-274000000,-291000000,-189000000,-162000000,-246000000,-285000000,-207000000,-288000000,-303000000,-313000000,-299000000,-277000000,-433000000,-308000000,- -
85,Acquisitions Net,- -,- -,- -,- -,378000000,138000000,-226000000,-971000000,- -,-16000000,- -,- -,- -,-60000000,- -,- -,- -,-403000000,7000000,-916000000,-113000000,-291000000,453000000,-242000000,-569000000,-1671000000,-1473000000,-594000000,86000000,-3761000000
86,Purchases of Investments,-11835000000,-17243000000,-13865000000,-16721000000,-22973000000,-25303000000,-26101000000,-40492000000,-41502000000,-36601000000,-35808000000,-39420000000,-40846000000,-38995000000,-37130000000,-40139000000,-34304000000,-38473000000,-31351000000,-32035000000,-24692000000,-29275000000,-45174000000,-36672000000,-37322000000,-36149000000,-44363000000,-39884000000,-47011000000,-2673000000
87,Sales/Maturities of Investments,9482000000,13348000000,11140000000,12968000000,22221000000,23756000000,25243000000,37121000000,39027000000,32443000000,27039000000,30125000000,30323000000,34100000000,36198000000,40295000000,38503000000,40427000000,32758000000,39868000000,26118000000,30847000000,46015000000,38102000000,35823000000,36955000000,44529000000,38253000000,43139000000,5963000000
88,Other Investing Activites,-269000000,-73000000,178000000,-142000000,-2883000000,39000000,-95000000,1942000000,- -,- -,- -,- -,- -,- -,-826000000,3000000,-120000000,2078000000,1080000000,-510000000,553000000,506000000,615000000,-143000000,-145000000,-46000000,-135000000,-149000000,653000000,- -
89,Cash Used for Investing Activites,-2742000000,-4044000000,-2679000000,-4001000000,-3383000000,-1520000000,-1367000000,-2612000000,-2775000000,-4360000000,-9008000000,-9464000000,-10723000000,-5151000000,-1919000000,-115000000,3788000000,3440000000,2332000000,6161000000,1581000000,1580000000,1621000000,742000000,-2526000000,-1210000000,-1719000000,-2807000000,-3441000000,-471000000
90,Debt Repayment,-1766000000,-1800000000,- -,-2000000,-3000000,- -,-300000000,- -,- -,-3000000,-338000000,-332000000,-19000000,-1205000000,-851000000,-9000000,-1000000,-752000000,-2000000,-7000000,-352000000,-2627000000,-1006000000,-20000000,-17000000,- -,-400000000,-317000000,- -,-2700000000
