,https://roic.ai/company/JWN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1301900000,1629900000,1920200000,2327900000,2671100000,2893900000,3179800000,3422000000,3589900000,3894500000,4113500000,4453100000,4851600000,5027900000,5124200000,5528537000,5634130000,5975076000,6491673000,7131000000,7723000000,8561000000,8828000000,8573000000,8627000000,9700000000,10877000000,12148000000,12540000000,13506000000,14437000000,14757000000,15478000000,15860000000,15524000000,10715000000,14789000000
2,COGS,856400000,1048900000,1250800000,1503500000,1758500000,1914600000,2073400000,2236300000,2365800000,2488800000,2672000000,2925900000,3136000000,3167800000,3172500000,3457566000,3765859000,3971372000,4213955000,4559000000,4888000000,5354000000,5526000000,5417000000,5328000000,5897000000,6592000000,7432000000,7737000000,8406000000,9168000000,9440000000,9890000000,10155000000,9932000000,7600000000,9344000000
3,Gross Profit,445500000,581000000,669400000,824400000,912600000,979300000,1106400000,1185700000,1224100000,1405700000,1441500000,1527200000,1715600000,1860100000,1951700000,2070971000,1868271000,2003704000,2277718000,2572000000,2835000000,3207000000,3302000000,3156000000,3299000000,3803000000,4285000000,4716000000,4803000000,5100000000,5269000000,5317000000,5588000000,5705000000,5592000000,3115000000,5445000000
4,Gross Profit Ratio,0.3422,0.3565,0.3486,0.3541,0.3417,0.3384,0.3479,0.3465,0.3410,0.3609,0.3504,0.3430,0.3536,0.3700,0.3809,0.3746,0.3316,0.3353,0.3509,0.3607,0.3671,0.3746,0.3740,0.3681,0.3824,0.3921,0.3940,0.3882,0.3830,0.3776,0.3650,0.3603,0.3610,0.3597,0.3602,0.2907,0.3682
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1023300000,1120800000,1217600000,1322900000,1405300000,1491000000,1747048000,1722635000,- -,- -,2020000000,2101000000,2297000000,2360000000,- -,2465000000,2685000000,3036000000,3371000000,3453000000,- -,4168000000,4315000000,4662000000,4868000000,4808000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",326800000,408700000,477500000,583000000,669200000,747800000,831500000,902100000,940600000,1023300000,1120800000,1217600000,1322900000,1405300000,1491000000,1747048000,1722635000,1813968000,1943715000,2020233000,2100666000,2296863000,2360000000,2386000000,2465000000,2685000000,3036000000,3371000000,3453000000,3777000000,4168000000,4315000000,4662000000,4868000000,4808000000,4162000000,4953000000
9,Other Expenses,37400000,46700000,50100000,60600000,70900000,85600000,96000000,102800000,103500000,110800000,134300000,156100000,159700000,177200000,187300000,191950000,- -,- -,- -,767000,334000,137000,-34000000,-9000000,- -,127000000,- -,-2000000,-1000000,- -,- -,197000000,- -,- -,- -,- -,- -
