,https://roic.ai/company/GATX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,694100000,512400000,527600000,571900000,701700000,870400000,989100000,1019100000,1086900000,1155000000,1233400000,1414400000,1701900000,1763100000,1858900000,1390800000,1521400000,1340700000,1314500000,1231400000,1134600000,1229100000,1346000000,1352500000,1124900000,1166800000,1267900000,1243200000,1321000000,1451000000,1449900000,1418300000,1376900000,1360900000,1393800000,1209200000,1257400000
2,COGS,319100000,177300000,188000000,197900000,241500000,348800000,433300000,493000000,527600000,579500000,612800000,695100000,840300000,838000000,755900000,756100000,860600000,755700000,688800000,530600000,554400000,459100000,475100000,604200000,492800000,269300000,283700000,582300000,613200000,643500000,569200000,535300000,521800000,502300000,526500000,69000000,353800000
3,Gross Profit,375000000,335100000,339600000,374000000,460200000,521600000,555800000,526100000,559300000,575500000,620600000,719300000,861600000,925100000,1103000000,634700000,660800000,585000000,625700000,700800000,580200000,770000000,870900000,748300000,632100000,897500000,984200000,660900000,707800000,807500000,880700000,883000000,855100000,858600000,867300000,1140200000,903600000
4,Gross Profit Ratio,0.5403,0.6540,0.6437,0.6540,0.6558,0.5993,0.5619,0.5162,0.5146,0.4983,0.5032,0.5086,0.5063,0.5247,0.5934,0.4564,0.4343,0.4363,0.4760,0.5691,0.5114,0.6265,0.6470,0.5533,0.5619,0.7692,0.7762,0.5316,0.5358,0.5565,0.6074,0.6226,0.6210,0.6309,0.6223,0.9429,0.7186
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,125200000,143500000,172900000,238300000,245400000,246300000,209200000,229700000,204500000,198700000,163300000,167500000,146700000,158700000,168000000,127800000,134800000,155300000,160200000,178300000,189200000,192400000,174700000,181500000,191100000,188600000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",114900000,110800000,82800000,85300000,112000000,132200000,154100000,196800000,152400000,125200000,143500000,172900000,238300000,245400000,246300000,209200000,229700000,204500000,198700000,163300000,167500000,146700000,158700000,168000000,127800000,134800000,155300000,160200000,178300000,189200000,192400000,174700000,181500000,191100000,188600000,172000000,198300000
9,Other Expenses,84300000,80900000,85700000,89500000,97000000,115400000,127700000,138300000,150700000,763800000,802800000,910000000,1103700000,1120200000,602800000,372000000,339500000,341500000,324100000,310800000,440500000,391700000,451300000,208700000,217700000,484000000,503200000,261600000,281100000,302400000,328900000,341000000,341700000,355000000,363200000,681300000,408400000
