,https://roic.ai/company/ED,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1172900000,1121500000,1090300000,1092500000,1135100000,1087000000,903596000,1138466000,1056947000,851000000,821000000,1073000000,1128000000,1362000000,1446000000,1319000000,1551000000,1662000000,1741000000,1538000000,1660000000,1798000000,1943000000,1997000000,1783000000,1736000000,1234000000,1383000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1840,0.1716,0.1567,0.1534,0.1600,0.1451,0.0958,0.1182,0.1246,0.0866,0.0841,0.0918,0.0929,0.1038,0.1065,0.1012,0.1164,0.1285,0.1428,0.1245,0.1285,0.1432,0.1609,0.1660,0.1445,0.1381,0.1008,0.1011
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,438600000,397600000,396200000,379700000,405400000,372800000,307168000,442631000,376392000,315000000,272000000,341000000,390000000,437000000,524000000,440000000,548000000,600000000,600000000,476000000,568000000,605000000,698000000,472000000,401000000,296000000,90000000,190000000
23,Net Income,563700000,546400000,550100000,599300000,606100000,571500000,566900000,604100000,658500000,734300000,723900000,694100000,712800000,729700000,714200000,596428000,695835000,658494000,539000000,537000000,719000000,737000000,929000000,1196000000,879000000,1003000000,1062000000,1141000000,1062000000,1092000000,1193000000,1245000000,1525000000,1382000000,1343000000,1101000000,1346000000
24,Net Income ratio,0.1025,0.1051,0.1080,0.1173,0.1092,0.0996,0.0965,0.1018,0.1051,0.1152,0.1107,0.0997,0.1001,0.1029,0.0953,0.0632,0.0722,0.0776,0.0548,0.0550,0.0615,0.0607,0.0708,0.0881,0.0674,0.0753,0.0821,0.0936,0.0860,0.0845,0.0950,0.1031,0.1267,0.1120,0.1068,0.0899,0.0984
25,EPS,2.13,2.13,2.21,2.47,2.49,2.34,2.32,2.46,2.66,2.98,2.93,2.93,2.95,3.04,3.14,2.75,3.22,3.03,2.39,2.28,2.95,2.96,3.49,4.38,3.16,3.49,3.59,3.88,3.62,3.73,4.07,4.15,4.97,4.43,4.09,3.29,3.38
26,EPS Diluted,2.13,2.13,2.21,2.47,2.49,2.34,2.32,2.46,2.66,2.98,2.93,2.93,2.95,3.04,3.13,2.74,3.21,3.02,2.38,2.27,2.94,2.95,3.47,4.37,3.14,3.47,3.57,3.86,3.61,3.71,4.05,4.12,4.94,4.42,4.08,3.28,3.37
27,Weighted Average Shares Outstanding,246619718,238638498,231809955,227408907,228433735,228376068,228448276,230772358,234172932,234754000,234930000,234976000,235082063,234307767,223442315,212186412,212146750,212989784,220900000,235800000,243900000,249300000,266300000,272900000,275200000,284300000,292600000,292900000,292900000,292900000,293000000,300400000,307100000,311700000,328500000,334800000,353400000
28,Weighted Average Shares Outstanding Diluted,246619718,238638498,231809955,227408907,228433735,228376068,228448276,230772358,234172932,234754000,234930000,234976000,235082063,234307767,223833866,212713504,212919524,214049653,221800000,236400000,244700000,250300000,267300000,273600000,276300000,285900000,294400000,294500000,294400000,294000000,294400000,301900000,308800000,312900000,329500000,335700000,354100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1047862/000104786201000008/0001047862-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000091205702011931/0000912057-02-011931-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104746903007134/0001047469-03-007134-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104746904005477/0001047469-04-005477-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312505037439/0001193125-05-037439-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312506036760/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312507036143/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312508036146/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312509034924/0001193125-09-034924-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312510036116/0001193125-10-036116-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312511042145/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312512069828/0001193125-12-069828-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312513069310/0001193125-13-069310-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312514061037/d629773d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312515054350/d821872d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786216000225/0001047862-16-000225-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786217000029/0001047862-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786218000037/0001047862-18-000037-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786219000035/0001047862-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786220000041/0001047862-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786221000049/0001047862-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786222000039/0001047862-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102300000,485100000,94828000,341179000,117858000,49000000,26000000,81000000,94000000,211000000,74000000,260000000,338000000,648000000,394000000,674000000,699000000,944000000,776000000,797000000,895000000,981000000,1272000000,992000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000000,8000000,3000000,- -,- -,- -,- -,1272000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102300000,485100000,94828000,341179000,117858000,49000000,26000000,81000000,94000000,211000000,74000000,260000000,338000000,648000000,394000000,1001000000,707000000,947000000,776000000,797000000,895000000,981000000,2544000000,992000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571000000,770000000,1078759000,738076000,737098000,851000000,833000000,1141000000,947000000,1119000000,1083000000,2015000000,2111000000,1900000000,1966000000,2005000000,2058000000,1882000000,1827000000,1925000000,2115000000,2115000000,2741000000,3106000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267800000,222600000,242929000,220699000,114931000,283000000,307000000,425000000,466000000,405000000,516000000,355000000,348000000,356000000,330000000,363000000,372000000,350000000,339000000,334000000,358000000,352000000,356000000,437000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152400000,236900000,599471000,130141000,737213000,409000000,549000000,1506000000,1430000000,870000000,1646000000,613000000,710000000,734000000,761000000,522000000,717000000,657000000,464000000,481000000,496000000,824000000,-340000000,1016000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093500000,1714600000,2015987000,1430095000,1707100000,1592000000,1715000000,3153000000,2937000000,2605000000,3319000000,3243000000,3507000000,3638000000,3451000000,3891000000,3854000000,3836000000,3406000000,3537000000,3864000000,4272000000,5301000000,5551000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11406600000,11353800000,11893419000,12248375000,13329175000,15225000000,16106000000,17112000000,18445000000,19136000000,20874000000,22464000000,23863000000,25093000000,26939000000,28436000000,29827000000,32209000000,35216000000,37600000000,41749000000,44746000000,47392000000,49405000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000000,429000000,429000000,429000000,429000000,429000000,429000000,428000000,428000000,440000000,446000000,446000000,439000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3000000,3000000,2000000,4000000,3000000,2000000,124000000,131000000,1654000000,1557000000,1460000000,1293000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427500000,488702000,529330000,487825000,517000000,506000000,496000000,486000000,410000000,416000000,420000000,432000000,432000000,431000000,433000000,432000000,431000000,552000000,559000000,2094000000,2003000000,1906000000,1732000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345000000,366000000,378000000,356000000,385000000,403000000,455000000,467000000,461000000,816000000,884000000,1921000000,2001000000,1766000000,2065000000,1816000000,853000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1881300000,2035600000,2369137000,2788311000,3296210000,3632000000,4233000000,3744000000,4465000000,5814000000,8533000000,7361000000,7941000000,9596000000,9921000000,7426000000,9379000000,8282000000,7160000000,4414000000,4447000000,4993000000,6480000000,5575000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13287900000,13816900000,14751258000,15566016000,17113210000,19374000000,20845000000,21697000000,23762000000,25738000000,30179000000,30630000000,32639000000,35576000000,37758000000,36756000000,40454000000,41806000000,44849000000,44574000000,50056000000,53807000000,57594000000,57565000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14381400000,15531500000,16767245000,16996111000,18820310000,20966000000,22560000000,24850000000,26699000000,28343000000,33498000000,33873000000,36146000000,39214000000,41209000000,40647000000,44308000000,45642000000,48255000000,48111000000,53920000000,58079000000,62895000000,63116000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371300000,616000000,1020401000,665342000,918586000,905000000,920000000,1236000000,1126000000,1187000000,1161000000,1078000000,1151000000,961000000,1215000000,1017000000,1019000000,1008000000,1147000000,1286000000,1187000000,1164000000,1475000000,1497000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000000,890400000,564632000,654672000,634311000,325000000,625000000,777000000,491000000,1649000000,845000000,731000000,5000000,530000000,1245000000,1936000000,1360000000,2268000000,1093000000,1875000000,3216000000,3203000000,3933000000,2041000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,90000000,188000000,162000000,476000000,72000000,62000000,64000000,108000000,61000000,76000000,150000000,104000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000000,289000000,303000000,304000000,321000000,344000000,354000000,352000000,346000000,351000000,346000000,311000000,300000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545100000,594900000,752146000,890551000,754106000,681000000,679000000,1310000000,1300000000,1059000000,1199000000,869000000,921000000,1193000000,1181000000,1456000000,1058000000,1090000000,1251000000,1395000000,1453000000,1574000000,1635000000,1589000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1141400000,2101300000,2337179000,2210565000,2307003000,1911000000,2224000000,3323000000,2917000000,3895000000,3205000000,2952000000,2366000000,2987000000,3945000000,4730000000,3781000000,4720000000,3843000000,4902000000,6207000000,6287000000,7354000000,5427000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4050100000,4524600000,5415409000,5501217000,6168430000,6733000000,6561000000,7398000000,8298000000,7611000000,9232000000,9854000000,10671000000,10143000000,10062000000,10489000000,11631000000,12006000000,14735000000,14731000000,17495000000,18527000000,20382000000,23321000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2547800000,2407300000,2434193000,2353645000,2687406000,3172000000,3726000000,3644000000,4095000000,4465000000,4999000000,5597000000,6602000000,7563000000,8372000000,8466000000,9076000000,9537000000,10205000000,5495000000,5820000000,6227000000,6475000000,6873000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367100000,837100000,858398000,1014138000,1524164000,2514000000,2782000000,2962000000,3172000000,3083000000,6151000000,5008000000,5233000000,6872000000,6961000000,4717000000,7235000000,6318000000,5166000000,7558000000,7559000000,8825000000,9619000000,7159000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6965000000,7769000000,8708000000,8869000000,10380000000,12419000000,13069000000,14004000000,15565000000,15159000000,20382000000,20459000000,22506000000,24578000000,25395000000,23672000000,27942000000,27861000000,30106000000,27784000000,30874000000,33579000000,36476000000,37353000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17416064000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38487000,36000000,33000000,30000000,26000000,22000000,17000000,14000000,7000000,2000000,2000000,1000000,- -,- -,- -,- -,- -,874000000,860000000,830000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8106200000,9869900000,11045243000,11070708000,12677761000,14288000000,15254000000,17285000000,18441000000,19011000000,23587000000,23411000000,24872000000,27565000000,29340000000,28402000000,31723000000,32581000000,33949000000,32686000000,37081000000,39866000000,43830000000,42780000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212563000,213000000,213000000,213000000,213000000,213000000,213000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1482300000,1482300000,1482341000,1482341000,1550861000,2028000000,26000000,27000000,28000000,29000000,29000000,30000000,31000000,32000000,32000000,32000000,32000000,32000000,33000000,34000000,34000000,35000000,36000000,37000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700500000,4921100000,5040931000,5251017000,5420437000,5451000000,5451000000,5605000000,5804000000,6113000000,6685000000,6904000000,7220000000,7568000000,7997000000,8338000000,8691000000,9123000000,9559000000,10235000000,10728000000,11100000000,11178000000,11445000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4726200000,-4733600000,-5342342000,-4472994000,-48977000,-55000000,-64000000,-89000000,-141000000,-103000000,-127000000,-42000000,-40000000,-58000000,-53000000,-25000000,-45000000,-34000000,-27000000,-26000000,-16000000,-19000000,-25000000,5000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4818600000,3991800000,4541072000,3665039000,-1001242000,-1001000000,1641000000,1767000000,2313000000,3037000000,3111000000,3570000000,4063000000,4107000000,3893000000,3900000000,3898000000,3931000000,4733000000,5175000000,5980000000,6906000000,7658000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6275200000,5661600000,5722002000,5925403000,6133642000,6636000000,7267000000,7523000000,8217000000,9289000000,9911000000,10462000000,11274000000,11649000000,11869000000,12245000000,12576000000,13052000000,14298000000,15418000000,16726000000,18022000000,18847000000,20037000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14381400000,15531500000,16767245000,16996111000,18811403000,20924000000,22521000000,24808000000,26658000000,28300000000,33498000000,33873000000,36146000000,39214000000,41209000000,40647000000,44299000000,45633000000,48247000000,48104000000,53807000000,57888000000,62677000000,62817000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8907000,42000000,39000000,42000000,41000000,43000000,- -,- -,- -,- -,- -,- -,9000000,9000000,8000000,7000000,113000000,191000000,218000000,299000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14381400000,15531500000,16767245000,16996111000,18820310000,20966000000,22560000000,24850000000,26699000000,28343000000,33498000000,33873000000,36146000000,39214000000,41209000000,40647000000,44308000000,45642000000,48255000000,48111000000,53920000000,58079000000,62895000000,63116000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1047862/000104786201000008/0001047862-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000091205702011931/0000912057-02-011931-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104746903007134/0001047469-03-007134-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104746904005477/0001047469-04-005477-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312505037439/0001193125-05-037439-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312506036760/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312507036143/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312508036146/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312509034924/0001193125-09-034924-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312510036116/0001193125-10-036116-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312511042145/d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312512069828/0001193125-12-069828-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312513069310/0001193125-13-069310-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000119312514061037/d629773d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000119312515054350/d821872d10k.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786216000225/0001047862-16-000225-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786217000029/0001047862-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786218000037/0001047862-18-000037-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786219000035/0001047862-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786220000041/0001047862-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1047862/000104786221000049/0001047862-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1047862/000104786222000039/0001047862-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,734300000,723900000,694100000,712800000,729700000,714200000,596428000,695835000,658494000,539000000,537000000,719000000,737000000,929000000,1196000000,879000000,1003000000,1062000000,1141000000,1062000000,1092000000,1193000000,1245000000,1525000000,1382000000,1343000000,1101000000,1346000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,422400000,455800000,496400000,502800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,791000000,840000000,884000000,955000000,1024000000,1071000000,1130000000,1216000000,1341000000,1438000000,1684000000,1920000000,2032000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,64100000,69000000,40600000,22600000,86400000,41800000,177736000,5629000,301183000,418000000,362000000,-79000000,338000000,335000000,470000000,436000000,659000000,491000000,584000000,40000000,518000000,653000000,783000000,485000000,408000000,308000000,85000000,133000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28700000,-26600000,53100000,-43300000,15100000,-338800000,65508000,-459278000,180567000,280903000,-190000000,339000000,190000000,-1310000000,1404000000,177000000,850000000,-490000000,-1145000000,-345000000,912000000,-957000000,447000000,-928000000,-978000000,328000000,-38000000,-609000000
