,https://roic.ai/company/VIVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,2100000,2600000,600000,300000,400000,1000000,1600000,2700000,3100000,3900000,5900000,8900000,9700000,8100000,5300000,6938000,-14906000,8243000,11591000,13195000,19596000,28053000,36682000,45992000,49323000,41400000,40500000,49716000,57362000,52108000,55063000,50644000,36429000,30380000,31557000,59293000,90451000
21,Income Before Tax Ratio,0.4286,0.4127,0.1154,0.0536,0.0645,0.1176,0.1441,0.1929,0.1914,0.1781,0.2351,0.3027,0.2756,0.2440,0.0974,0.1215,-0.2637,0.1395,0.1760,0.1658,0.2108,0.2588,0.2983,0.3294,0.3326,0.2895,0.2536,0.2865,0.3040,0.2759,0.2826,0.2583,0.1814,0.1422,0.1570,0.2337,0.2845
22,Income Tax expense (Gain),1000000,1200000,100000,100000,100000,400000,600000,1000000,1200000,1500000,2400000,3600000,3700000,3100000,2900000,-173000,-4631000,3212000,4573000,4010000,7031000,9728000,9961000,15790000,16564000,14753000,13669000,16345000,19330000,17365000,19523000,18415000,14872000,6531000,7175000,13107000,19044000
23,Net Income,1100000,1400000,500000,200000,300000,600000,1000000,1700000,1900000,2400000,3500000,5300000,6000000,5000000,2400000,7111000,-10275000,5031000,7018000,9185000,12565000,18325000,26721000,30202000,32759000,26647000,26831000,33371000,38032000,34743000,35540000,32229000,21557000,23849000,24382000,46186000,71407000
24,Net Income ratio,0.2245,0.2222,0.0962,0.0357,0.0484,0.0706,0.0901,0.1214,0.1173,0.1096,0.1394,0.1803,0.1705,0.1506,0.0441,0.1245,-0.1818,0.0851,0.1066,0.1154,0.1352,0.1690,0.2173,0.2163,0.2209,0.1863,0.1680,0.1923,0.2016,0.1840,0.1824,0.1644,0.1074,0.1117,0.1213,0.1821,0.2246
25,EPS,0.05,0.06,0.02,0.01,0.01,0.03,0.04,0.06,0.07,0.09,0.13,0.16,0.19,0.15,0.08,0.22,-0.31,0.15,0.21,0.28,0.36,0.47,0.67,0.75,0.81,0.66,0.66,0.81,0.92,0.84,0.85,0.77,0.51,0.56,0.57,1.08,1.65
26,EPS Diluted,0.05,0.06,0.02,0.01,0.01,0.03,0.04,0.06,0.07,0.08,0.13,0.16,0.19,0.15,0.07,0.22,-0.31,0.15,0.21,0.27,0.35,0.45,0.66,0.74,0.80,0.65,0.65,0.80,0.91,0.83,0.85,0.76,0.51,0.56,0.57,1.07,1.62
27,Weighted Average Shares Outstanding,22477420,24206377,22477972,22476961,22476961,22477803,28096991,29393457,28471671,26972960,27798192,33000948,32269016,32346888,32366250,32771250,32825250,32897250,32994000,33441750,35211000,39132000,39584000,40093000,40390000,40515000,40715000,41080000,41226000,41455000,41659000,42010000,42188000,42325000,42571000,42855000,43259000
28,Weighted Average Shares Outstanding Diluted,22477420,24206377,22477972,22476961,22476961,22477803,28096991,29393457,28471671,28392623,28392623,33000948,32269016,33081968,32805000,32967000,32825250,33210000,33637500,34332750,36156000,40164000,40738000,41029000,41110000,41149000,41358000,41608000,41895000,41913000,42012000,42393000,42571000,42754000,42899000,43174000,44012000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015295003045/0000950152-95-003045-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095015296006903/0000950152-96-006903-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095015297008853/0000950152-97-008853-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015200008668/0000950152-00-008668-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095010901505814/0000950109-01-505814-index.html,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015203010438/0000950152-03-010438-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015204008932/0000950152-04-008932-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015205009857/0000950152-05-009857-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015206009718/0000950152-06-009718-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015207009366/0000950152-07-009366-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015208009754/0000950152-08-009754-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012309066890/0000950123-09-066890-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012310109251/0000950123-10-109251-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012311100817/0000950123-11-100817-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312512485192/0001193125-12-485192-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312513457721/0001193125-13-457721-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312514428676/0001193125-14-428676-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312515390041/0001193125-15-390041-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312516779250/0001193125-16-779250-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312517354808/0001193125-17-354808-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312518337257/0001193125-18-337257-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312519300565/0001193125-19-300565-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312520300813/0001193125-20-300813-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/0001193125-21-337663-index.htm
