,https://roic.ai/company/VIVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,-600000,-400000,-500000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1142000,3841000,-18977000,-7800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4124000,-2315000,7248000,6346000
81,Other Working Capital,- -,- -,- -,- -,- -,4500000,4000000,5200000,13800000,13000000,15800000,29700000,33500000,35900000,18500000,22863000,16134000,15126000,17831000,19461000,50369000,60552000,76678000,83397000,100395000,79873000,75090000,78128000,92385000,99013000,107602000,104220000,110988000,114880000,123847000,109666000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,100000,-2200000,-9500000,1400000,-5300000,-16400000,-5800000,-3300000,19300000,-11026000,25354000,3473000,-2194000,-2745000,-29259000,-11684000,-21444000,-12483000,-22217000,18525000,-6579000,-1099000,-14155000,-12088000,-9740000,-929000,57000,-3984000,-9916000,-2158000,-1889000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,800000,1000000,1300000,2100000,4400000,2900000,4900000,6500000,6900000,9000000,5217000,8702000,11415000,12353000,12653000,18187000,22155000,26602000,29883000,32492000,31213000,22456000,42446000,44436000,38262000,42809000,37223000,41355000,34783000,35831000,47976000,66865000
84,CAPEX,- -,- -,- -,- -,- -,-200000,-900000,-2000000,-700000,-1500000,-2500000,-1200000,-1600000,-1300000,-21300000,-4047000,-1923000,-3550000,-1812000,-2385000,-2590000,-3242000,-3476000,-5327000,-3753000,-4683000,-9151000,-4835000,-3277000,-7002000,-4764000,-4004000,-4467000,-4201000,-3797000,-3299000,-18312000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8985000,- -,-905000,- -,- -,-6383000,- -,-971000,-157000,-7000,-20404000,- -,- -,- -,- -,- -,-62091000,- -,- -,-45324000,-51299000,-23585000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,-7750000,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,6800000,3400000,989000,9000,254000,- -,- -,- -,2000000,4000000,- -,475000,7275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-2000000,-600000,- -,-3600000,-2900000,- -,-6600000,- -,-200000,- -,2307000,- -,- -,-1440000,-658000,-674000,-1447000,4000,4000,-105000,-120000,-12000,-905000,-43000,-1696000,987000,- -,- -,- -,669000,- -,1500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-2200000,-1500000,-2000000,-4300000,-4400000,-2500000,-21900000,1300000,5300000,-17900000,-9736000,-1914000,-4201000,-3252000,-3043000,-9647000,-8689000,-443000,-13230000,-3280000,-17812000,-9151000,-4435000,-3277000,-7002000,-3626000,-66695000,-4467000,-4201000,-48452000,-54598000,-40397000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-3750000,-4500000,-50250000,-57000000,-18824000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,100000,- -,100000,- -,100000,100000,100000,200000,181000,11000,138000,478000,1458000,33227000,1660000,2574000,4563000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-600000,-600000,-700000,-900000,-1200000,-2200000,-2700000,-3100000,-2900000,-3353000,-3722000,-4022000,-4989000,-5793000,-7200000,-11095000,-15836000,-21256000,-26260000,-29985000,-30943000,-31226000,-31354000,-32762000,-33357000,-33649000,-24266000,-21170000,-10612000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-100000,-100000,1500000,10500000,100000,900000,15800000,-200000,-300000,-1300000,6669000,-3303000,-5115000,-5316000,-5492000,-3409000,-790000,-29000,- -,1624000,795000,3423000,552000,2752000,1009000,2614000,62354000,303000,-1923000,76122000,53443000,-12245000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-100000,-600000,1000000,9800000,-700000,-300000,13700000,-2800000,-3300000,-4000000,3497000,-7046000,-8999000,-9827000,-9827000,22618000,-10225000,-13291000,-16693000,-24636000,-29190000,-27520000,-30674000,-28602000,-31753000,-30743000,27205000,-27713000,-27593000,15260000,-3557000,-31069000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-441000,111000,172000,349000,117000,-56000,22000,184000,-63000,157000,-362000,-38000,630000,132000,-742000,-1514000,-480000,671000,-298000,-1005000,1296000,858000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13200000,-1463000,-147000,-1613000,-377000,-100000,31102000,3263000,13052000,-103000,4733000,-16151000,-14253000,7967000,12689000,-1235000,6926000,-2747000,9846000,2691000,1634000,-8883000,-3743000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,4766000,4673000,3060000,2683000,1983000,33085000,36348000,49400000,49297000,54030000,37879000,23626000,31593000,44282000,43047000,49973000,47226000,57072000,59763000,62397000,53514000,49771000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4200000,2700000,1600000,1800000,9500000,8800000,8900000,5600000,10500000,19400000,6229000,4820000,4673000,3060000,2083000,1983000,33085000,36348000,49400000,49297000,54030000,37879000,23626000,31593000,44282000,43047000,49973000,47226000,57072000,60763000,62397000,53514000
100,Free Cash Flow,- -,- -,- -,- -,- -,600000,100000,-700000,1400000,2900000,400000,3700000,4900000,5600000,-12300000,1170000,6779000,7865000,10541000,10268000,15597000,18913000,23126000,24556000,28739000,26530000,13305000,37611000,41159000,31260000,38045000,33219000,36888000,30582000,32034000,44677000,48553000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015295003045/0000950152-95-003045-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095015296006903/0000950152-96-006903-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095015297008853/0000950152-97-008853-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015200008668/0000950152-00-008668-index.html,https://www.sec.gov/Archives/edgar/data/794172/000095010901505814/0000950109-01-505814-index.html,- -,https://www.sec.gov/Archives/edgar/data/794172/000095015203010438/0000950152-03-010438-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015204008932/0000950152-04-008932-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015205009857/0000950152-05-009857-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015206009718/0000950152-06-009718-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015207009366/0000950152-07-009366-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095015208009754/0000950152-08-009754-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012309066890/0000950123-09-066890-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012310109251/0000950123-10-109251-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000095012311100817/0000950123-11-100817-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312512485192/0001193125-12-485192-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312513457721/0001193125-13-457721-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312514428676/0001193125-14-428676-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312515390041/0001193125-15-390041-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312516779250/0001193125-16-779250-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312517354808/0001193125-17-354808-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312518337257/0001193125-18-337257-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312519300565/0001193125-19-300565-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312520300813/0001193125-20-300813-index.htm,https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/0001193125-21-337663-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
