,https://roic.ai/company/SNPS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,22100000,40500000,63000000,108000000,196000000,265500000,353500000,499100000,717900000,806100000,783778000,680350000,906534000,1176983000,1092104000,991931000,1095560000,1212469000,1336951000,1360045000,1380661000,1535643000,1756017000,1962214000,2057472000,2242211000,2422532000,2724880000,3121058000,3360694000,3685281000,4204193000
2,COGS,1800000,3700000,6000000,8500000,14400000,15100000,20200000,30000000,49600000,62700000,75833000,130122000,139223000,147461000,154487000,172601000,223527000,234265000,258896000,273650000,281094000,340450000,392673000,453552000,456885000,518920000,542962000,654184000,735898000,752946000,794690000,861777000
3,Gross Profit,20300000,36800000,57000000,99500000,181600000,250400000,333300000,469100000,668300000,743400000,707945000,550228000,767311000,1029522000,937617000,819330000,872033000,978204000,1078055000,1086395000,1099567000,1195193000,1363344000,1508662000,1600587000,1723291000,1879570000,2070696000,2385160000,2607748000,2890591000,3342416000
4,Gross Profit Ratio,0.9186,0.9086,0.9048,0.9213,0.9265,0.9431,0.9429,0.9399,0.9309,0.9222,0.9032,0.8087,0.8464,0.8747,0.8585,0.8260,0.7960,0.8068,0.8064,0.7988,0.7964,0.7783,0.7764,0.7689,0.7779,0.7686,0.7759,0.7599,0.7642,0.7760,0.7844,0.7950
5,Research and Development Exp.,- -,- -,- -,- -,- -,58700000,84200000,115000000,154400000,167100000,189280000,189831000,225545000,285880000,285281000,316992000,370629000,379221000,394747000,422108000,449229000,491871000,581628000,669197000,718768000,776229000,856705000,908841000,1084822000,1136932000,1279022000,1504823000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,161800000,215200000,292600000,- -,348010000,343636000,471798000,400713000,423919000,434344000,443234000,451130000,438631000,119100000,114887000,112760000,157459000,143791000,155215000,165097000,165962000,196844000,262560000,229218000,284530000,322988000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324124000,339759000,363118000,415629000,425982000,453079000,474407000,502368000,549248000,622978000,632890000,632010000,712491000
8,"Selling, General and Administrative Exp.",14000000,28000000,41300000,71800000,138900000,124200000,161800000,215200000,292600000,288700000,348010000,343636000,471798000,400713000,423919000,434344000,443234000,451130000,438631000,443224000,454646000,475878000,573088000,569773000,608294000,639504000,668330000,746092000,885538000,862108000,916540000,1035479000
9,Other Expenses,1200000,3700000,5200000,7700000,12100000,15500000,18700000,30400000,44200000,52000000,63770000,17012000,28649000,35318000,34891000,33492000,27938000,26609000,20765000,12812000,11582000,14601000,18604000,23199000,24808000,26004000,27507000,31614000,41630000,41291000,38829000,33919000
10,Operating Expenses,15200000,31700000,46500000,79500000,151000000,198400000,264700000,360600000,491200000,507800000,601060000,550479000,725992000,721911000,744091000,784828000,841801000,856960000,854143000,878144000,915457000,982350000,1173320000,1262169000,1351870000,1441737000,1552542000,1686547000,2011990000,2040331000,2234391000,2574221000
11,COGS and Expenses,17000000,35400000,52500000,88000000,165400000,213500000,284900000,390600000,540800000,570500000,676893000,680601000,865215000,869372000,898578000,957429000,1065328000,1091225000,1113039000,1151794000,1196551000,1322800000,1565993000,1715721000,1808755000,1960657000,2095504000,2340731000,2747888000,2793277000,3029081000,3435998000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2117000,1567000,1891000,1302000,2785000,3715000,7241000,5323000,6859000,3561000,2442000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1991000,1696000,1895000,2814000,3771000,7303000,15607000,11659000,5140000,3365000
14,Depreciation and Amortization,1200000,3700000,5200000,7700000,12100000,15500000,18700000,30400000,44200000,52000000,63770000,65162000,116100000,184110000,192774000,175057000,114490000,105367000,97143000,101453000,101201000,128550000,156840000,187404000,192826000,211821000,207032000,189442000,209207000,201676000,209986000,203676000
