,https://roic.ai/company/WBA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3161900000,3660600000,4281600000,4883500000,5380100000,6047500000,6733000000,7475000000,8294800000,9235000000,10395100000,11778400000,13363000000,15307000000,17838800000,21206900000,24623000000,28681100000,32505400000,37508200000,42201600000,47409000000,53762000000,59034300000,63335000000,67420000000,72184000000,71633000000,72217000000,76392000000,103444000000,117351000000,118214000000,131537000000,136866000000,139537000000,132509000000
2,COGS,2158000000,2506200000,2947300000,3409600000,3784700000,4286000000,4744800000,5285600000,5854300000,6496300000,7350800000,8367500000,9518000000,10951000000,12768500000,15235800000,18048900000,21076100000,23706200000,27310400000,30413800000,34240400000,38518100000,42391100000,45722000000,48444000000,51692000000,51291000000,51098000000,54823000000,76520000000,87477000000,89052000000,100745000000,106790000000,111520000000,104442000000
3,Gross Profit,1003900000,1154400000,1334300000,1473900000,1595400000,1761500000,1988200000,2189400000,2440500000,2738700000,3044300000,3410900000,3845000000,4356000000,5070300000,5971100000,6574100000,7605000000,8799200000,10197800000,11787800000,13168600000,15243900000,16643200000,17613000000,18976000000,20492000000,20342000000,21119000000,21569000000,26924000000,29874000000,29162000000,30792000000,30076000000,28017000000,28067000000
4,Gross Profit Ratio,0.3175,0.3154,0.3116,0.3018,0.2965,0.2913,0.2953,0.2929,0.2942,0.2966,0.2929,0.2896,0.2877,0.2846,0.2842,0.2816,0.2670,0.2652,0.2707,0.2719,0.2793,0.2778,0.2835,0.2819,0.2781,0.2815,0.2839,0.2840,0.2924,0.2823,0.2603,0.2546,0.2467,0.2341,0.2197,0.2008,0.2118
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22571000000,23910000000,23740000000,24569000000,25242000000,27045000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",791700000,914000000,1069900000,1190300000,1278100000,1406900000,1582700000,1738800000,1929600000,2164900000,2392700000,2659500000,2973000000,3332000000,3844800000,4516900000,5175800000,5980800000,6950900000,8055100000,9363800000,10467100000,12093200000,13202500000,14366000000,15518000000,16561000000,16878000000,17543000000,17992000000,22571000000,23910000000,23740000000,24569000000,25242000000,27045000000,24586000000
9,Other Expenses,34400000,43800000,53700000,59400000,63800000,70400000,84300000,92100000,104700000,118100000,131500000,147300000,164000000,189000000,210100000,230100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
