,https://roic.ai/company/HTBX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,187787,3110,- -,- -,- -,341643,1519943,5793849,3049104,2947969,2112806
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,187787,3110,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1246587,902938,2737688,2861231,2595000,9330677,8267549,16233014,13013604,12938895,18821278
6,General and Administrative Exp.,- -,- -,- -,- -,- -,4138285,- -,7025212,9431015,15001203,16828229
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,4138285,- -,7025212,9431015,15001203,16828229
9,Other Expenses,976000,1442849,3826953,9325696,18427000,- -,6370954,- -,- -,- -,1882338
10,Operating Expenses,2222587,2345787,6564641,12186927,21022000,13468962,14638503,23258226,22444619,27940098,37531845
11,COGS and Expenses,2222587,2345787,6564641,12186927,21022000,13468962,14638503,23258226,22444619,27940098,- -
12,Interest Income ,517,2,10068,40570,66000,31142,22167,265752,431824,566718,815316
13,Interest Expense (Gain),63173,101086,79119,73354,364000,549403,- -,- -,- -,- -,- -
14,Depreciation and Amortization,624,2587,6348,66895,116000,132077,134084,237318,232506,333152,- -
15,EBITDA,-2041087,-2316527,-6558293,-12120032,-20906000,-11892472,-12517127,-16482024,-19739884,-25716585,-35546781
16,EBITDA ratio,-10.8692,-744.8640,-Infinity,-Infinity,-Infinity,-34.8096,-8.2353,-2.8447,-6.4740,-8.7235,-16.8244
17,Operating Income,-2034800,-2342677,-6564641,-12186927,-21022000,-13127319,-13342849,-17960313,-20745805,-26124362,-35419039
18,Operating Income ratio,-10.8357,-753.2723,-Infinity,-Infinity,-Infinity,-38.4241,-8.7785,-3.0999,-6.8039,-8.8618,-16.7640
19,Total Other Income Expenses (Gains),-64182,-108341,-45223,-56284,-100000,152520,123443,383532,406267,-257027,-127742
20,Income Before Tax,-2098982,-2451018,-6609864,-12243211,-21122000,-12974799,-13219406,-17576781,-20339538,-26381389,-35546781
21,Income Before Tax Ratio,-11.1775,-788.1087,-Infinity,-Infinity,-Infinity,-37.9777,-8.6973,-3.0337,-6.6707,-8.9490,-16.8244
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-809540,-985488,45178,- -,-145974
