,https://roic.ai/company/GNW,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1276520/000119312505039516/0001193125-05-039516-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312506039300/0001193125-06-039300-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312507042851/0001193125-07-042851-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312508041475/0001193125-08-041475-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/0001193125-09-041694-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312510041949/0001193125-10-041949-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312511047536/0001193125-11-047536-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312512081737/0001193125-12-081737-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312513081960/0001193125-13-081960-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312514078864/0001193125-14-078864-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312515072748/0001193125-15-072748-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312516482185/0001193125-16-482185-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312517059195/0001193125-17-059195-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312518064038/0001193125-18-064038-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312519052835/0001193125-19-052835-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312520051019/0001193125-20-051019-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312521058267/0001193125-21-058267-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312522055674/0001193125-22-055674-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1569000000,1982000000,1392000000,1875000000,2469000000,3091000000,7328000000,5002000000,3132000000,4488000000,3653000000,4214000000,4918000000,5965000000,2784000000,2875000000,2177000000,3341000000,2656000000,74496000000
32,Short-Term Investments,- -,- -,833000000,531000000,818000000,25000000,- -,- -,- -,- -,- -,- -,62679000000,58970000000,62729000000,58507000000,61204000000,63345000000,60316000000,60578000000,66266000000,- -
33,Cash and Short-Term Investments,- -,- -,2402000000,2513000000,2210000000,1900000000,2469000000,3091000000,7328000000,5002000000,3132000000,4488000000,66332000000,63184000000,67647000000,64472000000,63988000000,66220000000,62493000000,63919000000,68922000000,74496000000
34,Net Receivables,- -,- -,2202000000,2334000000,18535000000,18245000000,17554000000,16483000000,- -,- -,- -,- -,17230000000,17219000000,17346000000,17245000000,17755000000,17569000000,17278000000,17103000000,16819000000,16813000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-19353000000,-18270000000,-17554000000,-16483000000,- -,- -,- -,- -,-79909000000,-76189000000,-80075000000,-75752000000,-78959000000,-80914000000,-77594000000,-5796000000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,1392000000,1875000000,2469000000,3091000000,7328000000,5002000000,3132000000,4488000000,3653000000,4214000000,4918000000,5965000000,2784000000,2875000000,2177000000,75226000000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,1702000000,1728000000,1465000000,1450000000,1737000000,1600000000,- -,1324000000,1329000000,1253000000,1128000000,867000000,16000000,14000000,14000000,15000000,13000000,5000000,- -,- -
40,Intangible Assets,- -,- -,1592000000,1346000000,780000000,782000000,841000000,914000000,2463000000,934000000,741000000,577000000,481000000,399000000,272000000,343000000,334000000,286000000,334000000,196000000,200000000,143000000
41,Intangible Assets,- -,- -,3294000000,3074000000,2245000000,2232000000,2578000000,2514000000,2463000000,2258000000,2070000000,1830000000,1609000000,1266000000,288000000,357000000,348000000,301000000,347000000,201000000,200000000,143000000
42,Investments,- -,- -,62925000000,66616000000,53616000000,54183000000,55645000000,55520000000,43105000000,49911000000,55515000000,58656000000,66575000000,61047000000,65436000000,61229000000,63587000000,65158000000,61504000000,62210000000,68519000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-53616000000,-54183000000,-55645000000,-55520000000,-43105000000,-49911000000,-17492000000,-23267000000,-20686000000,-17111000000,-21731000000,-19317000000,-22633000000,-25562000000,-22766000000,-36295000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,2245000000,2232000000,2578000000,2514000000,2463000000,2258000000,40093000000,37219000000,47498000000,45202000000,43993000000,42269000000,41302000000,39897000000,39085000000,26116000000,- -,- -
46,Other Assets,99576000000,103998000000,117357000000,103431000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105747000000,99171000000
47,Total Assets,99576000000,103998000000,117357000000,103431000000,3637000000,4107000000,5047000000,5605000000,9791000000,7260000000,43225000000,41707000000,51151000000,49416000000,48911000000,48234000000,44086000000,42772000000,41262000000,101342000000,105747000000,99171000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,1850000000,2239000000,559000000,152000000,199000000,200000000,1133000000,930000000,494000000,396000000,- -,485000000,- -,298000000,- -,597000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,85562000000,86334000000,90556000000,93279000000,89614000000,87897000000,89157000000,88987000000,89597000000,85726000000,89581000000,86640000000,87450000000,86708000000,84455000000,83569000000,- -,- -
53,Total Current Liabilities,- -,- -,1850000000,2239000000,86121000000,86486000000,90755000000,93479000000,90747000000,88827000000,89651000000,89383000000,89597000000,86211000000,89581000000,86938000000,87450000000,87305000000,84455000000,83569000000,- -,- -
54,Long-Term Debt,- -,622000000,472000000,529000000,3891000000,2736000000,3921000000,3903000000,4261000000,3641000000,8389000000,7982000000,7178000000,6956000000,6854000000,6371000000,4564000000,3977000000,4336000000,3588000000,3548000000,1899000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1088000000,1405000000,624000000,1386000000,1550000000,1249000000,248000000,303000000,1621000000,1636000000,1545000000,206000000,908000000,24000000,53000000,27000000,24000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,376000000,1374000000,1315000000,2206000000,3207000000,3140000000,-1127000000,-1240000000,-1545000000,279000000,-950000000,274000000,-53000000,570000000,-342000000,- -,- -,- -
58,Total Non-Current Liabilities,- -,622000000,1560000000,1934000000,4891000000,5496000000,6786000000,7358000000,7716000000,7084000000,8883000000,8378000000,7178000000,7441000000,6812000000,6669000000,4564000000,4574000000,4018000000,3588000000,3548000000,1899000000
59,Other Liabilities,86589000000,90455000000,100315000000,87326000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93475000000,84804000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,86589000000,89833000000,100605000000,87631000000,91012000000,91982000000,97541000000,100837000000,98463000000,94837000000,97424000000,96637000000,95487000000,92425000000,94561000000,91794000000,90191000000,89969000000,86734000000,86710000000,89927000000,82905000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,7838000000,5751000000,645000000,1735000000,2914000000,3913000000,3210000000,3105000000,2973000000,3095000000,1907000000,2423000000,1179000000,564000000,287000000,1113000000,1118000000,1461000000,1584000000,2490000000
65,Other Comprehensive Income/Loss,- -,- -,835000000,1672000000,1609000000,1404000000,1157000000,727000000,-3062000000,-164000000,1492000000,4021000000,5202000000,2542000000,4446000000,3010000000,3094000000,3027000000,2044000000,3433000000,4425000000,3861000000
66,Other Total Stockholders Equity,12987000000,14165000000,8914000000,10049000000,12221000000,10171000000,9259000000,8837000000,8777000000,9334000000,9395000000,9424000000,9427000000,9427000000,9297000000,9249000000,9262000000,9277000000,9287000000,9290000000,9308000000,- -
67,Total Stockholders Equity,12987000000,14165000000,16752000000,15800000000,12866000000,13310000000,13330000000,13478000000,8926000000,12276000000,13861000000,16541000000,16537000000,14393000000,14923000000,12824000000,12644000000,13418000000,12450000000,14185000000,15318000000,15510000000
68,Total Liabilities And Stockholders Equity,99576000000,103998000000,117357000000,103431000000,103878000000,105292000000,110871000000,114315000000,107389000000,107113000000,111285000000,113178000000,112024000000,106818000000,109484000000,104618000000,102835000000,103387000000,99184000000,100895000000,105245000000,98415000000
69,Minority Interest,- -,- -,- -,- -,-100241000000,-101185000000,-105824000000,-108710000000,-97598000000,-99853000000,-68060000000,-71471000000,-60873000000,-57402000000,-60573000000,-56384000000,-58749000000,-60615000000,-57922000000,447000000,502000000,756000000
70,Total Liabilities & Equity,99576000000,103998000000,117357000000,103431000000,3637000000,4107000000,5047000000,5605000000,9791000000,7260000000,43225000000,41707000000,51151000000,49416000000,48911000000,48234000000,44086000000,42772000000,41262000000,101342000000,105747000000,99171000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1276520/000119312505039516/0001193125-05-039516-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312506039300/0001193125-06-039300-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312507042851/0001193125-07-042851-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312508041475/0001193125-08-041475-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/0001193125-09-041694-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312510041949/0001193125-10-041949-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312511047536/0001193125-11-047536-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312512081737/0001193125-12-081737-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312513081960/0001193125-13-081960-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312514078864/0001193125-14-078864-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312515072748/0001193125-15-072748-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312516482185/0001193125-16-482185-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312517059195/0001193125-17-059195-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312518064038/0001193125-18-064038-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312519052835/0001193125-19-052835-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312520051019/0001193125-20-051019-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312521058267/0001193125-21-058267-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312522055674/0001193125-22-055674-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1174000000,1081000000,1157000000,1221000000,1328000000,1220000000,-572000000,-460000000,142000000,122000000,323000000,560000000,-1244000000,-615000000,-277000000,817000000,119000000,343000000,178000000,904000000
74,Depreciation and Amortization,- -,- -,1221000000,1351000000,1235000000,853000000,745000000,802000000,884000000,782000000,756000000,743000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,-55000000,-63000000,-1196000000,891000000,368000000,252000000,-430000000,-476000000,-294000000,-309000000,88000000,-79000000,-487000000,-196000000,145000000,-368000000,5000000,139000000,268000000,-1000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,23000000,26000000,44000000,31000000,26000000,41000000,30000000,16000000,32000000,42000000,37000000,27000000,40000000,39000000
77,Change in Working Capital,- -,- -,4619000000,- -,-84729000000,118000000,-3675000000,-2102000000,6969000000,-406000000,-2694000000,1624000000,-1049000000,3947000000,-2666000000,3690000000,-3693000000,236000000,2152000000,73935000000,8343000000,98509000
78,Accounts Receivable,- -,- -,- -,-136000000,618000000,2641000000,3153000000,-377000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,3604000000,3367000000,-682000000,406000000,4226000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-84729000000,-84611000000,-88286000000,-90388000000,-83419000000,-83825000000,-86519000000,-84895000000,-85944000000,-81997000000,-84663000000,-80973000000,-84666000000,-84430000000,-82278000000,-8343000000,- -,98509000
82,Other Non-Cash Items,- -,- -,-2076000000,1347000000,89031000000,396000000,5599000000,4619000000,-1431000000,2465000000,3382000000,914000000,1574000000,-3070000000,6805000000,-1304000000,5645000000,1827000000,-680000000,-72365000000,-6869000000,-1023509000
83,Cash Provided by Operating Activities,- -,- -,4883000000,3716000000,5498000000,3479000000,4365000000,4791000000,5443000000,1931000000,1336000000,3125000000,962000000,1399000000,2438000000,1591000000,1852000000,2554000000,1633000000,2079000000,1960000000,17000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,-61000000,1587000000,1000000,- -,-511000000,-31000000,-22000000,-51000000,-37000000,207000000,46000000,365000000,- -,273000000,39000000,-5000000,- -,1398000000,- -,- -
86,Purchases of Investments,- -,- -,-35407000000,-29498000000,-16862000000,-13253000000,-16781000000,-16894000000,-6977000000,-10183000000,-13237000000,-12412000000,-12332000000,-10805000000,-9532000000,-9750000000,-11683000000,-9589000000,-10706000000,-7288000000,-9835000000,- -
87,Sales/Maturities of Investments,- -,- -,28881000000,26647000000,16667000000,7055000000,7343000000,15157000000,9727000000,10623000000,10811000000,11517000000,11327000000,9565000000,7854000000,9107000000,9518000000,8992000000,10350000000,7319000000,8295000000,- -
88,Other Investing Activites,- -,- -,62000000,583000000,-5210000000,2921000000,7051000000,-112000000,-763000000,431000000,648000000,629000000,237000000,295000000,-158000000,-34000000,6000000,-157000000,-266000000,-128000000,387000000,-12000000
89,Cash Used for Investing Activites,- -,- -,-6525000000,-681000000,-5404000000,-3277000000,-2898000000,-1880000000,1965000000,820000000,-1815000000,-59000000,-722000000,-580000000,-1836000000,-404000000,-2120000000,-759000000,-622000000,1301000000,-1153000000,-12000000
90,Debt Repayment,- -,- -,-3036000000,-927000000,-550000000,- -,- -,-500000000,-319000000,-9260000000,-5279000000,-1024000000,-1450000000,-501000000,-695000000,-217000000,-2024000000,-34000000,-640000000,-446000000,-842000000,- -
91,Common Stock Issued,- -,- -,- -,261000000,1910000000,23000000,49000000,600000000,- -,622000000,- -,- -,- -,- -,517000000,226000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-523000000,-1049000000,-1124000000,-76000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-3232000000,-1613000000,-128000000,-145000000,-163000000,-175000000,-10000000,-43000000,-67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5329000000,1184000000,-538000000,380000000,310000000,-1108000000,-2343000000,3339000000,3810000000,-550000000,349000000,352000000,383000000,-51000000,-907000000,-1734000000,-981000000,-1771000000,-665000000,-5000000
95,Cash Used/Provided by Financing Activities,- -,- -,2293000000,-2714000000,-791000000,-248000000,-835000000,-2295000000,-2913000000,-5309000000,-1512000000,-1641000000,-1101000000,-149000000,205000000,-42000000,-2931000000,-1768000000,-1621000000,-2217000000,-1507000000,-5000000
96,Effect of Forex Changes on Cash,- -,- -,37000000,92000000,107000000,-42000000,-38000000,6000000,-258000000,232000000,121000000,-69000000,26000000,-109000000,-103000000,-70000000,-10000000,64000000,-88000000,1000000,15000000,- -
97,Net Change In Cash,- -,- -,688000000,413000000,-590000000,-88000000,594000000,622000000,4237000000,-2326000000,-1870000000,1356000000,-835000000,561000000,704000000,1047000000,-3209000000,91000000,-698000000,1164000000,-685000000,- -
98,Cash at the End of Period,- -,- -,1569000000,1982000000,1392000000,1875000000,2469000000,3091000000,7328000000,5002000000,3132000000,4488000000,3653000000,4214000000,4918000000,5965000000,2784000000,2875000000,2177000000,3341000000,2656000000,- -
99,Cash at the Beginning of Period,- -,- -,881000000,1569000000,1982000000,1963000000,1875000000,2469000000,3091000000,7328000000,5002000000,3132000000,4488000000,3653000000,4214000000,4918000000,5993000000,2784000000,2875000000,2177000000,3341000000,- -
100,Free Cash Flow,- -,- -,4883000000,3716000000,5498000000,3479000000,4365000000,4791000000,5443000000,1931000000,1336000000,3125000000,962000000,1399000000,2438000000,1591000000,1852000000,2554000000,1633000000,2079000000,1960000000,17000000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1276520/000119312505039516/0001193125-05-039516-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312506039300/0001193125-06-039300-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312507042851/0001193125-07-042851-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312508041475/0001193125-08-041475-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/0001193125-09-041694-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312510041949/0001193125-10-041949-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312511047536/0001193125-11-047536-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312512081737/0001193125-12-081737-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312513081960/0001193125-13-081960-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312514078864/0001193125-14-078864-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312515072748/0001193125-15-072748-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312516482185/0001193125-16-482185-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312517059195/0001193125-17-059195-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312518064038/0001193125-18-064038-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312519052835/0001193125-19-052835-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312520051019/0001193125-20-051019-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312521058267/0001193125-21-058267-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312522055674/0001193125-22-055674-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
