,https://roic.ai/company/COF,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,486000000,3415000000
20,Income Before Tax,146800000,197700000,248500000,305500000,443900000,577000000,757474000,1035420000,1451039000,1826793000,2360064000,2829002000,3652731000,3869556000,581619000,1336102000,4330000000,4587000000,5035000000,6417000000,6569000000,5881000000,5484000000,5492000000,7318000000,6874000000,3203000000,15809000000
21,Income Before Tax Ratio,0.2613,0.2598,0.2201,0.2104,0.2033,0.1685,0.1638,0.1702,0.1773,0.2228,0.2651,0.2818,0.3020,0.2653,0.0419,0.1027,0.2667,0.2814,0.2552,0.3005,0.3062,0.2597,0.2225,0.2092,0.2693,0.2470,0.1123,0.5194
22,Income Tax expense (Gain),51600000,71200000,93200000,116100000,168700000,213900000,287840000,393455000,551395000,675914000,816582000,1019855000,1238238000,1277837000,497102000,349485000,1280000000,1334000000,1301000000,2025000000,2146000000,1869000000,1714000000,3375000000,1293000000,1341000000,486000000,3415000000
23,Net Income,95200000,126500000,155300000,189400000,275200000,363100000,469634000,641965000,899644000,1135842000,1543482000,1809147000,2414493000,1570332000,-45998000,883781000,2743000000,3147000000,3517000000,4159000000,4428000000,4050000000,3751000000,1982000000,6015000000,5546000000,2714000000,12390000000
24,Net Income ratio,0.1694,0.1662,0.1376,0.1304,0.1261,0.1060,0.1016,0.1055,0.1099,0.1385,0.1734,0.1802,0.1996,0.1077,-0.0033,0.0679,0.1689,0.1931,0.1782,0.1948,0.2064,0.1788,0.1522,0.0755,0.2214,0.1993,0.0952,0.4071
25,EPS,0.48,0.64,0.77,0.96,1.40,1.84,2.39,3.06,4.09,5.05,6.55,6.98,7.80,4.02,-0.21,0.75,6.07,6.85,6.21,7.05,7.71,7.15,6.96,3.52,11.90,11.10,5.19,27.06
26,EPS Diluted,0.48,0.64,0.77,0.93,1.32,1.72,2.24,2.91,3.93,4.85,6.21,6.73,7.62,3.97,-0.21,0.74,6.01,6.80,6.16,6.96,7.59,7.07,6.89,3.49,11.82,11.05,5.18,27.06
27,Weighted Average Shares Outstanding,198333333,197656250,202764000,197979094,196571429,197336957,196499582,209792484,219961858,224919208,235646107,259190115,309584000,390287000,376282000,450000000,452100000,455500000,561100000,579700000,563100000,541800000,504900000,484200000,479900000,467600000,457800000,422500000
28,Weighted Average Shares Outstanding Diluted,198333333,197656250,202764000,202928571,208484848,211104651,209658036,220606529,228917048,234194227,248547826,268818276,317023000,395545000,377667000,454900000,456400000,459100000,566500000,587600000,571900000,548000000,509800000,488600000,483100000,469900000,458900000,424300000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000095013397001012/0000950133-97-001012-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000092838502000920/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/927628/000119312504035097/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312505045269/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312506044064/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312507044343/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312508043757/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312509039271/0001193125-09-039271-index.html,https://www.sec.gov/Archives/edgar/data/927628/000119312510043152/0001193125-10-043152-index.html,https://www.sec.gov/Archives/edgar/data/927628/000114036111012916/form10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312512086138/0001193125-12-086138-index.html,https://www.sec.gov/Archives/edgar/data/927628/000119312513084249/0001193125-13-084249-index.html,https://www.sec.gov/Archives/edgar/data/927628/000119312514073467/d637300d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762815000026/cof-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762816000140/0000927628-16-000140-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762817000115/0000927628-17-000115-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762818000107/0000927628-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762821000094/0000927628-21-000094-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762822000106/0000927628-22-000106-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,406900000,872500000,529000000,237700000,300200000,246500000,176107000,687436000,544950000,969963000,637516000,2765730000,3561340000,3054647000,6854591000,8143054000,4843000000,5496000000,11057000000,5952000000,7242000000,7984000000,9976000000,14040000000,13186000000,13407000000,4708000000,21746000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63979000000,41800000000,39508000000,39061000000,40737000000,37655000000,46150000000,79213000000,- -,95261000000
33,Cash and Short-Term Investments,406900000,872500000,529000000,237700000,300200000,246500000,176107000,687436000,544950000,969963000,637516000,2765730000,3561340000,3054647000,6854591000,8143054000,4843000000,5496000000,75036000000,47752000000,46750000000,47045000000,50713000000,51695000000,59336000000,92620000000,4708000000,117007000000
34,Net Receivables,14600000,55600000,78600000,51900000,886000000,726500000,1226577000,2558007000,3314339000,4963257000,4334128000,5468089000,5405661000,5557196000,7170663000,8565743000,1188000000,1123000000,1694000000,1418000000,1435000000,1189000000,1351000000,1536000000,1614000000,1758000000,- -,1460000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76561193000,127136849000,129147786000,139923711000,139341198000,41825000000,39007000000,1000000,339000000,- -,39000000,- -,- -,- -,281334000000,- -,199661000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84795012000,136103850000,137759629000,153948965000,156049995000,47856000000,45626000000,76731000000,49509000000,48185000000,48273000000,52064000000,53231000000,60950000000,375712000000,4708000000,318128000000
38,PP&E,99700000,139100000,174700000,162700000,242100000,470700000,664461000,759683000,770326000,902600000,817704000,1191406000,2203280000,2299603000,2313106000,2735623000,2749000000,2748000000,3587000000,3839000000,3685000000,3584000000,3675000000,4033000000,4191000000,4378000000,- -,4210000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13596368000,13591000000,13592000000,13904000000,13978000000,13978000000,14480000000,14519000000,14533000000,14544000000,14653000000,14653000000,14782000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474000000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3906399000,13635435000,12830740000,11964487000,13596368000,13591000000,13592000000,13904000000,13978000000,13978000000,14480000000,14519000000,14533000000,14544000000,15127000000,14653000000,14782000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,4423677000,5866628000,9300454000,14350249000,15452047000,19781587000,31003271000,38910139000,41537000000,38853000000,63979000000,60932000000,62008000000,63680000000,66449000000,66639000000,82921000000,79213000000,100445000000,95261000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15541655000,-17655327000,-22081190000,-33316377000,-41645762000,91770000000,105200000000,154717000000,168790000000,180998000000,204031000000,220326000000,227257000000,209932000000,-84065000000,-100445000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3906399000,13635435000,12830740000,11964487000,13596368000,149647000000,160393000000,236187000000,247539000000,260669000000,285775000000,304969000000,312462000000,311588000000,14653000000,14653000000,114253000000
46,Other Assets,3092000000,4759300000,6467400000,7078300000,9419400000,13336400000,18889341000,28184047000,37382380000,46283706000,53747255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,546634000000
47,Total Assets,3092000000,4759300000,6467400000,7078300000,9419400000,13336400000,18889341000,28184047000,37382380000,46283706000,53747255000,88701411000,149739285000,150590369000,165913452000,169646363000,197503000000,206019000000,312918000000,297048000000,308854000000,334048000000,357033000000,365693000000,372538000000,390365000000,19361000000,432381000000
48,Accounts Payable,9300000,73900000,80400000,68400000,91600000,116400000,122658000,188160000,236081000,256015000,237227000,371681000,574763000,631609000,676398000,509105000,488000000,466000000,450000000,307000000,317000000,299000000,327000000,413000000,458000000,439000000,- -,281000000
49,Short-Term Debt,1322000000,100000000,531000000,796100000,1644300000,3083400000,2925938000,3995528000,6365075000,4071608000,6293531000,- -,2648363000,6841789000,4877179000,9045470000,8650000000,11034000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1421600000,1987500000,2674100000,4440200000,9827404000,15342312000,20591844000,28888377000,31953242000,67456319000,95398874000,93396602000,116279423000,116863425000,121545000000,126756000000,223307000000,236917000000,233176000000,248462000000,276982000000,273141000000,283319000000,293363000000,40539000000,- -
53,Total Current Liabilities,1331300000,173900000,2033000000,2852000000,4410000000,7640000000,12876000000,19526000000,27193000000,33216000000,38484000000,67828000000,98622000000,100870000000,121833000000,126418000000,130683000000,138256000000,223757000000,237224000000,233493000000,248761000000,277309000000,273554000000,283777000000,293802000000,40539000000,- -
54,Long-Term Debt,54000000,2491900000,3994200000,3730500000,3837300000,3877600000,4050597000,5335229000,5565615000,10741025000,10218278000,22278140000,33982477000,32267713000,22445128000,11968461000,31629000000,27063000000,48662000000,39739000000,47577000000,58101000000,59436000000,59705000000,58553000000,55383000000,- -,42266000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-300200000,-397500000,-98300000,303400000,403000,-229000,385000,-3725025000,-3343278000,-15534140000,-8100477000,-6841713000,-4977128000,4670539000,8650000000,11034000000,- -,-21659000000,-17269000000,-20098000000,-27226000000,-16296000000,-21460000000,-16831000000,- -,- -
58,Total Non-Current Liabilities,54000000,2491900000,3694000000,3333000000,3739000000,4181000000,4051000000,5335000000,5566000000,7016000000,6875000000,6744000000,25882000000,25426000000,17468000000,16639000000,40279000000,38097000000,48662000000,18080000000,30308000000,38003000000,32210000000,43409000000,37093000000,38552000000,- -,42266000000
59,Other Liabilities,1340100000,6478100000,- -,- -,- -,- -,- -,- -,11132209000,- -,13750066000,13488497000,51764079000,50852257000,34936019000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320859000000,413618000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,32000000,- -,- -,- -,75000000,- -
61,Total Liabilities,2617400000,4160100000,5727000000,6185000000,8149000000,11820800000,16926827000,24860569000,32759209000,40231895000,45359066000,74572497000,124504079000,126296257000,139301019000,143056953000,170962000000,176353000000,272419000000,255304000000,263801000000,286764000000,309519000000,316963000000,320870000000,332354000000,361398000000,371352000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3096466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,2000000,1997000,2177000,2271000,2364000,2484000,3028000,4122000,4192000,4384000,5024000,5000000,5000000,6000000,6000000,6000000,6000000,7000000,7000000,7000000,7000000,7000000,7000000
64,Retained Earnings,11100000,128700000,258300000,427700000,679800000,1022300000,1471106000,2090761000,2966948000,4078508000,5596372000,7378015000,9760184000,11267568000,10621164000,10727368000,10406000000,13462000000,16853000000,20404000000,23973000000,27045000000,29766000000,30700000000,35875000000,40340000000,40088000000,51006000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-15566000,83158000,144759000,6129000,266180000,315248000,-1221796000,82654000,248000000,169000000,739000000,-872000000,-430000000,-616000000,-949000000,-926000000,-1263000000,1156000000,3494000000,374000000
66,Other Total Stockholders Equity,463500000,470500000,482100000,465600000,590600000,491300000,489411000,1230540000,1669518000,1887781000,2644574000,6741742000,15204720000,12707104000,14112215000,15774364000,15882000000,16030000000,22901000000,22206000000,21504000000,20849000000,18690000000,18949000000,17049000000,16508000000,16615000000,9642000000
67,Total Stockholders Equity,474600000,599200000,740400000,893300000,1270400000,1515600000,1962514000,3323478000,4623171000,6051811000,8388189000,14128914000,25235206000,24294112000,26612433000,26589410000,26541000000,29666000000,40499000000,41744000000,45053000000,47284000000,47514000000,48730000000,51668000000,58011000000,60204000000,61029000000
68,Total Liabilities And Stockholders Equity,3092000000,4759300000,6467400000,7078300000,9419400000,13336400000,18889341000,28184047000,37382380000,46283706000,53747255000,88701411000,149739285000,150590369000,165913452000,169646363000,197503000000,206019000000,312918000000,297048000000,308854000000,334048000000,357033000000,365693000000,372538000000,390365000000,421602000000,432381000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-402241000000,- -
70,Total Liabilities & Equity,3092000000,4759300000,6467400000,7078300000,9419400000,13336400000,18889341000,28184047000,37382380000,46283706000,53747255000,88701411000,149739285000,150590369000,165913452000,169646363000,197503000000,206019000000,312918000000,297048000000,308854000000,334048000000,357033000000,365693000000,372538000000,390365000000,19361000000,432381000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000095013397001012/0000950133-97-001012-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927628/000092838502000920/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/927628/000119312504035097/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312505045269/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312506044064/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312507044343/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312508043757/d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312509039271/0001193125-09-039271-index.html,https://www.sec.gov/Archives/edgar/data/927628/000119312510043152/0001193125-10-043152-index.html,https://www.sec.gov/Archives/edgar/data/927628/000114036111012916/form10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000119312512086138/0001193125-12-086138-index.html,https://www.sec.gov/Archives/edgar/data/927628/000119312513084249/0001193125-13-084249-index.html,https://www.sec.gov/Archives/edgar/data/927628/000119312514073467/d637300d10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762815000026/cof-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762816000140/0000927628-16-000140-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762817000115/0000927628-17-000115-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762818000107/0000927628-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.html,https://www.sec.gov/Archives/edgar/data/927628/000092762821000094/0000927628-21-000094-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762822000106/0000927628-22-000106-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,95200000,126500000,155300000,189400000,275200000,363100000,469634000,641965000,899644000,1135842000,1543482000,1809147000,2414493000,1570332000,-45998000,883781000,2743000000,3147000000,3517000000,4159000000,4428000000,4050000000,3751000000,1982000000,6015000000,5546000000,2714000000,12390000000
74,Depreciation and Amortization,19900000,37400000,41900000,46600000,108200000,172600000,244823000,337562000,124072000,384016000,381852000,425640000,542090000,678757000,691430000,682603000,582000000,600000000,1862000000,2065000000,2002000000,2100000000,2428000000,2440000000,2396000000,3339000000,3501000000,3481000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-686000000,1434000000,714000000,-296000000,-1627000000,605000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211117000,338778000,111646000,145831000,149000000,189000000,199000000,240000000,205000000,161000000,239000000,244000000,170000000,239000000,203000000,331000000
77,Change in Working Capital,-86700000,- -,-2033000000,-819000000,-1558000000,-3230000000,-5236000000,-6650000000,-7667000000,-6023000000,-5268000000,55451012000,20514838000,-592221000,-4773664000,-2483970000,-112458995000,-9803000000,-54396000000,-40689000000,2407000000,-15180000000,-24757000000,4922000000,-2504000000,304737000000,-117741000000,30945000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269114000,-165456000,-1613467000,-1395080000,-612000000,65000000,-495000000,276000000,-17000000,-72000000,-159000000,-157000000,-74000000,-63000000,287000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87005000,56846000,44789000,-167293000,-21000000,-22000000,-47000000,-143000000,10000000,45000000,28000000,85000000,45000000,-19000000,-87000000,- -
81,Other Working Capital,- -,- -,-2033000000,-2852000000,-4410000000,-7640000000,-12876000000,-19526000000,-27193000000,-33216000000,-38484000000,16967012000,37481850000,36889629000,32115965000,29631995000,-82827000000,-92630000000,-147026000000,-187715000000,-185308000000,-200488000000,-225245000000,-220323000000,-222827000000,81910000000,-35831000000,-4886000000
82,Other Non-Cash Items,30700000,-46200000,2111100000,1091600000,1955200000,3966600000,5917619000,6938222000,8919071000,6531001000,7870421000,-54053751000,-20305800000,11014784000,7499561000,3568702000,117126995000,13322000000,57878000000,44209000000,262000000,18996000000,30881000000,3160000000,6187000000,-296926000000,129649000000,-35442000000
83,Cash Provided by Operating Activities,59100000,117700000,275300000,508600000,780600000,1272300000,1396076000,1267749000,2275787000,2027859000,4527755000,3632048000,3376738000,13010430000,3482975000,2796947000,8142000000,7455000000,9060000000,9984000000,9304000000,10127000000,11856000000,14182000000,12978000000,16639000000,16699000000,12310000000
84,CAPEX,-58100000,-61600000,-74900000,-51600000,-153000000,-351000000,-374018000,-326594000,-275436000,-252400000,-208975000,-159823000,-712190000,-437545000,-356327000,-231624000,-340000000,-315000000,-560000000,-818000000,-502000000,-532000000,-779000000,-1018000000,-874000000,-887000000,-710000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3635356000,-10464000,- -,778166000,- -,-1444000000,-17603000000,-204000000,-24000000,-9314000000,-629000000,-3187000000,-600000000,-8393000000,-7000000,-669000000
86,Purchases of Investments,-112000000,-403200000,-945000000,-1275900000,-1251700000,-871400000,-407572000,-4268527000,-5748073000,-4609649000,-6564370000,-3688180000,-7777082000,-12717204000,-21697629000,-27827065000,-26378000000,-16060000000,-29257000000,-16062000000,-17477000000,-16477000000,-17941000000,-18297000000,-33188000000,-12501000000,-43026000000,- -
87,Sales/Maturities of Investments,2393900000,3625000000,3185800000,3049100000,718800000,762200000,605092000,2838361000,4844937000,3122607000,2988235000,2951029000,11180326000,8334505000,9304773000,22950968000,24090000000,18879000000,34673000000,16469000000,16856000000,14284000000,14694000000,17988000000,16328000000,18383000000,23136000000,- -
88,Other Investing Activites,-2843400000,-4342300000,-4312900000,-2882400000,-1612900000,-4403400000,-6136583000,-6141419000,-8518928000,-7367588000,-6896923000,-6149226000,-6182399000,-5634465000,-2860218000,14775977000,7091000000,-11423000000,-5240000000,4336000000,-14844000000,-17687000000,-20975000000,-11027000000,2716000000,-19600000000,5766000000,-30832000000
89,Cash Used for Investing Activites,-561500000,-1120500000,-2072100000,-1109200000,-2145800000,-4512600000,-5939063000,-7571585000,-9422064000,-8854630000,-10473058000,-6886377000,-7126701000,-10465173000,-15609401000,10446422000,4463000000,-10363000000,-17987000000,3721000000,-15991000000,-29726000000,-25630000000,-15541000000,-15618000000,-22998000000,-14841000000,-31501000000
90,Debt Repayment,-1737500000,-54000000,-603500000,-891400000,-1218200000,-1012600000,-1125292000,-706916000,-766058000,-1059940000,-1160639000,-1525407000,-1258178000,-612500000,-14853133000,-7824194000,-22344000000,-11243000000,-5761000000,-12871000000,-5367000000,-26145000000,-27710000000,-44187000000,-8165000000,-14984000000,-21715000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36751000,43493000,772017000,1537363000,30000000,40000000,3233000000,81000000,100000000,111000000,131000000,164000000,175000000,199000000,241000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21615000,-3024969000,-12501000,-14572000,-22000000,-42000000,-43000000,-1033000000,-2045000000,-2441000000,-3661000000,-240000000,-2284000000,-2481000000,-1768000000,- -
93,Dividends Paid,- -,-15900000,-20600000,-20600000,-20500000,-20700000,-20824000,-22310000,-23457000,-24282000,-25618000,-27504000,-32324000,-42055000,-568255000,-318844000,-91000000,-91000000,-126000000,-608000000,-746000000,-974000000,-1026000000,-1045000000,-1038000000,-1035000000,-740000000,- -
94,Other Financing Activites,2645800000,1538200000,2077400000,1221400000,2666400000,4219900000,5679313000,7503593000,8147332000,8972497000,6562489000,7467296000,5614558000,1251687000,29458232000,-5429841000,6386000000,14833000000,16844000000,-4041000000,15696000000,49829000000,47993000000,48526000000,13089000000,24920000000,49146000000,- -
