,https://roic.ai/company/GPN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,340033000,353195000,462826000,516084000,629320000,784331000,908056000,1061523000,1274229000,1601524000,1642468000,1859802000,2203847000,2375923000,2554236000,2773718000,2898150000,3975163000,3366366000,4911892000,7423558000,8523762000
2,COGS,181479000,192389000,252126000,260290000,289353000,337272000,358020000,414837000,475612000,598785000,584609000,665017000,784756000,862075000,952225000,1022107000,1147639000,1928037000,1095014000,2073803000,3650727000,3773725000
3,Gross Profit,158554000,160806000,210700000,255794000,339967000,447059000,550036000,646686000,798617000,1002739000,1057859000,1194785000,1419091000,1513848000,1602011000,1751611000,1750511000,2047126000,2271352000,2838089000,3772831000,4750037000
4,Gross Profit Ratio,0.4663,0.4553,0.4552,0.4956,0.5402,0.5700,0.6057,0.6092,0.6267,0.6261,0.6441,0.6424,0.6439,0.6372,0.6272,0.6315,0.6040,0.5150,0.6747,0.5778,0.5082,0.5573
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,102878000,128289000,161272000,217418000,283232000,347070000,425509000,545941000,693646000,734580000,863191000,1027304000,1119860000,1203512000,1295014000,1325567000,- -,1534297000,2046672000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,102878000,128289000,161272000,217418000,283232000,347070000,425509000,545941000,693646000,734580000,863191000,1027304000,1119860000,1203512000,1295014000,1325567000,1488258000,1534297000,2046672000,- -,3391161000
9,Other Expenses,95342000,- -,-10993000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36775000,-7000000,- -,- -,- -,- -,- -,2878878000,- -
10,Operating Expenses,95342000,102878000,117296000,161272000,217418000,283232000,347070000,425509000,545941000,693646000,734580000,863191000,1027304000,1156635000,1196512000,1295014000,1325567000,1488258000,1534297000,2046672000,2878878000,3391161000
11,COGS and Expenses,276821000,295267000,369422000,421562000,506771000,620504000,705090000,840346000,1021553000,1292431000,1319189000,1528208000,1812060000,2018710000,2148737000,2317121000,2473206000,3416295000,2629311000,4120475000,6529605000,7164886000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,7263000,4629000,10774000,9946000,10353000,13663000,4949000,5284000,8662000,20719000,31413000,43551000,19320000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,7265000,17519000,18161000,16848000,33282000,41812000,44436000,69316000,174847000,195619000,304905000,343548000,333651000
