,https://roic.ai/company/PPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0647,0.1037,0.0631,-0.0008,0.0673,0.0525,0.0408,-0.0119,0.0648,0.0733,0.0303,0.0222,0.0576,0.0669,0.0925,0.0659,0.0540,0.0288,0.0525,0.0601,0.0950,0.0189,0.0390,-0.1119,0.0317,0.0581,-0.0222,0.0499,0.0965,0.1562,0.1454,0.1135,0.1269,0.0709,0.0909,0.0517,0.0419
17,Operating Income,18800000,36800000,20900000,-1100000,45800000,33300000,31100000,-15600000,56100000,59900000,24900000,21500000,63800000,77300000,109500000,80488000,94542000,29904000,63613000,265314000,435812000,3002000,232537000,-1057696000,67327000,185427000,-373591000,250342000,658863000,1203115000,1044891000,713510000,1072322000,495686000,690568000,245463000,211164000
18,Operating Income ratio,0.0624,0.0981,0.0496,-0.0022,0.0693,0.0462,0.0395,-0.0191,0.0632,0.0649,0.0267,0.0189,0.0499,0.0581,0.0807,0.0537,0.0427,0.0118,0.0243,0.0495,0.0769,0.0006,0.0306,-0.1241,0.0095,0.0269,-0.0496,0.0308,0.0783,0.1402,0.1277,0.0900,0.0996,0.0453,0.0605,0.0203,0.0143
19,Total Other Income Expenses (Gains),-3300000,-4100000,-2800000,-10700000,-14800000,-12900000,-18900000,-18100000,-23300000,-17400000,-22800000,-21400000,-20000000,-20800000,-18500000,-17702000,-31248000,-27994000,-378000,-56779000,-32289000,-39319000,-140930000,-129397000,-241094000,-118939000,-113535000,-97280000,-84923000,-100724000,-52133000,-40875000,-90256000,-163459000,-73023000,-83638000,-118774000
20,Income Before Tax,15500000,32700000,18100000,-11800000,31000000,20400000,12200000,-33700000,32800000,42500000,2100000,100000,43800000,56500000,91000000,62786000,63294000,1910000,63235000,208535000,403523000,-36317000,91607000,-1187093000,-173767000,66488000,-487126000,153062000,573940000,1102391000,992758000,672635000,982066000,332227000,617545000,161825000,92390000
21,Income Before Tax Ratio,0.0514,0.0872,0.0429,-0.0233,0.0469,0.0283,0.0155,-0.0412,0.0369,0.0460,0.0023,0.0001,0.0343,0.0424,0.0670,0.0419,0.0286,0.0008,0.0241,0.0389,0.0712,-0.0069,0.0121,-0.1392,-0.0245,0.0097,-0.0646,0.0188,0.0682,0.1284,0.1214,0.0848,0.0912,0.0304,0.0541,0.0134,0.0063
22,Income Tax expense (Gain),6300000,13600000,7800000,-3900000,10700000,4800000,-100000,-4000000,10500000,11400000,10100000,4600000,2800000,6500000,25700000,10442000,21263000,-12425000,7199000,80195000,138544000,-2085000,44590000,-194921000,-21586000,-23838000,8564000,-20980000,24227000,390953000,346796000,232906000,263899000,85423000,161009000,66755000,61122000
23,Net Income,9200000,19100000,10300000,-7900000,20300000,15600000,12300000,-29700000,21000000,31100000,-8000000,-7300000,41000000,50000000,65300000,52344000,42925000,14335000,56036000,128340000,264979000,-34232000,47017000,-999484000,-151582000,87141000,-496772000,174234000,549555000,711648000,645914000,440532000,718065000,247945000,455924000,94757000,31000000
24,Net Income ratio,0.0305,0.0509,0.0244,-0.0156,0.0307,0.0216,0.0156,-0.0363,0.0237,0.0337,-0.0086,-0.0064,0.0321,0.0376,0.0481,0.0349,0.0194,0.0057,0.0214,0.0239,0.0468,-0.0065,0.0062,-0.1172,-0.0214,0.0127,-0.0659,0.0215,0.0653,0.0829,0.0790,0.0555,0.0667,0.0227,0.0400,0.0078,0.0021
25,EPS,0.26,0.87,0.46,-0.34,0.90,0.69,0.54,-1.24,0.76,1.10,-0.29,-0.26,0.99,1.21,1.58,1.27,1.00,0.35,1.36,2.05,3.98,-0.51,0.71,-14.40,-2.05,0.41,-2.32,0.70,2.12,2.75,2.50,1.74,2.79,1.00,1.83,0.39,0.13
26,EPS Diluted,0.26,0.87,0.46,-0.34,0.90,0.69,0.54,-1.24,0.76,1.10,-0.29,-0.26,0.99,1.21,1.58,1.27,1.00,0.35,1.36,2.05,3.98,-0.51,0.71,-14.40,-2.05,0.41,-2.32,0.70,2.12,2.74,2.50,1.73,2.79,1.00,1.83,0.39,0.13
27,Weighted Average Shares Outstanding,21875000,21954023,22391304,23235294,22555556,22608696,22777778,23951613,27631579,28272727,27428571,28181818,41275168,41436464,41329114,41215748,42925000,40957143,41202941,62604878,66577638,67121569,66221127,69337326,74055733,214282000,214282000,250101000,258826000,258974000,258442000,253669000,248738000,248945000,249401000,245944000,245944000
28,Weighted Average Shares Outstanding Diluted,21875000,21954023,22391304,23235294,22555556,22608696,22777778,23951613,27631579,28272727,27428571,28181818,41275168,41436464,41355932,41384000,42925000,41112679,41202941,62604878,66577638,67121569,66221127,69337326,74055733,214282000,214282000,250216000,259241000,259471000,258676000,254126000,248971000,249149000,249709000,246124000,246124000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248194000021/0000802481-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248195000027/0000802481-95-000027-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248100000015/0000802481-00-000015-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248101500018/0000802481-01-500018-index.html,- -,https://www.sec.gov/Archives/edgar/data/802481/000119312503083123/d10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248104000078/form_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/802481/000114036106016745/form10k_body.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248112000008/0000802481-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/802481/000120677413000625/0001206774-13-000625-index.html,https://www.sec.gov/Archives/edgar/data/802481/000120677414000606/ppc_10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248115000015/ppc-20141228x10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000162828016011068/0001628280-16-011068-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248117000010/0000802481-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248118000011/0000802481-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248119000015/0000802481-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248120000009/0000802481-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248121000015/0000802481-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248122000012/0000802481-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,11900000,18000000,20300000,25100000,15700000,28060000,20900000,14900000,16606000,38165000,132567000,156404000,66168000,61553000,220029000,106077000,41609000,68180000,508206000,576143000,439638000,120328000,581510000,338386000,260568000,547624000,427661000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21246000,8153000,10439000,5302000,1554000,157000,- -,96902000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,11900000,18000000,20300000,25100000,15700000,28060000,20900000,14900000,16606000,38165000,132567000,177650000,74321000,71992000,225331000,107631000,41766000,68180000,605108000,576143000,439638000,120328000,581510000,338386000,260568000,547624000,427661000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,53300000,60000000,65900000,78000000,81800000,84400000,50286000,95000000,85300000,127020000,324187000,288528000,302316000,192074000,165812000,331981000,380230000,429487000,441163000,443934000,394428000,423072000,321083000,568429000,601359000,802429000,812473000,1042610000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,100700000,110400000,136900000,146200000,141700000,168000000,181237000,314400000,326800000,340881000,609997000,527329000,585940000,961885000,1036163000,763869000,1029254000,879094000,950296000,808832000,790305000,801357000,813262000,1255070000,1159519000,1383535000,1358793000,1575658000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,11100000,8500000,6600000,9900000,10300000,9387000,13000000,16900000,6201000,44879000,50991000,39768000,56054000,176753000,45013000,193350000,113846000,83089000,71108000,124203000,82157000,67695000,111279000,135393000,151704000,183821000,260025000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,174200000,193400000,229300000,251100000,258500000,278400000,268970000,443300000,443900000,490708000,1017228000,999415000,1105674000,1284334000,1450720000,1366194000,1710465000,1464193000,1542728000,1928982000,1885079000,1746224000,1322368000,2516288000,2234657000,2598236000,2902711000,3305954000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,243500000,283300000,288600000,309900000,331100000,363700000,417874000,752400000,762000000,735474000,1178675000,1154097000,1154994000,1800155000,1673004000,1499476000,1358136000,1241752000,1189921000,1151811000,1182795000,1352529000,1505940000,2095147000,2161702000,2893574000,2946377000,3269032000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505166000,- -,- -,- -,- -,- -,- -,- -,156565000,125607000,1001889000,949750000,973750000,1005245000,1337252000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67363000,57179000,48950000,44083000,38266000,32525000,26783000,47453000,38593000,617163000,564128000,596053000,589913000,963243000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505166000,67363000,57179000,48950000,44083000,38266000,32525000,26783000,204018000,164200000,1619052000,1513878000,1569803000,1595158000,2300495000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57314000,11595000,497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,49800000,- -,53600000,53400000,58400000,52700000,- -,126700000,116900000,- -,- -,- -,- -,- -,- -,16732000,22609000,71099000,97431000,18921000,- -,- -,- -,- -,4248000,4426000,5471000,5314000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28800000,20900000,-34800000,-35300000,-46600000,-39000000,18576000,-106700000,-94900000,31302000,50086000,358391000,166200000,184581000,107622000,63609000,67143000,57921000,45523000,40163000,24406000,15672000,15710000,18165000,16717000,36325000,24780000,32410000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,264500000,304200000,307400000,328000000,342900000,377400000,436450000,772400000,784000000,766776000,1228761000,1512488000,1321194000,2489902000,1847989000,1694310000,1508433000,1415352000,1371141000,1243420000,1233984000,1572219000,1685850000,3732364000,3696545000,4504128000,4571786000,5607251000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,438700000,497600000,536700000,579100000,601400000,655800000,705420000,1215700000,1227900000,1257484000,2245989000,2511903000,2426868000,3774236000,3298709000,3060504000,3218898000,2879545000,2913869000,3172402000,3119063000,3318443000,3008218000,6248652000,5931202000,7102364000,7474497000,8913205000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,38700000,55700000,71400000,71200000,70100000,81600000,105078000,151300000,163900000,159164000,314565000,281909000,293685000,402316000,378887000,182173000,336992000,340517000,266080000,317200000,351969000,443188000,488635000,694065000,751374000,879193000,914324000,1295614000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,27000000,- -,- -,- -,4657000,- -,- -,2680000,8428000,8603000,10322000,2872000,1874469000,- -,58144000,15611000,15886000,410234000,262000,28812000,94000,47775000,30405000,92631000,97047000,109193000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6814000,- -,468000,- -,3068000,13228000,20990000,222073000,8221000,48976000,67812000,150140000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33328000,41770000,65918000,22321000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,35800000,36300000,42400000,46400000,41400000,42600000,34704000,88600000,101000000,117745000,310509000,304302000,272830000,500014000,459606000,325991000,343499000,361045000,448211000,355964000,392627000,374960000,379572000,710683000,481116000,634561000,860291000,963695000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,74500000,105000000,140800000,117600000,111500000,124200000,144439000,239900000,264900000,279589000,633502000,594814000,576837000,905202000,2712962000,508164000,738635000,717173000,730177000,1083398000,744858000,846960000,868301000,1452523000,1296223000,1648155000,1937580000,2390823000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,152600000,183000000,198300000,224700000,199800000,183800000,165037000,467200000,450200000,415965000,535866000,518863000,554876000,1318558000,67514000,41062000,1281160000,1458001000,1148870000,501999000,3980000,985509000,1011858000,2635617000,2295190000,2511411000,2472978000,3462527000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56700000,- -,- -,- -,- -,52496000,- -,- -,113988000,152455000,173232000,175869000,326570000,80755000,22213000,3476000,- -,- -,13944000,76216000,131882000,142651000,208492000,237422000,301907000,339831000,369185000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,49900000,- -,54500000,54300000,59300000,53500000,- -,127700000,118500000,- -,- -,- -,- -,51685000,85737000,2338145000,117031000,145941000,125825000,80459000,97208000,92282000,88661000,96359000,82782000,104831000,148761000,101736000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,202500000,239700000,252800000,279000000,259100000,237300000,217533000,594900000,568700000,529953000,688321000,692095000,730745000,1696813000,234006000,2401420000,1401667000,1603942000,1274695000,596402000,177404000,1209673000,1243170000,2940468000,2615394000,2918149000,2961570000,3933448000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346000,- -,- -,- -,- -,- -,- -,- -,- -,301621000,289024000,354313000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000000,344700000,393600000,396600000,370600000,361500000,361972000,834800000,833600000,809542000,1321823000,1286909000,1307582000,2602015000,2946968000,2909584000,2140302000,2321115000,2004872000,1679800000,922262000,2056633000,2111471000,4392991000,3911617000,4566304000,4899150000,6324271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,300000,300000,300000,400000,414000,400000,400000,414000,668000,668000,665000,665000,740000,771000,2143000,2143000,2590000,2590000,2590000,2597000,2597000,2602000,2604000,2611000,2612000,2614000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,81700000,72000000,63100000,102500000,150800000,214200000,264088000,302800000,314600000,368195000,492542000,753527000,646750000,687775000,-317082000,-469407000,-348653000,-843945000,-669711000,-120156000,591492000,-261252000,-520635000,173943000,421888000,877812000,972569000,1003569000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136200000,-159500000,-178000000,-200800000,-231000000,-258600000,-290227000,-600000,2400000,30000,-348000,-373000,134000,14002000,21161000,-27237000,-23637000,-46070000,-68511000,-45735000,-62541000,-58930000,-64243000,-31140000,-127834000,-75129000,-20620000,-47997000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,215900000,239600000,257700000,280500000,310800000,338300000,368284000,78300000,76900000,78057000,430094000,- -,469779000,- -,- -,- -,1442810000,1443484000,1642003000,1653119000,1662354000,1576441000,1469625000,1700751000,1713142000,1720369000,1609200000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,161700000,152100000,143100000,182500000,230900000,294300000,342559000,380900000,394300000,446696000,922956000,1223598000,1117328000,1172221000,351741000,150920000,1072663000,555612000,906371000,1489818000,2193895000,1258856000,887344000,1846156000,2009800000,2525663000,2563761000,2577080000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,438700000,496800000,536700000,579100000,601500000,655800000,704531000,1215700000,1227900000,1256238000,2244779000,2510507000,2424910000,3774236000,3298709000,3060504000,3212965000,2876727000,2911243000,3169618000,3116157000,3315489000,2998815000,6239147000,5921417000,7091967000,7462911000,8901351000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,- -,-100000,- -,889000,- -,- -,1246000,1210000,1396000,1958000,- -,- -,- -,5933000,2818000,2626000,2784000,2906000,2954000,9403000,9505000,9785000,10397000,11586000,11854000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,438700000,497600000,536700000,579100000,601400000,655800000,705420000,1215700000,1227900000,1257484000,2245989000,2511903000,2426868000,3774236000,3298709000,3060504000,3218898000,2879545000,2913869000,3172402000,3119063000,3318443000,3008218000,6248652000,5931202000,7102364000,7474497000,8913205000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/802481/000080248194000021/0000802481-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248195000027/0000802481-95-000027-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248100000015/0000802481-00-000015-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248101500018/0000802481-01-500018-index.html,- -,https://www.sec.gov/Archives/edgar/data/802481/000119312503083123/d10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248104000078/form_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/802481/000114036106016745/form10k_body.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/802481/000080248112000008/0000802481-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/802481/000120677413000625/0001206774-13-000625-index.html,https://www.sec.gov/Archives/edgar/data/802481/000120677414000606/ppc_10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248115000015/ppc-20141228x10k.htm,https://www.sec.gov/Archives/edgar/data/802481/000162828016011068/0001628280-16-011068-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248117000010/0000802481-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248118000011/0000802481-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248119000015/0000802481-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248120000009/0000802481-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/802481/000080248121000015/0000802481-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/802481/000080248122000012/0000802481-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,15600000,12300000,-29700000,21000000,31100000,-8000000,-7300000,41000000,50000000,65300000,52344000,42925000,14335000,56036000,128340000,264979000,-34232000,47017000,-999484000,-151582000,87141000,-496772000,174234000,549555000,711648000,645914000,440532000,718065000,247945000,455924000,94757000,31000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,17400000,19900000,24000000,26000000,25200000,26100000,28000000,29800000,32600000,34500000,36027000,55390000,70973000,74187000,113788000,134944000,135133000,204903000,240305000,236005000,231045000,209061000,147414000,150523000,155824000,158975000,180515000,277792000,279657000,287230000,337104000,380824000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1000000,-2400000,-5400000,5000000,6700000,3800000,-400000,2600000,600000,-5600000,444000,12737000,-1811000,-5569000,3295000,2247000,20455000,83884000,-195944000,-21478000,-69260000,-7097000,-1098000,-4999000,78943000,29512000,-3424000,-49963000,32540000,42478000,37337000,-86391000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567000,684000,3345000,4928000,2975000,6102000,3020000,13153000,10132000,-276000,11655000
77,Change in Working Capital,- -,- -,- -,- -,- -,-18500000,-10700000,7800000,-9000000,-4400000,8600000,-14400000,-24400000,1300000,-16600000,40895000,-23166000,14765000,-26334000,-22904000,85800000,-96522000,119063000,-226286000,33005000,-285822000,135111000,-124689000,169714000,76594000,144963000,138979000,-150719000,-103285000,-62181000,259464000,-40520000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9045000,-63987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-10400000,-17000000,7800000,-2400000,-8900000,-4300000,-24800000,-9300000,4500000,-26400000,-13202000,-26952000,-12392000,-14089000,-73445000,82669000,-58612000,-129645000,-103937000,284678000,-285839000,122827000,-65870000,142675000,10638000,57078000,-11905000,-207399000,83174000,-111748000,26041000,-177864000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101255000,-91119000,- -,-16520000,49625000,44833000,61882000,38427000,-22827000,86834000,119892000,295327000,- -
