,https://roic.ai/company/L,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13641000000,- -,- -,11624000000,10903000000,11196000000,11381000000,11624000000,11911000000,12017000000,12651000000,11633000000,11507000000,12658000000,13221000000,- -,- -
11,COGS and Expenses,31200000,101400000,140600000,127600000,9536900000,10774100000,11423100000,1428100000,1668300000,13249053000,15838100000,18034600000,18545600000,20130900000,20521000000,18131900000,20230300000,15848300000,17839400000,13420300000,14171300000,13438900000,13805000000,12660000000,12387000000,11713000000,11895000000,13153000000,13624000000,12515000000,13171000000,12169000000,12153000000,13232000000,13812000000,15131000000,11560000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),31200000,101400000,140600000,127600000,130900000,171600000,163600000,148800000,162300000,174600000,282500000,318000000,323400000,369200000,354300000,356900000,332000000,309600000,308400000,324100000,364200000,304100000,318000000,345000000,448000000,517000000,522000000,440000000,442000000,498000000,520000000,536000000,646000000,574000000,591000000,515000000,424000000
14,Depreciation and Amortization,- -,- -,- -,- -,-235500000,-24800000,-45000000,11000000,39800000,40700000,84400000,107400000,226500000,219700000,298000000,-13900000,58700000,139000000,192000000,329300000,174500000,-8000000,221000000,393000000,585000000,816000000,833000000,905000000,871000000,899000000,955000000,841000000,874000000,912000000,943000000,734000000,515000000
15,EBITDA,680400000,702700000,800800000,1362000000,734000000,1010500000,1240400000,-106300000,842800000,492175000,1187300000,1017900000,848200000,699200000,710000000,1112800000,-373800000,1942800000,-644400000,2418500000,2240700000,4238100000,1547000000,5275000000,1942000000,3516000000,2955000000,2202000000,2268000000,2445000000,1692000000,2251000000,2854000000,2250000000,2714000000,145000000,2996000000
16,EBITDA ratio,0.1076,0.0815,0.0859,0.1254,0.0642,0.0800,0.0911,-0.0078,0.0616,0.0364,0.0636,0.0498,0.0421,0.0330,0.0331,0.0522,-0.0193,0.1110,-0.0391,0.1587,0.1399,0.2366,0.0842,0.3982,0.1376,0.2406,0.2092,0.1513,0.1507,0.1707,0.1261,0.1718,0.2078,0.1600,0.1818,0.0106,0.2180
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2182000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1588
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,4005600000,4260200000,4697100000,2955000000,5021100000,2837339000,3348500000,4000600000,4577100000,5280600000,6014200000,6164300000,6517200000,5627300000,4937200000,5424000000,6363600000,7305300000,8280000000,2336000000,5750000000,2306000000,2259000000,5264000000,5163000000,4896000000,4699000000,3996000000,4443000000,4994000000,5099000000,4185000000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,266148000,2839300000,2407800000,1593200000,1077400000,944200000,3205900000,-813100000,1647100000,-1378400000,1822000000,1846500000,4472100000,4575000000,587000000,1730000000,2902000000,2232000000,1399000000,1429000000,1810000000,244000000,936000000,1582000000,834000000,1119000000,-1464000000,2182000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0197,0.1520,0.1178,0.0791,0.0508,0.0440,0.1502,-0.0419,0.0941,-0.0837,0.1195,0.1153,0.2497,0.2489,0.0443,0.1225,0.1986,0.1580,0.0961,0.0949,0.1264,0.0182,0.0714,0.1152,0.0593,0.0749,-0.1071,0.1588
22,Income Tax expense (Gain),60200000,55800000,-36000000,325900000,-68500000,59000000,217500000,-388700000,46600000,9041000,-945300000,-791400000,-495300000,-354500000,-305500000,-1106900000,-175400000,582200000,-534100000,533800000,490400000,1450700000,-1481000000,7000000,345000000,895000000,536000000,289000000,360000000,457000000,-43000000,220000000,170000000,128000000,248000000,-173000000,479000000
23,Net Income,589000000,545500000,696200000,908500000,907100000,804700000,904300000,122600000,594100000,267834000,1765700000,1383900000,793600000,464800000,363200000,1876700000,-589100000,912000000,-610700000,1231300000,1211600000,2491300000,2489000000,4530000000,564000000,1288000000,1064000000,568000000,595000000,591000000,260000000,654000000,1164000000,636000000,932000000,-931000000,1578000000
24,Net Income ratio,0.0932,0.0632,0.0747,0.0836,0.0793,0.0637,0.0664,0.0090,0.0434,0.0198,0.0945,0.0677,0.0394,0.0219,0.0169,0.0880,-0.0303,0.0521,-0.0371,0.0808,0.0756,0.1391,0.1354,0.3420,0.0400,0.0881,0.0753,0.0390,0.0395,0.0413,0.0194,0.0499,0.0847,0.0452,0.0624,-0.0681,0.1148
25,EPS,0.61,0.56,0.75,1.00,1.01,0.92,1.10,0.15,0.77,0.37,2.50,1.99,1.15,0.68,0.56,3.15,-1.01,1.37,-1.30,1.88,1.72,3.75,3.66,9.05,1.30,3.08,2.69,1.44,1.53,1.58,0.76,1.93,3.46,1.99,3.08,-3.32,6.63
26,EPS Diluted,0.61,0.56,0.75,1.00,1.01,0.92,1.10,0.15,0.77,0.37,2.50,1.99,1.15,0.68,0.56,3.15,-1.01,1.37,-1.30,1.88,1.72,3.75,3.65,9.05,1.30,3.07,2.63,1.43,1.53,1.55,0.72,1.93,3.45,1.99,3.07,-3.32,6.62
27,Weighted Average Shares Outstanding,971850972,975082225,933344058,912450912,901994710,875549463,825415081,800365583,769001760,722248989,707222964,697178841,690086957,686896552,650507463,596408898,585198675,562770000,556350000,556500000,557100000,552680000,534790000,477230000,432810000,418720000,396200826,395120000,388640000,372934540,339897547,337950000,336610000,319060000,302700000,280320000,256760000
28,Weighted Average Shares Outstanding Diluted,971850972,975082225,933344058,912450912,901994710,875549463,825415081,800365583,769001760,726495726,707820985,699121252,690086957,689454160,666666667,596408898,585198675,562770000,556350000,556500000,557970000,553540000,536000000,477230000,433450000,419520000,405320000,395870000,389510000,382550000,362690000,338310000,337500000,319930000,303350000,280320000,257300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008695000007/0000060086-95-000007-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008602000008/0000060086-02-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008606000024/body.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008609000008/0000060086-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312510038679/0001193125-10-038679-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312511043352/d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312512072891/0001193125-12-072891-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312513070611/0001193125-13-070611-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312514064964/d620046d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312515058679/d841155d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312516470141/0001193125-16-470141-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312517046521/0001193125-17-046521-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312518046681/0001193125-18-046681-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312519037854/0001193125-19-037854-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312520031657/0001193125-20-031657-index.html,https://www.sec.gov/Archives/edgar/data/60086/000114036121003906/0001140361-21-003906-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008622000007/0000060086-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,160557000,241700000,305700000,497800000,287400000,183900000,195200000,181300000,185400000,180800000,219900000,153100000,133800000,141000000,131000000,190000000,120000000,129000000,228000000,295000000,364000000,440000000,327000000,472000000,405000000,336000000,478000000,621000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8437617000,7137000000,8304900000,8754200000,7792100000,7317800000,9100300000,6734800000,10161700000,11264600000,8306800000,9106600000,12822400000,9471000000,6029000000,7215000000,7080000000,5105000000,48439000000,47997000000,46779000000,44391000000,45658000000,46130000000,43411000000,46815000000,49278000000,49233000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8598174000,7378700000,8610600000,9252000000,8079500000,7501700000,9295500000,6916100000,10347100000,11445400000,8526700000,9259700000,12956200000,9612000000,6160000000,7405000000,7200000000,5234000000,48667000000,48292000000,47143000000,44831000000,45985000000,46602000000,43816000000,47151000000,49756000000,49854000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,8068016000,13128600000,13862100000,13325900000,14065900000,13528700000,15301600000,19452800000,16601000000,20467900000,18807200000,15313700000,13027300000,11677000000,11672000000,10212000000,10142000000,9259000000,8929000000,8913000000,7358000000,7633000000,7234000000,7200000000,7566000000,7280000000,7452000000,8896000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42631600000,42422800000,43657600000,45423300000,45071100000,42695000000,45483100000,40255500000,41776500000,43825600000,43633200000,-6603700000,-2469000000,38274000000,42323000000,-10142000000,-9259000000,-57368000000,-56910000000,-54137000000,-52024000000,-52892000000,-53330000000,-49684000000,-49467000000,-41497000000,-40317000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63138900000,64895500000,66235500000,67568700000,66101500000,67292100000,71852000000,67203600000,73689800000,71159500000,68206600000,19379800000,18820000000,56106000000,59940000000,7200000000,5234000000,228000000,295000000,364000000,440000000,327000000,472000000,1698000000,4964000000,15711000000,18433000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1089868000,1437500000,2225100000,2590200000,2848300000,2952700000,3206300000,3075300000,3138200000,3879700000,4840700000,4951600000,5501300000,10425000000,12876000000,13274000000,12636000000,13618000000,13935000000,14498000000,15611000000,15477000000,15230000000,15427000000,15511000000,15568000000,10451000000,9888000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177800000,311400000,- -,- -,- -,- -,- -,856000000,856000000,908000000,996000000,357000000,374000000,351000000,346000000,659000000,665000000,767000000,785000000,349000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481800000,562400000,751400000,489400000,409500000,378700000,323800000,- -,- -,294100000,297400000,298900000,1353000000,875000000,- -,- -,- -,- -,- -,- -,- -,- -,638000000,611000000,647000000,610000000,109000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481800000,562400000,751400000,489400000,409500000,378700000,323800000,177800000,311400000,294100000,297400000,298900000,1353000000,875000000,856000000,856000000,908000000,996000000,357000000,374000000,351000000,346000000,1297000000,1276000000,1414000000,1395000000,458000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38715900000,40934100000,42473000000,43595000000,51700900000,45481000000,36665000000,44038000000,45980000000,46072000000,52588000000,52411000000,51301000000,48576000000,50028000000,51281000000,47285000000,50178000000,52679000000,52847000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38715900000,-40934100000,-45017800000,-46375000000,- -,- -,-36665000000,-44038000000,9605000000,9543000000,12274000000,12378000000,10717000000,11185000000,10663000000,11109000000,12546000000,10119000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1919300000,2787500000,3341600000,3337700000,3362200000,3585000000,3399100000,3316000000,4191100000,2590000000,2469000000,57501100000,57259000000,13751000000,14130000000,69077000000,70141000000,79793000000,79644000000,78003000000,75589000000,76267000000,79114000000,76618000000,77279000000,64525000000,63193000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,50335976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134382000000,133338000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144761000000,144819000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,50335976000,65058200000,67683000000,69577100000,70906400000,69463700000,70877100000,75251100000,70519600000,77880900000,73749500000,70675600000,76880900000,76079000000,69857000000,74070000000,76277000000,75375000000,80021000000,79939000000,78367000000,76029000000,76594000000,79586000000,78316000000,82243000000,80236000000,81626000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,281000000,685000000,162000000,205000000,143000000,673000000,567000000,150000000,60000000,42000000,108000000,92000000,90000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1010100000,598200000,4600000,358000000,71000000,10000000,647000000,88000000,19000000,840000000,335000000,1040000000,110000000,280000000,17000000,77000000,37000000,93000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42787000000,52572000000,54581000000,54159000000,54738000000,53780000000,53646000000,59682000000,53632000000,61007000000,54488900000,52376800000,- -,- -,48157000000,47405000000,47665000000,47377000000,51147000000,49492000000,47746000000,47318000000,47503000000,48789000000,48380000000,51483000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42787000000,52572000000,54581000000,54159000000,54738000000,53780000000,53646000000,59682000000,53632000000,61007000000,55499000000,52975000000,4600000,358000000,48544000000,47696000000,48997000000,47627000000,51371000000,50475000000,48754000000,48925000000,47763000000,49129000000,48439000000,51668000000,129000000,183000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2144394000,4248200000,4370700000,5752600000,5966700000,5706300000,6040000000,5920300000,5651900000,5820200000,5980200000,4608600000,5567800000,6900000000,8187000000,9475000000,8830000000,8913000000,9191000000,10006000000,10333000000,9543000000,10668000000,11253000000,11359000000,11456000000,10072000000,8986000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3402000000,3779000000,4023000000,4503000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000000,716000000,893000000,382000000,636000000,749000000,841000000,1168000000,1065000000,1079000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-394000,-200000,300000,400000,300000,-300000,- -,-300000,100000,-200000,-200000,400000,- -,- -,- -,- -,- -,- -,-840000000,-716000000,-893000000,-405000000,-636000000,-749000000,-4243000000,-4947000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2144000000,4248000000,4371000000,5753000000,5967000000,5706000000,6040000000,5920000000,5652000000,5820000000,5980000000,4609000000,5567800000,6900000000,8187000000,9475000000,8830000000,8913000000,9191000000,10006000000,10333000000,9520000000,10668000000,11253000000,11359000000,11456000000,15160000000,14568000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63046000000,61132000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76086000000,76836000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,44085901000,55480200000,57070900000,57522600000,58227900000,57135700000,57478100000,63628400000,57389100000,65155000000,59883800000,55524600000,57482800000,54590000000,56731000000,52985000000,53171000000,52102000000,55345000000,55033000000,53717000000,53219000000,53233000000,55020000000,56930000000,60313000000,61055000000,62451000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,58965000,117800000,115000000,115000000,112600000,104500000,98600000,191500000,185400000,185400000,185600000,186600000,6500000,6000000,- -,4000000,4000000,4000000,4000000,4000000,4000000,3000000,3000000,3000000,3000000,3000000,3000000,2000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,5469874000,7157800000,8216800000,8895400000,9033500000,8705900000,10191600000,9214900000,9404600000,8602100000,9616600000,10364400000,12098700000,13691000000,13425000000,13693000000,14564000000,14957000000,15192000000,15508000000,15515000000,14731000000,15196000000,16096000000,15773000000,15823000000,14150000000,14776000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538300000,760200000,586900000,311100000,386700000,-65000000,-3586000000,-419000000,230000000,375000000,678000000,339000000,280000000,-357000000,-223000000,-26000000,-880000000,-68000000,581000000,186000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,721236000,2302400000,2280300000,3044100000,3532400000,3517600000,3108800000,2216300000,1106900000,1506600000,1794200000,2230000000,4009900000,3959000000,3287000000,3621000000,3652000000,3499000000,3585000000,3607000000,3481000000,3184000000,3187000000,3131000000,3622000000,3361000000,3126000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6250075000,9578000000,10612100000,12054500000,12678500000,12328000000,13399000000,11622700000,11235200000,11054300000,12183300000,13092100000,16501800000,17591000000,13126000000,16899000000,18450000000,18835000000,19459000000,19458000000,19280000000,17561000000,18163000000,19204000000,18518000000,19119000000,17860000000,17846000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,50335976000,65058200000,67683000000,69577100000,70906400000,69463700000,70877100000,75251100000,68624300000,76209300000,72067100000,68616700000,73984600000,72181000000,69857000000,69884000000,71621000000,70937000000,74804000000,74491000000,72997000000,70780000000,71396000000,74224000000,75448000000,79432000000,78915000000,80297000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1895300000,1671600000,1682400000,2058900000,2896300000,3898000000,- -,4186000000,4656000000,4438000000,5217000000,5448000000,5370000000,5249000000,5198000000,5362000000,2868000000,2811000000,1321000000,1329000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,50335976000,65058200000,67683000000,69577100000,70906400000,69463700000,70877100000,75251100000,70519600000,77880900000,73749500000,70675600000,76880900000,76079000000,69857000000,74070000000,76277000000,75375000000,80021000000,79939000000,78367000000,76029000000,76594000000,79586000000,78316000000,82243000000,80236000000,81626000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/60086/000006008695000007/0000060086-95-000007-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008602000008/0000060086-02-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008606000024/body.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/60086/000006008609000008/0000060086-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312510038679/0001193125-10-038679-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312511043352/d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312512072891/0001193125-12-072891-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312513070611/0001193125-13-070611-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312514064964/d620046d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312515058679/d841155d10k.htm,https://www.sec.gov/Archives/edgar/data/60086/000119312516470141/0001193125-16-470141-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312517046521/0001193125-17-046521-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312518046681/0001193125-18-046681-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312519037854/0001193125-19-037854-index.html,https://www.sec.gov/Archives/edgar/data/60086/000119312520031657/0001193125-20-031657-index.html,https://www.sec.gov/Archives/edgar/data/60086/000114036121003906/0001140361-21-003906-index.htm,https://www.sec.gov/Archives/edgar/data/60086/000006008622000007/0000060086-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,907100000,804700000,904300000,122600000,594100000,267834000,1765700000,1383900000,793600000,464800000,363200000,1876700000,-589100000,912000000,-610700000,1231300000,1211600000,2491300000,2489000000,4530000000,564000000,1288000000,1064000000,568000000,595000000,591000000,260000000,654000000,1164000000,636000000,932000000,-931000000,1578000000
74,Depreciation and Amortization,- -,- -,- -,- -,-235500000,-24800000,-45000000,11000000,39800000,40700000,84400000,107400000,226500000,219700000,298000000,-13900000,58700000,139000000,192000000,329300000,174500000,-8000000,221000000,393000000,585000000,816000000,833000000,905000000,871000000,899000000,955000000,841000000,874000000,912000000,943000000,734000000,515000000
75,Deferred Income Tax,- -,- -,- -,- -,-301700000,-241200000,-220200000,-382700000,-181600000,-112071000,302300000,474900000,59300000,51800000,153500000,532700000,76400000,-7300000,179900000,52700000,-109600000,254500000,-43000000,- -,- -,- -,- -,-22000000,6000000,11000000,-225000000,102000000,-47000000,86000000,70000000,-235000000,213000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-1336200000,- -,- -,- -,- -,-42787000000,53353900000,-252400000,1762000000,754200000,-509200000,1324600000,-1476100000,1401600000,-888800000,2977700000,-428900000,-15231600000,- -,7562000000,4682000000,-54041000000,-596000000,-8750000000,963000000,1790000000,-95000000,1049000000,-1221000000,1916000000,37000000,46704000000,926000000
78,Accounts Receivable,- -,- -,- -,- -,-617000000,-584300000,297000000,-295800000,648200000,-605700000,-205900000,-130500000,692200000,-799500000,-449800000,-16551000,817400000,1001000000,-4250000000,-627100000,3536200000,1254300000,2940000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-1500000,48100000,1641900000,-28300000,403000000,78800000,290300000,1012300000,-410300000,187900000,397700000,-1464349000,1397300000,-201900000,7240500000,824700000,-2275000000,-708600000,-575000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
