,https://roic.ai/company/MMM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7846000000,8602000000,9429000000,10581000000,11990000000,13021000000,13340000000,13883000000,14020000000,15079000000,13460000000,14236000000,15070000000,15021000000,15659000000,16724000000,16079000000,16332000000,18232000000,20011000000,21167000000,22923000000,24462000000,25269000000,23123000000,26662000000,29611000000,29904000000,30871000000,31821000000,30274000000,30109000000,31657000000,32765000000,32136000000,32184000000,35355000000
2,COGS,4302000000,4567000000,4949000000,8066000000,6246000000,6875000000,7089000000,7259000000,7453000000,8995000000,7720000000,8099000000,8580000000,8705000000,8852000000,8787000000,8749000000,8496000000,9285000000,9958000000,10381000000,11713000000,12735000000,13379000000,12109000000,13831000000,15693000000,15685000000,16106000000,16447000000,15383000000,15040000000,16001000000,16682000000,17136000000,16605000000,18795000000
3,Gross Profit,3544000000,4035000000,4480000000,2515000000,5744000000,6146000000,6251000000,6624000000,6567000000,6084000000,5740000000,6137000000,6490000000,6316000000,6807000000,7937000000,7330000000,7836000000,8947000000,10053000000,10786000000,11210000000,11727000000,11890000000,11014000000,12831000000,13918000000,14219000000,14765000000,15374000000,14891000000,15069000000,15656000000,16083000000,15000000000,15579000000,16560000000
4,Gross Profit Ratio,0.4517,0.4691,0.4751,0.2377,0.4791,0.4720,0.4686,0.4771,0.4684,0.4035,0.4264,0.4311,0.4307,0.4205,0.4347,0.4746,0.4559,0.4798,0.4907,0.5024,0.5096,0.4890,0.4794,0.4705,0.4763,0.4812,0.4700,0.4755,0.4783,0.4831,0.4919,0.5005,0.4946,0.4909,0.4668,0.4841,0.4684
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1101000000,1084000000,1070000000,1102000000,1143000000,1242000000,1522000000,1368000000,1404000000,1293000000,1434000000,1570000000,1634000000,1715000000,1770000000,1763000000,1735000000,1850000000,1821000000,1911000000,1878000000,1994000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,3535000000,3833000000,3440000000,3646000000,3815000000,3784000000,3879000000,3963000000,4061000000,3720000000,4039000000,4332000000,4535000000,5066000000,5015000000,5245000000,4907000000,5479000000,6170000000,6102000000,6384000000,6469000000,6182000000,6111000000,6572000000,7602000000,7029000000,6879000000,6900000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1950000000,2118000000,2338000000,- -,2894000000,3174000000,3323000000,3543000000,3535000000,3833000000,3440000000,3646000000,3815000000,3784000000,3879000000,3963000000,4061000000,3720000000,4039000000,4332000000,4535000000,5066000000,5015000000,5245000000,4907000000,5479000000,6170000000,6102000000,6384000000,6469000000,6182000000,6111000000,6572000000,7529000000,6961000000,6879000000,6900000000
9,Other Expenses,444000000,507000000,564000000,632000000,700000000,781000000,969000000,1087000000,1076000000,- -,- -,- -,- -,- -,- -,-185000000,-88000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,68000000,- -,- -
10,Operating Expenses,2394000000,2625000000,2902000000,632000000,3594000000,3955000000,4292000000,4630000000,4611000000,3833000000,3440000000,3646000000,3815000000,3784000000,3879000000,4879000000,5057000000,4790000000,5141000000,5475000000,5777000000,6588000000,6383000000,6649000000,6200000000,6913000000,7740000000,7736000000,8099000000,8239000000,7945000000,7846000000,8422000000,9423000000,8940000000,8757000000,8894000000
11,COGS and Expenses,6696000000,7192000000,7851000000,8698000000,9840000000,10830000000,11381000000,11889000000,12064000000,12828000000,11160000000,11745000000,12395000000,12489000000,12731000000,13666000000,13806000000,13286000000,14426000000,15433000000,16158000000,18301000000,19118000000,20028000000,18309000000,20744000000,23433000000,23421000000,24205000000,24686000000,23328000000,22886000000,24423000000,26105000000,26076000000,25362000000,27689000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,46000000,56000000,51000000,132000000,105000000,37000000,38000000,39000000,39000000,41000000,33000000,26000000,29000000,50000000,70000000,80000000,29000000,26000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,69000000,82000000,122000000,210000000,215000000,219000000,201000000,186000000,171000000,145000000,142000000,149000000,199000000,322000000,350000000,448000000,529000000,488000000
14,Depreciation and Amortization,- -,- -,- -,- -,700000000,781000000,969000000,1087000000,1076000000,1101000000,859000000,883000000,870000000,866000000,900000000,1025000000,1089000000,954000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288000000,1371000000,1408000000,1435000000,1474000000,1544000000,1488000000,1593000000,1911000000,1915000000
