,https://roic.ai/company/TRV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21408000000,19041000000,19455000000,20391000000,19587000000,20418000000,23708000000,22196000000,20885000000,21716000000,21702000000,23209000000,25803000000,26969000000,28099000000,4509000000,- -
11,COGS and Expenses,18500000,- -,- -,- -,689800000,755700000,757100000,789300000,732100000,4137707000,4753397000,5035020000,5200540000,9154688000,6552000000,7155000000,10374000000,8742000000,8018000000,21806000000,21694000000,19365000000,19801000000,20761000000,19969000000,20806000000,24094000000,22574000000,21246000000,22073000000,22060000000,23572000000,26172000000,27321000000,28443000000,4509000000,30358000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),18500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,286000000,324000000,346000000,370000000,382000000,388000000,386000000,378000000,361000000,369000000,373000000,363000000,369000000,352000000,344000000,339000000,340000000
14,Depreciation and Amortization,- -,- -,- -,- -,51600000,66600000,33100000,33700000,20200000,23900000,27400000,- -,69826000,132900000,130000000,113000000,180000000,97000000,100000000,541000000,691000000,808000000,811000000,821000000,797000000,812000000,802000000,827000000,867000000,864000000,818000000,826000000,813000000,803000000,763000000,789000000,870000000
15,EBITDA,34300000,216300000,374300000,425500000,541000000,570500000,561200000,-114800000,542800000,587478000,683633000,591377000,1020809000,86613000,1202000000,1546000000,-1330000000,242000000,898000000,1878000000,3209000000,6857000000,7373000000,4907000000,5890000000,5506000000,2540000000,4371000000,6173000000,6322000000,5931000000,5242000000,3912000000,4116000000,4245000000,4365000000,5668000000
16,EBITDA ratio,0.0128,0.0680,0.1112,0.1171,0.1428,0.1424,0.1290,-0.0255,0.1217,0.1250,0.1264,0.1031,0.1641,0.0095,0.1588,0.1796,-0.1487,0.0271,0.1014,0.0819,0.1317,0.2733,0.2834,0.2005,0.2387,0.2193,0.0998,0.1698,0.2357,0.2328,0.2213,0.1898,0.1354,0.1359,0.1344,0.1365,0.1628
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,1120300000,1111200000,1205500000,1355500000,1281900000,552636000,582117000,260078000,308494000,377155000,445000000,487000000,524000000,524000000,622000000,566000000,178000000,211000000,124000000,131000000,163000000,70000000,126000000,120000000,277000000,145000000,99000000,263000000,159000000,203000000,269000000,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,563578000,656233000,699136000,1018733000,-46287000,1017000000,1453000000,-1431000000,176000000,836000000,1128000000,2671000000,5725000000,6216000000,3716000000,4711000000,4306000000,1352000000,3166000000,4945000000,5089000000,4740000000,4053000000,2730000000,2961000000,3138000000,3237000000,4458000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1199,0.1213,0.1219,0.1638,-0.0051,0.1344,0.1688,-0.1600,0.0197,0.0944,0.0492,0.1096,0.2282,0.2389,0.1518,0.1909,0.1715,0.0531,0.1230,0.1888,0.1874,0.1769,0.1467,0.0945,0.0978,0.0994,0.1012,0.1280
22,Income Tax expense (Gain),-29600000,62400000,50000000,72900000,91200000,112600000,123000000,7500000,95000000,120750000,135024000,141278000,245510000,-135635000,238000000,440000000,-422000000,-73000000,137000000,138000000,610000000,1517000000,1615000000,792000000,1089000000,1090000000,-74000000,693000000,1272000000,1397000000,1301000000,1039000000,674000000,438000000,516000000,540000000,796000000
23,Net Income,45400000,153900000,324300000,352600000,398200000,391300000,405100000,-156000000,427600000,442828000,521209000,450099000,705473000,89348000,834000000,993000000,-1088000000,218000000,661000000,955000000,1622000000,4208000000,4601000000,2924000000,3622000000,3216000000,1426000000,2473000000,3673000000,3692000000,3439000000,3014000000,2056000000,2523000000,2622000000,2697000000,3662000000
24,Net Income ratio,0.0170,0.0484,0.0964,0.0970,0.1051,0.0977,0.0931,-0.0347,0.0959,0.0942,0.0963,0.0785,0.1134,0.0098,0.1102,0.1154,-0.1217,0.0244,0.0747,0.0416,0.0666,0.1677,0.1768,0.1195,0.1468,0.1281,0.0560,0.0961,0.1402,0.1359,0.1283,0.1091,0.0711,0.0833,0.0830,0.0843,0.1052
25,EPS,0.27,0.84,1.69,1.83,2.04,2.15,2.34,-0.97,2.46,2.56,3.00,2.61,4.14,0.33,3.61,4.50,-5.22,0.94,2.84,1.56,2.39,6.12,7.04,4.90,6.96,6.69,3.40,6.35,9.84,10.82,10.99,10.39,7.39,9.02,10.01,10.56,14.45
26,EPS Diluted,0.27,0.84,1.69,1.83,2.04,2.08,2.26,-0.97,2.39,2.46,2.84,2.46,3.83,0.32,3.41,4.24,-5.22,0.92,2.72,1.53,2.33,5.91,6.86,4.82,6.96,6.62,3.36,6.30,9.74,10.70,10.88,10.28,7.33,8.94,9.92,10.52,14.38
27,Weighted Average Shares Outstanding,168148148,183214286,191893491,192677596,195196078,178511628,169700855,169381443,170406504,169698438,171154925,169118391,170404106,244993939,231024931,218888889,212000000,216000000,228000000,608300000,676300000,687100000,652700000,596400000,572800000,476500000,415800000,386200000,370300000,338800000,310600000,288100000,276000000,267400000,260000000,253500000,253500000
28,Weighted Average Shares Outstanding Diluted,168148148,183214286,191893491,192677596,195196078,184519231,175707965,169381443,175397490,176238540,180496127,179066531,184196606,252650000,244574780,232311321,212000000,227000000,240000000,628300000,712800000,716700000,672300000,607300000,577500000,482500000,420500000,389800000,374300000,342500000,313900000,291000000,278600000,269800000,262300000,254600000,254600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86312/000110465903004639/0001104659-03-004639-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465904006321/0001104659-04-006321-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000119312505052696/0001193125-05-052696-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465906012299/0001104659-06-012299-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465907013516/0001104659-07-013516-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746908001551/0001047469-08-001551-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746909001591/0001047469-09-001591-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746910000972/0001047469-10-000972-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746911001001/0001047469-11-001001-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746912001096/0001047469-12-001096-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746913001211/0001047469-13-001211-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746914000854/0001047469-14-000854-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746915000743/0001047469-15-000743-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746916010107/0001047469-16-010107-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746917000695/0001047469-17-000695-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746918000812/0001047469-18-000812-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631219000009/0000086312-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631220000011/0000086312-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631221000011/0000086312-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631222000013/0000086312-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,46664000,34440000,37214000,22660000,119841000,165000000,83000000,151000000,315000000,150000000,274000000,337000000,459000000,271000000,350000000,255000000,200000000,214000000,330000000,294000000,374000000,380000000,307000000,344000000,373000000,494000000,721000000,761000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,898081000,939528000,289793000,441363000,982488000,1373000000,1264000000,2153000000,2152000000,2709000000,5142000000,4802000000,4938000000,5186000000,5222000000,4852000000,5616000000,3594000000,68876000000,67838000000,67838000000,65329000000,65380000000,67589000000,67449000000,73077000000,79514000000,81646000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,944745000,973968000,327007000,464023000,1102329000,1538000000,1347000000,2304000000,2467000000,2859000000,5416000000,5139000000,5397000000,5457000000,5572000000,5107000000,5816000000,3808000000,69206000000,68132000000,68212000000,65709000000,65687000000,67933000000,67822000000,73571000000,80235000000,82407000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2271206000,2248986000,1877715000,1990547000,2630408000,2922000000,3493000000,3630000000,3075000000,2916000000,11830000000,11640000000,11204000000,12838000000,12304000000,11268000000,10840000000,10916000000,21390000000,20166000000,19920000000,19721000000,19618000000,20228000000,20661000000,20763000000,20421000000,20427000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13522991000,15640805000,18027823000,18342848000,33479417000,33397000000,35205000000,-5927000000,-5540000000,-5625000000,-17245000000,- -,-16600000000,-18294000000,-17875000000,-16374000000,-16655000000,-14723000000,-90595000000,-88297000000,-88130000000,-85428000000,-85303000000,-88159000000,-88480000000,-94331000000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16738942000,18863759000,20232545000,20797418000,37212154000,37857000000,40045000000,7000000,2000000,150000000,1000000,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,3000000,3000000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,477570000,478286000,281093000,294705000,518497000,507000000,520000000,486000000,459000000,343000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,279308000,314457000,167338000,408534000,592057000,509000000,510000000,- -,- -,926000000,5281000000,3442000000,3438000000,3366000000,3366000000,3365000000,3365000000,3365000000,3365000000,3634000000,3611000000,3573000000,3580000000,3951000000,3937000000,3961000000,3976000000,4008000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,1701000000,917000000,764000000,814000000,688000000,588000000,502000000,433000000,381000000,351000000,304000000,279000000,268000000,342000000,345000000,330000000,317000000,306000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,279308000,314457000,167338000,408534000,592057000,509000000,510000000,690000000,1013000000,1065000000,6982000000,4359000000,4202000000,4180000000,4054000000,3953000000,3867000000,3798000000,3746000000,3985000000,3915000000,3852000000,3848000000,4293000000,4282000000,4291000000,4293000000,4314000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2546000000,2880000000,60189000000,64364000000,68077000000,70594000000,66876000000,71150000000,68955000000,68385000000,69521000000,68781000000,68737000000,66034000000,66112000000,68042000000,67817000000,73502000000,79967000000,82539000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2546000000,-3223000000,- -,- -,-68077000000,-70594000000,-66876000000,-71150000000,-46060000000,-46226000000,-48369000000,-39329000000,-39720000000,-37177000000,-37259000000,-39034000000,-48023000000,-53958000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,756878000,792743000,448431000,703239000,1110554000,1016000000,1030000000,1176000000,1472000000,1065000000,- -,- -,4202000000,4180000000,4054000000,3953000000,26762000000,25957000000,24898000000,33437000000,32932000000,32709000000,32701000000,33301000000,24076000000,23835000000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111814000000,113187000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116764000000,120466000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17495820000,19656502000,20680976000,21500657000,38322708000,38873000000,41075000000,1183000000,1474000000,1215000000,111815000000,113187000000,4203000000,4181000000,4055000000,3954000000,26763000000,25958000000,24899000000,33438000000,32934000000,32711000000,32703000000,33303000000,24079000000,23838000000,116764000000,120466000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1947133000,1778116000,665586000,- -,2897668000,1810000000,2245000000,943000000,957000000,769000000,853000000,720000000,685000000,618000000,- -,546000000,407000000,389000000,5152000000,4626000000,4698000000,4670000000,4882000000,5049000000,5074000000,4982000000,4617000000,4295000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,373000000,109000000,350000000,600000000,100000000,500000000,500000000,550000000,600000000,600000000,600000000,100000000,100000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12187867000,13468884000,15322414000,15884000000,27025332000,28700000000,29619000000,29241000000,29615000000,49441000000,83137000000,84314000000,82181000000,81748000000,78009000000,75072000000,72688000000,73131000000,68031000000,68044000000,67195000000,65572000000,65705000000,68132000000,69701000000,72639000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14135000000,15247000000,15988000000,15884000000,29923000000,30510000000,31864000000,30184000000,30572000000,50210000000,83990000000,85034000000,82866000000,82366000000,78251000000,75991000000,73204000000,73870000000,73783000000,72770000000,72393000000,70742000000,71137000000,73781000000,75375000000,78221000000,4717000000,4395000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,622600000,704000000,689100000,1787245000,1260400000,1466000000,1647000000,2130000000,2713000000,3750000000,6624000000,5850000000,5760000000,6242000000,5696000000,6154000000,6502000000,6255000000,5750000000,6246000000,5849000000,5844000000,5887000000,5971000000,5964000000,5958000000,6550000000,7290000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000000,- -,- -,- -,- -,- -,- -,137000000,558000000,289000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,-25000000,-100000,-1004245000,502600000,425000000,337000000,893000000,889000000,-1075000000,- -,- -,- -,- -,485000000,- -,- -,- -,-338000000,- -,- -,- -,- -,- -,- -,-137000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,623000000,679000000,689000000,783000000,1763000000,1891000000,1984000000,3023000000,3602000000,2675000000,6624000000,5850000000,5760000000,6242000000,6181000000,6154000000,6502000000,6255000000,5750000000,6246000000,5849000000,5844000000,5887000000,5971000000,5964000000,5958000000,7108000000,7579000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1246351000,1358381000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89954000000,94763000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14758351000,15926381000,16470156000,16666947000,31183621000,31976000000,33511000000,33207000000,34174000000,33338000000,90614000000,90884000000,88626000000,88608000000,84432000000,82145000000,79706000000,80125000000,79533000000,79016000000,78242000000,76586000000,77024000000,79752000000,81339000000,84179000000,87563000000,91579000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,75000000,193000000,153000000,129000000,112000000,89000000,79000000,68000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,445222000,460458000,475710000,512162000,2127671000,2079000000,2238000000,- -,- -,- -,- -,- -,- -,- -,19242000000,- -,- -,- -,21161000000,21500000000,21843000000,22172000000,22614000000,22886000000,23144000000,23469000000,23743000000,24154000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2362286000,2704075000,2935928000,3450601000,3480057000,3827000000,4243000000,2500000000,2473000000,2874000000,2744000000,3750000000,7253000000,11110000000,13314000000,16315000000,18847000000,19579000000,21352000000,24291000000,27251000000,29945000000,32196000000,33462000000,35204000000,36977000000,38771000000,41555000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,602000000,621000000,952000000,351000000,452000000,670000000,-900000000,1219000000,1255000000,2005000000,2236000000,810000000,880000000,-157000000,-755000000,-343000000,-1859000000,640000000,2502000000,1193000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,565588000,592182000,663947000,1028659000,566000000,746000000,2614000000,3273000000,3351000000,18457000000,18202000000,17430000000,14836000000,-6426000000,9881000000,5373000000,2893000000,-19344000000,-21805000000,-25138000000,-28362000000,-30834000000,-32274000000,-33595000000,-35143000000,-35815000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2732934000,3730121000,4003820000,4626710000,6636387000,6472000000,7227000000,5114000000,5746000000,6225000000,21201000000,22303000000,25135000000,26616000000,25319000000,27415000000,25475000000,24477000000,25405000000,24796000000,24836000000,23598000000,23221000000,23731000000,22894000000,25943000000,29201000000,28887000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17491285000,19656502000,20473976000,21293657000,37820008000,38448000000,40738000000,38321000000,39920000000,39563000000,111815000000,113187000000,113761000000,115224000000,109751000000,109560000000,105181000000,104602000000,104938000000,103812000000,103078000000,100184000000,100245000000,103483000000,104233000000,110122000000,116764000000,120466000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,4535000,- -,207000000,207000000,502700000,425000000,337000000,-37138000000,-38446000000,-38348000000,- -,- -,-109558000000,-111043000000,-105696000000,-105606000000,-78418000000,-78644000000,-80039000000,-70374000000,-70144000000,-67473000000,-67542000000,-70180000000,-80154000000,-86284000000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17495820000,19656502000,20680976000,21500657000,38322708000,38873000000,41075000000,1183000000,1474000000,1215000000,111815000000,113187000000,4203000000,4181000000,4055000000,3954000000,26763000000,25958000000,24899000000,33438000000,32934000000,32711000000,32703000000,33303000000,24079000000,23838000000,116764000000,120466000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86312/000110465903004639/0001104659-03-004639-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465904006321/0001104659-04-006321-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000119312505052696/0001193125-05-052696-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465906012299/0001104659-06-012299-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000110465907013516/0001104659-07-013516-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746908001551/0001047469-08-001551-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746909001591/0001047469-09-001591-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746910000972/0001047469-10-000972-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746911001001/0001047469-11-001001-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746912001096/0001047469-12-001096-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746913001211/0001047469-13-001211-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746914000854/0001047469-14-000854-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746915000743/0001047469-15-000743-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746916010107/0001047469-16-010107-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746917000695/0001047469-17-000695-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000104746918000812/0001047469-18-000812-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631219000009/0000086312-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631220000011/0000086312-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631221000011/0000086312-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/86312/000008631222000013/0000086312-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,398200000,391300000,405100000,-156000000,427600000,442828000,521209000,450099000,705473000,89348000,834000000,993000000,-1088000000,218000000,661000000,955000000,1622000000,4208000000,4601000000,2924000000,3622000000,3216000000,1426000000,2473000000,3673000000,3692000000,3439000000,3014000000,2056000000,2523000000,2622000000,2697000000,3662000000
74,Depreciation and Amortization,- -,- -,- -,- -,51600000,66600000,33100000,33700000,20200000,23900000,27400000,- -,69826000,132900000,130000000,113000000,180000000,97000000,100000000,541000000,691000000,808000000,811000000,821000000,797000000,812000000,802000000,827000000,867000000,864000000,818000000,826000000,813000000,803000000,763000000,789000000,870000000
75,Deferred Income Tax,- -,- -,- -,- -,-96300000,-115300000,-110300000,-113400000,-49000000,-36085000,-55192000,-11542000,- -,- -,120000000,380000000,- -,- -,- -,-273000000,500000000,521000000,230000000,-58000000,213000000,178000000,63000000,223000000,167000000,121000000,117000000,110000000,337000000,-13000000,-33000000,-29000000,62000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-45000000,- -,- -,- -,- -,2603942000,1012817000,627786000,668873000,2375736000,57846000,834000000,-38358000000,-393000000,-19490000000,-33929000000,-1045000000,2169000000,500000000,4115000000,2260000000,2787000000,-666000000,87000000,1013000000,378000000,1651000000,-395000000,-2644000000,-1593000000,-2846000000,78218000000,-1199000000
78,Accounts Receivable,- -,- -,- -,- -,-150000000,-119100000,-82800000,64300000,68700000,-89100000,-217900000,-56300000,- -,21300000,-133000000,-1244000000,-198000000,501000000,163000000,320000000,77000000,-57000000,-4000000,166000000,364000000,-29000000,-237000000,315000000,1338000000,193000000,87000000,324000000,-378000000,-493000000,-227000000,-68000000,-359000000
