,https://roic.ai/company/MCO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1934500000,1971800000,602300000,796700000,1023300000,1246600000,1438300000,1731600000,2037100000,2259000000,1755400000,1797200000,2032000000,2280700000,2730300000,2972500000,3334300000,3484500000,3604200000,4204100000,4442700000,4829000000,5371000000,6218000000
2,COGS,568200000,559500000,189600000,239600000,285300000,347300000,375400000,452900000,539400000,584000000,493300000,532400000,604800000,683500000,795000000,822400000,930300000,976300000,1026600000,1222800000,1245500000,1387000000,1475000000,1637000000
3,Gross Profit,1366300000,1412300000,412700000,557100000,738000000,899300000,1062900000,1278700000,1497700000,1675000000,1262100000,1264800000,1427200000,1597200000,1935300000,2150100000,2404000000,2508200000,2577600000,2981300000,3197200000,3442000000,3896000000,4581000000
4,Gross Profit Ratio,0.7063,0.7162,0.6852,0.6993,0.7212,0.7214,0.7390,0.7384,0.7352,0.7415,0.7190,0.7038,0.7024,0.7003,0.7088,0.7233,0.7210,0.7198,0.7152,0.7091,0.7197,0.7128,0.7254,0.7367
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,776000000,791300000,107600000,141600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",776000000,791300000,107600000,141600000,175300000,203600000,242400000,303900000,359300000,451100000,441300000,495700000,588000000,629600000,752200000,822100000,869300000,921300000,936400000,991400000,1080100000,1167000000,1229000000,1480000000
9,Other Expenses,141600000,140900000,16600000,17000000,24600000,32600000,34100000,35200000,-121100000,42900000,75100000,64100000,66300000,79200000,80700000,74200000,89200000,107100000,125100000,158300000,191900000,200000000,220000000,257000000
