,https://roic.ai/company/MSEX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3102,0.3122,0.2789,0.2953,0.2807,0.2579,0.2308,0.2550,0.2639,0.2299,0.2385,0.2308,0.2630,0.2633,0.2638,0.2210,0.2589,0.2371,0.2505,0.2697,0.2936,0.2844,0.3057,0.2953,0.2690,0.2639,0.2643,0.2320
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-3100000,-2900000,-2900000,-2600000,-2700000,-4633069,-4540332,-4701585,-4869543,-4673283,-5504978,-6238775,-5092000,-5755000,-5024000,-5481000,-4227000,-5868000,-5716000,-6010000,-5261000,-6155000,-4711000,-3766000,-4772000,-3114000,-2156000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,8300000,8700000,7700000,9000000,9500000,11100000,7942118,10666629,11642930,9867814,12259927,11713465,15079486,17579000,18264000,15137000,21116000,19974000,21779000,25254000,28382000,30579000,34477000,33909000,33376000,30748000,34306000,31055000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2299,0.2302,0.2026,0.2233,0.2204,0.2075,0.1458,0.1789,0.1880,0.1539,0.1727,0.1570,0.1860,0.2041,0.2006,0.1659,0.2055,0.1957,0.1973,0.2199,0.2423,0.2426,0.2594,0.2593,0.2417,0.2284,0.2423,0.2170
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,3000000,2500000,3100000,3000000,3200000,2637058,3713645,3877577,3237218,3814418,3237324,5040591,5736000,6056000,5160000,6786000,6527000,7383000,8621000,9937000,10551000,11735000,11100000,924000,-3140000,-4119000,-5488000
23,Net Income,3200000,3200000,3200000,3600000,3000000,3500000,4100000,4400000,5500000,5500000,5700000,5200000,5900000,6500000,7900000,5305060,6952984,7765353,6630596,8445509,8476141,10038895,11843000,12208000,9977000,14330000,13447000,14396000,16633000,18445000,20028000,22742000,22809000,32452000,33888000,38425000,36543000
24,Net Income ratio,0.1576,0.1455,0.1429,0.1500,0.1277,0.1326,0.1371,0.1438,0.1549,0.1524,0.1508,0.1368,0.1464,0.1508,0.1477,0.0974,0.1166,0.1254,0.1034,0.1190,0.1136,0.1238,0.1375,0.1341,0.1093,0.1395,0.1317,0.1304,0.1448,0.1575,0.1589,0.1711,0.1744,0.2350,0.2518,0.2714,0.2553
25,EPS,0.51,0.51,0.51,0.57,0.46,0.48,0.57,0.60,0.67,0.67,0.68,0.60,0.67,0.71,0.77,0.51,0.66,0.73,0.61,0.74,0.72,0.83,0.88,0.90,0.73,0.96,0.85,0.90,1.04,1.14,1.23,1.39,1.39,1.97,2.02,2.19,2.09
26,EPS Diluted,0.51,0.51,0.51,0.57,0.46,0.48,0.57,0.60,0.67,0.67,0.68,0.60,0.67,0.71,0.76,0.51,0.66,0.73,0.61,0.73,0.71,0.82,0.87,0.89,0.72,0.96,0.84,0.90,1.03,1.13,1.22,1.38,1.38,1.96,2.01,2.18,2.08
27,Weighted Average Shares Outstanding,5937619,5937619,5937619,5961931,6150764,6871564,6838686,6996502,7815635,8006585,8157576,8338459,8469952,8707540,9853539,10044044,10130654,10280044,10475295,11079835,11444785,11843580,13203000,13317000,13454000,14654000,15615000,15733000,15868000,16052000,16165854,16257554,16305755,16400000,16710891,17459000,17491000
28,Weighted Average Shares Outstanding Diluted,5937619,5937619,5937619,5961931,6150764,6871564,6838686,6996502,7815635,8006585,8157576,8474024,8539411,9160380,10296048,10387176,10473786,10623175,10818435,11422975,11783925,12174720,13534000,13615000,13716000,14916000,15877000,15995000,16110000,16226000,16298361,16375362,16423913,16483673,16794030,17574000,17606000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000095011097000548/0000950110-97-000548-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000091431701000218/0000914317-01-000218-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431702000300/0000914317-02-000300-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000091431707000647/0000914317-07-000647-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431708000733/form10k-89681_msex.htm,https://www.sec.gov/Archives/edgar/data/66004/000091431709000646/0000914317-09-000646-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431710000398/0000914317-10-000398-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431711000359/0000914317-11-000359-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431712000299/0000914317-12-000299-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431713000279/0000914317-13-000279-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431714000262/form10k-135636_msx.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494715000337/form10k-13000_msx.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494716002165/0001174947-16-002165-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494717000294/0001174947-17-000294-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494718000337/0001174947-18-000337-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494719000334/0001174947-19-000334-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494720000248/0001174947-20-000248-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494721000198/0001174947-21-000198-index.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494722000283/0001174947-22-000283-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,4900000,4300000,2500000,9400000,5200000,2497154,4534384,2937894,3005610,4034768,2983762,5826012,2029000,3288000,4278000,2453000,3106000,3025000,4834000,2673000,3469000,3879000,4937000,3705000,2230000,4491000,3533000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,4900000,4300000,2500000,9400000,5200000,2497154,4534384,2937894,3005610,4034768,2983762,5826012,2029000,3288000,4278000,2453000,3106000,3025000,4834000,2673000,3469000,3879000,4937000,3705000,2230000,4491000,3533000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,6400000,6200000,6000000,7200000,8600000,8251839,9466735,9209393,8917396,9889566,11812556,12551587,12836000,14332000,15040000,16715000,16122000,17930000,17292000,15949000,16306000,16719000,17784000,19055000,19091000,21634000,15311000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,900000,1000000,1009956,1027920,1190337,1419142,1203906,1259935,1306196,1205000,1475000,1618000,2196000,2023000,1403000,1984000,2253000,2600000,4094000,4118000,5411000,5445000,5112000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,700000,400000,600000,10300000,6300000,3513772,10079976,6962091,1009304,823976,927254,1228620,1363000,1481000,1109000,1401000,1622000,2255000,1728000,1989000,2035000,2024000,2408000,2644000,2367000,2886000,15511000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,13000000,11900000,10100000,27800000,21100000,15272721,25109015,20299715,14351452,15952216,16983507,20912415,17433000,20576000,22045000,22765000,22873000,24613000,25838000,22864000,24410000,26716000,29247000,30815000,29133000,34123000,34355000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,109100000,119600000,123000000,137100000,162800000,181800000,191196444,199059578,211367896,230932470,251813734,282961446,310872739,333852000,359527000,376544000,398733000,422199000,435218000,446479000,465406000,481870000,517776000,557240000,618487000,711674000,801807000,4503000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69500000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,12200000,13800000,12600000,12900000,12100000,12930794,12205080,12936621,17908013,31363148,24438171,38481860,41390000,59897000,59497000,67687000,92464000,101895000,58024000,87502000,78442000,75669000,74653000,118528000,169071000,140540000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,119400000,131800000,136800000,149700000,175700000,193900000,204127238,211264658,224304517,248840483,283176882,307399617,349354599,375242000,419424000,436041000,466420000,514663000,537113000,504503000,552908000,560312000,593445000,631893000,737015000,880745000,942347000,74003000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,132400000,144800000,148700000,159800000,203500000,215000000,219399959,236373673,244604232,263191935,299129098,324383124,370267014,392675000,440000000,458086000,489185000,537536000,561726000,530341000,575772000,584722000,620161000,661140000,767830000,909878000,976470000,108358000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1500000,1700000,3600000,3400000,3400000,2438664,2396335,2059877,4777400,6001806,6038060,5490514,6477000,5689000,4348000,6403000,5706000,3808000,6328000,6354000,6525000,12343000,13929000,19325000,23306000,30443000,21125000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,600000,1100000,2200000,6265859,13583836,18289427,13567258,12091351,5930617,2500537,2723000,43862000,46560000,21432000,28819000,39080000,33836000,24910000,8739000,18159000,34865000,55843000,27178000,9255000,13000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10138000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,861000,864000,734000,756000,837000,839000,880000,923000,951000,1036000,1211000,1255000,1330000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,7100000,8200000,8800000,8700000,8700000,9302118,9990415,9229299,9350828,9670123,9516566,10148447,17809000,11919000,8899000,12041000,11428000,12288000,11677000,11769000,12175000,15631000,14792000,18159000,13286000,15895000,21164000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,8800000,9900000,13000000,13200000,14300000,18006641,25970586,29578603,27695486,27763280,21485243,18139498,27009000,61470000,60668000,40740000,46687000,55932000,52678000,43872000,28319000,47056000,64537000,94363000,64981000,56848000,56619000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,49500000,53000000,53000000,52900000,78000000,82500000,82109297,88140459,87483382,97376847,115280649,128174944,130706358,131615000,118217000,124910000,133844000,132167000,131467000,129798000,136039000,136247000,134538000,139045000,152851000,230777000,278286000,306520000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21944000,21990000,21837000,21978000,20461000,20846000,21423000,22572000,23905000,23404000,69500000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,13500000,14400000,14400000,14300000,14200000,14382506,14648587,15095700,15901153,16252719,15914569,17592372,19401000,23115000,29091000,30916000,38168000,42844000,40099000,48216000,68534000,72825000,43160000,47270000,54408000,61297000,69500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19200000,19500000,24600000,26300000,29500000,30208197,31210954,36220918,43222000,47066632,55210487,70601270,77484000,95968000,100413000,107044000,118236000,124508000,94298000,125940000,122031000,124023000,161367000,199554000,209931000,208343000,-761507000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,61800000,85700000,86900000,91900000,118600000,126200000,126700000,134000000,138800000,156500000,178600000,199300000,218900000,228500000,237300000,254414000,271804000,310515000,320809000,286032000,332173000,347273000,352232000,364995000,422247000,519021000,571330000,-315987000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,138100000,- -,- -,- -,- -,- -,- -,268049713,- -,- -,- -,398647494,- -,457030000,474652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5732000,5042000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,84700000,94500000,96800000,103600000,131800000,140400000,144701704,160020299,164039925,179485689,199937385,220832737,236964946,255539000,298822000,315082000,312544000,357202000,376741000,338710000,376045000,375592000,399288000,429532000,516610000,584002000,628178000,-259368000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4063062,4063062,4063062,3958062,3958062,3958000,3375000,3373000,3362000,3353000,3353000,2886000,2436000,2436000,2436000,2433000,2433000,2084000,2084000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,28800000,30000000,31100000,45500000,47600000,48838486,50099621,53866250,56924028,71979902,76160949,- -,- -,- -,- -,- -,- -,143572000,146185000,148668000,150763000,153045000,155120000,157354000,215125000,217451000,221919000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,18800000,19200000,20100000,21200000,22900000,21796707,22190691,23187076,22668348,23103908,23638301,25001295,27441000,30077000,30265000,33745000,35549000,38060000,42560000,48623000,55931000,65392000,74055000,91433000,108667000,128757000,145807000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21700000,-26400000,-28500000,-30300000,-32400000,-35200000,-38856591,-43670744,-47919527,-47510797,-52017761,-54960290,-59693678,-64736000,-70544000,-77027000,-84737000,-92351000,-100360000,-110366000,-117986000,-126343000,-135728000,-146272000,-157387000,-170220000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,29100000,31200000,35300000,37400000,39300000,42919653,47733806,47367446,47561605,52062602,54753365,167994451,174431000,181645000,189766000,227633000,237136000,100360000,110366000,117986000,126343000,135728000,146272000,157387000,170220000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,47700000,50300000,51900000,56200000,71700000,74600000,74698255,76353374,80564307,83706246,99191713,103550387,133302068,137136000,141178000,143004000,176641000,180334000,184985000,191631000,199727000,209130000,220873000,231608000,251220000,325876000,348292000,367726000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,132400000,144800000,148700000,159800000,203500000,215000000,219399959,236373673,244604232,263191935,299129098,324383124,370267014,392675000,440000000,458086000,489185000,537536000,561726000,530341000,575772000,584722000,620161000,661140000,767830000,909878000,976470000,108358000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,132400000,144800000,148700000,159800000,203500000,215000000,219399959,236373673,244604232,263191935,299129098,324383124,370267014,392675000,440000000,458086000,489185000,537536000,561726000,530341000,575772000,584722000,620161000,661140000,767830000,909878000,976470000,108358000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000095011097000548/0000950110-97-000548-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000091431701000218/0000914317-01-000218-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431702000300/0000914317-02-000300-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66004/000091431707000647/0000914317-07-000647-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431708000733/form10k-89681_msex.htm,https://www.sec.gov/Archives/edgar/data/66004/000091431709000646/0000914317-09-000646-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431710000398/0000914317-10-000398-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431711000359/0000914317-11-000359-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431712000299/0000914317-12-000299-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431713000279/0000914317-13-000279-index.html,https://www.sec.gov/Archives/edgar/data/66004/000091431714000262/form10k-135636_msx.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494715000337/form10k-13000_msx.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494716002165/0001174947-16-002165-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494717000294/0001174947-17-000294-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494718000337/0001174947-18-000337-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494719000334/0001174947-19-000334-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494720000248/0001174947-20-000248-index.html,https://www.sec.gov/Archives/edgar/data/66004/000117494721000198/0001174947-21-000198-index.htm,https://www.sec.gov/Archives/edgar/data/66004/000117494722000283/0001174947-22-000283-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,5700000,5200000,5900000,6500000,7900000,5305060,6952984,7765353,6630596,8445509,8476141,10038895,11843000,12208000,9977000,14330000,13447000,14396000,16633000,18445000,20028000,22742000,22809000,32452000,33888000,38425000,36543000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9217000,9958000,10432000,11232000,11858000,12191000,13087000,13532000,14846000,15780000,17232000,20838000,26799000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,300000,800000,800000,100000,-100000,201319,318972,148024,306919,603275,164873,896993,399000,1032000,5522000,630000,- -,3959000,2915000,3130000,15753000,3553000,7944000,-8724000,-11719000,-13490000,-10989000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000,323000,394000,553000,493000,539000,633000,829000,840000,1084000,637000,1096000,1338000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,-2200000,-4900000,17500000,-7800000,-9533920,1872349,-8417317,-4065146,1532970,7309328,7274653,-12348917,-31318000,2271000,20648000,-5839000,-7505000,4479000,5832000,17099000,-16431000,-14950000,-28258000,27700000,13123000,461000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1112000,-2222000,-28000,2441000,1201000,1950000,-48000,-69000,-656000,-977000,-146000,-2661000,-742000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,-228805,215236,-56029,-46261,101000,-270000,-143000,-578000,173000,620000,-581000,-269000,-347000,-1494000,-24000,-1293000,-34000,333000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1341000,2055000,-697000,-1898000,2520000,26000,171000,5818000,1586000,5396000,3981000,7137000,-9318000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,4200000,2000000,-2900000,14600000,6800000,-2733920,-861571,-9278888,-13344034,-11811064,-4501736,2772917,-9576000,-40894000,-38623000,-17975000,-23814000,-31319000,-26840000,-21008000,-3909000,-20340000,-35290000,-63548000,-35848000,-22725000,-22264000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3300000,6500000,10800000,-13700000,10000000,14023104,3189177,11601384,11376058,4977268,-2453409,-2303480,18924917,37194000,-8867000,-20324000,4402000,6937000,-2573000,-7566000,-15388000,22846000,11354000,33530000,-31685000,-6637000,-21124000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,8900000,10300000,12600000,10400000,10000000,9995563,12333482,11097444,14248427,15559022,13496933,15907061,18818000,19116000,18506000,25565000,22836000,29572000,33805000,32571000,51212000,47071000,42843000,45864000,36053000,53355000,33028000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-9000000,-6200000,-10200000,-26300000,-23300000,-13639291,-12747032,-16489095,-19574205,-29860100,-25287735,-30360491,-21930000,-28429000,-20128000,-29604000,-23562000,-21578000,-20080000,-22596000,-25773000,-47375000,-50301000,-72094000,-89125000,-105619000,- -
