,https://roic.ai/company/SFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86115/000092881695000026/0000928816-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/86115/000091205796005797/0000912057-96-005797-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86115/000093066101000908/0000930661-01-000908-index.html,- -,https://www.sec.gov/Archives/edgar/data/86115/000089322003000364/0000893220-03-000364-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322004000463/0000893220-04-000463-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322005000558/0000893220-05-000558-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322006000521/0000893220-06-000521-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322007000947/0000893220-07-000947-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322008000967/0000893220-08-000967-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000136231009004055/0001362310-09-004055-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000095012310025229/0000950123-10-025229-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000095012311022020/0000950123-11-022020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000119312512094470/0001193125-12-094470-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000119312513099108/0001193125-13-099108-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611514000020/0000086115-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611515000020/0000086115-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611516000121/0000086115-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611517000029/0000086115-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611518000035/0000086115-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611519000005/0000086115-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000162828020002556/0001628280-20-002556-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000143774921005171/0001437749-21-005171-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000143774922006038/0001437749-22-006038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3300000,5700000,- -,7200000,7300000,15600000,11500000,9900000,3900000,15700000,18300000,19900000,21500000,110100000,123500000,-212404000,-499100000,-150483000,-33331000,-54820000,-32070000,46030000,-64833000,-52013000,67610000,27114000,110597000,-39362000,-35525000,-5149000,-59524000,-22262000,-88572000,-15629000,54561000,-37615000,- -
74,Depreciation and Amortization,3200000,4300000,- -,7600000,7900000,12600000,14200000,15900000,18400000,17300000,16900000,20600000,18100000,21700000,36800000,33462000,40748000,32882000,32756000,13173000,15675000,14562000,10666000,3551000,1425000,121000,747000,108000,92000,74000,190000,328000,322000,692000,1068000,311000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2400000,-1900000,6700000,- -,2500000,8000000,1900000,-2600000,28900000,45400000,-128191000,36182000,674000,3251000,62000,-51000,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3825000,3777000,3052000,2014000,1821000,1935000,1611000,2394000,1138000,966000,1237000,965000,- -
77,Change in Working Capital,- -,45700000,- -,25000000,6200000,2200000,13000000,2000000,57200000,35300000,25900000,118900000,-117600000,24000000,-118200000,180025000,35619000,-107298000,36051000,-108709000,-23676000,-8918000,-58422000,9928000,17583000,91786000,47651000,-66843000,-7621000,-38669000,-69036000,-36561000,-38894000,28091000,8034000,-11328000,15951000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11467000,-195000,-429000,-418000,-1194000,-369000,-923000,-1521000,-3560000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-6700000,-34000000,600000,-26200000,-34400000,-41300000,-36600000,35500000,68800000,102900000,51639000,60426000,1632000,-5668000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1967000,6144000,4618000,3228000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,14200000,59900000,- -,84900000,91100000,93300000,106300000,108300000,165500000,200800000,226700000,345600000,228000000,252000000,133800000,313825000,349444000,242146000,278197000,169488000,145812000,136894000,78472000,88400000,105983000,197769000,245420000,178577000,170956000,132287000,63251000,26690000,-12204000,15887000,23921000,12593000,28544000
82,Other Non-Cash Items,-6500000,-55700000,- -,-39800000,-21400000,-60200000,-55200000,-4300000,-78200000,-92100000,-49300000,-197300000,299500000,-14800000,40800000,60287000,603163000,247176000,-128906000,102233000,17030000,-72238000,74979000,15965000,-109613000,-138817000,-179774000,87558000,20012000,21620000,109010000,37440000,105201000,-40155000,-84870000,39524000,-15951000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-32200000,-18400000,30200000,1300000,-21300000,19800000,-36000000,218900000,169900000,128300000,-66821000,216612000,22951000,-90179000,-48061000,-23092000,-20548000,-37610000,-22569000,-19170000,-16019000,-17727000,-16525000,-21221000,-20189000,-17749000,-18661000,-20805000,-26035000,-19970000,-8143000,- -
84,CAPEX,- -,- -,- -,- -,- -,-9000000,-5700000,-14900000,-14600000,-11800000,-11300000,-50000000,-31300000,-67300000,-151500000,-15511000,-23328000,-11524000,-13745000,-10956000,-12492000,-18120000,-9492000,-3530000,-2157000,-106000,-58000,-73000,-37000,-59000,-1856000,-432000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-479479000,-191134000,-79254000,-18931000,-34854000,-35034000,-52374000,-62759000,-30443000,- -,-20418000,-85328000,-28504000,-2864000,23346000,-45128000,21534000,1503000,64137000,92662000,369000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-11100000,-8000000,-19400000,-25700000,-59300000,-78400000,-137400000,- -,-86230000,- -,-5587000,- -,-54375000,-57901000,- -,- -,-75809000,-109126000,-84065000,-240367000,-242023000,-69883000,-55594000,-29755000,-21194000,-15101000,-37809000,-57243000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,71500000,30100000,- -,- -,- -,- -,- -,- -,- -,53600000,98649000,101060000,13273000,38981000,65512000,73721000,3551000,- -,61698000,110124000,61856000,284661000,276392000,165379000,55410000,33640000,46315000,11237000,8148000,95189000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-17000000,-18100000,-4900000,-7500000,-6200000,-10600000,-21100000,400000,-1900000,-138500000,61997000,57937000,37077000,44563000,127982000,33117000,39353000,125314000,80889000,-951000,174483000,-11541000,-2749000,-2374000,-6206000,-15746000,-26594000,-7766000,-2373000,-4305000,-1638000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,45500000,6300000,-30900000,-30100000,-37400000,-47600000,-130400000,-109300000,-206600000,-236400000,-420574000,-55465000,-46015000,50868000,93309000,1411000,-27590000,53063000,32805000,47000,131856000,-52575000,3116000,90258000,16956000,-56989000,20061000,-10127000,32103000,126303000,-1269000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40615000,-872000,-30848000,-58703000,-43000,-441000,- -,- -,-14455000,-57433000,-68568000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,1200000,4300000,5800000,8500000,10300000,4100000,10200000,617870000,1173000,2327000,3183000,15568000,6257000,448000,1444000,1081000,28352000,1107000,918000,1744000,4417000,1289000,676000,5000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-300000,-3100000,-8000000,-600000,- -,- -,-9500000,-18700000,-2700000,-46486000,- -,- -,- -,- -,-954000,- -,- -,-1296000,-44000,- -,- -,- -,-122000,-25036000,-4997000,-5389000,-1000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20679000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-13300000,18200000,- -,36500000,53000000,21400000,163500000,-117900000,52200000,144100000,-601000,2574000,-22579000,-791000,-50657000,-2943000,-5975000,16056000,-31171000,23726000,- -,- -,53210000,- -,- -,- -,-460000,44081000,32481000,-236000,-40000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-13400000,17900000,- -,29700000,56700000,27200000,172000000,-117100000,37600000,151600000,570783000,3747000,-20252000,2392000,-35089000,2360000,-5527000,17500000,-31386000,11419000,235000,-29930000,-3749000,4252000,-24188000,-4321000,-5844000,29625000,-24952000,-89483000,-40000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-13400000,17900000,- -,29700000,56700000,27200000,172000000,-117100000,37600000,43500000,83388000,164894000,-43316000,-36919000,10159000,-19321000,-53665000,32953000,-21150000,-7704000,116072000,-100232000,-17158000,73289000,-27421000,-79059000,-4444000,-1307000,-18884000,16850000,-9452000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49800000,133201000,298095000,254779000,217860000,146874000,127553000,71251000,99965000,75051000,67347000,183419000,83187000,66029000,139318000,111897000,32838000,28394000,27087000,8203000,25053000,15601000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3800000,3800000,9700000,8900000,9800000,7900000,7300000,12900000,5400000,6300000,49813000,133201000,298095000,254779000,136715000,146874000,124916000,67012000,96201000,75051000,67347000,183419000,83187000,66029000,139318000,111897000,32838000,28394000,27087000,8203000,25053000,15601000
100,Free Cash Flow,- -,- -,- -,- -,- -,-41200000,-24100000,15300000,-13300000,-33100000,8500000,-86000000,187600000,102600000,-23200000,-82332000,193284000,11427000,-103924000,-59017000,-35584000,-38668000,-47102000,-26099000,-21327000,-16125000,-17785000,-16598000,-21258000,-20248000,-19605000,-19093000,-20805000,-26035000,-19970000,-8143000,- -
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86115/000092881695000026/0000928816-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/86115/000091205796005797/0000912057-96-005797-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/86115/000093066101000908/0000930661-01-000908-index.html,- -,https://www.sec.gov/Archives/edgar/data/86115/000089322003000364/0000893220-03-000364-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322004000463/0000893220-04-000463-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322005000558/0000893220-05-000558-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322006000521/0000893220-06-000521-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322007000947/0000893220-07-000947-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000089322008000967/0000893220-08-000967-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000136231009004055/0001362310-09-004055-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000095012310025229/0000950123-10-025229-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000095012311022020/0000950123-11-022020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000119312512094470/0001193125-12-094470-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000119312513099108/0001193125-13-099108-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611514000020/0000086115-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611515000020/0000086115-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611516000121/0000086115-16-000121-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611517000029/0000086115-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611518000035/0000086115-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000008611519000005/0000086115-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000162828020002556/0001628280-20-002556-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000143774921005171/0001437749-21-005171-index.htm,https://www.sec.gov/Archives/edgar/data/86115/000143774922006038/0001437749-22-006038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
