,https://roic.ai/company/SFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,20800000,25400000,34800000,63400000,80500000,108700000,130700000,158000000,198900000,220800000,173400000,233300000,242200000,290700000,348400000,383019000,355801000,305691000,293261000,108900000,102165000,110352000,106977000,60744000,37214000,20847000,21168000,19473000,21644000,18970000,17554000,18692000,17131000,16871000,9982000,9466000,- -
11,COGS and Expenses,57400000,66400000,100200000,281800000,377300000,454300000,630000000,822200000,1139800000,1393500000,1484800000,2026300000,1941400000,2263600000,2954200000,2824861000,1973202000,1715789000,1669787000,213899000,229075000,252742000,231716000,93751000,51025000,20847000,21168000,19473000,21644000,18970000,17554000,18692000,17131000,16871000,9982000,9466000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18097000,12339000,8260000,3311000,2628000,5039000,6914000,7539000,3097000,480000,718000,1424000,2926000,2646000,1901000,1935000,2075000,3876000,2806000,2044000,261000,276000
13,Interest Expense (Gain),4400000,6500000,- -,11400000,12900000,13600000,13100000,13100000,13700000,17500000,19500000,23900000,- -,29700000,- -,41897000,30134000,24085000,13568000,9761000,6512000,6821000,7660000,4732000,3164000,5737000,5971000,5636000,4303000,4402000,4523000,4634000,8620000,16067000,14023000,- -,- -
14,Depreciation and Amortization,3200000,4300000,5600000,7600000,7900000,12600000,14200000,15900000,18400000,17300000,16900000,20600000,18100000,21700000,36800000,33462000,40748000,32882000,32756000,13173000,15675000,14562000,10666000,3551000,1425000,121000,747000,108000,92000,74000,190000,328000,322000,692000,1068000,311000,229000
15,EBITDA,12900000,19600000,22600000,31500000,32900000,54200000,47100000,46000000,45500000,58400000,66800000,77700000,53900000,222900000,226800000,-237368000,-435060000,-86098000,18393000,-31910000,-9926000,66390000,-47288000,-43756000,72185000,-20726000,-20421000,-19365000,-21552000,-18896000,-17364000,-18364000,-16809000,-16179000,-9174000,-9155000,- -
16,EBITDA ratio,0.2194,0.2904,0.2188,0.1108,0.0858,0.1207,0.0731,0.0544,0.0389,0.0414,0.0440,0.0377,0.0272,0.0980,0.0768,-0.0857,-0.2259,-0.0511,0.0113,-0.2036,-0.0533,0.3352,-0.2685,-0.5934,2.0720,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,1400000,1100000,3100000,2400000,6200000,-5200000,14200000,22800000,28500000,18500000,32900000,36500000,43800000,11500000,-900000,-54480000,-47534000,-30235000,-47229000,-57190000,-42859000,-54682000,-55597000,-20015000,-16186000,-20847000,-21168000,-19473000,-21644000,-18970000,-17554000,-18692000,-17131000,-16871000,-9982000,-9466000,-7153000
18,Operating Income ratio,0.0238,0.0163,0.0300,0.0084,0.0162,-0.0116,0.0220,0.0270,0.0244,0.0131,0.0217,0.0177,0.0221,0.0051,-0.0003,-0.0197,-0.0247,-0.0179,-0.0291,-0.3649,-0.2302,-0.2761,-0.3157,-0.2714,-0.4646,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),3900000,7700000,13900000,10100000,5900000,33200000,5600000,-5800000,-15100000,5100000,-2500000,-3300000,-8000000,160000000,190900000,-258247000,-59127000,-38983000,19298000,22165000,5652000,9879000,-13289000,-22788000,82970000,47961000,131765000,-19889000,-13881000,13821000,-41970000,-3570000,-71441000,1242000,64543000,-28149000,- -
20,Income Before Tax,5300000,8800000,17000000,12500000,12100000,28000000,19800000,17000000,13400000,23600000,30400000,33200000,35800000,171500000,190000000,-312727000,-106661000,-69218000,-27931000,-35025000,-37207000,-44803000,-68886000,-42803000,66784000,27114000,110597000,-39362000,-35525000,-5149000,-59524000,-22262000,-88572000,-15629000,54561000,-37615000,- -
21,Income Before Tax Ratio,0.0901,0.1304,0.1646,0.0440,0.0316,0.0623,0.0307,0.0201,0.0115,0.0167,0.0200,0.0161,0.0180,0.0754,0.0643,-0.1129,-0.0554,-0.0411,-0.0172,-0.2235,-0.1998,-0.2262,-0.3911,-0.5805,1.9169,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,- -
22,Income Tax expense (Gain),2000000,3100000,4100000,5300000,4800000,12400000,8300000,7100000,9500000,7900000,12100000,13300000,14300000,61400000,66500000,-100323000,-6842000,7418000,5400000,-24000,-43000,-1023000,-781000,-26000,-14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,3300000,5700000,12900000,7200000,7300000,15600000,11500000,9900000,3900000,15700000,18300000,19900000,21500000,110100000,123500000,-212404000,-499100000,-150483000,-33331000,-54820000,-32070000,46030000,-64833000,-52013000,67610000,27114000,110597000,-39362000,-35525000,-5149000,-59524000,-22262000,-88572000,-15629000,54561000,-37615000,- -
