,https://roic.ai/company/BKNG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,35200000,482400000,1235396000,1171753000,1003606000,863661000,914372000,962660000,1123103000,1409409000,1884806000,2338212000,3084905000,4355610000,5260956000,6793306000,8441971000,9223987000,10743006000,12681082000,14527000000,15066000000,6796000000,10958000000
2,COGS,34600000,419300000,1025842000,978847000,845240000,717716000,716217000,694797000,722004000,769997000,928835000,1077449000,1175934000,1275730000,1177275000,1077420000,857841000,632180000,428314000,250537000,- -,- -,- -,- -
3,Gross Profit,600000,63100000,209554000,192906000,158366000,145945000,198155000,267863000,401099000,639412000,955971000,1260763000,1908971000,3079880000,4083681000,5715886000,7584130000,8591807000,10314692000,12430545000,- -,- -,- -,- -
4,Gross Profit Ratio,0.0170,0.1308,0.1696,0.1646,0.1578,0.1690,0.2167,0.2783,0.3571,0.4537,0.5072,0.5392,0.6188,0.7071,0.7762,0.8414,0.8984,0.9315,0.9601,0.9802,- -,- -,- -,- -
5,Research and Development Exp.,11100000,14000000,- -,- -,40964000,- -,9171000,- -,- -,13779000,17956000,19139000,20998000,33813000,43685000,71890000,97498000,113617000,142393000,189344000,233000000,285000000,- -,- -
6,General and Administrative Exp.,42400000,107200000,250018000,202735000,- -,77694000,52026000,115457000,159876000,241987000,219052000,248707000,351256000,475947000,683684000,1023576000,1400558000,1695263000,1948334000,2434466000,2974000000,3330000000,2824000000,3346000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,42248000,93047000,89492000,145653000,208639000,386693000,482889000,704157000,1117374000,1505063000,2161921000,2902440000,3365143000,4210210000,5095313000,5786000000,5922000000,2934000000,4682000000
8,"Selling, General and Administrative Exp.",42400000,107200000,250018000,202735000,- -,119942000,145073000,204949000,305529000,450626000,605745000,731596000,1055413000,1593321000,2188747000,3185497000,4302998000,5060406000,6158544000,7529779000,8760000000,9252000000,5758000000,8028000000
9,Other Expenses,1900000,5300000,17385000,4194000,136988000,18171000,13501000,25366000,33449000,37072000,42796000,39193000,45763000,53824000,21456000,46085000,110322000,158877000,166742000,173430000,193000000,184000000,458000000,421000000
10,Operating Expenses,55400000,126500000,267403000,206929000,177952000,138113000,167745000,230315000,338978000,501477000,666497000,789928000,1122174000,1680958000,2253888000,3303472000,4510818000,5332900000,6467679000,7892553000,9186000000,9721000000,6216000000,8449000000
11,COGS and Expenses,90000000,545800000,1293245000,1185776000,1023192000,855829000,883962000,925112000,1060982000,1271474000,1595332000,1867377000,2298108000,2956688000,3431163000,4380892000,5368659000,5965080000,6895993000,8143090000,9186000000,9721000000,6216000000,8449000000
12,Interest Income ,- -,- -,9687000,- -,- -,2474000,5112000,5550000,11312000,- -,11660000,2223000,3857000,8119000,3860000,4167000,13933000,55729000,94946000,157194000,187000000,152000000,54000000,16000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,907000,3722000,5075000,7060000,- -,9375000,24084000,29944000,31721000,62064000,83289000,88353000,160229000,207900000,253976000,269000000,266000000,356000000,334000000
14,Depreciation and Amortization,1900000,5300000,17385000,16578000,18265000,11871000,14389000,28778000,36831000,40701000,43068000,39193000,50464000,53824000,65141000,117975000,207820000,272494000,309135000,362774000,426000000,641000000,642000000,599000000
15,EBITDA,-110300000,-1049800000,-297760000,9275000,-919000,24694000,49427000,70305000,105969000,185724000,344324000,505581000,826090000,1450579000,1884603000,2497666000,3285621000,3561043000,3230273000,5015072000,5530000000,6865000000,1565000000,2398000000
16,EBITDA ratio,-3.1335,-2.1762,-0.2410,0.0079,-0.0009,0.0286,0.0541,0.0730,0.0944,0.1318,0.1827,0.2162,0.2678,0.3330,0.3582,0.3677,0.3892,0.3861,0.3007,0.3955,0.3807,0.4557,0.2303,0.2188
17,Operating Income,-54800000,-63400000,-57849000,-13887000,-23324000,8018000,30422000,35884000,61986000,137935000,289474000,470835000,786797000,1398922000,1829793000,2412414000,3073312000,3258907000,2906313000,4537992000,5341000000,5345000000,-631000000,2496000000
18,Operating Income ratio,-1.5568,-0.1314,-0.0468,-0.0119,-0.0232,0.0093,0.0333,0.0373,0.0552,0.0979,0.1536,0.2014,0.2550,0.3212,0.3478,0.3551,0.3641,0.3533,0.2705,0.3579,0.3677,0.3548,-0.0928,0.2278
19,Total Other Income Expenses (Gains),-57500000,-999200000,-266983000,-4470000,-26415000,-4121000,1460000,-181000,3646000,12088000,6095000,-28533000,-40514000,-31128000,-67924000,-115877000,-83864000,-130587000,-193075000,-139670000,-506000000,613000000,1198000000,-1031000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,31882000,35703000,65632000,150023000,295569000,442302000,746283000,1367794000,1761869000,2296537000,2989448000,3128320000,2713238000,4398322000,4835000000,5958000000,567000000,1465000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0349,0.0371,0.0584,0.1064,0.1568,0.1892,0.2419,0.3140,0.3349,0.3381,0.3541,0.3392,0.2526,0.3468,0.3328,0.3955,0.0834,0.1337
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-193000,-156277000,-12388000,-12059000,98408000,-47168000,218141000,308663000,337832000,403739000,567695000,576960000,578251000,2057557000,837000000,1093000000,508000000,300000000
23,Net Income,-112200000,-1055100000,-315145000,-7303000,-19184000,11916000,31509000,192729000,74466000,157082000,193473000,489472000,527541000,1056371000,1419566000,1892663000,2421753000,2551360000,2134987000,2340765000,3998000000,4865000000,59000000,1165000000
24,Net Income ratio,-3.1875,-2.1872,-0.2551,-0.0062,-0.0191,0.0138,0.0345,0.2002,0.0663,0.1115,0.1026,0.2093,0.1710,0.2425,0.2698,0.2786,0.2869,0.2766,0.1987,0.1846,0.2752,0.3229,0.0087,0.1063
25,EPS,-8.46,-47.39,-11.82,-0.48,-0.54,0.28,0.78,4.87,1.88,4.13,4.92,11.54,11.00,21.27,28.48,37.17,46.30,50.09,43.14,47.78,84.26,112.93,1.45,28.43
26,EPS Diluted,-8.46,-47.39,-11.82,-0.48,-0.54,0.27,0.76,4.21,1.68,3.42,3.98,9.88,10.35,20.63,27.66,36.11,45.67,49.45,42.65,46.86,83.26,111.82,1.44,28.30
27,Weighted Average Shares Outstanding,23720000,22441487,27830898,34173500,37888076,37804000,38304000,39161000,38650000,37671000,39299000,42406000,47955000,49654000,49840000,50924000,52301000,50940000,49491000,48994000,47446000,43082000,40974000,40974000
28,Weighted Average Shares Outstanding Diluted,23720000,22441487,27830898,34173500,37888076,39009000,42327000,46436000,44722000,45504000,48671000,49522000,50988000,51211000,51326000,52413000,53023000,51593000,50063000,49954000,48017000,43509000,41160000,41160000
