,https://roic.ai/company/ABM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,424200000,484300000,528400000,581700000,638400000,679100000,745700000,760100000,773300000,884633000,965381000,1086925000,1252472000,1501827000,1629716000,1807557000,1950038000,2191957000,2262476000,2416223000,2587761000,2792668000,2842811000,3623590000,3481823000,3495747000,4246842000,4300265000,4809281000,5032800000,4897800000,5144700000,5453600000,6442200000,6498600000,5987600000,6228600000
2,COGS,355900000,406700000,446000000,486700000,533900000,572300000,625800000,636700000,651300000,760056000,830749000,940296000,1076078000,1298423000,1413541000,1573998000,1722334000,1946750000,2035731000,2187659000,2312687000,2421552000,2540142000,3224696000,3114699000,3134018000,3781264000,3854380000,4313429000,4513500000,4410000000,4623400000,4881200000,5747400000,5767500000,5974000000,- -
3,Gross Profit,68300000,77600000,82400000,95000000,104500000,106800000,119900000,123400000,122000000,124577000,134632000,146629000,176394000,203404000,216175000,233559000,227704000,245207000,226745000,228564000,275074000,371116000,302669000,398894000,367124000,361729000,465578000,445885000,495852000,519300000,487800000,521300000,572400000,694800000,731100000,13600000,- -
4,Gross Profit Ratio,0.1610,0.1602,0.1559,0.1633,0.1637,0.1573,0.1608,0.1623,0.1578,0.1408,0.1395,0.1349,0.1408,0.1354,0.1326,0.1292,0.1168,0.1119,0.1002,0.0946,0.1063,0.1329,0.1065,0.1101,0.1054,0.1035,0.1096,0.1037,0.1031,0.1032,0.0996,0.1013,0.1050,0.1079,0.1125,0.0023,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,52200000,59500000,64700000,73700000,80900000,87000000,91600000,94300000,92400000,96059000,99521000,104893000,126755000,142431000,146984000,157546000,172157000,174827000,171135000,176667000,204131000,207116000,216850000,287650000,263633000,241526000,324762000,327855000,348274000,363900000,390000000,390100000,436600000,438000000,452900000,506100000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",52200000,59500000,64700000,73700000,80900000,87000000,91600000,94300000,92400000,96059000,99521000,104893000,126755000,142431000,146984000,157546000,172157000,174827000,171135000,176667000,204131000,207116000,216850000,287650000,263633000,241526000,324762000,327855000,348274000,363900000,390000000,390100000,436600000,438000000,452900000,506100000,719200000
9,Other Expenses,5200000,5900000,7000000,7300000,6800000,7000000,7000000,6600000,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4519000,5673000,5764000,5565000,11735000,11384000,11364000,23248000,21464000,4341982000,4540300000,4434200000,4648400000,4912800000,5813400000,5826000000,5205400000,5303200000
10,Operating Expenses,57400000,65400000,71700000,81000000,87700000,94000000,98600000,100900000,99600000,96059000,99521000,104893000,126755000,142431000,146984000,157546000,172157000,174827000,171135000,181186000,209804000,212880000,222415000,299385000,275017000,252890000,348010000,349319000,4690256000,4904200000,4824200000,5038500000,5349400000,6251400000,6278900000,5711500000,6022400000
