,https://roic.ai/company/LMT,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),177000000,278000000,304000000,288000000,700000000,842000000,861000000,809000000,- -,700000000,581000000,487000000,425000000,370000000,361000000,352000000,341000000,305000000,345000000,354000000,383000000,350000000,340000000,443000000,663000000,651000000,668000000,653000000,591000000,569000000
14,Depreciation and Amortization,594000000,936000000,937000000,921000000,1197000000,1052000000,1005000000,969000000,968000000,823000000,558000000,609000000,656000000,705000000,764000000,819000000,845000000,854000000,841000000,1008000000,988000000,990000000,994000000,1026000000,1215000000,1195000000,1161000000,1189000000,1290000000,1364000000
15,EBITDA,765000000,2520000000,2879000000,2298000000,3930000000,3831000000,3527000000,2623000000,1159000000,586000000,1683000000,2628000000,2745000000,3691000000,4717000000,5539000000,5888000000,5443000000,5293000000,4981000000,5443000000,5526000000,6592000000,6492000000,8313000000,7188000000,7667000000,9083000000,10061000000,9483000000
16,EBITDA ratio,0.0477,0.1125,0.1257,0.1006,0.1462,0.1365,0.1343,0.1027,0.0458,0.0244,0.0633,0.0826,0.0773,0.0992,0.1191,0.1323,0.1378,0.1204,0.1156,0.1071,0.1154,0.1218,0.1446,0.1407,0.1759,0.1408,0.1426,0.1519,0.1538,0.1414
17,Operating Income,1139000000,1540000000,1779000000,1282000000,2281000000,2297000000,2352000000,1665000000,1614000000,1543000000,1949000000,1976000000,2089000000,2986000000,3953000000,4527000000,5131000000,4466000000,4097000000,3980000000,4434000000,4505000000,5592000000,5436000000,5549000000,5921000000,7334000000,8545000000,8644000000,9123000000
18,Operating Income ratio,0.0711,0.0688,0.0777,0.0561,0.0849,0.0818,0.0895,0.0652,0.0637,0.0643,0.0733,0.0621,0.0588,0.0802,0.0998,0.1081,0.1201,0.0988,0.0894,0.0856,0.0940,0.0993,0.1226,0.1178,0.1174,0.1160,0.1364,0.1429,0.1322,0.1361
19,Total Other Income Expenses (Gains),-135000000,-234000000,-104000000,-193000000,-248000000,-360000000,-691000000,-465000000,-1328000000,-1355000000,-1372000000,-444000000,-425000000,-370000000,-361000000,-159000000,-429000000,-182000000,-271000000,-349000000,-362000000,-350000000,-334000000,-413000000,-663000000,-652000000,-1496000000,-1304000000,-409000000,-1573000000
20,Income Before Tax,1004000000,1306000000,1675000000,1089000000,2033000000,1937000000,1661000000,1200000000,286000000,188000000,577000000,1532000000,1664000000,2616000000,3592000000,4368000000,4702000000,4284000000,3826000000,3631000000,4072000000,4155000000,5258000000,5023000000,4886000000,5269000000,5838000000,7241000000,8235000000,7550000000
21,Income Before Tax Ratio,0.0626,0.0583,0.0731,0.0477,0.0756,0.0690,0.0632,0.0470,0.0113,0.0078,0.0217,0.0481,0.0468,0.0703,0.0907,0.1043,0.1100,0.0948,0.0835,0.0781,0.0863,0.0916,0.1153,0.1089,0.1034,0.1032,0.1086,0.1211,0.1259,0.1126
22,Income Tax expense (Gain),355000000,477000000,620000000,407000000,686000000,637000000,660000000,463000000,710000000,109000000,44000000,479000000,398000000,791000000,1063000000,1335000000,1485000000,1260000000,1181000000,964000000,1327000000,1205000000,1644000000,1418000000,1133000000,3340000000,792000000,1011000000,1347000000,1235000000
23,Net Income,-361000000,829000000,1018000000,682000000,1347000000,1300000000,1001000000,382000000,-519000000,-1046000000,500000000,1053000000,1266000000,1825000000,2529000000,3033000000,3217000000,3024000000,2926000000,2655000000,2745000000,2981000000,3614000000,3605000000,5302000000,2002000000,5046000000,6230000000,6833000000,6315000000
24,Net Income ratio,-0.0225,0.0370,0.0444,0.0298,0.0501,0.0463,0.0381,0.0150,-0.0205,-0.0436,0.0188,0.0331,0.0356,0.0490,0.0638,0.0725,0.0753,0.0669,0.0639,0.0571,0.0582,0.0657,0.0793,0.0781,0.1122,0.0392,0.0939,0.1042,0.1045,0.0942
25,EPS,-0.92,2.00,2.56,1.64,3.40,-1.56,2.66,1.00,-1.29,-2.45,1.13,2.36,2.86,4.15,5.91,7.29,8.05,7.86,8.03,7.90,8.48,9.29,11.41,11.62,17.71,6.96,17.74,22.09,24.40,22.55
26,EPS Diluted,-0.92,1.88,2.33,1.52,3.02,-1.56,2.63,0.99,-1.29,-2.45,1.11,2.34,2.83,4.10,5.80,7.10,7.86,7.78,7.94,7.81,8.36,9.13,11.21,11.46,17.49,6.89,17.59,21.95,24.30,22.55
27,Weighted Average Shares Outstanding,392200000,393200000,374000000,378600000,378200000,370600000,376500000,382300000,402325581,427400000,445100000,446500000,443100000,440300000,428100000,416000000,399700000,384800000,364200000,335900000,323700000,320900000,316800000,310300000,299300000,287800000,284500000,282000000,280000000,280000000
28,Weighted Average Shares Outstanding Diluted,392200000,442200000,436600000,446400000,446000000,427000000,381100000,384100000,402325581,432500000,452000000,450000000,447100000,445700000,436400000,427100000,409700000,388900000,368300000,339900000,328400000,326500000,322400000,314700000,303100000,290600000,286800000,283800000,281200000,280000000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936468/000092838599000878/0000928385-99-000878-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936468/000119312504035751/0001193125-04-035751-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312505038829/0001193125-05-038829-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312506040986/0001193125-06-040986-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312507039899/0001193125-07-039899-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312508041793/0001193125-08-041793-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312509038670/0001193125-09-038670-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312510040520/0001193125-10-040520-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312511045739/0001193125-11-045739-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312512074929/0001193125-12-074929-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312513082873/0001193125-13-082873-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312514055034/0001193125-14-055034-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312515038681/0001193125-15-038681-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312516476010/0001193125-16-476010-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312517036192/0001193125-17-036192-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/0000936468-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/0000936468-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/0000936468-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/0000936468-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/0000936468-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,653000000,- -,- -,285000000,455000000,1505000000,912000000,2738000000,1010000000,1060000000,2244000000,1912000000,2648000000,2168000000,2391000000,2261000000,3582000000,1898000000,2617000000,1446000000,1090000000,1837000000,2861000000,772000000,1514000000,3160000000,3604000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000000,396000000,429000000,381000000,333000000,61000000,- -,516000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,653000000,- -,- -,285000000,455000000,1505000000,912000000,2738000000,1250000000,1456000000,2673000000,2293000000,2981000000,2229000000,2391000000,2777000000,3585000000,1898000000,2617000000,1446000000,1090000000,1837000000,2861000000,772000000,1514000000,3160000000,3604000000
34,Net Receivables,- -,- -,- -,3876000000,4999000000,5009000000,4178000000,4348000000,4195000000,4049000000,3655000000,4039000000,4094000000,4579000000,4595000000,4925000000,5296000000,6061000000,5757000000,6064000000,6563000000,5834000000,5884000000,8061000000,8202000000,8603000000,11916000000,11431000000,11523000000,12542000000
35,Inventory,- -,- -,- -,2804000000,3053000000,3144000000,4293000000,4051000000,3825000000,3140000000,2250000000,2348000000,1864000000,1921000000,1657000000,1718000000,1902000000,2183000000,2378000000,2481000000,2937000000,2977000000,2882000000,4962000000,4670000000,4487000000,2997000000,3619000000,3545000000,2981000000
36,Other Current Assets,- -,- -,- -,844000000,1888000000,1952000000,1855000000,1842000000,1734000000,2677000000,1983000000,1764000000,1539000000,1356000000,1619000000,1316000000,1256000000,1842000000,1939000000,1964000000,2457000000,1901000000,2117000000,2085000000,399000000,1510000000,418000000,531000000,1150000000,688000000
37,Total Current Assets,- -,- -,- -,8177000000,9940000000,10105000000,10611000000,10696000000,11259000000,10778000000,10626000000,9401000000,8953000000,10529000000,10164000000,10940000000,10683000000,12477000000,12851000000,14094000000,13855000000,13329000000,12329000000,16198000000,15108000000,17461000000,16103000000,17095000000,19378000000,19815000000
38,PP&E,- -,- -,- -,3165000000,3721000000,3669000000,3513000000,3634000000,3446000000,2991000000,3258000000,3489000000,3599000000,3924000000,4056000000,4320000000,4488000000,4520000000,4554000000,4611000000,4675000000,4706000000,4755000000,5490000000,5549000000,5775000000,6124000000,6591000000,7213000000,7597000000
39,Goodwill,- -,- -,- -,2817000000,10394000000,9856000000,9521000000,9162000000,- -,7371000000,7380000000,7879000000,7892000000,8447000000,9250000000,9387000000,9526000000,9948000000,9605000000,10148000000,10370000000,10348000000,10862000000,13576000000,10764000000,10807000000,10769000000,10604000000,10806000000,10813000000
40,Intangible Assets,- -,- -,- -,1808000000,1767000000,1566000000,1418000000,1259000000,9943000000,939000000,814000000,807000000,672000000,560000000,605000000,463000000,355000000,311000000,127000000,- -,- -,- -,- -,4147000000,4093000000,3797000000,3494000000,3213000000,3012000000,2706000000
41,Intangible Assets,- -,- -,- -,4625000000,12161000000,11422000000,10939000000,10421000000,9943000000,8310000000,8194000000,8686000000,8564000000,9007000000,9855000000,9850000000,9881000000,10259000000,9605000000,10148000000,10370000000,10348000000,10862000000,17723000000,14857000000,14604000000,14263000000,13817000000,13818000000,13519000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,2210000000,- -,- -,1009000000,1060000000,812000000,196000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1487000000,760000000,4651000000,3779000000,3482000000,4388000000,4809000000,2850000000,4013000000,4470000000,6625000000,3111000000,3208000000,3319000000,3475000000,2290000000
44,Other Non-Current Assets,- -,- -,- -,1681000000,3435000000,3165000000,3681000000,3051000000,5701000000,5575000000,2671000000,3539000000,3626000000,4088000000,2669000000,3056000000,3736000000,4076000000,4575000000,4667000000,4948000000,4955000000,5114000000,5247000000,5667000000,5570000000,5178000000,6706000000,6826000000,7652000000
45,Total Non-Current Assets,- -,- -,- -,9471000000,19317000000,18256000000,18133000000,19316000000,19090000000,16876000000,15132000000,16774000000,16601000000,17215000000,18067000000,17986000000,22756000000,22634000000,22216000000,23814000000,24802000000,22859000000,24744000000,32930000000,32698000000,29060000000,28773000000,30433000000,31332000000,31058000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,17648000000,29257000000,28361000000,28744000000,30012000000,30349000000,27654000000,25758000000,26175000000,25554000000,27744000000,28231000000,28926000000,33439000000,35111000000,35067000000,37908000000,38657000000,36188000000,37073000000,49128000000,47806000000,46521000000,44876000000,47528000000,50710000000,50873000000
48,Accounts Payable,- -,- -,- -,787000000,1294000000,1234000000,1382000000,1228000000,1184000000,1419000000,1102000000,1434000000,1726000000,1998000000,2221000000,2163000000,2030000000,2030000000,1627000000,2269000000,2038000000,1397000000,1570000000,1974000000,1653000000,1467000000,2402000000,1281000000,880000000,780000000
49,Short-Term Debt,- -,- -,- -,722000000,1290000000,1370000000,1929000000,527000000,894000000,89000000,1365000000,136000000,15000000,202000000,34000000,104000000,242000000,- -,- -,- -,150000000,- -,- -,956000000,- -,750000000,1500000000,1250000000,500000000,6000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107000000,91000000,- -,- -,- -,- -,- -,- -,- -,- -,1649000000,1809000000,1826000000,1916000000,1764000000,1785000000,2122000000,2466000000,3163000000,3108000000
51,Deferred Revenue,- -,- -,- -,1570000000,2600000000,3644000000,4012000000,4655000000,- -,5002000000,4542000000,4256000000,4028000000,4331000000,3856000000,4254000000,4535000000,5049000000,5719000000,6399000000,6503000000,6349000000,5790000000,6988000000,6776000000,6752000000,6491000000,7054000000,7545000000,8107000000
52,Other Current Liabilities,- -,- -,- -,2212000000,3520000000,2941000000,2944000000,2402000000,8097000000,3179000000,2812000000,3067000000,2797000000,2897000000,3442000000,3350000000,3735000000,3624000000,3811000000,3462000000,3464000000,3374000000,3752000000,4139000000,4113000000,3668000000,4005000000,4387000000,5008000000,5104000000
53,Total Current Liabilities,- -,- -,- -,5291000000,8704000000,9189000000,10267000000,8812000000,10175000000,9689000000,9821000000,8893000000,8566000000,9428000000,9553000000,9871000000,10542000000,10703000000,11157000000,12130000000,12155000000,11120000000,11112000000,14057000000,12542000000,12637000000,14398000000,13972000000,13933000000,13997000000
54,Long-Term Debt,- -,- -,- -,3010000000,10188000000,10528000000,8957000000,11427000000,9065000000,7422000000,6217000000,6072000000,5104000000,4784000000,4405000000,4303000000,3563000000,5052000000,5019000000,6460000000,6158000000,6152000000,6169000000,14305000000,14282000000,13513000000,12604000000,11404000000,11669000000,11670000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,736000000,992000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2914000000,3509000000,3468000000,3383000000,3412000000,3213000000,3108000000,3855000000,4454000000,4863000000,5665000000,7389000000,4947000000,16469000000,15227000000,15183000000,18317000000,20305000000,13998000000,16392000000,17669000000,19376000000,20980000000,16425000000,18981000000,19070000000,14247000000
58,Total Non-Current Liabilities,- -,- -,- -,5924000000,13697000000,13996000000,12340000000,14839000000,13014000000,11522000000,10072000000,10526000000,9967000000,10449000000,11794000000,9250000000,20032000000,20279000000,20202000000,24777000000,26463000000,20150000000,22561000000,31974000000,33658000000,34493000000,29029000000,30385000000,30739000000,25917000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,11215000000,22401000000,23185000000,22607000000,23651000000,23189000000,21211000000,19893000000,19419000000,18533000000,19877000000,21347000000,19121000000,30574000000,30982000000,31359000000,36907000000,38618000000,31270000000,33673000000,46031000000,46200000000,47130000000,43427000000,44357000000,44672000000,39914000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,199000000,193000000,194000000,393000000,398000000,431000000,441000000,455000000,446000000,438000000,432000000,421000000,409000000,393000000,373000000,346000000,321000000,321000000,319000000,314000000,303000000,289000000,284000000,281000000,280000000,279000000,271000000
64,Retained Earnings,- -,- -,- -,4838000000,5823000000,5173000000,5856000000,5901000000,5199000000,3961000000,4262000000,5054000000,5915000000,7278000000,9269000000,11247000000,11621000000,12351000000,12372000000,11937000000,13211000000,14200000000,14956000000,14238000000,13324000000,11573000000,15434000000,18401000000,21636000000,21600000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-5020000000,-4731000000,-4975000000,-5160000000,-5273000000,-4993000000,-5051000000,-1598000000,-1204000000,-1532000000,-1553000000,-3561000000,-1851000000,-9149000000,-8595000000,-9010000000,-11257000000,-13493000000,-9601000000,-11870000000,-11444000000,-12102000000,-12540000000,-14321000000,-15554000000,-16121000000,-11006000000
66,Other Total Stockholders Equity,- -,- -,- -,6416000000,5571000000,4784000000,5048000000,5335000000,6523000000,7092000000,2746000000,2460000000,2200000000,1710000000,755000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000000,- -
67,Total Stockholders Equity,- -,- -,- -,6433000000,6856000000,5176000000,6137000000,6361000000,7160000000,6443000000,5865000000,6756000000,7021000000,7867000000,6884000000,9805000000,2865000000,4129000000,3708000000,1001000000,39000000,4918000000,3400000000,3097000000,1511000000,-683000000,1394000000,3127000000,6015000000,10959000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,17648000000,29257000000,28361000000,28744000000,30012000000,30349000000,27654000000,25758000000,26175000000,25554000000,27744000000,28231000000,28926000000,33439000000,35111000000,35067000000,37908000000,38657000000,36188000000,37073000000,49128000000,47711000000,46447000000,44821000000,47484000000,50687000000,50873000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,74000000,55000000,44000000,23000000,- -
70,Total Liabilities & Equity,- -,- -,- -,17648000000,29257000000,28361000000,28744000000,30012000000,30349000000,27654000000,25758000000,26175000000,25554000000,27744000000,28231000000,28926000000,33439000000,35111000000,35067000000,37908000000,38657000000,36188000000,37073000000,49128000000,47806000000,46521000000,44876000000,47528000000,50710000000,50873000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936468/000092838599000878/0000928385-99-000878-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/936468/000119312504035751/0001193125-04-035751-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312505038829/0001193125-05-038829-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312506040986/0001193125-06-040986-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312507039899/0001193125-07-039899-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312508041793/0001193125-08-041793-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312509038670/0001193125-09-038670-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312510040520/0001193125-10-040520-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312511045739/0001193125-11-045739-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312512074929/0001193125-12-074929-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312513082873/0001193125-13-082873-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312514055034/0001193125-14-055034-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312515038681/0001193125-15-038681-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312516476010/0001193125-16-476010-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312517036192/0001193125-17-036192-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/0000936468-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/0000936468-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/0000936468-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/0000936468-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/0000936468-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-361000000,829000000,1018000000,682000000,1347000000,1300000000,1001000000,382000000,-519000000,-1046000000,500000000,1053000000,1266000000,1825000000,2529000000,3033000000,3217000000,3024000000,2926000000,2655000000,2745000000,2981000000,3614000000,3605000000,5302000000,2002000000,5046000000,6230000000,6833000000,6315000000
74,Depreciation and Amortization,594000000,936000000,937000000,921000000,1197000000,1052000000,1005000000,969000000,968000000,823000000,558000000,609000000,656000000,705000000,764000000,819000000,845000000,854000000,841000000,1008000000,988000000,990000000,994000000,1026000000,1215000000,1195000000,1161000000,1189000000,1290000000,1364000000
75,Deferred Income Tax,-13000000,165000000,73000000,-116000000,-251000000,155000000,203000000,293000000,-84000000,-118000000,-463000000,467000000,-58000000,24000000,75000000,110000000,72000000,542000000,576000000,-2000000,930000000,-5000000,-401000000,-445000000,-152000000,3432000000,-244000000,222000000,60000000,-183000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000000,155000000,154000000,168000000,157000000,167000000,189000000,164000000,138000000,149000000,158000000,173000000,189000000,221000000,227000000
77,Change in Working Capital,-52000000,-317000000,328000000,2963000000,-1650000000,-320000000,-572000000,1540000000,-800000000,5000000,-284000000,-297000000,-121000000,714000000,-490000000,458000000,-928000000,1633000000,-80000000,270000000,-264000000,509000000,-992000000,924000000,425000000,2258000000,-3119000000,1418000000,2322000000,54000000
78,Accounts Receivable,212000000,80000000,-169000000,-394000000,-328000000,-572000000,809000000,130000000,- -,- -,394000000,- -,-87000000,-390000000,- -,- -,- -,- -,-15000000,- -,-460000000,767000000,28000000,-256000000,-811000000,-401000000,-179000000,107000000,359000000,15000000
79,Inventory,225000000,63000000,-221000000,430000000,-125000000,-687000000,-1183000000,-404000000,-187000000,651000000,585000000,-94000000,519000000,-39000000,-530000000,-57000000,-183000000,-233000000,-227000000,-74000000,-422000000,-60000000,77000000,-398000000,-46000000,183000000,-119000000,-622000000,74000000,564000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317000000,330000000,288000000,239000000,217000000,-66000000,-141000000,-21000000,-364000000,609000000,-236000000,-647000000,95000000,-160000000,-188000000,-189000000,914000000,-1098000000,-372000000,-98000000
81,Other Working Capital,-88000000,-405000000,-77000000,2886000000,1236000000,916000000,344000000,1884000000,1084000000,1089000000,805000000,508000000,387000000,1101000000,611000000,1069000000,141000000,1774000000,1694000000,1964000000,1700000000,2209000000,1217000000,2141000000,2566000000,4824000000,1705000000,3123000000,5445000000,607000000
82,Other Non-Cash Items,1010000000,-154000000,-863000000,-3158000000,993000000,-979000000,394000000,-2107000000,2451000000,2161000000,1977000000,-23000000,1181000000,-74000000,905000000,-328000000,1060000000,-3034000000,-884000000,165000000,-3005000000,-118000000,487000000,-147000000,-1750000000,-2569000000,121000000,-1937000000,-2543000000,1444000000
83,Cash Provided by Operating Activities,1178000000,1459000000,1493000000,1292000000,1636000000,1208000000,2031000000,1077000000,2016000000,1825000000,2288000000,1809000000,2924000000,3194000000,3783000000,4241000000,4421000000,3173000000,3547000000,4253000000,1561000000,4546000000,3866000000,5101000000,5189000000,6476000000,3138000000,7311000000,8183000000,9221000000
84,CAPEX,-498000000,-536000000,-509000000,-531000000,-737000000,-750000000,-697000000,-669000000,-500000000,-619000000,-662000000,-687000000,-769000000,-865000000,-893000000,-940000000,-926000000,-852000000,-820000000,-987000000,-942000000,-836000000,-845000000,-939000000,-1063000000,-1177000000,-1278000000,-1484000000,-1766000000,-1522000000
85,Acquisitions Net,-19000000,-2420000000,-125000000,-294000000,-35000000,890000000,134000000,160000000,- -,825000000,30000000,-587000000,188000000,371000000,-942000000,-311000000,-233000000,-435000000,650000000,-649000000,-304000000,-269000000,-898000000,-9003000000,- -,- -,- -,- -,-282000000,- -
86,Purchases of Investments,-200000000,- -,- -,- -,- -,- -,- -,- -,- -,-192000000,- -,-240000000,-156000000,-33000000,- -,- -,- -,-279000000,-171000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,214000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
