,https://roic.ai/company/CDE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3000000,7500000,11800000,19200000,21600000,23000000,34800000,18800000,28200000,29700000,28400000,26000000,13392000,259300000,74000000,78100000,20061000,44265000,87680000,55814000,58273000,46141000,44859000,63327000,37403000,41302000,69948000,60508000,89572000,88622000,62274000,59525000,82863000,76785000,75441000,132019000,140246000
11,COGS and Expenses,7800000,19600000,42600000,61100000,63500000,58900000,80300000,59800000,85700000,96200000,90000000,103600000,163987000,357200000,140900000,164800000,99256000,133575000,172455000,135604000,163203000,147993000,173825000,203148000,325879000,440557000,714404000,736122000,786114000,729003000,685679000,592227000,669672000,646208000,805498000,703741000,780100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2557000,3248000,771000,- -,14436000,13323000,1375000,- -,- -,- -,1776000,199000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4139000,18102000,30942000,41384000,5884000,21519000,31998000,36879000,33776000,15371000,21751000,22884000,19183000,14725000
14,Depreciation and Amortization,400000,1500000,6200000,9500000,11700000,7000000,6200000,5800000,13900000,17800000,16900000,13400000,35631000,31000000,22000000,26700000,11347000,13511000,16627000,21872000,23215000,27099000,21281000,- -,102713000,- -,- -,- -,- -,- -,- -,- -,- -,128473000,178876000,131387000,128315000
15,EBITDA,-1500000,-6400000,19900000,29700000,22400000,4300000,-8800000,1300000,2400000,14200000,18200000,-42400000,21306000,-202400000,-6000000,-20800000,8274000,-69167000,-50970000,-1679000,35696000,123811000,80098000,-9370000,62987000,-69847000,249220000,123173000,-787160000,-1583130000,-356567000,34889000,43050000,85039000,-150572000,213242000,146676000
16,EBITDA ratio,-0.2679,-0.4961,0.3528,0.3798,0.3232,0.0825,-0.1486,0.0252,0.0287,0.1367,0.2040,-0.4574,0.1532,-1.8120,-0.0551,-0.2055,0.1151,-0.7320,-0.4732,-0.0126,0.2071,0.5717,0.3720,-0.0495,0.2095,-0.1355,0.2440,0.1375,-1.0552,-2.4902,-0.5519,0.0524,0.0607,0.1359,-0.2116,0.2715,0.1761
17,Operating Income,-2200000,-6700000,13800000,17100000,5800000,-6800000,-21100000,-8300000,-2000000,7700000,-800000,-65300000,-16228000,-245500000,-32000000,-63600000,-36698000,-81208000,-64735000,-17829000,6154000,66215000,40987000,-13683000,-25261000,74900000,306796000,153545000,-845159000,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-0.3929,-0.5194,0.2447,0.2187,0.0837,-0.1305,-0.3564,-0.1612,-0.0239,0.0741,-0.0090,-0.7044,-0.1167,-2.1979,-0.2938,-0.6285,-0.5103,-0.8595,-0.6010,-0.1336,0.0357,0.3057,0.1904,-0.0722,-0.0840,0.1453,0.3004,0.1715,-1.1329,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),300000,-1200000,-100000,3100000,4900000,4100000,6100000,3800000,-14700000,-11300000,-300000,9500000,1903000,- -,- -,- -,-14592000,- -,- -,-4814000,5880000,17430000,17830000,174000,-65553000,-167565000,-98960000,-36256000,36480000,-1521867000,-353853000,-72437000,-3000,-45431000,-264029000,-19048000,34958000
20,Income Before Tax,-1900000,-7900000,13700000,20200000,10700000,-2700000,-15000000,-4500000,-16700000,-3600000,-1100000,-55800000,-14325000,-245500000,-32000000,-63600000,-51290000,-81208000,-64735000,-22643000,12034000,83645000,58817000,-13509000,-90814000,-92665000,207836000,117289000,-808679000,-1615128000,-393446000,1113000,39923000,-65735000,-358025000,62672000,3636000
21,Income Before Tax Ratio,-0.3393,-0.6124,0.2429,0.2583,0.1544,-0.0518,-0.2534,-0.0874,-0.1995,-0.0346,-0.0123,-0.6019,-0.1030,-2.1979,-0.2938,-0.6285,-0.7132,-0.8595,-0.6010,-0.1697,0.0698,0.3862,0.2732,-0.0713,-0.3021,-0.1798,0.2035,0.1310,-1.0840,-2.5405,-0.6090,0.0017,0.0563,-0.1050,-0.5032,0.0798,0.0044
22,Income Tax expense (Gain),-1200000,-3200000,4300000,4800000,1300000,-1000000,-600000,-3700000,-3400000,300000,200000,-1200000,-242000,900000,300000,300000,-6000,- -,-7000,-5785000,1483000,8226000,14927000,-13501000,-25921000,-9481000,114337000,68612000,-158116000,-459244000,-26263000,-54239000,28998000,-16780000,-11129000,37045000,34958000
23,Net Income,-700000,-4700000,9400000,15400000,9400000,-1700000,-14400000,-800000,-8100000,-3900000,1100000,-54600000,-14083000,-234300000,-28300000,-47800000,-3067000,-82678000,-67590000,-17766000,10998000,88486000,43890000,-8000,-31907000,-91308000,93499000,48677000,-650563000,-1155884000,-367183000,55352000,-1319000,-48405000,-341203000,25627000,-31322000
24,Net Income ratio,-0.1250,-0.3643,0.1667,0.1969,0.1356,-0.0326,-0.2432,-0.0155,-0.0968,-0.0375,0.0123,-0.5890,-0.1013,-2.0976,-0.2599,-0.4723,-0.0426,-0.8750,-0.6275,-0.1331,0.0638,0.4086,0.2038,-0.0000,-0.1061,-0.1771,0.0916,0.0544,-0.8721,-1.8182,-0.5683,0.0831,-0.0019,-0.0773,-0.4796,0.0326,-0.0376
25,EPS,-1.00,-6.70,10.80,14.50,9.40,-1.70,-9.40,-0.50,-5.30,-2.60,0.70,-25.40,-6.40,-106.50,-11.79,-13.66,-0.70,-10.40,-4.00,-0.80,0.40,3.30,1.50,-0.10,-0.44,-1.05,1.05,0.54,-6.65,-11.28,-2.83,0.35,-0.01,-0.26,-1.56,0.11,-0.13
26,EPS Diluted,-1.00,-6.70,10.80,14.50,9.40,-1.70,-9.40,-0.50,-5.30,-2.60,0.70,-25.40,-6.40,-106.50,-11.79,-13.66,-0.70,-10.40,-4.00,-0.80,0.40,3.00,1.40,-0.10,-0.44,-1.05,1.04,0.54,-6.65,-11.28,-2.83,0.34,-0.01,-0.26,-1.56,0.11,-0.13
27,Weighted Average Shares Outstanding,700000,701493,870370,1062069,1000000,1000000,1531915,1600000,1528302,1538788,1588835,2146900,2189000,2200000,2400000,3500000,4194600,7819300,16818600,21596900,24291500,27135700,28597200,55073300,71565000,87185000,89383000,89437000,97900000,102400000,129639000,159853000,180096000,188606000,218800000,242500000,250000000
28,Weighted Average Shares Outstanding Diluted,700000,701493,870370,1062069,1000000,1000000,1531915,1600000,1528302,1538788,1588835,2169960,2189100,2200000,2400000,3500000,4194600,7819300,16818600,21596900,24368300,29608200,31052400,55073300,71565000,87185000,89725000,89603000,97900000,102400000,129639000,163459000,184144000,188606000,218800000,242500000,250000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000095013395000152/0000950133-95-000152-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000089706901500046/0000897069-01-500046-index.html,https://www.sec.gov/Archives/edgar/data/215466/000089706902000251/0000897069-02-000251-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/215466/000095013308000901/w50513e10vk.htm,https://www.sec.gov/Archives/edgar/data/215466/000095014809000027/0000950148-09-000027-index.html,https://www.sec.gov/Archives/edgar/data/215466/000095012310017695/0000950123-10-017695-index.html,https://www.sec.gov/Archives/edgar/data/215466/000095012311020796/v58041e10vk.htm,https://www.sec.gov/Archives/edgar/data/215466/000119312512075636/0001193125-12-075636-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546613000048/0000215466-13-000048-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546614000042/cde-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/215466/000021546615000031/cde-12311410k.htm,https://www.sec.gov/Archives/edgar/data/215466/000021546616000166/0000215466-16-000166-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546617000056/0000215466-17-000056-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546618000038/0000215466-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546619000057/0000215466-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546620000032/0000215466-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/215466/000021546621000025/0000215466-21-000025-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8900000,30200000,78100000,79900000,80300000,104800000,110800000,134100000,14700000,15100000,16500000,43500000,114204000,127300000,86900000,35200000,14714000,9093000,62417000,273079000,214626000,270672000,98671000,20760000,22782000,66118000,175012000,125440000,206690000,270861000,200714000,162182000,192032000,115081000,55645000,92794000,56664000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,23000000,7900000,14656000,518000,19265000,48993000,25726000,70373000,53039000,7881000,- -,7959000,20254000,999000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8900000,30200000,78100000,79900000,80300000,104800000,110800000,134100000,14700000,15100000,16500000,43500000,114204000,129100000,109900000,43100000,29370000,9611000,81682000,322072000,240352000,341045000,151710000,28641000,22782000,74077000,195266000,126439000,206690000,270861000,200714000,162182000,192032000,115081000,55645000,92794000,56664000
34,Net Receivables,900000,2000000,3000000,1000000,1900000,2400000,5100000,4000000,7800000,9500000,13800000,11600000,11103000,11600000,15400000,9700000,5902000,7185000,9979000,10634000,30022000,43233000,56121000,60183000,58981000,58880000,83497000,62438000,81074000,116921000,85992000,60431000,19069000,29744000,18666000,23484000,32417000
35,Inventory,1300000,5500000,12400000,15300000,20000000,30900000,29400000,29600000,34700000,35900000,31000000,32000000,35927000,43700000,53800000,55000000,46286000,14846000,12535000,32685000,40763000,47643000,44842000,34846000,77353000,126299000,132781000,193661000,182518000,163135000,149040000,170193000,131982000,141401000,122078000,126076000,132409000
36,Other Current Assets,800000,- -,- -,-100000,-100000,- -,100000,23900000,72100000,131600000,65300000,124100000,98837000,- -,- -,10500000,- -,11082000,17388000,6319000,7868000,9676000,11394000,28781000,26920000,6955000,53399000,23644000,60948000,22887000,10942000,17981000,106474000,11393000,14047000,27254000,68087000
37,Total Current Assets,11900000,37700000,93500000,96100000,102100000,138100000,145400000,191600000,129300000,192100000,126600000,211200000,260071000,184400000,179100000,118300000,81558000,42724000,121584000,371710000,319005000,441597000,264067000,152451000,186036000,266211000,464943000,406182000,531230000,573804000,446688000,410787000,449557000,297619000,210436000,269608000,289577000
